DeltaOmega,RewardStd,TimestepsMean,OmegaBefore,ITERATIONS,ReturnsStd,NormDeltaOmega,TimestepsStd,ReturnsMean,RewardMean,Omega,Wins,ConfortViolation,Traj,NormDeltaVar
-0.10000000148886024,1.0579210091773408,20.892,10.0,0,56.94738694692455,0.10000000148886024,11.5422846958477,97.61300451139647,4.672267112358628,9.89999999851114,0.0,0,250,0.3162277511933688
-0.09968780344438777,0.9993175576532083,24.648,9.89999999851114,1,72.28223206558063,0.09968780344438777,14.374842468702047,118.45269482347636,4.805773077875543,9.800312195066752,0.0,0,250,0.3005878964525242
-0.09798055071384582,0.9211877082651998,30.464,9.800312195066752,2,86.15927684496744,0.09798055071384582,16.759495935140773,150.3299741083731,4.934676145889348,9.702331644352906,0.0,0,250,0.3000011374751065
-0.09657496752458883,0.8710002213570412,35.608,9.702331644352906,3,99.7809757793997,0.09657496752458883,19.027935673635223,179.80802561113373,5.049652482900856,9.605756676828317,0.0,0,250,0.28396521556280463
-0.09637583983616516,0.8477489520337086,39.132,9.605756676828317,4,121.07706793384044,0.09637583983616516,22.6640370631536,201.64683421854454,5.152990754843723,9.509380836992152,0.0,0,250,0.2686831781345813
-0.09714139640163744,0.8279723342708911,42.616,9.509380836992152,5,123.70954602558224,0.09714139640163744,22.75479167120631,224.10776886439666,5.25877062287396,9.412239440590515,0.0,0,250,0.25916562597673237
-0.09819156953753527,0.8089358274996206,46.352,9.412239440590515,6,113.54263644731398,0.09819156953753527,20.51604484300032,248.523503475832,5.361656529941145,9.31404787105298,0.0,0,250,0.258436456490546
-0.09890316567689972,0.7881981069726572,50.7,9.31404787105298,7,127.68791340608685,0.09890316567689972,22.601637108846784,277.0175029216291,5.463856073404912,9.21514470537608,0.0,0,250,0.23888609088129167
-0.09993914199626808,0.7827329215525838,53.188,9.21514470537608,8,141.45007571511485,0.09993914199626808,24.669832913905193,295.7561300531433,5.560580019048345,9.115205563379812,0.0,0,250,0.21417536349536268
-0.10113522302418687,0.7794315645004872,55.44,9.115205563379812,9,144.26115652847977,0.10113522302418687,24.765427514985483,313.5263185560916,5.655236626192128,9.014070340355625,0.0,0,250,0.20523254476857283
-0.10235079762089683,0.7923345136141229,55.248,9.014070340355625,10,135.40660881053955,0.10235079762089683,22.881662876635517,317.238101852202,5.742073954753149,8.911719542734728,0.0,0,250,0.20379604070704685
-0.1035108202635655,0.7742198003949126,59.388,8.911719542734728,11,157.20198070227727,0.1035108202635655,26.104816720291296,346.9546500121877,5.842167609823327,8.808208722471162,0.8,0,250,0.20818361344297587
-0.10416178685007438,0.7414129674764076,67.708,8.808208722471162,12,168.41580949316827,0.10416178685007438,27.540783140644347,402.86684583899705,5.9500627080846735,8.704046935621088,0.0,0,250,0.22288567814652296
-0.1053526563455165,0.7607005549316845,66.0,8.704046935621088,13,154.71557320391298,0.1053526563455165,24.923402656940727,398.208323771484,6.033459451083091,8.598694279275572,0.0,0,250,0.2378288747626404
-0.10631793521516464,0.7316870437847859,73.872,8.598694279275572,14,184.90244359146425,0.10631793521516464,29.3787613081287,453.45844323268756,6.138434633320982,8.492376344060407,0.0,0,250,0.2499495920817401
-0.10753211985007205,0.7144280334219153,79.568,8.492376344060407,15,192.6406407031277,0.10753211985007205,30.175575818863837,495.5189328124076,6.227615785396234,8.384844224210335,0.4,0,250,0.25598894141002293
-0.10854022071447567,0.702824422987984,84.088,8.384844224210335,16,230.46272798277286,0.10854022071447567,35.50831249158428,531.9983530677298,6.326685770475331,8.27630400349586,1.2,0,250,0.2668040492187087
-0.10969078215244465,0.6810124754035383,93.152,8.27630400349586,17,211.9454849783712,0.10969078215244465,32.27247892554893,597.7812880087572,6.4172673480843905,8.166613221343415,0.4,0,250,0.2720866554611292
-0.1104358779478325,0.6350325528612063,107.424,8.166613221343415,18,274.94499698649713,0.1104358779478325,41.199468734438796,700.8318403457582,6.523978257612435,8.056177343395582,3.5999999999999996,0,250,0.28239431335448195
-0.1114949862032919,0.5788000046337634,125.72,8.056177343395582,19,275.5103650123573,0.1114949862032919,40.47885373871153,832.2827902269992,6.6201303708797266,7.94468235719229,9.6,0,250,0.2820139478860495
-0.11223744256900048,0.48288758113335895,156.072,7.94468235719229,20,271.89259332500086,0.11223744256900048,39.13508420841841,1052.3816689362998,6.742924220464272,7.83244491462329,25.2,0,250,0.293413181769059
-0.11368355570072186,0.3786751027226692,175.58,7.83244491462329,21,238.51948100787007,0.11368355570072186,33.82052039812516,1206.1171512416947,6.869331081226194,7.718761358922568,50.4,0,250,0.2895784443127228
-0.11510477199074565,0.26492832473986067,187.824,7.718761358922568,22,201.5205760003381,0.11510477199074565,28.275095472871527,1308.6117099937658,6.967223091797457,7.603656586931822,76.8,0,250,0.27067508714338495
-0.11642330084853292,0.25100871686339965,188.564,7.603656586931822,23,216.08604208426542,0.11642330084853292,30.06536053334468,1329.4279266980382,7.050274319053681,7.487233286083289,80.4,0,250,0.2462038225686513
-0.1178018283916149,0.3038666395638728,184.444,7.487233286083289,24,238.11327841040523,0.1178018283916149,32.73968332162057,1314.8947969967764,7.128964872789446,7.369431457691674,70.8,0,250,0.22501841069521286
-0.11915448080551627,0.3185276346191701,181.988,7.369431457691674,25,268.01651640184673,0.11915448080551627,36.414006316251445,1312.5508063379173,7.212293153053591,7.250276976886158,68.8,0,250,0.20855504997025195
-0.1204858270021818,0.26929808323807003,187.724,7.250276976886158,26,240.5936687886449,0.1204858270021818,32.39370037522728,1372.0594192983433,7.308918514938651,7.129791149883976,78.4,0,250,0.20595515882624268
