RewardMean,DeltaOmega,Omega,ReturnsMean,NormDeltaVar,ReturnsStd,NormDeltaOmega,TimestepsStd,ITERATIONS,ConfortViolation,TimestepsMean,Wins,RewardStd,OmegaBefore,Traj
-1.267196739702969,0.10000000148274069,15.10000000148274,-20.55393111798216,0.3162272838906503,13.536061282034042,0.10000000148274069,10.047666395735877,0,0,16.22,0.0,0.37241894332173636,15.0,250
-1.366676999390507,0.09688404080102764,15.196884042283768,-16.372790452698272,0.27484459997725896,7.908149398637571,0.09688404080102764,5.394404508377176,1,0,11.98,0.0,0.45106394178176373,15.10000000148274,250
-1.4792459327381982,0.09373614519870443,15.290620187482473,-15.69775783821776,0.26847241006202494,6.752410587645761,0.09373614519870443,4.2262815807752325,2,0,10.612,0.0,0.5101451230308964,15.196884042283768,250
-1.5926147123162895,0.09186434155167689,15.38248452903415,-15.269989861688584,0.2619260702305444,6.773135992884228,0.09186434155167689,3.901058317943991,3,0,9.588,0.0,0.5722861078603827,15.290620187482473,250
-1.7018422982902077,0.08955048393120357,15.472035012965353,-14.901331163829058,0.2483590929617302,5.1517349938682395,0.08955048393120357,2.7972243385184536,4,0,8.756,0.0,0.6380649767696615,15.38248452903415,250
-1.8015118727810742,0.08810840271924825,15.560143415684601,-14.70754292938469,0.23549681076946105,4.868220552560006,0.08810840271924825,2.4382583948384142,5,0,8.164,0.0,0.6959240133239187,15.472035012965353,250
-1.9173509337576724,0.0855788999834104,15.645722315668012,-14.963006687044878,0.22392413491034063,4.165882768611181,0.0855788999834104,1.9363842593865508,6,0,7.804,0.0,0.757806739546996,15.560143415684601,250
-2.024808171461027,0.08380600334883503,15.729528319016847,-15.404740568475493,0.21136783413126445,4.284761696964239,0.08380600334883503,1.8757227940183485,7,0,7.608,0.0,0.8077650244134637,15.645722315668012,250
-2.1239240748241763,0.0820190184861449,15.811547337502992,-15.266766249836179,0.1890565144448586,3.020412440683479,0.0820190184861449,1.2460561785088182,8,0,7.188,0.0,0.8730080148497777,15.729528319016847,250
-2.2228246658252977,0.08076739799924937,15.892314735502241,-15.604229154093591,0.1707200687738028,2.8894439524032935,0.08076739799924937,1.1079711187571633,9,0,7.02,0.0,0.9230260451284263,15.811547337502992,250
-2.330700804844244,0.07990985426451935,15.97222458976676,-16.06318994698653,0.15401134090057633,3.0951037316506724,0.07990985426451935,1.1490587452345506,10,0,6.892,0.0,0.9771799733671546,15.892314735502241,250
-2.438344455493909,0.07908214937235769,16.051306739139118,-16.834330120729952,0.14129437680974638,3.166782422495246,0.07908214937235769,1.1308333210513388,11,0,6.904,0.0,1.0197239511179494,15.97222458976676,250
-2.546624805901769,0.07883577243831397,16.130142511577432,-17.602270658393024,0.13606231758836246,2.7948934255234232,0.07883577243831397,0.9676032244675501,12,0,6.912,0.0,1.0638444038477801,16.051306739139118,250
-2.6539134013744388,0.07924911524594336,16.209391626823376,-18.21646158703415,0.13208109553559771,3.463958421492851,0.07924911524594336,1.1408347820784568,13,0,6.864,0.0,1.1114172688095951,16.130142511577432,250
-2.749069639762845,0.07964391815492533,16.2890355449783,-18.45175542208822,0.12228229486924665,2.6134470283849445,0.07964391815492533,0.8179584341517604,14,0,6.712,0.0,1.1643296068425468,16.209391626823376,250
-2.868401408212262,0.07958912968189225,16.368624674660193,-19.470708758944834,0.11792707879873289,3.3357443777956117,0.07958912968189225,1.023257543338919,15,0,6.788,0.0,1.2058921042098036,16.2890355449783,250
-2.979448541804834,0.0802033285314927,16.448828003191686,-20.30792126094175,0.11493166934503089,3.40461155270902,0.0802033285314927,0.9829262434180909,16,0,6.816,0.0,1.2494484625806719,16.368624674660193,250
-3.0861958023244274,0.08038142917997249,16.52920943237166,-20.776270141248045,0.10004594119811673,2.842744468494779,0.08038142917997249,0.7875125395827041,17,0,6.732,0.0,1.3017903967449413,16.448828003191686,250
-3.1998293455108464,0.08070704488300962,16.609916477254668,-21.310863441102235,0.09600016507571413,3.0472061266598724,0.08070704488300962,0.8151073548925932,18,0,6.66,0.0,1.3578179882121724,16.52920943237166,250
-3.311873828027675,0.0818128336913766,16.691729310946045,-22.110069675912758,0.09143096929087224,3.415158093119002,0.0818128336913766,0.8961160639113661,19,0,6.676,0.0,1.4034687092015912,16.609916477254668,250
-3.4296074285300517,0.08159054566277746,16.773319856608822,-22.786311755153662,0.09127304414615911,3.1217902156345154,0.08159054566277746,0.7779871464233841,20,0,6.644,0.0,1.4555734438172396,16.691729310946045,250
-3.533046098299954,0.08252357589410764,16.85584343250293,-23.2050467736341,0.08245030467724848,2.487472538765795,0.08252357589410764,0.6110450065257059,21,0,6.568,0.0,1.5095154134666622,16.773319856608822,250
-3.657553271451027,0.08338479394582521,16.939228226448755,-24.095960952319363,0.07520244346505849,2.8213616367829566,0.08338479394582521,0.676946083525121,22,0,6.588,0.0,1.5594058073966606,16.85584343250293,250
-3.763713603709813,0.08497431062671268,17.024202537075467,-24.55446755060282,0.06738039268618161,2.846000000028187,0.08497431062671268,0.6460835859236791,23,0,6.524,0.0,1.6127166225474703,16.939228226448755,250
-3.894361601058953,0.0849188532252505,17.109121390300718,-25.39123763890437,0.056943866197513175,2.5889854800445598,0.0849188532252505,0.574108003776293,24,0,6.52,0.0,1.6680809206810836,17.024202537075467,250
-4.0286985514166584,0.08577257119592119,17.19489396149664,-26.863361940846275,0.07362648386015909,3.9517803413977663,0.08577257119592119,0.8566072612346921,25,0,6.668,0.0,1.7031860110669585,17.109121390300718,250
