RewardStd,Wins,TimestepsStd,NormDeltaVar,Traj,ConfortViolation,Omega,ReturnsMean,TimestepsMean,NormDeltaOmega,DeltaOmega,ReturnsStd,ITERATIONS,RewardMean,OmegaBefore
8.057209441102541,0.0,6.892551341847226,0.3162277694445269,250,0,27.89999999851043,-326.4242639635851,12.144,0.100000001489569,-0.100000001489569,201.82966198310433,0,-26.879468376448045,28.0
9.692522647521823,0.0,0.6437390775772432,0.04517193702864031,250,0,26.321077668586714,-108.43680256736118,5.36,0.043780997608813266,-0.043780997608813266,15.975751284034809,28,-20.230746747642005,26.364858666195527
8.477880022227774,0.0,0.5708800224215242,0.01299626615005858,250,0,25.165461991686243,-97.02440856996522,5.436,0.03559883267500297,-0.03559883267500297,12.382829125758619,58,-17.848493114415973,25.201060824361246
7.632143969541677,0.0,0.5519999999999999,0.0042196459464058055,250,0,24.314711224054157,-88.06584434090036,5.464,0.02502994115947743,-0.02502994115947743,10.831527990191786,88,-16.117467851555705,24.339741165213635
7.0563005803465675,0.0,0.5076849416715055,0.012592743870425449,250,0,23.731140551878458,-82.66490873497872,5.516,0.015516931016282598,-0.015516931016282598,9.248939602158684,118,-14.986386645210066,23.74665748289474
6.70855686692079,0.0,0.4987023160162784,0.008102469395498392,250,0,23.367237142819683,-79.04367658733332,5.536,0.007757138770411842,-0.007757138770411842,8.657332322218274,148,-14.27812077083333,23.374994281590094
6.60628025130048,0.0,0.49897494927100305,0.006049981557316834,250,0,23.259615099432473,-77.74864990191594,5.532,0.0013902401151177912,-0.0013902401151177912,8.547305137911051,178,-14.05434741538611,23.26100533954759
6.552389646725315,0.0,0.49289349762397966,0.00823387892004305,250,0,23.221157712035353,-78.28324842510428,5.584,0.005696736906404709,-0.005696736906404709,8.408244519226853,208,-14.019206379853918,23.226854448941758
6.519039995955389,0.0,0.552,0.009698485642791525,250,0,23.167997503139834,-76.8146898944118,5.536,0.0036308797909896384,0.0036308797909896384,9.252306302858573,238,-13.87548589133161,23.164366623348844
6.488507102260535,0.0,0.49839743177508444,0.0017828817746818593,250,0,23.12642042875538,-76.54540540973859,5.54,0.004291572225561424,-0.004291572225561424,8.342405859514667,268,-13.816860182263284,23.130712000980942
6.461556951670253,0.0,0.5234348096945789,0.0051565734060006795,250,0,23.078127601955458,-75.42853284855347,5.504,0.0018563683209791293,-0.0018563683209791293,8.744831655124793,298,-13.70431192742614,23.079983970276437
6.469029820654521,0.0,0.4976906669810074,0.0013766355590484627,250,0,23.115843029891987,-76.4875874359764,5.548,0.0028878962828855492,0.0028878962828855492,8.346532442615848,328,-13.786515399418962,23.112955133609102
6.507472257833509,0.0,0.4999839997439918,0.0026010322031892797,250,0,23.129859763152112,-75.95740594241256,5.504,0.0022134234661415064,-0.0022134234661415064,8.452171612909265,358,-13.800400788955773,23.132073186618253
6.417708692900906,0.0,0.49769066698100745,0.004744854247586884,250,0,23.058285593672164,-75.88084124662828,5.548,0.0006765333193605727,0.0006765333193605727,8.272274523455105,388,-13.677152351591253,23.057609060352803
6.492353177460609,0.0,0.4958870839213299,0.007862939799429692,250,0,23.150558797863873,-77.11873422556752,5.564,0.0047748767830562144,0.0047748767830562144,8.372880035033598,418,-13.860304497765549,23.145783921080817
6.590141626081412,0.0,0.49728864857344174,0.009917431428511222,250,0,23.24248075138613,-78.01228458102992,5.552,0.009137421218298414,-0.009137421218298414,8.546217349397656,448,-14.051203995142274,23.251618172604427
6.48122463451609,0.0,0.4994236678412428,0.0022146436204965067,250,0,23.128607945445296,-76.1016196626535,5.524,0.010092589248952066,0.010092589248952066,8.36338954713027,478,-13.776542299539013,23.118515356196344
6.518740423698287,0.0,0.49728864857344174,0.004093685512435731,250,0,23.155105017872174,-77.16868972253823,5.552,0.013364058545306534,-0.013364058545306534,8.417550277642112,508,-13.899259676249681,23.16846907641748
6.45251633198204,0.0,0.4976906669810074,0.002822201629275829,250,0,23.085128640648232,-76.29577355002749,5.548,0.011130052589436445,-0.011130052589436445,8.361731734545916,538,-13.751941879961693,23.09625869323767
6.552284822957353,0.0,0.4992153843783262,0.004437672251739896,250,0,23.208244973325634,-77.02613180707652,5.528,0.011271891363378472,0.011271891363378472,8.514740572466604,568,-13.933815449905307,23.196973081962255
6.39932788296203,0.0,0.4992153843783262,0.014964520848064293,250,0,23.04199906361849,-75.22399856443808,5.528,0.013272182890794681,0.013272182890794681,8.299223482015885,598,-13.607814501526425,23.028726880727696
6.488738540716561,0.0,0.4976906669810074,0.008888370093622613,250,0,23.119798480517982,-76.72255592000225,5.548,0.01820818801002133,-0.01820818801002133,8.409257113637276,628,-13.828867325162626,23.138006668528003
6.618440530069852,0.0,0.49993599590347565,0.0018943093682448852,250,0,23.264445830388134,-77.35252555796087,5.508,0.004453726199429298,0.004453726199429298,8.595365515973787,658,-14.043668401953681,23.259992104188704
6.248523615701496,0.0,0.49419024676737605,0.004005164381754648,250,0,22.860926948390837,-74.47975135580558,5.576,0.012881409377161646,-0.012881409377161646,8.031637379183401,688,-13.357200745302295,22.873808357768
6.634096751344275,0.0,0.49959983987187184,0.001287236210767862,250,0,23.23997862509658,-77.80807735534536,5.52,0.042115511615332224,-0.042115511615332224,8.516332043395524,718,-14.095666187562566,23.282094136711912
6.736925098607244,0.0,0.4983974317750845,0.008790676714892849,250,0,23.352121901676686,-77.6366658947685,5.46,0.01299317980020831,-0.01299317980020831,8.652518668267149,748,-14.219169577796425,23.365115081476894
