RewardMean,RewardStd,Wins,OmegaBefore,Traj,TimestepsStd,Omega,ReturnsStd,NormDeltaVar,NormDeltaOmega,DeltaOmega,ConfortViolation,TimestepsMean,ReturnsMean,ITERATIONS
-11.304821655433672,3.095893065652382,0.0,21.0,250,9.309862297585287,21.100000001487626,112.82371400896145,0.3162277688739528,0.10000000148762567,0.10000000148762567,0,14.408,-162.87987041148835,0
-11.186804176223271,3.6088101530768792,0.0,21.100000001487626,250,5.439494094123092,21.196489616308703,67.01078779741492,0.29275249601066633,0.09648961482107765,0.09648961482107765,0,10.648,-119.11709086842538,1
-11.111111755679836,4.006242344961525,0.0,21.196489616308703,250,4.196587184844371,21.28875782506112,52.48102191677196,0.2714392204338499,0.09226820875241515,0.09226820875241515,0,8.716,-96.84445006250546,2
-11.000770584786526,4.394177566666835,0.0,21.28875782506112,250,2.247519521605986,21.37609817669319,28.589299024693364,0.2426528388920434,0.0873403516320721,0.0873403516320721,0,7.284,-80.12961293958504,3
-11.103723332835997,4.512984198439111,0.0,21.37609817669319,250,2.2731863100062872,21.459419564776418,29.282219647034715,0.22244730927238557,0.08332138808322753,0.08332138808322753,0,7.068,-78.48111651648483,4
-11.113257087834723,4.723519215932907,0.0,21.459419564776418,250,1.7865318357085047,21.540228880003784,23.272895291003156,0.19947433808123588,0.08080931522736634,0.08080931522736634,0,6.548,-72.76960741114176,5
-11.205304050733202,4.839839458844229,0.0,21.540228880003784,250,1.4204281044811806,21.618931577025418,18.80000752331066,0.18480903955842876,0.07870269702163313,0.07870269702163313,0,6.372,-71.40019741127195,6
-11.276210602176192,4.980207136705265,0.0,21.618931577025418,250,1.2383472856997748,21.694686542624773,16.609104465061183,0.17028119060677774,0.07575496559935502,0.07575496559935502,0,6.136,-69.19082825495312,7
-11.423292691189527,5.022117969992813,0.0,21.694686542624773,250,1.3077247416792266,21.769278272212677,17.70425444345942,0.15645797872342046,0.07459172958790461,0.07459172958790461,0,6.184,-70.64164200231605,8
-11.51601034371814,5.12008625295569,0.0,21.769278272212677,250,1.3324323622608392,21.843146051977307,18.379183687572446,0.14767271291721562,0.07386777976462966,0.07386777976462966,0,6.068,-69.87915076568169,9
-11.669474434504624,5.174205490915805,0.0,21.843146051977307,250,1.1553285247062846,21.915372574688135,16.06312117219844,0.1425679361505908,0.07222652271082808,0.07222652271082808,0,6.096,-71.1371161527402,10
-11.745079585306662,5.282628572632948,0.0,21.915372574688135,250,1.0572114263476347,21.986485429329388,14.807127385830828,0.13403679855130915,0.07111285464125316,0.07111285464125316,0,5.952,-69.90671369174525,11
-11.880095679047903,5.336758944623917,0.0,21.986485429329388,250,1.0893594448114912,22.05631143441459,15.451657743785384,0.13077328980849096,0.06982600508520065,0.06982600508520065,0,5.964,-70.85289062984171,12
-11.97531088299314,5.4145101482657925,0.0,22.05631143441459,250,0.8910667763978186,22.125652518658384,12.787123616761253,0.12558109257443015,0.06934108424379559,0.06934108424379559,0,5.9,-70.65433420965952,13
-12.06280649078482,5.519711099727234,0.0,22.125652518658384,250,0.7598315602816194,22.194274728608825,11.03831477233517,0.11340282430662557,0.06862220995044055,0.06862220995044055,0,5.784,-69.77127274269941,14
-12.192373099347433,5.565109150738664,0.0,22.194274728608825,250,0.8361435283490508,22.262372968719323,12.219353985308842,0.10754760626820811,0.0680982401104977,0.0680982401104977,0,5.808,-70.81330296100988,15
-12.297759234078173,5.634390265756128,0.0,22.262372968719323,250,0.824630826491467,22.33090191160017,12.193101519233457,0.1026597575473865,0.06852894288084599,0.06852894288084599,0,5.772,-70.98266629909922,16
-12.405710181947304,5.717259214939627,0.0,22.33090191160017,250,0.6894519562667147,22.399682186608583,10.31558307723523,0.09752857936236005,0.06878027500841455,0.06878027500841455,0,5.716,-70.9110394000108,17
-12.521976279017386,5.782772506462386,0.0,22.399682186608583,250,0.7717408891590491,22.467626613113186,11.708379945857356,0.09504083423293032,0.06794442650460297,0.06794442650460297,0,5.696,-71.32517688528303,18
-12.69250369179058,5.800299073668657,0.0,22.467626613113186,250,0.8064638863582174,22.535237087564024,12.342203633196364,0.09493576644721868,0.0676104744508379,0.0676104744508379,0,5.796,-73.56575139761821,19
-12.720055202341952,5.940567456715448,0.0,22.535237087564024,250,0.5670414446934192,22.603425090808205,8.71992442186102,0.08540294546088693,0.06818800324418106,0.06818800324418106,0,5.592,-71.1305486914962,20
-12.895847062132676,5.968335248886388,0.0,22.603425090808205,250,0.7232039822899208,22.670735433814382,11.329509628546376,0.08292774323328904,0.06731034300617722,0.06731034300617722,0,5.676,-73.19682792466506,21
-13.002049841707466,6.032723891538099,0.0,22.670735433814382,250,0.6284075110945126,22.738204184321823,9.919194198192848,0.07715638911277432,0.06746875050744094,0.06746875050744094,0,5.652,-73.4875857053306,22
-13.138430083385511,6.090676383480913,0.0,22.738204184321823,250,0.6452906321960671,22.804593923954442,10.300825630679151,0.07422064881378296,0.06638973963261918,0.06638973963261918,0,5.66,-74.36351427196199,23
-13.201096495910647,6.19466523761144,0.0,22.804593923954442,250,0.6258562135187283,22.871487260632872,10.021410992634195,0.06835916727635971,0.06689333667842945,0.06689333667842945,0,5.548,-73.23968335931225,24
-13.337218323019481,6.241506514360351,0.0,22.871487260632872,250,0.5906064679632285,22.937620599401612,9.582450887035519,0.0644587942006308,0.06613333876873995,0.06613333876873995,0,5.572,-74.31498049586455,25
-13.488831942450036,6.298934636427144,0.0,22.937620599401612,250,0.5945889336339855,23.00199564371101,9.749436074776854,0.058667752764960286,0.06437504430939711,0.06437504430939711,0,5.592,-75.42954822218059,26
-13.608431161343695,6.344054538800055,0.0,23.00199564371101,250,0.6799529395480249,23.065881264322257,11.225752470980435,0.06258283027772449,0.06388562061124858,0.06388562061124858,0,5.608,-76.31608195281544,27
-13.739222451075285,6.390951990031519,0.0,23.065881264322257,250,0.5381598275605491,23.129321366556752,8.971994021959324,0.05930323225940078,0.06344010223449459,0.06344010223449459,0,5.628,-77.32434395465171,28
-13.799805375176762,6.483615554537237,0.0,23.129321366556752,250,0.5298150620735503,23.193245150158642,8.93458246814734,0.05301933165062286,0.06392378360189,0.06392378360189,0,5.536,-76.39572255697854,29
-13.92217050255123,6.546904457830007,0.0,23.193245150158642,250,0.5377880623442659,23.256570252276077,9.149876509489989,0.051468179956004695,0.06332510211743525,0.06332510211743525,0,5.528,-76.9617585381032,30
-14.067304647363565,6.585843971946555,0.0,23.256570252276077,250,0.6110450065257059,23.31948769539642,10.442206437805734,0.05101638372917819,0.06291744312034098,0.06291744312034098,0,5.568,-78.32675227652034,31
-14.203896080373479,6.632311894977828,0.0,23.31948769539642,250,0.5809784849716898,23.381453443626825,10.014986331788982,0.04910150139298596,0.06196574823040635,0.06196574823040635,0,5.592,-79.4281868814485,32
-14.31078107420102,6.694203934219186,0.0,23.381453443626825,250,0.5968450385150237,23.443058888617692,10.29946272900189,0.04925598803243824,0.0616054449908674,0.0616054449908674,0,5.576,-79.79691526974487,33
-14.439172780010507,6.736492119985023,0.0,23.443058888617692,250,0.5513619500836089,23.5045766098814,9.633667680839572,0.04582906686034453,0.06151772126370858,0.06151772126370858,0,5.6,-80.85936756805883,34
-14.559171907949247,6.80129610598301,0.0,23.5045766098814,250,0.6828294076854042,23.565000150255372,12.075803791560265,0.047919803285145175,0.06042354037397146,0.06042354037397146,0,5.588,-81.3566526216204,35
-14.625606740546786,6.898713994810235,0.0,23.565000150255372,250,0.5458937625582472,23.62400560127715,9.767004643810035,0.04262068942447353,0.05900545102177901,0.05900545102177901,0,5.5,-80.4408370730073,36
-14.750375654882701,6.932917425055499,0.0,23.62400560127715,250,0.5873465757114789,23.683651223078893,10.553266973219655,0.044204028957054664,0.059645621801742266,0.059645621801742266,0,5.532,-81.59907812281111,37
-14.868202717678994,6.997492634282261,0.0,23.683651223078893,250,0.515363949069005,23.74250207721744,9.362495517716603,0.04108141272320686,0.05885085413854796,0.05885085413854796,0,5.52,-82.07247900158808,38
-14.95175486046308,7.0710237862113905,0.0,23.74250207721744,250,0.4994236678412428,23.80092860281152,9.053880117397592,0.03578819609032723,0.05842652559407924,0.05842652559407924,0,5.476,-81.87580961589582,39
-15.082914105261604,7.120568308955682,0.0,23.80092860281152,250,0.5233889567042851,23.857642976095022,9.639621720859287,0.030906056170469008,0.056714373283501374,0.056714373283501374,0,5.492,-82.83536426609675,40
