Omega,RewardMean,RewardStd,TimestepsStd,ConfortViolation,ReturnsStd,DeltaOmega,Traj,Wins,TimestepsMean,NormDeltaVar,OmegaBefore,ReturnsMean,NormDeltaOmega,ITERATIONS
19.100000001487366,-7.589022841484548,2.0768077337235655,8.106417211074199,0,66.18496396048397,0.10000000148736632,250,0.0,14.5,0.3162277058428639,19.0,-110.04083120152593,0.10000000148736632,0
19.197876484564475,-7.5670277118646,2.414180352029994,5.307088090469198,0,44.33960979554518,0.09787648307710839,250,0.0,10.896,0.28429434115948454,19.100000001487366,-82.45033394847668,0.09787648307710839,1
19.29382522122402,-7.62236246971437,2.6111517483955495,4.008518928482189,0,33.93471282645133,0.09594873665954395,250,0.0,9.576,0.27423768464136716,19.197876484564475,-72.99174300998482,0.09594873665954395,2
19.387307199990307,-7.642323392210208,2.8533242597063095,3.433810711148767,0,29.644681211256305,0.09348197876628817,250,0.0,8.212,0.2606152639889112,19.29382522122402,-62.75875969683022,0.09348197876628817,3
19.477670820803326,-7.684257127727734,3.0389977029590023,2.363942469689142,0,20.956241767790665,0.09036362081301874,250,0.0,7.424,0.233925473066061,19.387307199990307,-57.04792491625071,0.09036362081301874,4
19.565323731852683,-7.826579064233941,3.1183088861410795,2.256638207599969,0,20.301667473165097,0.08765291104935713,250,0.0,7.328,0.22454093112091483,19.477670820803326,-57.35317138270632,0.08765291104935713,5
19.64986057867698,-7.890406561406221,3.2728732558098237,1.627606832131151,0,14.932725762994448,0.08453684682429596,250,0.0,6.836,0.20047263863321987,19.565323731852683,-53.93881925377293,0.08453684682429596,6
19.73226931315844,-7.991378838686256,3.364717976817801,1.488322545686922,0,13.869647130448891,0.08240873448146147,250,0.0,6.664,0.18313633344844193,19.64986057867698,-53.2545485810052,0.08240873448146147,7
19.81340214795203,-8.094574283423192,3.459282268376251,1.2041528142225137,0,11.445444952729801,0.08113283479358913,250,0.0,6.496,0.16352081454303616,19.73226931315844,-52.582354545117056,0.08113283479358913,8
19.89275242770262,-8.229505533288616,3.5257085147022966,1.2778794935360689,0,12.372150416479663,0.07935027975059228,250,0.0,6.468,0.15480220433488898,19.81340214795203,-53.22844178931077,0.07935027975059228,9
19.97067830570699,-8.351299010844828,3.599748178723372,0.9959919678390986,0,9.709933861196731,0.07792587800436834,250,0.0,6.4,0.1450054739443517,19.89275242770262,-53.44831366940691,0.07792587800436834,10
20.04769069864629,-8.448502406269112,3.682891322633247,1.0740577265678042,0,10.716251598359328,0.07701239293929873,250,0.0,6.28,0.14052417942157977,19.97067830570699,-53.05659511137003,0.07701239293929873,11
20.12441000638382,-8.576947544175978,3.735930276275343,1.181971234844571,0,11.929679549356727,0.07671930773753033,250,0.0,6.288,0.13203402181547413,20.04769069864629,-53.93184615777855,0.07671930773753033,12
20.20144637379838,-8.691219764763435,3.7953285258536287,0.9961927524329817,0,10.20494839447386,0.07703636741456066,250,0.0,6.26,0.13370024582773876,20.12441000638382,-54.40703572741911,0.07703636741456066,13
20.278127861757955,-8.795799885224676,3.884248926099193,1.1078194798792806,0,11.484954826569062,0.07668148795957563,250,0.0,6.144,0.13402123402856922,20.20144637379838,-54.041394494820416,0.07668148795957563,14
20.354115374278884,-8.915376420661147,3.9674977573546575,0.887639566490814,0,9.397443591936634,0.07598751252092839,250,0.0,6.064,0.12196256547579788,20.278127861757955,-54.0628426148892,0.07598751252092839,15
20.430819160321757,-9.037575455640418,4.001545026703251,0.9584070116604948,0,10.235172471374618,0.07670378604287365,250,0.0,6.116,0.11727863518894172,20.354115374278884,-55.2738114866968,0.07670378604287365,16
20.506981076651005,-9.147156284556816,4.0979632268405854,0.9528819444191394,0,10.402849814459755,0.07616191632924796,250,0.0,5.996,0.11674241617602057,20.430819160321757,-54.84634908220267,0.07616191632924796,17
20.5824567225019,-9.257108300979738,4.170480539121901,0.7696752561957543,0,8.590647574445201,0.07547564585089361,250,0.0,5.94,0.11216488689752545,20.506981076651005,-54.98722330781965,0.07547564585089361,18
20.657875955566595,-9.370559047020437,4.237001014687789,0.9070744181157354,0,10.162604992736016,0.07541923306469656,250,0.0,5.904,0.10661298408652173,20.5824567225019,-55.32378061360866,0.07541923306469656,19
20.733130627206947,-9.519242116556631,4.2801886335375094,0.8089499366462674,0,9.234175067839015,0.07525467164035149,250,0.0,5.96,0.10309444119212058,20.657875955566595,-56.734683014677515,0.07525467164035149,20
20.80855645706553,-9.622473206292863,4.355617585095061,0.6988104177815324,0,8.071337193721995,0.07542582985858459,250,0.0,5.892,0.09533815164241463,20.733130627206947,-56.69561213147755,0.07542582985858459,21
20.884351489035158,-9.732422428278557,4.436558492773366,0.6008527273800128,0,7.048804437681712,0.07579503196962634,250,0.0,5.824,0.08161244242041832,20.80855645706553,-56.68162822229432,0.07579503196962634,22
20.958900989651482,-9.854154186447964,4.514297309380248,0.5116874045743163,0,6.101661072329635,0.0745495006163246,250,0.0,5.776,0.07390961093831881,20.884351489035158,-56.91759458092344,0.0745495006163246,23
21.034758412427475,-9.995475889993301,4.541068623039761,0.816862289495604,0,9.781464297644352,0.07585742277599294,250,0.0,5.856,0.0776605164690214,20.958900989651482,-58.53350681180078,0.07585742277599294,24
21.10988681410322,-10.120335030714928,4.62039803945217,0.6222025393712244,0,7.598053385600794,0.07512840167574453,250,0.0,5.808,0.06862979502221894,21.034758412427475,-58.77890585839231,0.07512840167574453,25
