ReturnsStd,Traj,Omega,RewardMean,NormDeltaVar,ITERATIONS,ConfortViolation,NormDeltaOmega,TimestepsMean,OmegaBefore,ReturnsMean,DeltaOmega,Wins,TimestepsStd,RewardStd
65.5013274841524,250,8.89999999851096,5.581585048856762,0.3162277676289108,0,0,0.10000000148903965,21.032,9.0,117.39189674755542,-0.10000000148903965,0.0,11.144818347555065,1.2550780151604666
87.55457636106198,250,8.800977230765032,5.708246608226674,0.295238192287104,1,0,0.09902276774592877,25.24,8.89999999851096,144.07614439164126,-0.09902276774592877,0.0,14.664187669284651,1.1683074617387117
93.9621635454116,250,8.703633625985013,5.842353193625345,0.3008365863841119,2,0,0.09734360478001847,30.988,8.800977230765032,181.0428407640622,-0.09734360478001847,0.0,15.491283226382507,1.0761321614251258
120.2813916169449,250,8.606414423856082,5.950170366361358,0.27808111997225904,3,0,0.09721920212893131,37.152,8.703633625985013,221.06072945105714,-0.09721920212893131,0.0,19.571634985355722,0.9996083008448966
129.62578561217944,250,8.508559382227014,6.046754466802698,0.264878283845136,4,0,0.09785504162906733,39.82,8.606414423856082,240.7817628680834,-0.09785504162906733,0.0,20.759855490826517,0.9805434814065904
140.0296249173288,250,8.410414290723573,6.146866864300976,0.25577487605611654,5,0,0.09814509150344186,44.26,8.508559382227014,272.06032741396115,-0.09814509150344186,0.0,22.03035179020072,0.9447124204060009
148.61802345501403,250,8.311282838685397,6.227855740906329,0.2469411513908931,6,0,0.09913145203817564,45.084,8.410414290723573,280.77664822302097,-0.09913145203817564,0.0,23.11460456075336,0.9484031528658516
146.66534015369442,250,8.211141064093265,6.320164747489903,0.23057225048466537,7,0,0.10014177459213158,48.476,8.311282838685397,306.3763062993205,-0.10014177459213158,0.0,22.475796404132158,0.9276821355396732
131.4491344837687,250,8.109935808818815,6.405880179242825,0.22066161204387671,8,0,0.10120525527445068,50.192,8.211141064093265,321.52393795655587,-0.10120525527445068,0.0,19.913089564404615,0.9236427961572681
152.30478479832055,250,8.00774613782893,6.503002581132851,0.21951838996664394,9,0,0.10218967098988507,53.444,8.109935808818815,347.54646994606406,-0.10218967098988507,0.0,22.751502455881898,0.9077361221650436
180.12890158469966,250,7.905094375483318,6.597642169864862,0.2069199810136431,10,0,0.10265176234561135,59.864,8.00774613782893,394.9612508567901,-0.10265176234561135,0.0,26.57497890874045,0.8704016414265807
172.05207137337626,250,7.801360358265277,6.674888204574164,0.20738763343641684,11,0,0.10373401721804143,59.768,7.905094375483318,398.94471821098864,-0.10373401721804143,0.0,25.079596806966414,0.8809338057921537
192.35632336811526,250,7.6965376481198495,6.761097737440393,0.2102493350165126,12,0,0.10482271014542732,61.084,7.801360358265277,412.99489419380893,-0.10482271014542732,0.8,27.622833743119116,0.8786247708411191
188.33239467356086,250,7.590635576212469,6.847197159446555,0.22726994422591984,13,0,0.10590207190738088,66.332,7.6965376481198495,454.18828198040893,-0.10590207190738088,0.0,26.793838396168624,0.8572977905877945
195.72111958614659,250,7.483657343854078,6.933420062260853,0.2358179550713525,14,0,0.10697823235839099,68.572,7.590635576212469,475.4384805093511,-0.10697823235839099,0.0,27.53566443723485,0.8534806356708581
200.660330463812,250,7.375579623047357,7.018187126270162,0.24942360529776877,15,0,0.10807772080672073,74.792,7.483657343854078,524.904251547998,-0.10807772080672073,0.0,27.94188139692816,0.8273347650089784
247.49164915873388,250,7.266594466387424,7.109474374689277,0.2603086881234693,16,0,0.10898515665993269,81.076,7.375579623047357,576.4077444023078,-0.10898515665993269,1.2,33.980438843546445,0.7999679225997787
239.92422809239014,250,7.156459109240102,7.189936064976224,0.27025886682642,17,0,0.11013535714732203,85.672,7.266594466387424,615.976202558643,-0.11013535714732203,0.0,32.63452797268562,0.7921076462447286
270.4137457377227,250,7.045454908488054,7.28516401319552,0.2762417277524329,18,0,0.1110042007520482,100.628,7.156459109240102,733.0914843198389,-0.1110042007520482,2.0,36.28886352588078,0.7329423562748033
290.77518593594596,250,6.933364719911339,7.367670785188546,0.27919938574684877,19,0,0.11209018857671538,110.172,7.045454908488054,811.7110257457925,-0.11209018857671538,3.5999999999999996,38.58785321833802,0.7036938649972044
328.63739168261225,250,6.820623040235969,7.470262377849794,0.27859796870366627,20,0,0.11274167967536997,134.872,6.933364719911339,1007.5292274253576,-0.11274167967536997,13.200000000000001,42.91768418729044,0.6136424086205343
301.30894404722824,250,6.706627033452349,7.567116970467895,0.28594191104467814,21,0,0.1139960067836201,153.876,6.820623040235969,1164.3976909477176,-0.1139960067836201,22.8,38.78510827624437,0.5486743381442302
285.06918656939706,250,6.591295784120347,7.685800927640379,0.2901761495264223,22,0,0.11533124933200156,174.412,6.706627033452349,1340.4959113916138,-0.11533124933200156,50.4,36.20467174274613,0.42028415072298403
201.79382717312996,250,6.474616100956066,7.7744530696836165,0.28206879888899306,23,0,0.11667968316428112,189.028,6.591295784120347,1469.5893148561547,-0.11667968316428112,76.4,25.32436013011977,0.2893863472681173
234.17289015621998,250,6.356598305781973,7.842091482488283,0.24237853544660357,24,0,0.11801779517409283,186.884,6.474616100956066,1465.5614246133403,-0.11801779517409283,75.2,29.167079798978847,0.30265872243393155
218.14210002065576,250,6.23753876201936,7.913987644560006,0.23172063307819754,25,0,0.11905954376261274,188.544,6.356598305781973,1492.1348864559216,-0.11905954376261274,75.2,26.944388358246325,0.3041753184582032
246.5374397107271,250,6.117181470186042,7.989401583868212,0.2228217202522243,26,0,0.12035729183331867,186.34,6.23753876201936,1488.7450911380026,-0.12035729183331867,71.6,30.234159488896,0.32732619633708393
203.548952016601,250,5.995564188283063,8.070046304254765,0.22216832405567535,27,0,0.12161728190297882,191.484,6.117181470186042,1545.2847465239197,-0.12161728190297882,81.6,24.675853460417535,0.26867841200020304
196.0037722692304,250,5.872778061837601,8.14298510223057,0.21509453399036702,28,0,0.12278612644546172,191.4,5.995564188283063,1558.5673485669308,-0.12278612644546172,78.8,23.47543396829971,0.2873336928909283
199.32850499012125,250,5.749304069482247,8.220278907818171,0.2122461729295849,29,0,0.12347399235535406,192.184,5.872778061837601,1579.8060816201273,-0.12347399235535406,81.2,23.690634098731927,0.2727041332924948
141.25740253569253,250,5.62633912247732,8.29696332746266,0.19918861369322233,30,0,0.12296494700492744,196.436,5.749304069482247,1629.8222881934548,-0.12296494700492744,88.8,16.61246230996477,0.21605942182402774
152.0573833051683,250,5.503355860392145,8.368903267638895,0.18540550752618432,31,0,0.12298326208517452,196.336,5.62633912247732,1643.11699195515,-0.12298326208517452,90.0,17.710988227651217,0.20766900389948922
98.51643908426506,250,5.380772044255677,8.445222211412899,0.1780743538525314,32,0,0.1225838161364683,198.936,5.503355860392145,1680.0587258496364,-0.1225838161364683,96.0,11.370659787365023,0.14354239172776467
134.53719274062883,250,5.2613038755600225,8.509001353251666,0.17033196256396094,33,0,0.11946816869565424,197.544,5.380772044255677,1680.9021633267473,-0.11946816869565424,94.0,15.39038868904876,0.16777223566947885
98.05374988198203,250,5.147920577580873,8.57093759031835,0.14112608472861018,34,0,0.11338329797914959,198.432,5.2613038755600225,1700.748287922051,-0.11338329797914959,92.0,11.005333979484675,0.18902497014498063
129.74369551317105,250,5.0421244400989105,8.630094909105974,0.13769853327271847,35,0,0.10579613748196248,198.52,5.147920577580873,1713.246441355718,-0.10579613748196248,94.8,14.753223376604856,0.1591987508417552
