ReturnsStd,Omega,Traj,RewardMean,Wins,NormDeltaVar,TimestepsStd,TimestepsMean,ConfortViolation,ITERATIONS,ReturnsMean,DeltaOmega,RewardStd,OmegaBefore,NormDeltaOmega
68.72761221498182,8.899999998510925,250,5.582702773895692,0.0,0.3162277482015904,11.661516882464305,20.968,0,0,117.05811176304488,-0.10000000148907517,1.2572993864442836,9.0,0.10000000148907517
238.032686036483,5.881420141804543,250,8.128219091182942,66.4,0.2368602247816062,28.629084232647052,185.244,0,28,1505.7038173270928,-0.12115153894447861,0.3606876629507271,6.002571680749021,0.12115153894447861
95.93344598911558,2.79235856007647,250,9.556908786932283,93.60000000000001,0.09834691555401374,9.64839883089417,198.98,0,58,1901.6337104237857,-0.06732140917350593,0.18113056443337924,2.859679969249976,0.06732140917350593
314.47475227300737,1.4742304923790328,250,9.847700537479376,70.8,0.13415005196608018,31.300898645246594,186.412,0,88,1835.7295525926054,-0.017252956989394885,0.39321779809067897,1.4914834493684277,0.017252956989394885
428.2096717831309,1.0868438383289056,250,9.89825248338764,66.4,0.15374472963879096,42.525042222201265,176.972,0,118,1751.713538490078,-0.003499337646960088,0.4344462744899985,1.0903431759758657,0.003499337646960088
465.35406024926493,0.7895969869759007,250,9.916635126771773,52.0,0.16969000983376492,46.179247460304076,169.652,0,148,1682.376982527085,-0.008496002836238636,0.5308689809391968,0.7980929898121394,0.008496002836238636
308.80723132805076,0.8197891768491261,250,9.933886994362425,73.2,0.09225635951269351,30.589571033278645,189.488,0,178,1882.3523787877468,-0.02549919197496453,0.37601590234541776,0.8452883688240906,0.02549919197496453
168.07226916045576,0.10424293559080802,250,9.698812458505095,0.0,0.023052672619433126,16.806231701366016,43.476,0,208,421.6655704459675,0.0008970941574612118,1.491480241144093,0.10334584143334681,0.0008970941574612118
284.0163081090553,0.28774277903590056,250,9.769419355529891,0.4,0.03192134903489764,28.389844944979885,59.448,0,238,580.7724418475409,0.007619098999730012,1.2785943678742948,0.28012368003617055,0.007619098999730012
369.8592694589948,0.320964081908118,250,9.78579408044736,1.2,0.06376258116363215,36.96024437148651,64.844,0,268,634.5500313525285,-0.0010911215196273694,1.2205948563188826,0.32205520342774535,0.0010911215196273694
438.09197234674673,0.32636449311798515,250,9.815556496586126,3.5999999999999996,0.06651766028661281,43.707248826710654,74.22,0,298,728.5106031766223,-0.0011776283218342676,1.1292375762902451,0.3275421214398194,0.0011776283218342676
424.3755471992693,0.31694570675074357,250,9.80797387868556,3.5999999999999996,0.06965156875291692,42.31911624786132,70.62,0,328,692.6391153127744,0.0077263966213191315,1.1571032249270685,0.30921931012942444,0.0077263966213191315
436.45392732128175,0.2785221725665908,250,9.814458040953735,4.0,0.08374626204316943,43.51678315316977,72.172,0,358,708.3290657317128,-0.0030306315684383023,1.1427873504094177,0.2815528041350291,0.0030306315684383023
275.2501425934276,0.6759316863788446,250,9.96779194727818,94.0,0.1557847739691318,27.253807073508096,194.5,0,388,1938.735533745606,0.014236271103415965,0.17654506737744827,0.6616954152754286,0.014236271103415965
302.8278324389984,0.2055542644281978,250,9.773631595597612,0.4,0.15770736515324857,30.268712295041556,59.584,0,418,582.3520649920882,-0.016556211223144462,1.2776186206724047,0.22211047565134226,0.016556211223144462
501.98370623377883,0.36362675682589185,250,9.843448878000139,6.800000000000001,0.15549232445630803,50.04527949767091,87.9,0,448,865.2391563762119,-0.010495955001104618,1.0221454489593467,0.37412271182699647,0.010495955001104618
689.4205525923525,0.38771472292277814,250,9.910765487230139,32.0,0.10924940448691887,68.48045572278268,118.572,0,478,1175.1392853518519,0.02087165136015856,0.7552880131739039,0.3668430715626196,0.02087165136015856
702.5704163120785,0.4390756843973589,250,9.93631577742018,49.2,0.1525573859393203,69.71424061122663,137.716,0,508,1368.3896636031975,0.02543096869589445,0.6068607183172156,0.41364471570146444,0.02543096869589445
522.0680570558897,0.49270686980450645,250,9.966778424857404,77.2,0.15429499253224313,51.77238321730998,177.156,0,538,1765.674598634038,0.017471439586946802,0.35928620679809214,0.47523543021755965,0.017471439586946802
339.33592766067676,0.1962576501829768,250,9.763594969904894,0.4,0.038097595929564736,33.925043021343384,56.384,0,568,550.5105387831175,0.02286847812445386,1.3125765324248844,0.17338917205852294,0.02286847812445386
348.5946108048412,0.19142502542093465,250,9.777563313099828,1.2,0.056397041589525,34.80862536785962,59.54,0,598,582.1561196619638,0.018524768401687458,1.2733889318434035,0.1729002570192472,0.018524768401687458
97.52354686502383,-0.09380318073268007,250,9.644165300126648,0.0,0.04445973760136227,9.746260000636141,35.804,0,628,345.29969440573456,-0.010115364153586506,1.6380015041686655,-0.08368781657909356,0.010115364153586506
617.0985015706559,0.27688416894317247,250,9.872701524790024,16.400000000000002,0.15629245907903633,61.3674865054778,94.14,0,658,929.416121543733,-0.01739264381895589,0.9374180156195379,0.29427681276212836,0.01739264381895589
277.74321181417315,0.13226676391168668,250,9.744030318497387,0.4,0.07798837088315033,27.749335127170163,51.28,0,688,499.67387473254604,0.002946385323543743,1.3746338372586742,0.12932037858814294,0.002946385323543743
212.8278531170671,0.6764422578924553,250,9.975871891862583,96.8,0.07718188476894679,21.071974183735136,197.352,0,718,1968.7582696028644,0.06112477210362255,0.1278599652234022,0.6153174857888327,0.06112477210362255
331.10858204393355,0.5620174697371758,250,9.972103121619133,88.4,0.09118624997312595,32.72889585671964,190.124,0,748,1895.9361338947162,-0.00284320214023126,0.24756737108304386,0.5648606718774071,0.00284320214023126
