ITERATIONS,Traj,DeltaOmega,OmegaBefore,NormDeltaOmega,RewardStd,TimestepsMean,ReturnsMean,ReturnsStd,TimestepsStd,RewardMean,ConfortViolation,Wins,NormDeltaVar,Omega
48,250,-0.017991349417847857,23.290444495494448,0.017991349417847857,6.6252089605593865,5.556,-78.52350258034967,9.554053469938749,0.5575517913162866,-14.13309981647762,0,0.0,0.01972044310661569,23.2724531460766
49,250,-0.01836671780845478,23.2724531460766,0.01836671780845478,6.594339856877184,5.588,-78.87943912757282,11.29932662289568,0.6589810315934748,-14.115862406509098,0,0.0,0.01923828589604506,23.254086428268145
50,250,-0.016293745825848305,23.254086428268145,0.016293745825848305,6.583669030625092,5.564,-78.20953461644436,10.079624099020915,0.5915268379372148,-14.056350578081304,0,0.0,0.017686976007656553,23.237792682442297
51,250,-0.013022046399793652,23.237792682442297,0.013022046399793652,6.580381122095576,5.536,-77.53617273842727,10.129154225128747,0.5938888784949589,-14.005811549571396,0,0.0,0.015211691483957063,23.224770636042503
52,250,-0.013166596489977422,23.224770636042503,0.013166596489977422,6.5668565166559745,5.544,-77.56028580876333,9.996582236619854,0.5865696889543475,-13.989950542706229,0,0.0,0.01472889591201618,23.211604039552526
53,250,-0.011229601122998645,23.211604039552526,0.011229601122998645,6.563485782326605,5.528,-77.15675607894948,9.365904829223261,0.5524635734598254,-13.957445021517636,0,0.0,0.017651693481436626,23.200374438429527
54,250,-0.008066245742327283,23.200374438429527,0.008066245742327283,6.548536770184963,5.536,-77.16414887408659,9.303806839726413,0.5447054249775745,-13.938610707024312,0,0.0,0.014542123003147406,23.1923081926872
55,250,-0.007200434427346636,23.1923081926872,0.007200434427346636,6.539575378760025,5.548,-77.32360279335839,8.76410027997737,0.5212446642412755,-13.937203099019177,0,0.0,0.01249023423913553,23.185107758259853
56,250,-0.007889226443115405,23.185107758259853,0.007889226443115405,6.555209192732683,5.504,-76.52281691159327,9.502644917523199,0.5603427522507988,-13.903128072600524,0,0.0,0.012696412494504882,23.177218531816738
57,250,-0.007181887573963763,23.177218531816738,0.007181887573963763,6.517760293113464,5.568,-77.51595582432958,10.42566935273829,0.6175564751502489,-13.92168746845,0,0.0,0.01390163549664925,23.170036644242774
58,250,-0.008069230835566543,23.170036644242774,0.008069230835566543,6.4931791590510795,5.604,-78.02546420911804,9.417160139488065,0.557838686360134,-13.923173484853328,0,0.0,0.012833645023240579,23.161967413407208
59,250,-0.007182516808700967,23.161967413407208,0.007182516808700967,6.493748163550979,5.584,-77.58700100488049,10.740504734754982,0.634778701596076,-13.894520237263702,0,0.0,0.015759087108946253,23.154784896598507
60,250,-0.004139691653506361,23.154784896598507,0.004139691653506361,6.491863532953284,5.572,-77.29048001663999,8.750108655804022,0.5184746859780138,-13.871227569389806,0,0.0,0.014243112219639706,23.150645204945
61,250,-0.0020472136134443986,23.150645204945,0.0020472136134443986,6.499583643084391,5.548,-76.8502441573221,10.288231432859012,0.6129404538778624,-13.851882508529576,0,0.0,0.02294256183557962,23.148597991331556
62,250,-0.002467477068293533,23.148597991331556,0.002467477068293533,6.510024204684981,5.528,-76.5288145328672,8.943914693752998,0.5302980294136496,-13.843852122443415,0,0.0,0.019831494369373478,23.146130514263263
63,250,-0.0025072252412741136,23.146130514263263,0.0025072252412741136,6.4925606773054545,5.564,-77.122720712203,8.759960857244526,0.5195228580149289,-13.861020976312547,0,0.0,0.015613778125081527,23.14362328902199
64,250,-0.004913591785644655,23.14362328902199,0.004913591785644655,6.493994038097418,5.564,-77.14274630874593,9.35781987425273,0.5566902190626309,-13.864620113002504,0,0.0,0.01624710001943484,23.138709697236344
65,250,-0.0033663067741223074,23.138709697236344,0.0033663067741223074,6.492401442223682,5.552,-76.85170978546611,8.835923249049495,0.5284846260772398,-13.842166748102686,0,0.0,0.01652256649091623,23.13534339046222
66,250,-0.0034053915683074365,23.13534339046222,0.0034053915683074365,6.5092305056369915,5.496,-75.80903034322078,9.560448617062749,0.5674363400417707,-13.793491692725759,0,0.0,0.01627634743551226,23.131937998893914
67,250,-0.0032001478143293127,23.131937998893914,0.0032001478143293127,6.484825851500004,5.548,-76.67676931280383,8.504479710350914,0.5056639200101191,-13.820614512041065,0,0.0,0.012106060680669802,23.128737851079585
68,250,-0.0010782688697368314,23.128737851079585,0.0010782688697368314,6.487742492734551,5.532,-76.35344431166115,8.891021850852972,0.5300716932642225,-13.802141054168684,0,0.0,0.010548488124248695,23.127659582209848
69,250,-0.0017782704793134485,23.127659582209848,0.0017782704793134485,6.467698888510352,5.584,-77.27241073144708,9.295355070886151,0.5540252701817852,-13.838182437580064,0,0.0,0.014507958606271349,23.125881311730534
70,250,-0.0027281152434674993,23.125881311730534,0.0027281152434674993,6.518237981631349,5.468,-75.29001056166109,8.34004752308878,0.49897494927100305,-13.769204565044092,0,0.0,0.009577956709166696,23.123153196487067
71,250,-0.0026015139320811898,23.123153196487067,0.0026015139320811898,6.486987096026509,5.528,-76.25524968118165,8.919987188871117,0.5302980294136496,-13.794364992977867,0,0.0,0.008356533247855073,23.120551682554986
72,250,-0.0042080859366784296,23.120551682554986,0.0042080859366784296,6.473072454090046,5.556,-76.71685765232398,9.230310368146661,0.5503308096045505,-13.807929743038875,0,0.0,0.008917427636108151,23.116343596618307
73,250,-0.0026357488214543423,23.116343596618307,0.0026357488214543423,6.477458429073363,5.532,-76.23374288946637,9.246381171079648,0.5522463218528486,-13.780503053048875,0,0.0,0.009580622878612815,23.113707847796853
74,250,-0.0034382510063153404,23.113707847796853,0.0034382510063153404,6.451962722354849,5.592,-77.26131403963952,8.63970129080333,0.5153018532860134,-13.816400936988469,0,0.0,0.00675281630962875,23.110269596790538
75,250,0.0006380426240042425,23.110269596790538,0.0006380426240042425,6.4626283918778595,5.54,-76.23426606680549,9.120125536489706,0.544426303552648,-13.760697845993773,0,0.0,0.008355736688986395,23.110907639414542
76,250,0.0031867904542224323,23.110907639414542,0.0031867904542224323,6.4696192967550985,5.536,-76.23265942716561,9.993325445308505,0.6005863801319506,-13.770350330051594,0,0.0,0.014973306761372384,23.114094429868764
77,250,0.004267012262197056,23.114094429868764,0.004267012262197056,6.452176523853865,5.584,-77.0841509431546,9.38567975399352,0.5611987170334587,-13.804468292112212,0,0.0,0.017811883503469454,23.11836144213096
78,250,0.004771942361060155,23.11836144213096,0.004771942361060155,6.4581221216472215,5.58,-77.06938870272279,10.561762007983733,0.6289674077406555,-13.811718405505877,0,0.0,0.01953835429081592,23.12313338449202
79,250,0.006399037068572255,23.12313338449202,0.006399037068572255,6.445789745025324,5.612,-77.63285578319956,9.510195813150949,0.5634323384400296,-13.833367031931497,0,0.0,0.021602721363805904,23.129532421560594
80,250,0.00557533708646929,23.129532421560594,0.00557533708646929,6.469102630203472,5.58,-77.20274158165282,13.620121740318652,0.8072174428244226,-13.835616770905524,0,0.0,0.027503421788305844,23.135107758647063
81,250,0.004099413965821697,23.135107758647063,0.004099413965821697,6.484254793339474,5.556,-76.8461250191125,9.137208481382832,0.5430138119790324,-13.831196007759626,0,0.0,0.025630932066806757,23.139207172612885
82,250,0.00419440688821382,23.139207172612885,0.00419440688821382,6.451041083665063,5.64,-78.3227520299619,8.97987732591835,0.5351635264103861,-13.887012771269841,0,0.0,0.02572547152374728,23.1434015795011
83,250,0.0025080848114278353,23.1434015795011,0.0025080848114278353,6.484256910398206,5.58,-77.3823413932095,8.72242387634557,0.5173006862551025,-13.867803117062637,0,0.0,0.02228167591539971,23.145909664312526
84,250,0.001982464571561593,23.145909664312526,0.001982464571561593,6.483459761123382,5.576,-77.2837008796006,8.733832268046795,0.5179034659084645,-13.860061133357352,0,0.0,0.019162778381921024,23.147892128884088
85,250,-0.0006974991392141305,23.147892128884088,0.0006974991392141305,6.504190329069137,5.544,-76.81660361385215,8.832213898480276,0.5215975460064972,-13.855808732657314,0,0.0,0.019665933795248423,23.147194629744874
86,250,0.002915978913449635,23.147194629744874,0.002915978913449635,6.516244245776785,5.504,-76.06294955706075,8.782069070342594,0.5234348096945789,-13.81957659103575,0,0.0,0.01700876864227462,23.150110608658323
87,250,0.0050349351061207415,23.150110608658323,0.0050349351061207415,6.488200431729623,5.568,-77.16390025209341,9.209063582616482,0.5489772308575284,-13.858459096999535,0,0.0,0.01867794444608488,23.155145543764444
88,250,0.006645618703696954,23.155145543764444,0.006645618703696954,6.474773788843977,5.608,-77.89290744345155,9.233502878928357,0.5498508888780667,-13.889605464238862,0,0.0,0.024650267096978415,23.16179116246814
89,250,0.007825286607086923,23.16179116246814,0.007825286607086923,6.500041243042914,5.572,-77.38828950032332,9.146221476405035,0.5411247545621989,-13.888781317358816,0,0.0,0.02407403577686392,23.169616449075228
90,250,0.004839697009792587,23.169616449075228,0.004839697009792587,6.53599456059029,5.512,-76.48008429818141,8.612768531232431,0.5077952343218671,-13.875196715925512,0,0.0,0.02454079461317707,23.17445614608502
91,250,0.00513774839827974,23.17445614608502,0.00513774839827974,6.546300329953759,5.5,-76.3269660828435,8.757201224900738,0.5157518783291051,-13.87763019688064,0,0.0,0.023519676285188838,23.1795938944833
92,250,0.004738681344477413,23.1795938944833,0.004738681344477413,6.514645370381513,5.576,-77.65617230270912,9.111978977757522,0.540577469008837,-13.926860169065481,0,0.0,0.023222860920999396,23.184332575827778
93,250,0.007652976814647161,23.184332575827778,0.007652976814647161,6.528900693495708,5.544,-77.10533113273964,9.244181205031428,0.5441176343402224,-13.907888010955922,0,0.0,0.023176421321103678,23.191985552642425
94,250,0.007286733595286421,23.191985552642425,0.007286733595286421,6.529030676590508,5.564,-77.55752143177835,8.899983329743987,0.5271660080088625,-13.939166324906246,0,0.0,0.022902845269936977,23.19927228623771
95,250,0.009273075291108768,23.19927228623771,0.009273075291108768,6.555031421637291,5.52,-76.8767427855057,8.910919390935733,0.5230678732248808,-13.92694615679451,0,0.0,0.020730554344867917,23.20854536152882
96,250,0.01010366005807839,23.20854536152882,0.01010366005807839,6.539385874991489,5.576,-77.94886447023703,9.18480123061582,0.5405774690088369,-13.979351590788564,0,0.0,0.02124147296684409,23.2186490215869
97,250,0.012055920101293083,23.2186490215869,0.012055920101293083,6.564580653105955,5.536,-77.35103332286496,8.886170986063858,0.5222106854517629,-13.972368736066649,0,0.0,0.01937856911882123,23.23070494168819
98,250,0.008819979781900855,23.23070494168819,0.008819979781900855,6.584329844981135,5.528,-77.4012873384,8.702851244862407,0.5071646675390548,-14.001680053979738,0,0.0,0.017489992185733307,23.239524921470093
99,250,0.00814614859585916,23.239524921470093,0.00814614859585916,6.568101287128364,5.576,-78.29194188369362,8.82564840212895,0.5179034659084644,-14.040879103962272,0,0.0,0.016126149398140607,23.24767107006595
100,250,0.0067414450266447545,23.24767107006595,0.0067414450266447545,6.6250692121001205,5.464,-76.43355450392411,8.95869271548141,0.5222106854517629,-13.988571468507338,0,0.0,0.014920753145765063,23.254412515092596
101,250,0.006209806582443633,23.254412515092596,0.006209806582443633,6.589983547073334,5.556,-78.09901461985682,8.517226457419802,0.4968541033341679,-14.056698095726567,0,0.0,0.011333730483933517,23.26062232167504
102,250,0.007568550728276335,23.26062232167504,0.007568550728276335,6.635138664701768,5.468,-76.64102232729293,8.50808998453853,0.49897494927100305,-14.016280601187445,0,0.0,0.008139242890012919,23.268190872403316
103,250,0.007446579482742521,23.268190872403316,0.007446579482742521,6.6125143695083946,5.532,-77.82463813918508,9.033499595244354,0.5300716932642225,-14.068083539259778,0,0.0,0.009984863315345247,23.27563745188606
104,250,0.006999144229883569,23.27563745188606,0.006999144229883569,6.632897455982705,5.5,-77.34369722914984,8.992648417061233,0.523450093132096,-14.062490405299968,0,0.0,0.009515534320165506,23.282636596115942
105,250,0.006494408258209461,23.282636596115942,0.006494408258209461,6.639562437124409,5.504,-77.50912107449025,8.62954755994256,0.4999839997439918,-14.082325776615233,0,0.0,0.006526648296113213,23.289131004374152
106,250,0.006732234838896289,23.289131004374152,0.006732234838896289,6.641185761496182,5.512,-77.70770805440209,9.001998855030166,0.5233125261256413,-14.097915104209378,0,0.0,0.00651352541061416,23.29586323921305
107,250,0.009034719507791777,23.29586323921305,0.009034719507791777,6.645483522580748,5.508,-77.66543028681059,8.590679555884167,0.49993599590347565,-14.100477539362851,0,0.0,0.0038045883348291286,23.30489795872084
108,250,0.004267232690249756,23.30489795872084,0.004267232690249756,6.669425267119324,5.488,-77.49393790156532,8.597977509686109,0.4998559792580259,-14.120615506844992,0,0.0,0.0014631801099809518,23.30916519141109
109,250,0.0010717542760296794,23.30916519141109,0.0010717542760296794,6.630933356799428,5.576,-79.04494121464653,8.57381556142917,0.49419024676737605,-14.175922025582233,0,0.0,0.0013022603389289617,23.31023694568712
110,250,0.0017596742002936594,23.31023694568712,0.0017596742002936594,6.671656752995502,5.488,-77.51446724585614,8.762905811771246,0.5077952343218671,-14.124356276577288,0,0.0,0.0012383255533645369,23.311996619887413
111,250,-0.0016310905971899103,23.311996619887413,0.0016310905971899103,6.658113705596911,5.524,-78.1814230929301,9.778138106410625,0.5669426778784606,-14.153045454911311,0,0.0,0.00543123304117831,23.310365529290223
112,250,4.723727082378559e-05,23.310365529290223,4.723727082378559e-05,6.670415321565487,5.492,-77.5954053810033,8.568917641046399,0.49993599590347565,-14.128806515113494,0,0.0,0.0027606237891024048,23.310412766561047
113,250,0.001446101694547508,23.310412766561047,0.001446101694547508,6.641113131357298,5.548,-78.52547222925504,8.635735804246846,0.4976906669810074,-14.153834215799394,0,0.0,0.00032996027453052697,23.311858868255595
114,250,-0.002928410029348072,23.311858868255595,0.002928410029348072,6.678820799193992,5.484,-77.50910570232331,8.589763291085019,0.499743934430424,-14.133680835580472,0,0.0,0.0019718547780893814,23.308930458226246
115,250,-0.0007957021928994834,23.308930458226246,0.0007957021928994834,6.663948502908528,5.5,-77.69956313843873,8.60007376169568,0.5,-14.127193297897952,0,0.0,0.003993981199514696,23.308134756033347
116,250,-0.003997595666266562,23.308134756033347,0.003997595666266562,6.670788204222416,5.492,-77.60147820721082,8.744399054395464,0.5078740001220776,-14.129912273709179,0,0.0,0.0033739228791183845,23.30413716036708
117,250,-0.0014502139689227533,23.30413716036708,0.0014502139689227533,6.622536230740075,5.576,-78.94235993991751,8.518525965338586,0.49419024676737605,-14.157525096828822,0,0.0,0.005387016738059498,23.302686946398158
118,250,-0.0037669801965840577,23.302686946398158,0.0037669801965840577,6.651763570518978,5.524,-78.10560588653081,9.353165511939329,0.545365932195989,-14.13932039944439,0,0.0,0.0013860747075690725,23.298919966201574
119,250,-0.0038005545072721247,23.298919966201574,0.0038005545072721247,6.64261999318801,5.528,-78.0887662894215,8.908179939703194,0.5149912620617946,-14.12604310590114,0,0.0,0.0016374943431702522,23.2951194116943
120,250,-0.010355877905148247,23.2951194116943,0.010355877905148247,6.642524832075109,5.536,-78.27098355071142,9.153106909636028,0.5298150620735503,-14.138544716530241,0,0.0,0.00454079003932181,23.284763533789153
121,250,-0.014134506398622904,23.284763533789153,0.014134506398622904,6.620139283444178,5.56,-78.54970391676817,8.99274276338771,0.52,-14.127644589346792,0,0.0,0.004707978953652624,23.27062902739053
122,250,-0.02013943467213508,23.27062902739053,0.02013943467213508,6.617574539702212,5.54,-78.06942715795833,8.577232193478274,0.4983974317750845,-14.091954360642298,0,0.0,0.0019748630562254304,23.250489592718395
123,250,-0.014775981482053169,23.250489592718395,0.014775981482053169,6.618530831404396,5.484,-76.80894228699658,8.47079007127769,0.499743934430424,-14.006006981582162,0,0.0,0.0009289435525059133,23.235713611236342
124,250,-0.01762328198584484,23.235713611236342,0.01762328198584484,6.585861067467941,5.54,-77.69025423380583,8.506129912445429,0.4983974317750845,-14.023511594549788,0,0.0,0.0030471267189371804,23.218090329250497
125,250,-0.02060888847341147,23.218090329250497,0.02060888847341147,6.556571236109958,5.576,-78.15489407879417,9.553205127225814,0.5623379766652792,-14.016300946699097,0,0.0,0.0014952808880819841,23.197481440777086
126,250,-0.021747095040019815,23.197481440777086,0.021747095040019815,6.550345822453281,5.54,-77.2710450273062,8.875528791367774,0.5219195340279955,-13.94784206269065,0,0.0,0.002061880997778205,23.175734345737066
127,250,-0.01993867990826459,23.175734345737066,0.01993867990826459,6.545471540264734,5.5,-76.32093921600621,8.48366451096651,0.5,-13.87653440291022,0,0.0,0.0009838663520166104,23.1557956658288
128,250,-0.015873180052121683,23.1557956658288,0.015873180052121683,6.5383003650922795,5.472,-75.61475182702095,8.775163974119367,0.5227006791654283,-13.818485348505295,0,0.0,0.0009067088458743146,23.13992248577668
129,250,-0.014583598610919069,23.13992248577668,0.014583598610919069,6.4861278078588605,5.56,-76.95767588462083,9.115061100869518,0.5425863986500215,-13.841308612341875,0,0.0,0.003869587666956768,23.12533888716576
130,250,-0.011931864567401362,23.12533888716576,0.011931864567401362,6.478667568381257,5.552,-76.69009737909361,8.39601841759415,0.49728864857344174,-13.813057885283431,0,0.0,0.0011728412720674103,23.11340702259836
131,250,-0.007126053090814821,23.11340702259836,0.007126053090814821,6.449819642300445,5.584,-77.05555184298323,8.642471387818983,0.5166662365589607,-13.79934667675201,0,0.0,0.00154889072181891,23.106280969507544
132,250,-0.006114976977936948,23.106280969507544,0.006114976977936948,6.489787713012842,5.484,-75.31300677942136,9.205414471660902,0.5456592343212016,-13.733225160361297,0,0.0,0.0024964290102107824,23.100165992529607
133,250,-0.005463445438671499,23.100165992529607,0.005463445438671499,6.452691598202502,5.56,-76.55726820542348,8.718091765746328,0.52,-13.769292842702066,0,0.0,0.0029194373443969866,23.094702547090936
134,250,-0.008307750329635155,23.094702547090936,0.008307750329635155,6.4682525109172815,5.52,-75.86007632244576,8.728351716307944,0.5230678732248808,-13.742767449718436,0,0.0,0.0032974066269853605,23.0863947967613
