RewardStd,ConfortViolation,WeightMean,NormDeltaVar,Epsilon,WeightMin,WeightMedian,ReturnsStd,TimestepsStd,OmegaBefore,NormDeltaOmega,TimestepsMean,Omega,ReturnsMean,DeltaOmega,DualReg,DualBefore,Wins,Traj,LossReg,DualAfter,WeightMax,Primal,RewardMean,Eta,ITERATIONS
2.4251686816384543,0,0.40715803728601285,23.308740120340964,0.0301,0.40715803728601285,0.487315707104845,53.20416712676833,0.0,[[0.8]],0.36102363152508227,500.0,[[0.43897637]],1169.2323232323233,[[-0.36102363]],0.0,6.530569865967111,0.0,100,0.0,2.971008476705828,1.0,2.9710084770691605,2.33716,11.128993289961073,0
3.1872159828916518,0,0.4989805180844203,3.6061048845281096,0.0301,0.4989805180844203,0.5734121245603224,81.47165424779878,0.0,[[0.43897637]],0.060905570579308954,500.0,[[0.3780708]],1402.3838383838383,[[-0.06090557]],0.0,8.03680580499632,0.0,100,0.0,3.6306980308194987,1.0,3.6306980325877016,2.80472,14.384593448691101,1
3.4956445759830905,0,0.524242201306937,2.9656442677979866,0.0301,0.524242201306937,0.5965207879528286,83.52531543513574,0.0,[[0.3780708]],0.04744142681291047,500.0,[[0.33062937]],1553.1919191919192,[[-0.04744143]],0.0,8.320954084272602,0.0,100,0.0,4.004351353446459,1.0,4.0043515530483695,3.10728,15.484634564850912,2
3.748583177681936,0,0.541898944524175,2.7873333748825324,0.0301,0.541898944524175,0.612540267838197,106.77535784608199,0.0,[[0.33062937]],0.04167200249750108,500.0,[[0.28895737]],1712.1818181818182,[[-0.041672]],0.0,8.535213712190519,0.0,100,0.0,4.383801660816205,1.0,4.38380197531918,3.4304,16.3218473973969,3
4.039475726576409,0,0.559059707407656,3.7457061742022315,0.0301,0.559059707407656,0.6280099929242314,121.55480179660638,0.0,[[0.28895737]],0.050771750719543124,500.0,[[0.23818562]],1957.6161616161617,[[-0.05077175]],0.0,8.782265932297152,0.0,100,0.0,4.9316644057635735,1.0,4.93166440179666,3.91612,17.196934117984682,4
4.261966217416558,0,0.5694817470743299,3.6217790571097837,0.0301,0.5694817470743299,0.6373585952538118,122.74783050998778,0.0,[[0.23818562]],0.042924038705836415,500.0,[[0.19526158]],2218.2020202020203,[[-0.04292404]],0.0,8.993603209036142,0.0,100,0.0,5.496971836629114,1.0,5.496972219513059,4.43704,17.761088751504587,5
4.411006208293069,0,0.5724836500373588,4.047012318900901,0.0301,0.5724836500373588,0.6400449426018012,124.46302498046161,0.0,[[0.19526158]],0.040726825925490345,500.0,[[0.15453475]],2549.6161616161617,[[-0.04072683]],0.0,9.198159217006951,0.0,100,0.0,6.182892335715914,1.0,6.1828923384343275,5.09952,17.928501403057428,6
4.454364468069491,0,0.5672242770484267,4.451850721971169,0.0301,0.5672242770484267,1.0,131.0271010675342,0.0,[[0.15453475]],0.036492093262439185,500.0,[[0.11804266]],2890.5858585858587,[[-0.03649209]],0.0,9.371868605516378,0.0,100,0.0,6.866881028123714,1.0,6.86688107962244,5.78684,17.636668653876303,7
4.363623404282272,0,0.5502217573896511,5.215107856003726,0.0301,0.5502217573896511,1.0,114.27920886057179,0.0,[[0.11804266]],0.03303350885702504,500.0,[[0.08500915]],3279.4141414141413,[[-0.03303351]],0.0,9.534303322971555,0.0,100,0.0,7.598888426164763,1.0,7.598889178438847,6.55684,16.738253757550467,8
4.099772866879335,0,0.5156747139655191,6.316713109977876,0.0301,0.5156747139655191,1.0,123.72741085432371,0.0,[[0.08500915]],0.028667231879286298,500.0,[[0.05634192]],3681.4949494949497,[[-0.02866723]],0.0,9.677601059311339,0.0,100,0.0,8.32682492338632,1.0,8.326825147965307,7.3662,15.099374002876948,9
3.651629478684824,0,0.45530981676032484,7.996670194536371,0.0301,0.45530981676032484,1.0,115.53790922690102,0.0,[[0.05634192]],0.023354714761079892,500.0,[[0.0329872]],4073.959595959596,[[-0.02335471]],0.0,9.79688293096994,0.0,100,0.0,8.9817384444811,1.0,8.981738472264414,8.14752,12.710078924095678,10
3.0021068332755916,0,0.34874337538511696,11.485749335079966,0.0301,0.34874337538511696,1.0,88.41222055112827,0.0,[[0.0329872]],0.01795026655371929,500.0,[[0.01503694]],4434.80808080808,[[-0.01795027]],0.0,9.895214132486567,0.0,100,0.0,9.526778195163603,1.0,9.526778363753762,8.86796,9.492899365654146,11
2.175534642886663,0,0.16127937458583924,20.205139438644075,0.0301,0.16127937458583924,1.0,63.0465661484583,0.0,[[0.01503694]],0.011339659636132735,500.0,[[0.00369728]],4722.828282828283,[[-0.01133966]],0.0,9.966824753035233,0.0,100,0.0,9.888171925421364,1.0,9.888171919694699,9.44776,5.48060171409153,12
1.1681523188351766,0,4.161158948377067e-186,203.65752032884203,0.0301,4.161158948377067e-186,1.0,34.957014430177615,0.0,[[0.00369728]],0.0036972758958591285,500.0,[[2.38878582e-09]],4924.686868686868,[[-0.00369728]],0.0,10.013465273490961,0.0,100,0.0,10.000315384797767,1.0,9.99999999999886,9.8496,0.023427157257741103,13
0.4467661580737735,0,4.4273792828677835e-249,0.0,0.0301,4.4273792828677835e-249,1.0,0.0,0.0,[[2.38878582e-09]],0.0,500.0,[[2.38878582e-09]],4990.0,[[0.]],0.0,10.028098088311145,0.0,100,0.0,10.000491347528211,1.0,9.999999999997792,9.98,0.017486923443403708,14
0.4467661580737735,0,4.4273792828677835e-249,0.0,0.0301,4.4273792828677835e-249,1.0,0.0,0.0,[[2.38878582e-09]],0.0,500.0,[[2.38878582e-09]],4990.0,[[0.]],0.0,10.028098088311145,0.0,100,0.0,10.000491347528211,1.0,9.999999999997792,9.98,0.017486923443403708,15
0.4467661580737735,0,4.4273792828677835e-249,0.0,0.0301,4.4273792828677835e-249,1.0,0.0,0.0,[[2.38878582e-09]],0.0,500.0,[[2.38878582e-09]],4990.0,[[0.]],0.0,10.028098088311145,0.0,100,0.0,10.000491347528211,1.0,9.999999999997792,9.98,0.017486923443403708,16
0.4467661580737735,0,4.4273792828677835e-249,0.0,0.0301,4.4273792828677835e-249,1.0,0.0,0.0,[[2.38878582e-09]],0.0,500.0,[[2.38878582e-09]],4990.0,[[0.]],0.0,10.028098088311145,0.0,100,0.0,10.000491347528211,1.0,9.999999999997792,9.98,0.017486923443403708,17
