Iterations,Theta_mean,Theta_std,Omega_mean,Omega_std,Ret_mean,Ret_std
0.000000000000000000e+00,2.000000000000000111e-01,0.0,8.000000000000000444e-01,0.0,1.173180000000000064e+03,1.237334231321510458e+01
1.000000000000000000e+00,6.452436114508979248e-01,5.443650938024297524e-03,3.547563885490886970e-01,5.443650938033835034e-03,1.650900000000000091e+03,5.628010305605351959e+01
2.000000000000000000e+00,7.625333318554647910e-01,1.023605162903687069e-02,2.374666681445216088e-01,1.023605162904771271e-02,2.231320000000000618e+03,7.134996566222014280e+01
3.000000000000000000e+00,8.555681844363742794e-01,8.037556316205807586e-03,1.444318155636175882e-01,8.037556316207837212e-03,3.000199999999999818e+03,1.032227106793849316e+02
4.000000000000000000e+00,9.277318431733130311e-01,6.966183615307886164e-03,7.226815682668268070e-02,6.966183615313551770e-03,3.869680000000000291e+03,8.874476660626250180e+01
5.000000000000000000e+00,9.729749387435491226e-01,1.631575387709177649e-02,2.702506125645058946e-02,1.631575387709658514e-02,4.537140000000000327e+03,2.431742264303517231e+02
6.000000000000000000e+00,9.976882287742954158e-01,6.935313677113786289e-03,2.311771225705086356e-03,6.935313677115259069e-03,4.950420000000000073e+03,1.187400000000000375e+02
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990000000000000000e+03,0.000000000000000000e+00
