DeltaOmega,ConfortViolation,Omega,ReturnsStd,ITERATIONS,OmegaBefore,Theta,TimestepsMean,RewardMean,Wins,Traj,NormDeltaOmega,TimestepsStd,ReturnsMean,RewardStd,NormDeltaVar
7.1493443e-05,0,0.914181,71.80048746352631,0,0.91410951,0.05288047,500.0,2.6866,0.0,20,7.149344300305671e-05,0.0,1343.3,2.7637981908959994,0.0795260996830578
0.00014787,0,0.91477254,90.78017404698011,0,0.91462468,0.05066367,500.0,2.6888,0.0,20,0.0001478653772281069,0.0,1344.4,2.7607163128434618,0.05912136348457864
0.0002328,0,0.91650232,88.84278248681771,0,0.91626952,0.04876448,500.0,2.6288,0.0,20,0.00023280164107220003,0.0,1314.4,2.705810518125761,0.06545928677014246
0.00012884,0,0.91784903,91.99451070580245,0,0.91772018,0.04666786,500.0,2.7062,0.0,20,0.0001288435704950297,0.0,1353.1,2.7803743560894816,0.06797766877604516
9.17789639e-05,0,0.91838515,80.98215852890067,0,0.91829337,0.04469666,500.0,2.6954,0.0,20,9.177896387857487e-05,0.0,1347.7,2.765360526224384,0.058340163983331195
0.00021855,0,0.92040334,80.32708136114495,0,0.92018478,0.04284161,500.0,2.6932,0.0,20,0.00021855415631177877,0.0,1346.6,2.7716193389424895,0.06973206798436138
0.00013001,0,0.9222694,70.69964639232646,0,0.92213939,0.04119545,500.0,2.7012,0.0,20,0.00013001006216262212,0.0,1350.6,2.767872569321066,0.054486136050535094
8.22998153e-05,0,0.92290837,61.00655702463466,0,0.92282608,0.03944171,500.0,2.746,0.0,20,8.229981534668696e-05,0.0,1373.0,2.8073268423893927,0.0629897407672999
0.00015374,0,0.92347421,71.94129551238288,0,0.92332048,0.03820621,500.0,2.641,0.0,20,0.00015373515384842218,0.0,1320.5,2.726741461891831,0.047283515540250676
0.00016736,0,0.92499004,71.5580882919604,0,0.92482268,0.03695232,500.0,2.6744,0.0,20,0.0001673556369669038,0.0,1337.2,2.76137368713472,0.03544259261077087
5.77828437e-05,0,0.92637655,66.02151164582646,0,0.92631877,0.0357437,500.0,2.7412,0.0,20,5.778284370716591e-05,0.0,1370.6,2.7931742802768325,0.0700751237471664
0.00014549,0,0.92740372,90.1722795541956,0,0.92725822,0.0339869,500.0,2.7312,0.0,20,0.00014549162724153408,0.0,1365.6,2.8002404468188087,0.0762964997716935
0.00012138,0,0.92844946,75.2688514592856,0,0.92832808,0.03298197,500.0,2.686,0.0,20,0.0001213802769747252,0.0,1343.0,2.769368881171304,0.026938299051174397
0.00031249,0,0.93092887,90.81387559178388,0,0.93061638,0.03219789,500.0,2.7404,0.0,20,0.0003124879116586099,0.0,1370.2,2.8108019923146492,0.048330600496370835
0.00020884,0,0.93323899,82.79728256410351,0,0.93303014,0.03120795,500.0,2.7102,0.0,20,0.0002088431510955946,0.0,1355.1,2.7962861012421456,0.053434440438671515
7.40969052e-05,0,0.93483524,79.28026236081715,0,0.93476115,0.03019402,500.0,2.7384,0.0,20,7.409690522952594e-05,0.0,1369.2,2.8006366133434732,0.040439154303726355
0.00018848,0,0.93647419,80.73134459427763,0,0.93628571,0.02927908,500.0,2.747,0.0,20,0.00018847566960644713,0.0,1373.5,2.809838251572499,0.048226237877706524
0.00026037,0,0.93846939,58.961936874563406,0,0.93820902,0.02864271,500.0,2.7074,0.0,20,0.00026036626955772135,0.0,1353.7,2.7991400893845952,0.02285524281577267
0.00017888,0,0.94116008,100.0597321603451,0,0.9409812,0.02823521,500.0,2.763,0.0,20,0.0001788775349588212,0.0,1381.5,2.828821486060935,0.026584372496301967
0.00020386,0,0.94258941,85.92182493406433,0,0.94238555,0.02754506,500.0,2.7824,0.0,20,0.00020386494751412076,0.0,1391.2,2.8420855441031327,0.04166532167525361
0.00010964,0,0.94409107,62.10402563441439,0,0.94398143,0.02691774,500.0,2.7546,0.0,20,0.00010964156837789396,0.0,1377.3,2.830649897108436,0.05567230687454838
0.00017212,0,0.94606331,64.91001463564771,0,0.94589118,0.02593389,500.0,2.8014,0.0,20,0.00017212191187421233,0.0,1400.7,2.858488768562857,0.06826987524124917
8.55486244e-05,0,0.9471861,69.83580743429549,0,0.94710055,0.02522585,500.0,2.7472,0.0,20,8.554862443255207e-05,0.0,1373.6,2.817107055118779,0.036526713724271076
0.00013545,0,0.94844445,89.52965988989348,0,0.948309,0.02465756,500.0,2.8116,0.0,20,0.0001354504388862976,0.0,1405.8,2.8654677523922687,0.015317604602991253
7.96164302e-05,0,0.94946128,66.07117374468233,0,0.94938166,0.02397507,500.0,2.798,0.0,20,7.961643021281439e-05,0.0,1399.0,2.860628602248114,0.043061243581220765
