theta,omega,J
0.57895,0.10526,3.8135
0.57895,0.15789,3.6359
0.57895,0.21053,3.4667
0.57895,0.26316,3.3058
0.57895,0.31579,3.1533
0.57895,0.36842,3.0092
0.57895,0.42105,2.8735
0.57895,0.47368,2.7461
0.57895,0.52632,2.6272
0.57895,0.57895,2.5166
0.57895,0.63158,2.4144
0.57895,0.68421,2.3205
0.57895,0.73684,2.2351
0.57895,0.78947,2.158
0.57895,0.84211,2.0893
0.57895,0.89474,2.029
0.57895,0.94737,1.9771
0.57895,1,1.9335
0.63158,0,4.7258
0.63158,0.052632,4.4692
0.63158,0.10526,4.2246
0.63158,0.15789,3.992
0.63158,0.21053,3.7715
0.63158,0.26316,3.5629
0.63158,0.31579,3.3663
0.63158,0.36842,3.1818
0.63158,0.42105,3.0092
0.63158,0.47368,2.8486
0.63158,0.52632,2.7001
0.63158,0.57895,2.5635
0.63158,0.63158,2.4389
0.63158,0.68421,2.3264
0.63158,0.73684,2.2258
0.63158,0.78947,2.1373
0.63158,0.84211,2.0607
0.63158,0.89474,1.9962
0.63158,0.94737,1.9436
0.63158,1,1.903
0.68421,0,5.313
0.68421,0.052632,4.9861
0.68421,0.10526,4.6755
0.68421,0.15789,4.3811
0.68421,0.21053,4.103
0.68421,0.26316,3.8412
0.68421,0.31579,3.5956
0.68421,0.36842,3.3663
0.68421,0.42105,3.1533
0.68421,0.47368,2.9565
0.68421,0.52632,2.7761
0.68421,0.57895,2.6118
0.68421,0.63158,2.4639
0.68421,0.68421,2.3322
0.68421,0.73684,2.2168
0.68421,0.78947,2.1176
0.68421,0.84211,2.0347
0.68421,0.89474,1.9681
0.68421,0.94737,1.9177
0.68421,1,1.8837
0.73684,0,5.9557
0.73684,0.052632,5.5503
0.73684,0.10526,5.1661
0.73684,0.15789,4.8031
0.73684,0.21053,4.4613
0.73684,0.26316,4.1407
0.73684,0.31579,3.8412
0.73684,0.36842,3.5629
0.73684,0.42105,3.3058
0.73684,0.47368,3.0699
0.73684,0.52632,2.8551
0.73684,0.57895,2.6615
0.73684,0.63158,2.4891
0.73684,0.68421,2.3379
0.73684,0.73684,2.2079
0.73684,0.78947,2.099
0.73684,0.84211,2.0113
0.73684,0.89474,1.9448
0.73684,0.94737,1.8995
0.73684,1,1.8753
0.78947,0,6.6537
0.78947,0.052632,6.1618
0.78947,0.10526,5.6966
0.78947,0.15789,5.2581
0.78947,0.21053,4.8463
0.78947,0.26316,4.4613
0.78947,0.31579,4.103
0.78947,0.36842,3.7715
0.78947,0.42105,3.4667
0.78947,0.47368,3.1886
0.78947,0.52632,2.9372
0.78947,0.57895,2.7126
0.78947,0.63158,2.5147
0.78947,0.68421,2.3436
0.78947,0.73684,2.1992
0.78947,0.78947,2.0815
0.78947,0.84211,1.9905
0.78947,0.89474,1.9263
0.78947,0.94737,1.8889
0.78947,1,1.8781
0.84211,0,7.4072
0.84211,0.052632,6.8205
0.84211,0.10526,6.2668
0.84211,0.15789,5.746
0.84211,0.21053,5.2581
0.84211,0.26316,4.8031
0.84211,0.31579,4.3811
0.84211,0.36842,3.992
0.84211,0.42105,3.6359
0.84211,0.47368,3.3127
0.84211,0.52632,3.0224
0.84211,0.57895,2.7651
0.84211,0.63158,2.5407
0.84211,0.68421,2.3492
0.84211,0.73684,2.1907
0.84211,0.78947,2.065
0.84211,0.84211,1.9724
0.84211,0.89474,1.9126
0.84211,0.94737,1.8858
0.84211,1,1.892
0.89474,0,8.2161
0.89474,0.052632,7.5265
0.89474,0.10526,6.8768
0.89474,0.15789,6.2668
0.89474,0.21053,5.6966
0.89474,0.26316,5.1661
0.89474,0.31579,4.6755
0.89474,0.36842,4.2246
0.89474,0.42105,3.8135
0.89474,0.47368,3.4422
0.89474,0.52632,3.1107
0.89474,0.57895,2.8189
0.89474,0.63158,2.5669
0.89474,0.68421,2.3547
0.89474,0.73684,2.1823
0.89474,0.78947,2.0497
0.89474,0.84211,1.9568
0.89474,0.89474,1.9037
0.89474,0.94737,1.8904
0.89474,1,1.9169
0.94737,0,9.0803
0.94737,0.052632,8.2798
0.94737,0.10526,7.5265
0.94737,0.15789,6.8205
0.94737,0.21053,6.1618
0.94737,0.26316,5.5503
0.94737,0.31579,4.9861
0.94737,0.36842,4.4692
0.94737,0.42105,3.9995
0.94737,0.47368,3.5771
0.94737,0.52632,3.202
0.94737,0.57895,2.8741
0.94737,0.63158,2.5935
0.94737,0.68421,2.3602
0.94737,0.73684,2.1742
0.94737,0.78947,2.0354
0.94737,0.84211,1.9439
0.94737,0.89474,1.8996
0.94737,0.94737,1.9026
0.94737,1,1.9529
1,0,10
1,0.052632,9.0803
1,0.10526,8.2161
1,0.15789,7.4072
1,0.21053,6.6537
1,0.26316,5.9557
1,0.31579,5.313
1,0.36842,4.7258
1,0.42105,4.1939
1,0.47368,3.7175
1,0.52632,3.2964
1,0.57895,2.9307
1,0.63158,2.6205
1,0.68421,2.3657
1,0.73684,2.1662
1,0.78947,2.0222
1,0.84211,1.9335
1,0.89474,1.9003
1,0.94737,1.9224
1,1,2
