OmegaBefore,Wins,Traj,DeltaOmega,ReturnsStd,NormDeltaOmega,ConfortViolation,Theta,ITERATIONS,Omega,NormDeltaVar,RewardStd,TimestepsStd,ReturnsMean,TimestepsMean,RewardMean
0.99999943,0.0,20,-7.68274333e-10,81.81314075379335,7.682743330406083e-10,0,0.00175118,506,0.99999943,0.0862883080036454,2.963304905000496,0.0,1469.9,500.0,2.9398
0.99999943,0.0,20,-4.72577477e-09,66.82058066194875,4.725774771507929e-09,0,0.00174974,507,0.99999942,0.011807018274353709,2.9757002470006957,0.0,1489.9,500.0,2.9798
0.99999942,0.0,20,1.13476095e-09,68.49021827969305,1.1347609518708168e-09,0,0.00174775,508,0.99999942,0.016262806453894996,3.0198815274775264,0.0,1516.7,500.0,3.0334
0.99999942,0.0,20,5.79872284e-09,101.03123279461653,5.798722835237413e-09,0,0.00173628,509,0.99999943,0.09424712571576777,2.9888771871724673,0.0,1492.7,500.0,2.9854
0.99999943,0.0,20,1.17495594e-08,92.75559282329017,1.1749559436502466e-08,0,0.00172403,510,0.99999944,0.10128455973347172,2.9910907709395915,0.0,1488.0,500.0,2.976
0.99999944,0.0,20,1.15835614e-08,90.41482179377451,1.1583561443373469e-08,0,0.00171472,511,0.99999945,0.07754137712664999,3.003456968228445,0.0,1503.4,500.0,3.0068
0.99999945,0.0,20,1.40194854e-08,74.72208508868044,1.401948535040276e-08,0,0.00169697,512,0.99999947,0.148921753542254,3.006458374898944,0.0,1510.1,500.0,3.0202
0.99999947,0.0,20,1.69365052e-08,81.21206806872978,1.6936505198295038e-08,0,0.00168042,513,0.99999948,0.140187371591864,2.973396038202782,0.0,1477.0,500.0,2.954
0.99999948,0.0,20,1.89635384e-08,79.89862326723784,1.8963538406246983e-08,0,0.00166557,514,0.9999995,0.12704933294000398,3.0175094299769802,0.0,1516.1,500.0,3.0322
0.9999995,0.0,20,1.85239345e-08,90.2624506647144,1.8523934497416406e-08,0,0.00165221,515,0.99999952,0.11520368565575723,2.971752015226035,0.0,1480.7,500.0,2.9614
0.99999952,0.0,20,1.41359213e-08,76.7189024947568,1.4135921322377953e-08,0,0.00163299,516,0.99999953,0.16742837397139,3.039156192103328,0.0,1532.9,500.0,3.0658
0.99999953,0.0,20,1.47492063e-08,68.5054742338158,1.474920630073484e-08,0,0.00162371,517,0.99999955,0.08158920394707536,2.9871665504286833,0.0,1497.0,500.0,2.994
0.99999955,0.0,20,7.56058693e-09,77.55069309812775,7.56058693429651e-09,0,0.001613,518,0.99999956,0.09469768889400143,2.9985326478129264,0.0,1499.3,500.0,2.9986
0.99999956,0.0,20,1.10258583e-08,93.93077238051437,1.1025858337454508e-08,0,0.00161373,519,0.99999957,0.0064943333259464,3.001996395734012,0.0,1497.9,500.0,2.9958
0.99999957,0.0,20,6.05967199e-09,100.12567103395612,6.059671986413662e-09,0,0.00160025,520,0.99999957,0.12003108951250852,2.9796373940464638,0.0,1484.5,500.0,2.969
0.99999957,0.0,20,8.44792503e-09,63.72840810815849,8.447925026189296e-09,0,0.00158923,521,0.99999958,0.09890981209333916,3.017556832936208,0.0,1513.7,500.0,3.0274
