Iterations,Theta_mean,Theta_std,Theta_low,Theta_sup, Omega_mean,Omega_std,Omega_low,Omega_sup,Ret_mean,Ret_std,Rets_low,Rets_sup
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.999928464309404796e-01,2.000071535690595426e-01,8.000000000000000444e-01,1.000000000000000082e-05,7.999928464309404852e-01,8.000071535690596036e-01,1.183880000000000109e+03,2.190875624037111891e+01,1.168207419922619010e+03,1.199552580077381208e+03
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.508119999999999891e+03,2.085247227548809690e+01,1.493203039951544952e+03,1.523036960048454830e+03
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.501039999999999964e+03,2.976465017432591864e+01,1.479747651944533573e+03,1.522332348055466355e+03
3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.482819999999999936e+03,2.686134024951102361e+01,1.463604554749370436e+03,1.502035445250629436e+03
4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.509920000000000073e+03,1.961309766457100423e+01,1.495889635138526955e+03,1.523950364861473190e+03
5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.505019999999999982e+03,1.248661683563642910e+01,1.496087612414643900e+03,1.513952387585356064e+03
6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.516539999999999964e+03,1.962509617810826867e+01,1.502501051919006841e+03,1.530578948080993086e+03
7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.501379999999999654e+03,1.827291985425422638e+01,1.488308340590341004e+03,1.514451659409658305e+03
8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.483599999999999909e+03,2.500351975222687528e+01,1.465713559472122824e+03,1.501486440527876994e+03
9.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,1.496119999999999891e+03,2.092734096821664735e+01,1.481149482115161845e+03,1.511090517884837936e+03
