TimestepsMean,OmegaBefore,TimestepsStd,ConfortViolation,Theta,Wins,NormDeltaVar,Traj,ReturnsMean,RewardStd,Omega,DeltaOmega,RewardMean,ReturnsStd,ITERATIONS,NormDeltaOmega
500.0,[[0.97746323]],0.0,0,[[0.12022695]],0.0,0.14443525801025814,20,1292.5,2.6796594932938773,[[0.97836204]],[[0.00089881]],2.585,51.37265809747438,75,0.0008988099383576698
500.0,[[0.97836204]],0.0,0,[[0.11928773]],0.0,0.12728285623265734,20,1305.4,2.6875496944242725,[[0.97917354]],[[0.0008115]],2.6108,86.93238752041727,76,0.0008114986083839204
500.0,[[0.97917354]],0.0,0,[[0.11869]],0.0,0.08145486793472045,20,1335.7,2.746347035609302,[[0.97996196]],[[0.00078842]],2.6714,59.18538670989656,77,0.0007884196557137457
500.0,[[0.97996196]],0.0,0,[[0.11882862]],0.0,0.018921809040300275,20,1315.3,2.7067958253255826,[[0.98066731]],[[0.00070535]],2.6306,62.508479424794835,78,0.000705352103257173
500.0,[[0.98066731]],0.0,0,[[0.1187819]],0.0,0.006375116015068016,20,1326.5,2.7370770906205766,[[0.98127308]],[[0.00060577]],2.653,70.41839248378224,79,0.0006057685663163337
500.0,[[0.98127308]],0.0,0,[[0.11820084]],0.0,0.07947129644501416,20,1335.5,2.745133694376287,[[0.98191636]],[[0.00064328]],2.671,59.72227390178642,80,0.0006432790074075712
500.0,[[0.98191636]],0.0,0,[[0.11817168]],0.0,0.003996805279825821,20,1330.8,2.72922799340766,[[0.98263099]],[[0.00071464]],2.6616,63.351085231430716,81,0.0007146375771295288
500.0,[[0.98263099]],0.0,0,[[0.11712557]],0.0,0.14396377674859906,20,1308.1,2.705974419686927,[[0.98327921]],[[0.00064822]],2.6162,68.62208099438547,82,0.0006482205952167419
500.0,[[0.98327921]],0.0,0,[[0.11718589]],0.0,0.008330470968655135,20,1320.9,2.7236175869604016,[[0.98392729]],[[0.00064808]],2.6418,67.45213117463376,83,0.0006480751839318399
500.0,[[0.98392729]],0.0,0,[[0.11665852]],0.0,0.07296540623535464,20,1319.1,2.720496417935521,[[0.98435263]],[[0.00042534]],2.6382,65.83760323705594,84,0.00042534333171051486
