LossReg,WeightMax,WeightMin,TimestepsMean,TimestepsStd,Epsilon,Eta,DualAfter,Wins,DualBefore,NormDeltaVar,ReturnsMean,ConfortViolation,OmegaBefore,Traj,Primal,NormDeltaOmega,DeltaOmega,RewardMean,Omega,RewardStd,WeightMean,WeightMedian,ReturnsStd,ITERATIONS,DualReg
0.0,1.0,0.004539257279887998,500.0,0.0,1.4201,1.8535709101335378,7.525057000614072,0.0,7.9321365954578695,21.516253301796116,1174.4848484848485,0,[[0.8]],100,7.525057033890043,0.14747105776574376,[[0.14747106]],2.34992,[[0.94747106]],2.430167894117606,0.004539257279887998,0.01335327641316671,64.03413919584459,0,0.0
0.0,1.0,0.0005942100231266957,500.0,0.0,1.4201,1.3462070708412441,7.8638065661896785,0.0,7.894116550509425,27.058232822165337,1372.1010101010102,0,[[0.94747106]],100,7.8638065510247435,0.04425641580599027,[[0.04425642]],2.74444,[[0.99172747]],2.811769742777669,0.0005942100231266957,0.0026251370324957787,64.38041846561715,1,0.0
0.0,1.0,7.68969775081761e-06,500.0,0.0,1.4201,0.8492115310841661,7.990099936206679,0.0,7.991821846272239,40.98485242093071,1465.5353535353536,0,[[0.99172747]],100,7.990096984813589,0.0077992928199451805,[[0.00779929]],2.93056,[[0.99952677]],2.951118107836418,7.68969775081761e-06,8.10452219401595e-05,76.71478241536391,2,0.0
0.0,1.0,4.909132971423831e-218,500.0,0.0,1.4201,0.01598809037776438,8.00039013432753,0.0,8.029751370509887,154.06729865630768,1494.2828282828282,0,[[0.99952677]],100,8.000000000000291,0.000473223801218392,[[0.00047322]],2.98544,[[0.99999999]],2.9909376466920867,4.909132971423831e-218,1.0429262457895473e-163,67.09378938336243,3,0.0
0.0,1.0,3.5983533251619495e-224,500.0,0.0,1.4201,0.01554911955254832,8.000414542181804,0.0,8.031980701875355,0.0,1494.2222222222222,0,[[0.99999999]],100,7.999999999999566,0.0,[[0.]],2.98608,[[0.99999999]],2.995003544839305,3.5983533251619495e-224,2.6126296643747244e-168,72.92220229107812,4,0.0
0.0,1.0,4.1112610458284384e-238,500.0,0.0,1.4201,0.014635890448927784,8.000477202012387,0.0,8.037880578235299,0.0,1498.3838383838383,0,[[0.99999999]],100,8.000000000000384,0.0,[[0.]],2.99524,[[0.99999999]],3.0007694583889646,4.1112610458284384e-238,9.130221001880384e-179,80.47770342711807,5,0.0
0.0,1.0,2.1186999504182583e-233,500.0,0.0,1.4201,0.01493229536763831,8.000455737356166,0.0,8.035825380968014,0.0,1497.8989898989898,0,[[0.99999999]],100,8.00000000000059,0.0,[[0.]],2.99524,[[0.99999999]],2.9966076390478618,2.1186999504182583e-233,3.1228569610758465e-175,68.83701948446743,6,0.0
0.0,1.0,8.643539395376329e-241,500.0,0.0,1.4201,0.014472665059105954,8.0004915731298,0.0,8.039255164544635,0.0,1502.5656565656566,0,[[0.99999999]],100,7.999999999999702,0.0,[[0.]],3.003,[[0.99999999]],2.99831802849531,8.643539395376329e-241,8.964348085066429e-181,78.8354841933711,7,0.0
0.0,1.0,7.442549577512854e-248,500.0,0.0,1.4201,0.014058916606536515,8.000526912508127,0.0,8.042723769302093,0.0,1501.3737373737374,0,[[0.99999999]],100,7.999999999999765,0.0,[[0.]],3.00416,[[0.99999999]],3.0045802858968504,7.442549577512854e-248,4.506001191650256e-186,74.71353856984688,8,0.0
0.0,1.0,3.940141944789909e-239,500.0,0.0,1.4201,0.01457336597328611,8.000482165344629,0.0,8.038358010356369,0.0,1498.2828282828282,0,[[0.99999999]],100,7.999999999999911,0.0,[[0.]],2.99612,[[0.99999999]],3.0011439395004036,3.940141944789909e-239,1.572656595934643e-179,74.05867731015799,9,0.0
