TimestepsMean,NormDeltaVar,DeltaOmega,NormDeltaOmega,RewardMean,Wins,ITERATIONS,Omega,ReturnsStd,Traj,TimestepsStd,OmegaBefore,ConfortViolation,RewardStd,ReturnsMean
24.192,0.3162277652381421,-0.10000000148938071,0.10000000148938071,6.434791134485037,0.0,0,7.899999998510619,92.34934212270915,250,13.723087699202392,8.0,0,1.3429196220899018,155.67046712546207
26.552,0.2812376385336904,-0.1000837180534111,0.1000837180534111,6.533298540051682,0.0,1,7.799916280457208,101.58248234357589,250,14.907692510915297,7.899999998510619,0,1.299345930174968,173.47214283545225
32.672,0.2935105802504917,-0.09872613264047381,0.09872613264047381,6.657853293110091,0.0,2,7.701190147816734,123.82959411558694,250,17.934224711428147,7.799916280457208,0,1.1904853413948195,217.5253827924929
36.652,0.2727507078502823,-0.09857689713059603,0.09857689713059603,6.753100713246482,0.0,3,7.602613250686138,137.057135695013,250,19.60966333214316,7.701190147816734,0,1.1389492295762698,247.51464734191006
39.044,0.2671815769489862,-0.09903307386260174,0.09903307386260174,6.839882283999869,0.0,4,7.503580176823537,146.68414227686054,250,20.754615486681512,7.602613250686138,0,1.1166730890542456,267.0563638964909
44.3,0.2459566726808916,-0.09919158764027536,0.09919158764027536,6.933814790798729,0.0,5,7.404388589183261,148.4322723169838,250,20.750180722104567,7.503580176823537,0,1.0619980860111056,307.1679952323837
46.732,0.2444237159533305,-0.09985759467080424,0.09985759467080424,7.014532407760466,0.0,6,7.304530994512457,152.18560620204366,250,21.06229275268958,7.404388589183261,0,1.045813139548148,327.8031284794622
48.156,0.21274154964745484,-0.10082867504043413,0.10082867504043413,7.088551938497509,0.0,7,7.203702319472023,148.48742087654924,250,20.314617003527285,7.304530994512457,0,1.041001915529027,341.35630715028606
53.484,0.20253885844862698,-0.10146906118098897,0.10146906118098897,7.18153674529267,0.0,8,7.102233258291034,165.69599132576445,250,22.440537961466074,7.203702319472023,0,0.9998183564298578,384.0973112852331
55.2,0.1987263246272209,-0.10241440705356197,0.10241440705356197,7.25769372045468,0.0,9,6.999818851237472,169.769908277092,250,22.72742836310347,7.102233258291034,0,0.9941352756392493,400.62469336909834
56.784,0.20386555989076705,-0.10337199930286811,0.10337199930286811,7.331412288115927,0.0,10,6.896446851934604,170.17998806686768,250,22.568326123131065,6.999818851237472,0,0.989846101544452,416.3069153683748
59.512,0.21609764585159807,-0.10432470725420995,0.10432470725420995,7.40835565422288,0.0,11,6.792122144680394,178.85308752933506,250,23.515821397518735,6.896446851934604,0,0.9769166537898941,440.886061694112
64.428,0.23505619044718204,-0.10526140138297002,0.10526140138297002,7.490236951003229,0.0,12,6.686860743297424,204.55602569143403,250,26.617979187008167,6.792122144680394,0,0.948801358590934,482.5809862792361
65.036,0.24566844658411643,-0.10625750146263879,0.10625750146263879,7.561059873458024,0.4,13,6.580603241834785,200.94405635774115,250,25.882555978882767,6.686860743297424,0,0.9511896935978648,491.74108993021605
74.68,0.25693386578351063,-0.10705435663100182,0.10705435663100182,7.65055290605779,0.4,14,6.473548885203783,235.89587299840755,250,30.15137807795856,6.580603241834785,0,0.8981904931944932,571.3432910243956
78.744,0.2658295282111135,-0.10811724406134893,0.10811724406134893,7.718201841534122,0.4,15,6.365431641142434,266.83967000965316,250,33.77570819390765,6.473548885203783,0,0.8825258061311604,607.762085809763
85.224,0.2718629967591295,-0.10920979795385843,0.10920979795385843,7.7950898732221665,1.6,16,6.256221843188576,272.77711161071693,250,34.21563712690442,6.365431641142434,0,0.851743341548238,664.3287393554859
101.268,0.2752021929553843,-0.1098222208528945,0.1098222208528945,7.884308666021537,4.0,17,6.146399622335681,328.75128690495904,250,40.81661642027668,6.256221843188576,0,0.7809789668289686,798.4281699906688
116.98,0.2813181986947395,-0.11091268560136136,0.11091268560136136,7.958781518098478,5.6000000000000005,18,6.03548693673432,340.58007996654794,250,41.89686861807216,6.146399622335681,0,0.7280926715179336,931.0182619871599
141.796,0.2792430172401352,-0.11216606556680553,0.11216606556680553,8.059034105221853,22.0,19,5.9233208711675145,392.57749857668017,250,47.638328937946596,6.03548693673432,0,0.6098622639769269,1142.7387999840375
164.036,0.2824902880721258,-0.11341598200568637,0.11341598200568637,8.159694089317313,42.0,20,5.809904889161828,350.2802115218516,250,41.95210011429702,5.9233208711675145,0,0.4955875317821825,1338.4835796352545
167.784,0.2569150491660482,-0.11462437915448831,0.11462437915448831,8.221995013136212,45.2,21,5.69528051000734,328.7893195297322,250,39.21725824174862,5.809904889161828,0,0.48180736352797654,1379.5192112840462
165.944,0.24612287841010283,-0.11581048328241916,0.11581048328241916,8.285214089386397,42.0,22,5.579470026724921,337.84819520387725,250,40.00686021171869,5.69528051000734,0,0.5015441571323762,1374.8815668491366
167.464,0.23761993634142986,-0.1161205963438725,0.1161205963438725,8.349867418586914,45.2,23,5.463349430381048,354.506794456213,250,41.750601241179744,5.579470026724921,0,0.4895824888419616,1398.302197386239
177.112,0.2411919186579749,-0.11711402501632762,0.11711402501632762,8.425340396086504,57.599999999999994,24,5.3462354053647205,299.1965764607973,250,34.74402763065906,5.463349430381048,0,0.42501817824222826,1492.228888231673
182.128,0.23805634462228042,-0.11820870977622455,0.11820870977622455,8.493775832540194,62.4,25,5.228026695588496,272.1272397451545,250,31.407508911086854,5.3462354053647205,0,0.39882566801973923,1546.9544048288806
183.164,0.2252867267387696,-0.11872200716372738,0.11872200716372738,8.557890486330555,63.6,26,5.109304688424769,259.6548909960935,250,29.631488386512075,5.228026695588496,0,0.3943394897169905,1567.4974530382497
192.184,0.21881368195615944,-0.11960639081578872,0.11960639081578872,8.633037970131,80.4,27,4.98969829760898,202.4991672050717,250,22.906901667401463,5.109304688424769,0,0.2909493505244598,1659.131769251656
192.404,0.20848397780895425,-0.11985067132564353,0.11985067132564353,8.69868216371384,81.2,28,4.869847626283336,193.68019469103993,250,21.7312858340228,4.98969829760898,0,0.2850306163221033,1673.6612430271982
196.46,0.20420953467473416,-0.12083862243895727,0.12083862243895727,8.769696064149809,90.0,29,4.749009003844379,150.06468268346785,250,16.72077749388467,4.869847626283336,0,0.21241715410360062,1722.8944887628713
197.788,0.18457515003011696,-0.12151324718632939,0.12151324718632939,8.834856136077843,94.39999999999999,30,4.62749575665805,135.10985014455537,250,14.914122702995305,4.749009003844379,0,0.16454059248754224,1747.4285254425643
197.804,0.17315572684967648,-0.1210623867772549,0.1210623867772549,8.894821091566362,91.2,31,4.506433369880795,124.39886386423692,250,13.694582286437216,4.62749575665805,0,0.1983402794146945,1759.4311911961925
197.216,0.1530510804919437,-0.12191678172195797,0.12191678172195797,8.953356890632687,89.60000000000001,32,4.384516588158837,128.14353742691338,250,13.942214458255906,4.506433369880795,0,0.2141331959385113,1765.7452325430154
197.876,0.1516905456268138,-0.12285886882474806,0.12285886882474806,9.007636575568036,89.2,33,4.261657719334089,116.64128182899071,250,12.618582487744012,4.384516588158837,0,0.21829893991116067,1782.3950950271005
200.34,0.15735238930807618,-0.123603386775188,0.123603386775188,9.067142429385092,97.2,34,4.138054332558901,46.488004402802275,250,4.9534230588553605,4.261657719334089,0,0.12066829727341537,1816.5113143030092
200.312,0.15574053275357494,-0.12431672329513965,0.12431672329513965,9.118946621232798,96.8,35,4.013737609263761,45.86747636081175,250,4.833079349648628,4.138054332558901,0,0.12753579501501905,1826.6344355923845
200.684,0.13188703236059943,-0.12496685718515099,0.12496685718515099,9.172475334249535,98.0,36,3.88877075207861,26.198996700098483,250,2.660853998249434,4.013737609263761,0,0.10491298261315182,1840.7690399785336
199.22,0.12363271943410384,-0.12493403467433195,0.12493403467433195,9.219909656530103,94.8,37,3.763836717404278,92.59835865977949,250,9.742053171688196,3.88877075207861,0,0.15758497512934413,1836.7904017739268
198.8,0.11227913060425612,-0.1249884886482091,0.1249884886482091,9.26632612521813,93.60000000000001,38,3.638848228756069,101.12221686278495,250,10.587917642293975,3.763836717404278,0,0.17386250417586743,1842.1456336933645
198.3,0.10740937343644123,-0.12469273322231711,0.12469273322231711,9.310436476965132,90.8,39,3.514155495533752,98.93204943716552,250,10.301164982660943,3.638848228756069,0,0.2067475926257228,1846.2595533821857
198.632,0.11134433364205215,-0.12290986729916087,0.12290986729916087,9.354439362652087,90.8,40,3.391245628234591,97.45664231049541,250,10.111408210531309,3.514155495533752,0,0.2074752465970684,1858.0909994823091
198.608,0.10842718537109343,-0.1205353041342363,0.1205353041342363,9.393302576919917,90.4,41,3.270710324100355,86.80370121721579,250,8.891250530718388,3.391245628234591,0,0.21360613682811128,1865.5850381969105
198.512,0.10245184587962232,-0.1171191904769806,0.1171191904769806,9.434036739890075,90.8,42,3.153591133623374,97.63258837859642,250,10.044394257495073,3.270710324100355,0,0.20954712473008805,1872.7695013090586
197.628,0.10537963519549615,-0.11474443497814635,0.11474443497814635,9.470420443398243,89.2,43,3.038846698645228,118.46642918575726,250,12.095024431558624,3.153591133623374,0,0.22761034873922262,1871.620251387908
198.788,0.10520779374753025,-0.10911380560261774,0.10911380560261774,9.503569660286267,93.2,44,2.92973289304261,102.25437191471705,250,10.407259773830956,3.038846698645228,0,0.18493319714446174,1889.1956056289866
198.076,0.09710572222842372,-0.10305231163860196,0.10305231163860196,9.531013011052949,92.0,45,2.826680581404008,122.92661599832795,250,12.506247398800328,2.92973289304261,0,0.20095245471333864,1887.8649331773238
196.532,0.09362469554325019,-0.09570682249283768,0.09570682249283768,9.558697394678791,90.0,46,2.7309737589111704,156.91119775954635,250,15.931885513020736,2.826680581404008,0,0.2246138958834094,1878.5899163710121
194.268,0.0840611257830155,-0.08916897553494918,0.08916897553494918,9.57845087298228,83.6,47,2.6418047833762213,202.8232988099592,250,20.684007735446244,2.7309737589111704,0,0.2868929748921629,1860.7864941925216
192.912,0.09272533773760856,-0.08377861565637845,0.08377861565637845,9.600740764440207,80.80000000000001,48,2.558026167719843,208.79544304553312,250,21.164504624488615,2.6418047833762213,0,0.3113221551528512,1852.0981023496893
193.58,0.10321640280215444,-0.078002795450963,0.078002795450963,9.62618665827163,82.0,49,2.48002337226888,208.34564138496214,250,21.107050954598083,2.558026167719843,0,0.3013051096711819,1863.4372133082225
194.184,0.11672019894565766,-0.07638398488773479,0.07638398488773479,9.647590675072177,82.8,50,2.403639387381145,192.22253753556055,250,19.38633910773254,2.48002337226888,0,0.29470292216444155,1873.4077476482155
