ReturnsMean,Wins,Epsilon,RewardStd,DualBefore,ITERATIONS,ConfortViolation,WeightMean,WeightMin,NormDeltaOmega,WeightMax,DeltaOmega,RewardMean,Omega,WeightMedian,DualAfter,OmegaBefore,TimestepsStd,LossReg,NormDeltaVar,Primal,TimestepsMean,Eta,ReturnsStd,Traj,DualReg
1177.090909090909,0.0,1.8101,2.432227324902012,8.34243434490681,0,0,0.0013034746500853087,0.0013034746500853087,0.17753020194978752,1.0,[[0.1775302]],2.3532,[[0.9775302]],0.004921325284982616,8.193653884243128,[[0.8]],0.0,0.0,34.09375326809494,8.193654258697599,500.0,1.505407021804896,50.13539061484259,100,0.0
1443.6969696969697,0.0,1.8101,2.920600239676769,8.35674713869536,1,0,9.021381449935952e-11,9.021381449935952e-11,0.022468621057888605,1.0,[[0.02246862]],2.8868,[[0.99999882]],9.209126468190717e-09,8.19203600215928,[[0.9775302]],0.0,0.0,141.13842835084398,8.19203571503018,500.0,0.43236066436707155,81.98712076061241,100,0.0
1498.0,0.0,1.8101,2.998716951230976,8.427093522840988,2,0,0.0,0.0,1.17074020189456e-06,1.0,[[1.1707402e-06]],2.99592,[[0.99999999]],0.0,8.001924825415648,[[0.99999882]],0.0,0.0,74.8256836850698,8.000000000000437,500.0,0.004563321058456132,72.2459323939746,100,0.0
1490.888888888889,0.0,1.8101,2.9886968330695565,8.417424325472483,3,0,0.0,0.0,0.0,1.0,[[0.]],2.9818,[[0.99999999]],0.0,8.001891838512247,[[0.99999999]],0.0,0.0,0.0,8.000000000000608,500.0,0.004591207063117343,81.58343178115072,100,0.0
1498.3838383838383,0.0,1.8101,2.9974908237390823,8.426861199912752,4,0,0.0,0.0,0.0,1.0,[[0.]],2.99704,[[0.99999999]],0.0,8.00192401748972,[[0.99999999]],0.0,0.0,0.0,8.000000000000556,500.0,0.004564008020538794,80.14213472951779,100,0.0
1498.5858585858587,0.0,1.8101,3.002212440451209,8.42994894260972,5,0,0.0,0.0,0.0,1.0,[[0.]],2.99932,[[0.99999999]],0.0,8.00193452188524,[[0.99999999]],0.0,0.0,0.0,7.999999999999475,500.0,0.004555189700022869,75.71090818503119,100,0.0
1506.5656565656566,0.0,1.8101,3.0091832183501226,8.438013585112277,6,0,0.0,0.0,0.0,1.0,[[0.]],3.01328,[[0.99999999]],0.0,8.00196171622921,[[0.99999999]],0.0,0.0,0.0,8.000000000000556,500.0,0.004532563455658189,82.76633307834526,100,0.0
1500.6262626262626,0.0,1.8101,3.0057000185647267,8.432796232166055,7,0,0.0,0.0,0.0,1.0,[[0.]],3.00272,[[0.99999999]],0.0,8.001944166069626,[[0.99999999]],0.0,0.0,0.0,8.000000000000242,500.0,0.0045471337153109755,79.37719513975195,100,0.0
1495.050505050505,0.0,1.8101,2.997698435533501,8.425738207327974,8,0,0.0,0.0,0.0,1.0,[[0.]],2.99336,[[0.99999999]],0.0,8.001920226437255,[[0.99999999]],0.0,0.0,0.0,7.999999999999394,500.0,0.004567183241810848,86.50303594104459,100,0.0
1508.4040404040404,0.0,1.8101,3.0107007280033664,8.440297478371521,9,0,0.0,0.0,0.0,1.0,[[0.]],3.01792,[[0.99999999]],0.0,8.001969372000584,[[0.99999999]],0.0,0.0,0.0,7.999999999999385,500.0,0.004526234807734629,72.9626885679871,100,0.0
1494.2828282828282,0.0,1.8101,2.9967054013366083,8.424541407994734,10,0,0.0,0.0,0.0,1.0,[[0.]],2.99124,[[0.99999999]],0.0,8.001916158798325,[[0.99999999]],0.0,0.0,0.0,7.999999999999493,500.0,0.00457060559549589,83.44308414117202,100,0.0
1497.8383838383838,0.0,1.8101,2.991608102676552,8.422806975740473,11,0,0.0,0.0,0.0,1.0,[[0.]],2.9936,[[0.99999999]],0.0,8.001910187618428,[[0.99999999]],0.0,0.0,0.0,8.00000000000057,500.0,0.0045756768835587035,82.09512923342449,100,0.0
1487.7575757575758,0.0,1.8101,2.988794165947197,8.415724583670738,12,0,0.0,0.0,0.0,1.0,[[0.]],2.97656,[[0.99999999]],0.0,8.001886043338013,[[0.99999999]],0.0,0.0,0.0,8.000000000000245,500.0,0.004596119508695767,74.17983756516158,100,0.0
1485.6969696969697,0.0,1.8101,2.9849749932620875,8.412180100538594,13,0,0.0,0.0,0.0,1.0,[[0.]],2.97164,[[0.99999999]],0.0,8.001873856430022,[[0.99999999]],0.0,0.0,0.0,7.99999999999939,500.0,0.00460654235624274,78.68226020918148,100,0.0
1503.5757575757575,0.0,1.8101,3.0035132963914113,8.432571349311251,14,0,0.0,0.0,0.0,1.0,[[0.]],3.00528,[[0.99999999]],0.0,8.001943368004968,[[0.99999999]],0.0,0.0,0.0,8.000000000000133,500.0,0.004547810701730546,74.48043481264476,100,0.0
1490.969696969697,0.0,1.8101,2.9903304165259064,8.41830254626594,15,0,0.0,0.0,0.0,1.0,[[0.]],2.982,[[0.99999999]],0.0,8.001894859808756,[[0.99999999]],0.0,0.0,0.0,8.000000000000398,500.0,0.004588628293848516,83.05255176364918,100,0.0
1497.0707070707072,0.0,1.8101,3.0012710907213966,8.427317248738898,16,0,0.0,0.0,0.0,1.0,[[0.]],2.9928,[[0.99999999]],0.0,8.001925629512208,[[0.99999999]],0.0,0.0,0.0,8.000000000000208,500.0,0.004562626431149907,81.25695028861914,100,0.0
1477.2121212121212,0.0,1.8101,2.9678533050000966,8.397226826471359,17,0,0.0,0.0,0.0,1.0,[[0.]],2.9526,[[0.99999999]],0.0,8.001821992963485,[[0.99999999]],0.0,0.0,0.0,8.00000000000046,500.0,0.004651553485504212,71.68946398889875,100,0.0
1499.2525252525252,0.0,1.8101,3.000133330103847,8.429163684636084,18,0,0.0,0.0,0.0,1.0,[[0.]],3.00004,[[0.99999999]],0.0,8.001931836302004,[[0.99999999]],0.0,0.0,0.0,7.999999999999591,500.0,0.004557446960675056,89.67577327129618,100,0.0
1501.171717171717,0.0,1.8101,3.0024247584910433,8.431064495583952,19,0,0.0,0.0,0.0,1.0,[[0.]],3.00236,[[0.99999999]],0.0,8.001938281010766,[[0.99999999]],0.0,0.0,0.0,8.00000000000033,500.0,0.004552053626745229,82.0145392880255,100,0.0
