TimestepsStd,ReturnsStd,NormDeltaOmega,NormDeltaVar,TimestepsMean,Primal,WeightMin,Omega,DualBefore,RewardMean,Wins,DualAfter,OmegaBefore,WeightMedian,DualReg,LossReg,DeltaOmega,ConfortViolation,RewardStd,Eta,ITERATIONS,WeightMax,Traj,Epsilon,ReturnsMean,WeightMean
0.0,65.69584917129811,0.32586995898543464,21.2838097832212,500.0,2.646467745855936,0.6315179578757395,[[0.47413004]],6.463365050831427,2.3508,0.0,2.6464675931874835,[[0.8]],0.6923226875326941,0.0,0.0,[[-0.32586996]],0,2.420772471753593,21.75668236688879,0,1.0,20,0.0070001,1177.0526315789473,0.6315179578757395
0.0,76.930302665101,0.030593978253917187,1.7607275662690933,500.0,3.053741057159602,0.6921684117863267,[[0.44353606]],7.855315218296072,2.6838,0.0,3.053741011027542,[[0.47413004]],0.745022554419307,0.0,0.0,[[-0.03059398]],0,3.0334168127707084,27.179379692631862,1,1.0,20,0.0070001,1337.7894736842106,0.6921684117863267
0.0,79.02452370157246,0.018468585462344644,1.0740214605779865,500.0,3.178340564042389,0.7022139438868582,[[0.42506748]],7.995735825340857,2.7926,0.0,3.1783407849849175,[[0.44353606]],0.7536601617674052,0.0,0.0,[[-0.01846859]],0,3.169256259755591,28.287170150754427,2,1.0,20,0.0070001,1399.578947368421,0.7022139438868582
0.0,87.52566699129729,0.019552265638857036,1.1504569505652738,500.0,3.3005119399587812,0.7107533654981264,[[0.40551521]],8.113868478704351,2.9004,0.0,3.3005127954883884,[[0.42506748]],0.7609833239785491,0.0,0.0,[[-0.01955227]],0,3.293581612773547,29.28859811145352,3,1.0,20,0.0070001,1449.6842105263158,0.7107533654981264
0.0,104.19659662350992,0.007644364250387448,0.45439671878166354,500.0,3.3671798145419407,0.7141982134220586,[[0.39787085]],8.168524749467247,2.961,0.0,3.3671798141761693,[[0.40551521]],0.7639325368496173,0.0,0.0,[[-0.00764436]],0,3.346293322468907,29.709317030694123,4,1.0,20,0.0070001,1480.7368421052631,0.7141982134220586
0.0,80.50257648016365,0.003108861005962915,0.1856323040779193,500.0,3.362544811463897,0.7153358484145715,[[0.39476199]],8.180653270569548,2.9544,0.0,3.3625448110367726,[[0.39787085]],0.7649058666886879,0.0,0.0,[[-0.00310886]],0,3.362784655609098,29.8504675001496,5,1.0,20,0.0070001,1477.578947368421,0.7153358484145715
0.0,101.72375824599557,0.005919893502332185,0.3549037315605732,500.0,3.407734372703245,0.7171728839529736,[[0.38884209]],8.20600733502534,2.9962,0.0,3.407734372172764,[[0.39476199]],0.7664769315568465,0.0,0.0,[[-0.00591989]],0,3.392813811572925,30.080765697102496,6,1.0,20,0.0070001,1508.5263157894738,0.7171728839529736
0.0,96.84988527101264,0.01023723102587637,0.6184579392804324,500.0,3.480524409164377,0.7204887581972279,[[0.37860486]],8.252458441851866,3.0628,0.0,3.480524353108179,[[0.38884209]],0.7693106897763035,0.0,0.0,[[-0.01023723]],0,3.4473259433943872,30.504036518190272,7,1.0,20,0.0070001,1540.3157894736842,0.7204887581972279
0.0,101.49038953997106,0.003468672966066011,0.21100714492356332,500.0,3.507804749627561,0.7218069220008766,[[0.37513619]],8.272927428279399,3.0876,0.0,3.5078046845786472,[[0.37860486]],0.7704364723503978,0.0,0.0,[[-0.00346867]],0,3.4689949899070194,30.675072745831677,8,1.0,20,0.0070001,1538.7368421052631,0.7218069220008766
0.0,79.85374442450998,0.0003412729478198817,0.02080215114156303,500.0,3.501298380110674,0.7219828956128667,[[0.37479492]],8.274911840409244,3.0808,0.0,3.5012983139240097,[[0.37513619]],0.7705867321273417,0.0,0.0,[[-0.00034127]],0,3.4712348465639713,30.698027341188805,9,1.0,20,0.0070001,1544.1052631578948,0.7219828956128667
0.0,118.39152848333573,0.0021637532853841512,0.13206840893426985,500.0,3.511510838659149,0.7227355295210236,[[0.37263116]],8.285543788016106,3.0896,0.0,3.5115107672127612,[[0.37479492]],0.7712293060978054,0.0,0.0,[[-0.00216375]],0,3.483442527156146,30.79652884054864,10,1.0,20,0.0070001,1547.157894736842,0.7227355295210236
0.0,66.26681566761573,0.009057178859626147,0.5562832844900703,500.0,3.589277815563799,0.7254704003671213,[[0.36357398]],8.326028989393203,3.162,0.0,3.589277724537679,[[0.37263116]],0.7735631231324115,0.0,0.0,[[-0.00905718]],0,3.5312541681391325,31.1589567967342,11,1.0,20,0.0070001,1589.157894736842,0.7254704003671213
0.0,90.15837096995308,0.0072355243836630945,0.4486664158190923,500.0,3.642726874867674,0.7281549498354187,[[0.35633846]],8.368570779634876,3.2102,0.0,3.6427267944611676,[[0.36357398]],0.775852287403431,0.0,0.0,[[-0.00723552]],0,3.577012155416864,31.52173605592804,12,1.0,20,0.0070001,1604.3157894736842,0.7281549498354187
0.0,104.77655951510678,0.009304963662605858,0.58303571092973,500.0,3.6926274844437694,0.7304813850024903,[[0.3470335]],8.398877176005756,3.2554,0.0,3.6926273867678665,[[0.35633846]],0.7778347161147716,0.0,0.0,[[-0.00930496]],0,3.6185592215687166,31.841908170358607,13,1.0,20,0.0070001,1619.3684210526317,0.7304813850024903
0.0,98.70608880286464,0.01852714731341837,1.183483787182519,500.0,3.8300815782018836,0.7356877371675514,[[0.32850635]],8.478385374749095,3.382,0.0,3.8300814528451435,[[0.3470335]],0.7822666465242933,0.0,0.0,[[-0.01852715]],0,3.7147915150113064,32.5786467620406,14,1.0,20,0.0070001,1690.9473684210527,0.7356877371675514
0.0,99.89800893093741,0.014034213278213359,0.9192181547874867,500.0,3.956683053356498,0.74003792679495,[[0.31447214]],8.552558916528222,3.4992,0.0,3.956683123674548,[[0.32850635]],0.7859649555687196,0.0,0.0,[[-0.01403421]],0,3.7981573637752293,33.21664970117166,15,1.0,20,0.0070001,1756.421052631579,0.74003792679495
0.0,68.70532040993317,0.005079157035471793,0.33807187843211395,500.0,3.987580330549048,0.7415537138837625,[[0.30939298]],8.576810515731756,3.5268,0.0,3.987580412745759,[[0.31447214]],0.787252577911714,0.0,0.0,[[-0.00507916]],0,3.826967697799395,33.44395696492476,16,1.0,20,0.0070001,1772.0,0.7415537138837625
0.0,150.46852037309563,0.011734214511496865,0.7930417028005508,500.0,4.117614714577678,0.7446000401605561,[[0.29765876]],8.632850869939015,3.6498,0.0,4.117614824311859,[[0.30939298]],0.7898387637376508,0.0,0.0,[[-0.01173421]],0,3.8908302404499735,33.908872743811635,17,1.0,20,0.0070001,1819.4736842105262,0.7446000401605561
0.0,83.48184734758269,0.022669851897191617,1.5854933502586768,500.0,4.336796239910154,0.7498807505586588,[[0.27498891]],8.729926460253973,3.8564,0.0,4.336796223427552,[[0.29765876]],0.7943168296987875,0.0,0.0,[[-0.02266985]],0,4.004919354993306,34.74139219086706,18,1.0,20,0.0070001,1926.2105263157894,0.7498807505586588
0.0,125.3697025874665,0.016146110229847244,1.1790805310091272,500.0,4.516621148230231,0.7534965942313308,[[0.2588428]],8.805033820386482,4.0272,0.0,4.516621137269097,[[0.27498891]],0.7973794427736753,0.0,0.0,[[-0.01614611]],0,4.087549407652463,35.33184613241227,19,1.0,20,0.0070001,2022.7368421052631,0.7534965942313308
