LossReg,Epsilon,WeightMean,RewardMean,RewardStd,WeightMax,DualAfter,ConfortViolation,WeightMedian,Wins,Eta,ReturnsStd,DeltaOmega,TimestepsMean,Primal,DualBefore,Traj,NormDeltaOmega,ReturnsMean,NormDeltaVar,OmegaBefore,Omega,TimestepsStd,DualReg,ITERATIONS,WeightMin
0.0,0.1701,0.14788426769043042,2.35896,2.433883258991688,1.0,3.976434221020674,0,0.21673925691675727,0.0,5.2319718010751215,56.77825847672173,[[-0.46324594]],500.0,3.9764342076859247,6.690095926787265,100,0.463245935609326,1179.3131313131314,29.486962020653483,[[0.8]],[[0.33675406]],0.0,0.0,0,0.14788426769043042
0.0,0.1701,0.24858668268762696,3.43368,3.760138515746461,1.0,5.781782124765486,0,0.3283842256657376,0.0,7.1840955416963235,101.3121262425347,[[-0.13214576]],500.0,5.781782002284224,8.681657962945245,100,0.1321457565184848,1716.5454545454545,9.713489276636171,[[0.33675406]],[[0.20460831]],0.0,0.0,1,0.24858668268762696
0.0,0.1701,0.24987531698273885,4.92184,4.382397861262713,1.0,7.463138511566042,0,0.32974535494570056,0.0,7.2108803771962044,120.97729104453714,[[-0.10010162]],500.0,7.463137952491127,9.286902972895486,100,0.10010162261816763,2461.010101010101,11.291235475915478,[[0.20460831]],[[0.10450669]],0.0,0.0,2,0.24987531698273885
0.0,0.1701,0.1641580861679219,6.89544,4.274682117584884,1.0,9.135476085732398,0,1.0,0.0,5.534262862282286,136.73585413765628,[[-0.07250918]],500.0,9.135476087993602,9.736809661228056,100,0.07250917572171012,3447.4747474747473,18.02075534872159,[[0.10450669]],[[0.03199751]],0.0,0.0,3,0.1641580861679219
0.0,0.1701,0.0,8.88816,2.9778871392986,1.0,10.000498069552382,0,1.0,0.0,0.013239670110925049,99.02414991867187,[[-0.03199751]],500.0,9.999999999998773,10.037702390838612,100,0.031997507028048995,4444.444444444444,234.22421371031277,[[0.03199751]],[[2.50426252e-09]],0.0,0.0,4,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,5,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,6,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,7,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,8,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,9,0.0
