ReturnsStd,Eta,Wins,DeltaOmega,WeightMedian,ReturnsMean,DualReg,Epsilon,DualAfter,Traj,NormDeltaOmega,LossReg,WeightMin,RewardStd,WeightMax,DualBefore,WeightMean,OmegaBefore,Primal,TimestepsMean,ConfortViolation,RewardMean,NormDeltaVar,Omega,ITERATIONS,TimestepsStd
55.80110290486604,4.494790587815783,0.0,[[-0.49194345]],0.16866543472289747,1169.878787878788,0.0,0.2401,4.285550022586741,100,0.4919434455915021,0.0,0.10808927715585501,2.4174326229287137,1.0,6.727852344291598,0.10808927715585501,[[0.8]],4.2855500240845945,500.0,0,2.33944,31.364502900544913,[[0.30805655]],0,0.0
110.27525457811528,6.1118708036670535,0.0,[[-0.14445827]],0.2701094067505185,1823.4545454545455,0.0,0.2401,6.515179120516541,100,0.14445827495598637,0.0,0.19472631095853232,3.893311058726235,1.0,8.868078801614868,0.19472631095853232,[[0.30805655]],6.515178654561786,500.0,0,3.647,11.749632505639864,[[0.16359828]],1,0.0
117.84530524275625,5.446298679698166,0.0,[[-0.10686882]],0.6926559466054913,2820.8282828282827,0.0,0.2401,8.563902197185534,100,0.10686881981484672,0.0,0.15943653062074042,4.4559985420105335,1.0,9.547331542562226,0.15943653062074042,[[0.16359828]],8.563902205529311,500.0,0,5.63956,16.848062447375963,[[0.05672946]],2,0.0
115.57742958893253,0.03465331829661707,0.0,[[-0.05672946]],1.0,4075.1717171717173,0.0,0.2401,10.000252443497695,100,0.056729457486592826,0.0,4.725950028386877e-126,3.6482429688824185,1.0,10.007599272001734,4.725950028386877e-126,[[0.05672946]],10.000000000001796,500.0,0,8.1518,244.94628584829212,[[2.15107203e-09]],3,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],4,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],5,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],6,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],7,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],8,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],9,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],10,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],11,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],12,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],13,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],14,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],15,0.0
0.0,0.0050179314406610465,0.0,[[0.]],1.0,4990.0,0.0,0.2401,10.001194759426758,100,0.0,0.0,0.0,0.4467661580737735,1.0,10.238098088311146,0.0,[[2.15107203e-09]],9.999999999997792,500.0,0,9.98,0.0,[[2.15107203e-09]],16,0.0
