NormDeltaOmega,ITERATIONS,RewardStd,WeightMedian,DualReg,TimestepsMean,Epsilon,ReturnsMean,WeightMin,OmegaBefore,DualAfter,Primal,RewardMean,TimestepsStd,Wins,ConfortViolation,Omega,LossReg,ReturnsStd,WeightMean,DualBefore,NormDeltaVar,Traj,Eta,WeightMax,DeltaOmega
0.02014250063884926,0,2.436871617791959,0.05037396412209858,0.0,500.0,0.7601,1177.6767676767677,0.023864792392098773,[[0.8]],6.0641790659758605,6.064179069665831,2.35572,0.0,0.0,0,[[0.8201425]],0.0,61.80563020393548,0.023864792392098773,7.266933225257394,1.8716982595719216,100,2.677124566208062,1.0,[[0.0201425]]
0.019799587760234272,1,2.4633606638086922,0.04859396628486577,0.0,500.0,0.7601,1193.8989898989898,0.022815392004481974,[[0.8201425]],6.090962605188883,6.090961453993646,2.3868,0.0,0.0,0,[[0.83994209]],0.0,60.24822306772275,0.022815392004481974,7.203843581779146,2.00691443623392,100,2.645278788522592,1.0,[[0.01979959]]
0.00877743786593288,2,2.477720531779159,0.04746530775778153,0.0,500.0,0.7601,1202.888888888889,0.022154929704621247,[[0.83994209]],6.105993405828244,6.105991761713722,2.40608,0.0,0.0,0,[[0.84871953]],0.0,72.26395064907466,0.022154929704621247,7.163220056867845,0.9542281184589676,100,2.6248818740244557,1.0,[[0.00877744]]
0.011528412743062488,3,2.5111574625259965,0.047596134980668635,0.0,500.0,0.7601,1214.080808080808,0.022231287206456913,[[0.84871953]],6.1526505449082,6.152648636556631,2.42728,0.0,0.0,0,[[0.86024794]],0.0,59.477807892273894,0.022231287206456913,7.1873013717221275,1.3251081588296927,100,2.627254590946802,1.0,[[0.01152841]]
0.007427241711075339,4,2.5239993039618693,0.046548720027056414,0.0,500.0,0.7601,1219.6767676767677,0.021621443211443166,[[0.86024794]],6.160724655840732,6.160722022599347,2.43944,0.0,0.0,0,[[0.86767518]],0.0,70.82926238324177,0.021621443211443166,7.143898754073087,0.9029569657891372,100,2.608194618806456,1.0,[[0.00742724]]
0.009548231426430465,5,2.559595966866646,0.04628766867136931,0.0,500.0,0.7601,1236.7272727272727,0.02146997973549769,[[0.86767518]],6.2153938897821295,6.21539055428711,2.47192,0.0,0.0,0,[[0.87722341]],0.0,65.69685787757453,0.02146997973549769,7.162166369484649,1.2262512013300721,100,2.6034211587505967,1.0,[[0.00954823]]
0.0038500008727248014,6,2.56790650920161,0.045714128208878865,0.0,500.0,0.7601,1239.2525252525252,0.0211379590619587,[[0.87722341]],6.221875799623026,6.221875800635847,2.4796,0.0,0.0,0,[[0.88107341]],0.0,54.07857049287077,0.0211379590619587,7.1397505108125285,0.5177029157359989,100,2.5929004822673423,1.0,[[0.00385]]
0.003381030505543281,7,2.5804231144523566,0.04543040356771033,0.0,500.0,0.7601,1245.4747474747476,0.020974095612615744,[[0.88107341]],6.240200438517709,6.240200439775389,2.49248,0.0,0.0,0,[[0.88445444]],0.0,60.40642541151427,0.020974095612615744,7.138383454005947,0.466736590472685,100,2.5876788765188175,1.0,[[0.00338103]]
0.0030467489287512306,8,2.597220391110466,0.04564568513497666,0.0,500.0,0.7601,1253.4343434343434,0.02109840684661326,[[0.88445444]],6.269239524007322,6.269239525324465,2.5068,0.0,0.0,0,[[0.88750119]],0.0,69.07413110713217,0.02109840684661326,7.165014760462158,0.43087309395870577,100,2.5916419184647688,1.0,[[0.00304675]]
0.003696788518575911,9,2.6133821078441626,0.045256705832626865,0.0,500.0,0.7601,1263.3737373737374,0.02087390362098723,[[0.88750119]],6.295905412664152,6.295905414395623,2.52672,0.0,0.0,0,[[0.89119798]],0.0,57.62971067686099,0.02087390362098723,7.166855385832874,0.5367067029430395,100,2.5844765021237848,1.0,[[0.00369679]]
