RewardStd,DualReg,TimestepsStd,ITERATIONS,RewardMean,Traj,WeightMin,Primal,WeightMedian,WeightMean,DualBefore,NormDeltaVar,ReturnsStd,TimestepsMean,OmegaBefore,Eta,WeightMax,ConfortViolation,ReturnsMean,Wins,DualAfter,Epsilon,Omega,DeltaOmega,NormDeltaOmega,LossReg
2.475784409030803,0.0,0.0,0,2.3966,20,0.6942162856889935,2.637419364705839,0.7467854333382007,0.6942162856889935,6.556255963340144,21.30271087396654,57.70437603726788,500.0,[[0.8]],27.39938344996838,1.0,0,1191.6842105263158,0.0,2.6374193002061146,0.0045001,[[0.47380017]],[[-0.32619983]],0.32619983125778723,0.0
3.0092709814837217,0.0,0.0,1,2.6396,20,0.7406748700988011,2.9323658908035126,0.7865060867997198,0.7406748700988011,7.8416637919919125,0.8381156348228429,75.20137324142506,500.0,[[0.47380017]],33.31184477600652,1.0,0,1318.7368421052631,0.0,2.9323658904809937,0.0045001,[[0.45920005]],[[-0.01460012]],0.014600122739150012,0.0
3.105059864157211,0.0,0.0,2,2.7482,20,0.7469046152816873,3.0498144218290437,0.7917938322182619,0.7469046152816873,7.92848065629432,0.965094799336272,103.25291005537348,500.0,[[0.45920005]],34.26795850299148,1.0,0,1371.6842105263158,0.0,3.049814415000154,0.0045001,[[0.4424758]],[[-0.01672424]],0.01672424442215198,0.0
3.151598800608986,0.0,0.0,3,2.775,20,0.7500294281206579,3.081062923461437,0.7944428174623636,0.7500294281206579,7.993628652486894,0.14651026468507533,73.09796864065774,500.0,[[0.4424758]],34.76533658387061,1.0,0,1388.9473684210527,0.0,3.081062918972254,0.0045001,[[0.43994732]],[[-0.00252848]],0.002528479251927618,0.0
3.156443764745382,0.0,0.0,4,2.7826,20,0.7501715009326568,3.0889943473644705,0.7945632037650727,0.7501715009326568,7.97025529216795,0.3429080985706281,96.64361810108099,500.0,[[0.43994732]],34.78824370358414,1.0,0,1393.8947368421052,0.0,3.088994342926716,0.0045001,[[0.43404179]],[[-0.00590553]],0.0059055308020616315,0.0
3.2837168209210734,0.0,0.0,5,2.9128,20,0.7578860605994231,3.2310127396691732,0.8010933664267017,0.7578860605994231,8.094968113873845,1.1949707232807936,94.75111003669348,500.0,[[0.43404179]],36.07214451654788,1.0,0,1459.2631578947369,0.0,3.231012738755953,0.0045001,[[0.4136183]],[[-0.02042349]],0.020423489278378615,0.0
3.3016588254996915,0.0,0.0,6,2.907,20,0.7590749904729468,3.2269884877253068,0.8020985776993418,0.7590749904729468,8.12457726632573,0.0432788459517397,79.21526476472292,500.0,[[0.4136183]],36.27726944700835,1.0,0,1446.3157894736842,0.0,3.226988487079315,0.0045001,[[0.41435327]],[[0.00073497]],0.0007349659861968783,0.0
3.247820586177752,0.0,0.0,7,2.8488,20,0.7560018217522637,3.1638664941553944,0.7994996420190745,0.7560018217522637,8.089063478808558,0.7354752267651614,92.46180614485026,500.0,[[0.41435327]],35.75112302278372,1.0,0,1424.842105263158,0.0,3.163866492705054,0.0045001,[[0.42689898]],[[0.01254572]],0.012545716305754406,0.0
3.200835490930454,0.0,0.0,8,2.8096,20,0.7530260504866568,3.12019820965789,0.7969810597171099,0.7530260504866568,8.023182207954852,0.16778713205719953,70.96641943187362,500.0,[[0.42689898]],35.254037185254745,1.0,0,1404.6315789473683,0.0,3.120198206925486,0.0045001,[[0.42977493]],[[0.00287595]],0.0028759486443395987,0.0
3.238010648530977,0.0,0.0,9,2.8448,20,0.7553035409269695,3.1588700389818394,0.798908821375077,0.7553035409269695,8.062491303342593,0.30837719526851615,67.22731933800397,500.0,[[0.42977493]],35.63340176524101,1.0,0,1426.5263157894738,0.0,3.1588700372678833,0.0045001,[[0.424493]],[[-0.00528193]],0.005281933164355768,0.0
