WeightMean,Epsilon,DualBefore,OmegaBefore,ReturnsStd,TimestepsStd,WeightMedian,WeightMax,Traj,Primal,ConfortViolation,RewardStd,DualReg,LossReg,RewardMean,NormDeltaVar,ITERATIONS,ReturnsMean,TimestepsMean,Wins,NormDeltaOmega,DeltaOmega,Omega,DualAfter,Eta,WeightMin
0.003124852005582711,1.5401,8.032178190435506,[[0.8]],60.72578746411128,0.0,0.009905207162553454,1.0,100,7.727006331848118,0,2.428230020076352,0.0,0.0,2.34736,25.247795400863165,0,1173.2929292929293,500.0,0.0,0.159051910134556,[[0.15905191]],[[0.95905191]],7.727006434155945,1.7335924795976065,0.003124852005582711
4.6343610027226345e-05,1.5401,8.012272871738219,[[0.95905191]],73.20369764459959,0.0,0.0003410294532793884,1.0,100,8.012268839412886,0,2.8302544086353794,0.0,0.0,2.76732,45.964434791249396,1,1382.8080808080808,500.0,0.0,0.03924081906127719,[[0.03924082]],[[0.99829273]],8.012272127711476,1.0020615272567093,4.6343610027226345e-05
0.0,1.5401,8.135219849077286,[[0.99829273]],92.36401194723781,0.0,0.0,1.0,100,8.000000000000275,0,2.976855394270941,0.0,0.0,2.96296,173.9430296148965,2,1481.979797979798,500.0,0.0,0.0017072619922650079,[[0.00170726]],[[0.99999999]],8.001023941352349,0.007891111913069826,0.0
0.0,1.5401,8.159312361839438,[[0.99999999]],83.5257551922194,0.0,0.0,1.0,100,7.999999999999947,0,3.001865365668487,0.0,0.0,2.99792,0.0,3,1499.3535353535353,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.00116909872053,0.007589302414307277,0.0
0.0,1.5401,8.147983768516973,[[0.99999999]],67.38160873559154,0.0,0.0,1.0,100,7.99999999999942,0,2.989661759865152,0.0,0.0,2.98204,0.0,4,1492.040404040404,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.00110143000296,0.0077226485494510866,0.0
0.0,1.5401,8.152466796009303,[[0.99999999]],76.31653723623084,0.0,0.0,1.0,100,8.000000000000563,0,2.9944788490820904,0.0,0.0,2.98832,0.0,5,1494.6262626262626,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001128325123515,0.007668195701051271,0.0
0.0,1.5401,8.15379808686402,[[0.99999999]],79.35709428543362,0.0,0.0,1.0,100,7.999999999999767,0,2.9999052689043366,0.0,0.0,2.98424,0.0,6,1492.6868686868686,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001136146653845,0.007650219027528895,0.0
0.0,1.5401,8.13978815552873,[[0.99999999]],73.24121994025568,0.0,0.0,1.0,100,7.999999999999505,0,2.9774966986379687,0.0,0.0,2.97564,0.0,7,1488.080808080808,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001051970826417,0.00783081385705775,0.0
0.0,1.5401,8.16241414627955,[[0.99999999]],78.56760713506233,0.0,0.0,1.0,100,8.000000000000142,0,3.0031936536960115,0.0,0.0,3.00528,0.0,8,1503.4141414141413,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001187524934359,0.007556152225685608,0.0
0.0,1.5401,8.155584205312973,[[0.99999999]],85.63505542761091,0.0,0.0,1.0,100,8.00000000000006,0,2.9967128975595907,0.0,0.0,2.99436,0.0,9,1497.030303030303,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001146974186986,0.007632276711644273,0.0
0.0,1.5401,8.162667106704646,[[0.99999999]],77.3682726134101,0.0,0.0,1.0,100,8.00000000000044,0,3.000972032125591,0.0,0.0,3.00932,0.0,10,1504.2222222222222,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001189098929865,0.007554670692985397,0.0
0.0,1.5401,8.155177607589735,[[0.99999999]],73.97332113382089,0.0,0.0,1.0,100,7.999999999999977,0,2.997587932721908,0.0,0.0,2.99184,0.0,11,1496.6262626262626,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001144506976479,0.007636260616604225,0.0
0.0,1.5401,8.14710354143824,[[0.99999999]],80.58646378323866,0.0,0.0,1.0,100,7.999999999999708,0,2.988293079067045,0.0,0.0,2.98144,0.0,12,1489.939393939394,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.00109614558767,0.007733873846203398,0.0
0.0,1.5401,8.148785606066484,[[0.99999999]],74.1171457267792,0.0,0.0,1.0,100,8.00000000000016,0,2.9905509635517,0.0,0.0,2.98312,0.0,13,1493.111111111111,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.00110625097424,0.007712719838819616,0.0
0.0,1.5401,8.155104761770403,[[0.99999999]],72.62108971336085,0.0,0.0,1.0,100,8.000000000000014,0,2.9964437884932864,0.0,0.0,2.99332,0.0,14,1496.4444444444443,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001144108397655,0.007637694222928766,0.0
0.0,1.5401,8.162822400815324,[[0.99999999]],81.30087617040108,0.0,0.0,1.0,100,8.000000000000242,0,3.0015864381356736,0.0,0.0,3.00888,0.0,15,1504.1616161616162,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001190001739118,0.007552757079865871,0.0
0.0,1.5401,8.153825349341348,[[0.99999999]],85.61461236746649,0.0,0.0,1.0,100,7.999999999999767,0,2.9956888423199093,0.0,0.0,2.9906,0.0,16,1494.3434343434344,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001136453508531,0.007652285226945047,0.0
0.0,1.5401,8.1565437713058,[[0.99999999]],76.0178854364817,0.0,0.0,1.0,100,7.999999999999559,0,2.9970367869614147,0.0,0.0,2.99676,0.0,17,1499.3737373737374,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001152711648038,0.007621619200390911,0.0
0.0,1.5401,8.163116948675555,[[0.99999999]],83.49455601165448,0.0,0.0,1.0,100,7.999999999999553,0,3.0053256100462726,0.0,0.0,3.00424,0.0,18,1503.4949494949494,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001191631300586,0.0075478299405872164,0.0
0.0,1.5401,8.157410606170561,[[0.99999999]],77.93053345176803,0.0,0.0,1.0,100,7.999999999999805,0,2.99919743504825,0.0,0.0,2.99616,0.0,19,1497.939393939394,500.0,0.0,0.0,[[0.]],[[0.99999999]],8.001157826845036,0.0076110615300249065,0.0
