DeltaOmega,WeightMean,Epsilon,ReturnsMean,Traj,NormDeltaVar,ITERATIONS,Eta,DualBefore,LossReg,Omega,WeightMin,ReturnsStd,ConfortViolation,OmegaBefore,DualAfter,RewardStd,DualReg,RewardMean,Primal,WeightMedian,TimestepsMean,WeightMax,Wins,TimestepsStd,NormDeltaOmega
0.00027739155136430327,0.7806215612391924,0.001,147.77179787947279,4347,0.044858610369253336,0,28.649020077888032,6.676408035983992,0.0,8.000277391551364,0.7806215612391924,83.20602512975363,0,8.0,6.478551485052993,1.374631973424985,0.0,6.419141278359224,6.47855156858839,0.9872418005784571,23.020262491365415,1.0,0.0,12.34926352747035,0.00027739155136430327
7.159640081866314e-05,0.7771844894574959,0.001,149.0878999481504,4307,0.012260762741248965,1,28.513124095073113,6.676206695076151,0.0,8.000348987952183,0.7771844894574959,82.9146810162609,0,8.000277391551364,6.480261215332085,1.3686139534447401,0.0,6.421121394378305,6.480261306534021,0.9839965828615002,23.218917034627005,1.0,0.0,12.30512779899174,7.159640081866314e-05
8.837832780628219e-05,0.7791319736540728,0.001,148.71288476662173,4318,0.07451907976705947,2,28.544531583437635,6.675934112010839,0.0,8.00043736627999,0.7791319736540728,82.15841549752925,0,8.000348987952183,6.4794613545401605,1.3699851423377152,0.0,6.420259496342866,6.479461450058289,0.9862086209791119,23.163885025498377,1.0,0.0,12.191973286973163,8.837832780628219e-05
-0.0004020860800491022,0.7766202953653173,0.001,152.07458862276374,4228,0.006401100384185184,3,28.225033903154507,6.677625460345775,0.0,8.00003528019994,0.7766202953653173,87.19928057948366,0,8.00043736627999,6.485931447868736,1.355921253320837,0.0,6.427363328000987,6.485931541974831,0.9856678067457368,23.662168560606062,1.0,0.0,12.94028493060426,0.0004020860800491022
-0.0006807334021408096,0.776240619481574,0.001,151.73950359952119,4234,0.02500874847182724,4,28.262186786003493,6.676722068200145,0.0,7.999354546797799,0.776240619481574,85.21891731845763,0,8.00003528019994,6.484359308445077,1.3575269106101528,0.0,6.4257181785119855,6.4843594108890175,0.9848636602233218,23.615130023640663,1.0,0.0,12.659753915109555,0.0006807334021408096
-0.0002688833584949535,0.7772654865539436,0.001,152.106034912333,4225,0.0038208097565983787,5,28.245751984322226,6.678789410596937,0.0,7.999085663439304,0.7772654865539436,85.25939306572027,0,7.999354546797799,6.486761627437701,1.356842489691158,0.0,6.428152207055993,6.486761724913677,0.986345618763034,23.662876095711916,1.0,0.0,12.653167466222163,0.0002688833584949535
7.311397724052426e-05,0.7757824244536602,0.001,154.46958457514793,4164,0.044254586814983926,6,28.025518614770412,6.678245632454504,0.0,7.999158777416545,0.7757824244536602,89.57916936061746,0,7.999085663439304,6.489375566527038,1.3471079270554194,0.0,6.431203902742588,6.489375670288079,0.9862715913856214,24.018990384615385,1.0,0.0,13.293772940015064,7.311397724052426e-05
-0.00028802882671730146,0.7754635754965902,0.001,154.94167397538786,4152,0.004152225356017152,7,27.98297701263885,6.678376819319445,0.0,7.998870748589828,0.7754635754965902,87.71159375666134,0,7.999158777416545,6.490089285099433,1.3452249995920031,0.0,6.432002241033128,6.490089392327182,0.9862357079149912,24.08944069431051,1.0,0.0,13.022362428399424,0.00028802882671730146
-0.00013333263736026169,0.7747546977369782,0.001,155.69734281905912,4132,0.01021796272284515,8,27.913301055437614,6.677705730396868,0.0,7.998737415952467,0.7747546977369782,89.56704694556758,0,7.998870748589828,6.490341630737148,1.3421270020964406,0.0,6.432393498838034,6.490341745767534,0.9858852060611075,24.20518410852713,1.0,0.0,13.302634314832758,0.00013333263736026169
-0.0005012884646147242,0.7735409020696415,0.001,157.53741132443602,4087,0.10686106660981685,9,27.75943809914232,6.679298075315192,0.0,7.998236127487853,0.7735409020696415,92.53889673313796,0,7.998737415952467,6.494196563963196,1.3353642366540959,0.0,6.436553391244079,6.494196680391136,0.985699009609315,24.475385745775164,1.0,0.0,13.733568110158341,0.0005012884646147242
