WeightMax,Primal,WeightMean,OmegaBefore,RewardMean,RewardStd,Epsilon,DualReg,Wins,WeightMin,TimestepsMean,ITERATIONS,DeltaOmega,NormDeltaVar,Eta,ReturnsStd,NormDeltaOmega,DualAfter,ConfortViolation,LossReg,DualBefore,TimestepsStd,Omega,WeightMedian,ReturnsMean,Traj
1.0,7.924228196265697,0.00216995896124156,[[0.8]],2.34272,2.4219626342286955,1.6601,0.0,0.0,0.00216995896124156,500.0,0,[[0.16767815]],28.755168735526635,1.6305108964137207,58.31448118998834,0.1676781532027699,7.92422524502323,0,0.0,8.153845562779736,0.0,[[0.96767815]],0.007398798781423665,1170.6868686868686,100
1.0,8.10935600683554,9.993905419872132e-09,[[0.96767815]],2.82388,2.8721876236764197,1.6601,0.0,0.0,9.993905419872132e-09,500.0,1,[[0.03231178]],115.82243207543141,0.5428501364184773,82.7332443177177,0.03231178471546703,8.109355972582298,0,0.0,8.162044708002284,0.0,[[0.99998994]],3.9791305503677426e-07,1412.4242424242425,100
1.0,7.999999999999667,0.0,[[0.99998994]],2.99404,2.9954840140451426,1.6601,0.0,0.0,0.0,500.0,2,[[1.00553996e-05]],104.5299448657891,0.005080665527018185,79.27789087271688,1.0055399589758984e-05,8.001369527050137,0,0.0,8.274870263488099,0.0,[[0.99999999]],0.0,1498.1616161616162,100
1.0,8.000000000000519,0.0,[[0.99999999]],2.9806,2.997509572962195,1.6601,0.0,0.0,0.0,500.0,3,[[0.]],0.0,0.0050952076608764725,76.97566720396627,0.0,8.00135581435638,0,0.0,8.271400975547792,0.0,[[0.99999999]],0.0,1491.171717171717,100
1.0,7.999999999999956,0.0,[[0.99999999]],3.01308,3.0074023531280285,1.6601,0.0,0.0,0.0,500.0,4,[[0.]],0.0,0.005028524608884005,88.25309810753967,0.0,8.001417305603747,0,0.0,8.287074273691102,0.0,[[0.99999999]],0.0,1506.5656565656566,100
1.0,8.000000000000492,0.0,[[0.99999999]],2.99264,2.997376491266988,1.6601,0.0,0.0,0.0,500.0,5,[[0.]],0.0,0.005078414955967726,94.5400326512349,0.0,8.001371367822744,0,0.0,8.27533937627656,0.0,[[0.99999999]],0.0,1496.020202020202,100
1.0,7.999999999999955,0.0,[[0.99999999]],3.01056,3.0090876501690675,1.6601,0.0,0.0,0.0,500.0,6,[[0.]],0.0,0.0050283614883692655,83.14069684511084,0.0,8.001417259627713,0,0.0,8.287063613838427,0.0,[[0.99999999]],0.0,1506.2626262626263,100
1.0,7.999999999999671,0.0,[[0.99999999]],2.993,2.995855637376407,1.6601,0.0,0.0,0.0,500.0,7,[[0.]],0.0,0.005081306279328235,81.22401541122242,0.0,8.001368883232724,0,0.0,8.274707391038396,0.0,[[0.99999999]],0.0,1496.4848484848485,100
1.0,7.999999999999947,0.0,[[0.99999999]],2.99676,3.0026370913581952,1.6601,0.0,0.0,0.0,500.0,8,[[0.]],0.0,0.005061029779376187,90.4980516774395,0.0,8.001386952993546,0,0.0,8.279307416702018,0.0,[[0.99999999]],0.0,1496.040404040404,100
1.0,8.000000000000197,0.0,[[0.99999999]],2.95604,2.9743146300282355,1.6601,0.0,0.0,0.0,500.0,9,[[0.]],0.0,0.005187720234079098,80.60190364208204,0.0,8.001276939857599,0,0.0,8.251629103354919,0.0,[[0.99999999]],0.0,1479.858585858586,100
1.0,7.999999999999493,0.0,[[0.99999999]],2.99056,2.997157134085565,1.6601,0.0,0.0,0.0,500.0,10,[[0.]],0.0,0.005081844016316483,69.97630452940686,0.0,8.001368211342777,0,0.0,8.274538495260591,0.0,[[0.99999999]],0.0,1495.2727272727273,100
1.0,8.000000000000409,0.0,[[0.99999999]],3.00292,3.0009317675682,1.6601,0.0,0.0,0.0,500.0,11,[[0.]],0.0,0.005056227197261367,72.59792088289252,0.0,8.001391699247964,0,0.0,8.280515731150402,0.0,[[0.99999999]],0.0,1501.1919191919192,100
1.0,8.00000000000016,0.0,[[0.99999999]],2.97272,2.9865123139876726,1.6601,0.0,0.0,0.0,500.0,12,[[0.]],0.0,0.005132279091845147,86.8194645605991,0.0,8.001323718088768,0,0.0,8.263307151073493,0.0,[[0.99999999]],0.0,1487.6565656565656,100
1.0,8.000000000000163,0.0,[[0.99999999]],2.97212,2.9827273937790557,1.6601,0.0,0.0,0.0,500.0,13,[[0.]],0.0,0.005142222055961993,78.51187605818173,0.0,8.00131540399325,0,0.0,8.261219147227132,0.0,[[0.99999999]],0.0,1484.8080808080808,100
1.0,7.999999999999764,0.0,[[0.99999999]],3.00472,3.0042066709199617,1.6601,0.0,0.0,0.0,500.0,14,[[0.]],0.0,0.005046668109607466,80.31286135108202,0.0,8.001400343836217,0,0.0,8.2827261484709,0.0,[[0.99999999]],0.0,1501.8383838383838,100
1.0,8.000000000000203,0.0,[[0.99999999]],3.0102,3.0075731013559754,1.6601,0.0,0.0,0.0,500.0,15,[[0.]],0.0,0.005032043358953942,72.54526608303297,0.0,8.001413902751096,0,0.0,8.286201045442391,0.0,[[0.99999999]],0.0,1504.949494949495,100
1.0,8.000000000000098,0.0,[[0.99999999]],2.974,2.988237607687849,1.6601,0.0,0.0,0.0,500.0,16,[[0.]],0.0,0.005126295548390169,84.19347947146314,0.0,8.001328837207097,0,0.0,8.264593853116947,0.0,[[0.99999999]],0.0,1486.7676767676767,100
