Eta,RewardStd,RewardMean,ITERATIONS,OmegaBefore,ReturnsStd,WeightMean,Primal,ReturnsMean,Traj,Omega,LossReg,NormDeltaVar,DeltaOmega,TimestepsMean,WeightMin,WeightMedian,DualAfter,Epsilon,ConfortViolation,NormDeltaOmega,DualReg,DualBefore,TimestepsStd,WeightMax,Wins
1.4305363952494445,2.414879177101828,2.3316,0,[[0.8]],82.08974212270894,0.0009206920995360618,8.283834133179855,1168.1052631578948,20,[[0.98182856]],0.0,37.18959177038673,[[0.18182856]],500.0,0.0009206920995360618,0.0037264176927018933,8.28383128278125,1.9,0,0.18182856366102196,0.0,8.393413535726069,0.0,1.0,0.0
0.4231536665847529,2.946639570765315,2.9218,1,[[0.98182856]],83.27772844765677,5.4540535209182964e-11,8.250518166762223,1463.3684210526317,20,[[0.99999412]],0.0,115.05071694883384,[[0.01816555]],500.0,5.4540535209182964e-11,6.157090204957084e-09,8.250518196357358,1.9,0,0.018165551445137207,0.0,8.473188209481972,0.0,1.0,0.0
0.004309325321018927,3.0062478340948537,3.0086,2,[[0.99999412]],83.08337767224779,0.0,7.999999999999901,1506.3157894736842,20,[[0.99999997]],0.0,74.82595302474024,[[5.85363403e-06]],500.0,0.0,0.0,8.002239503410129,1.9,0,5.853634034602706e-06,0.0,8.52491891429538,0.0,1.0,0.0
0.004344900390670166,2.990626395924439,2.9876,3,[[0.99999997]],87.55958794125984,0.0,8.000000000000048,1495.0526315789473,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002193595479543,1.9,0,0.0,0.0,8.510217772603825,0.0,1.0,0.0
0.004294334437462696,3.0112442544569515,3.0202,4,[[0.99999997]],83.77492600502141,0.0,8.000000000000004,1507.157894736842,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002258946118449,1.9,0,0.0,0.0,8.53122044422475,0.0,1.0,0.0
0.004294334437381784,3.0112442544569515,3.0202,5,[[0.99999997]],79.99529072011752,0.0,8.000000000000004,1511.2631578947369,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002258946118406,1.9,0,0.0,0.0,8.53122044422475,0.0,1.0,0.0
0.004297018422711453,3.00508475088474,3.0258,6,[[0.99999997]],55.11428569377114,0.0,8.000000000000085,1518.3157894736842,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002255261687038,1.9,0,0.0,0.0,8.530074715702929,0.0,1.0,0.0
0.0043819548516062555,2.9747746872662475,2.9666,7,[[0.99999997]],72.56457626508858,0.0,7.999999999999945,1481.4736842105262,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002146380949755,1.9,0,0.0,0.0,8.495297278606403,0.0,1.0,0.0
0.004250894025819763,3.030524172482378,3.0482,8,[[0.99999997]],67.7919254215026,0.0,7.999999999999909,1526.2105263157894,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002315957774234,1.9,0,0.0,0.0,8.549862111728935,0.0,1.0,0.0
0.004325445798796571,2.9965300198729863,3.0028,9,[[0.99999997]],76.82465555296051,0.0,8.000000000000078,1504.842105263158,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002218544155992,1.9,0,0.0,0.0,8.518207586190346,0.0,1.0,0.0
0.004312153564994962,3.004787539910268,3.0072,10,[[0.99999997]],83.47454701883683,0.0,7.999999999999943,1498.0,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.00223582642155,1.9,0,0.0,0.0,8.523736232819836,0.0,1.0,0.0
0.004341915628672133,2.9893065684201745,2.9932,11,[[0.99999997]],70.10368261218146,0.0,8.000000000000076,1500.0,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002197341949714,1.9,0,0.0,0.0,8.511434585751719,0.0,1.0,0.0
0.004446683477893895,2.9522981963209607,2.9256,12,[[0.99999997]],101.03519586423386,0.0,7.999999999999997,1460.3157894736842,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002065552930793,1.9,0,0.0,0.0,8.470173369981993,0.0,1.0,0.0
0.004467851929058654,2.946333144775044,2.911,13,[[0.99999997]],89.88487558385872,0.0,7.999999999999895,1451.157894736842,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.0020395751433,1.9,0,0.0,0.0,8.462208935131887,0.0,1.0,0.0
0.0043400940731090016,2.9974196302820197,2.9834,14,[[0.99999997]],73.40503503830693,0.0,8.000000000000078,1494.7368421052631,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002199917358734,1.9,0,0.0,0.0,8.51218687453102,0.0,1.0,0.0
0.004309287858392105,3.0043751496775495,3.0114,15,[[0.99999997]],88.808674178924,0.0,7.999999999999901,1506.421052631579,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002239483941262,1.9,0,0.0,0.0,8.52493078281173,0.0,1.0,0.0
0.004355751271034142,2.985643776474346,2.9818,16,[[0.99999997]],82.36557923464923,0.0,8.000000000000028,1492.7368421052631,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.002179695226886,1.9,0,0.0,0.0,8.505807072205423,0.0,1.0,0.0
0.004244751058965695,3.0341718804312983,3.051,17,[[0.99999997]],89.89461358305367,0.0,8.000000000000012,1528.1052631578948,20,[[0.99999997]],0.0,0.0,[[0.]],500.0,0.0,0.0,8.00232411660834,1.9,0,0.0,0.0,8.55254659335623,0.0,1.0,0.0
