DualAfter,ReturnsStd,Eta,NormDeltaOmega,Wins,LossReg,Primal,DeltaOmega,NormDeltaVar,ConfortViolation,ReturnsMean,TimestepsStd,ITERATIONS,WeightMedian,WeightMax,DualBefore,RewardMean,TimestepsMean,Epsilon,WeightMin,DualReg,OmegaBefore,WeightMean,Traj,Omega,RewardStd
7.08353096772008,53.43116218977179,2.060933032807869,0.12040266593624782,0.0,0.0,7.0835309705204565,[[0.12040267]],15.164804184374322,0,1161.858585858586,0.0,0,0.020614985913603733,1.0,7.697554471235634,2.32444,500.0,1.2201,0.007811398661660233,0.0,[[0.8]],0.007811398661660233,100,[[0.92040267]],2.400887062400062
7.383475394209473,78.61373658359416,1.7943362483643184,0.04764286554797281,0.0,0.0,7.38347682038387,[[0.04764287]],13.75909197299957,0,1299.959595959596,0.0,1,0.01158003067201938,1.0,7.603027284858672,2.60008,500.0,1.2201,0.003798718721468941,0.0,[[0.92040267]],0.003798718721468941,100,[[0.96804553]],2.686809258879387
7.642404891496476,79.64161127388996,1.5978756171300184,0.016845488960555266,0.0,0.0,7.642405588961076,[[0.01684549]],10.946780916694344,0,1414.040404040404,0.0,2,0.006693304887938624,1.0,7.729350694406696,2.82664,500.0,1.2201,0.0019144796752776974,0.0,[[0.96804553]],0.0019144796752776974,100,[[0.98489102]],2.876502444010782
7.702761865904774,66.58375008920143,1.53232122381433,0.0032812204671026635,0.0,0.0,7.702762338944433,[[0.00328122]],3.545228932906106,0,1444.4242424242425,0.0,3,0.0054028027625899885,1.0,7.763905462801981,2.8884,500.0,1.2201,0.0014647850256659816,0.0,[[0.98489102]],0.0014647850256659816,100,[[0.98817224]],2.9216477268828975
7.741257939355407,86.80616025501041,1.4940185073620469,0.0017316133475245854,0.0,0.0,7.741258159281473,[[0.00173161]],2.2863756960165205,0,1462.6060606060605,0.0,4,0.004725953166766084,1.0,7.7908332216244265,2.92532,500.0,1.2201,0.0012391154354234137,0.0,[[0.98817224]],0.0012391154354234137,100,[[0.98990385]],2.949824214694835
7.737017712400021,80.825952569168,1.49749346827359,2.8621139962048403e-05,0.0,0.0,7.737017948240218,[[-2.862114e-05]],0.0408537268539817,0,1458.6464646464647,0.0,5,0.004785042542106438,1.0,7.787329951058169,2.9186,500.0,1.2201,0.0012585116904444268,0.0,[[0.98990385]],0.0012585116904444268,100,[[0.98987523]],2.94926669529902
7.7548481487821705,80.24691514994542,1.4809024630307333,0.00055615992318514,0.0,0.0,7.754848304860761,[[0.00055616]],0.8151235419909426,0,1468.2626262626263,0.0,6,0.004507054930870977,1.0,7.801013600482243,2.93896,500.0,1.2201,0.0011677935278444113,0.0,[[0.98987523]],0.0011677935278444113,100,[[0.99043139]],2.958992078123901
7.756321720102705,72.66937089011255,1.4761893407842286,0.00021517420530692277,0.0,0.0,7.756321854083321,[[0.00021517]],0.32802065163623695,0,1469.6969696969697,0.0,7,0.004429985327581679,1.0,7.8009538128397935,2.93984,500.0,1.2201,0.0011428858604996621,0.0,[[0.99043139]],0.0011428858604996621,100,[[0.99064657]],2.962036592346556
7.744932218815922,77.79692798483212,1.4875060785899197,0.00036191067909197017,0.0,0.0,7.744932401490653,[[-0.00036191]],0.5475487446968685,0,1464.040404040404,0.0,8,0.01771051120457039,1.0,7.792345717705857,2.92652,500.0,1.2201,0.0046164499282707674,0.0,[[0.99064657]],0.0046164499282707674,100,[[0.99028466]],2.9557605940941833
7.72438563635345,67.26594439066385,1.5115831421489714,0.0009345148885011589,0.0,0.0,7.724385955968637,[[-0.00093451]],1.3254897796945926,0,1451.858585858586,0.0,9,0.005029350534861667,1.0,7.778795273018865,2.90452,500.0,1.2201,0.0013393370491200413,0.0,[[0.99028466]],0.0013393370491200413,100,[[0.98935014]],2.9409120302382386
