Omega,Eta,Primal,ReturnsStd,WeightMax,TimestepsMean,ReturnsMean,WeightMean,RewardStd,OmegaBefore,WeightMedian,Traj,ITERATIONS,DualBefore,DualReg,ConfortViolation,Epsilon,DualAfter,WeightMin,LossReg,NormDeltaVar,Wins,RewardMean,DeltaOmega,TimestepsStd,NormDeltaOmega
[[0.93908513]],1.9176723704379846,7.359557753253247,56.77626736825704,1.0,500.0,1169.030303030303,0.005436308154658386,2.414918226358814,[[0.8]],0.015425642186319935,100,0,7.827089072486814,0.0,0,1.3501,7.359557743999552,0.005436308154658386,0.0,19.27334925299439,0.0,2.3386,[[0.13908513]],0.0,0.13908512937856854
[[0.98408165]],1.5328949479962481,7.693717718623866,78.90248075464947,1.0,500.0,1340.5454545454545,0.0014683671885934461,2.7558591069936793,[[0.93908513]],0.005413370315399079,100,1,7.7777100943030915,0.0,0,1.3501,7.6937176034076185,0.0014683671885934461,0.0,19.840105690208006,0.0,2.68232,[[0.04499652]],0.0,0.04499651854928921
[[0.99498213]],1.259813072143986,7.8778283124381545,66.13745877117525,1.0,500.0,1438.4242424242425,0.00035703186040018085,2.917871024154427,[[0.98408165]],0.0017464878888307886,100,2,7.889535047393237,0.0,0,1.3501,7.877828337650659,0.00035703186040018085,0.0,16.649766574570712,0.0,2.87692,[[0.01090049]],0.0,0.010900485222722689
[[0.99772366]],1.1004636339406297,7.942372130841151,83.9814770099173,1.0,500.0,1482.20202020202,0.00011311800187135214,2.9736653207783825,[[0.99498213]],0.0006963464727527707,100,3,7.943633047568992,0.0,0,1.3501,7.942369526608183,0.00011311800187135214,0.0,11.331270999794157,0.0,2.9616,[[0.00274153]],0.0,0.002741529990794578
[[0.99804658]],1.0747298320197505,7.9492606650072775,77.86545235561033,1.0,500.0,1484.4040404040404,0.0005850979922828872,2.9820288867816154,[[0.99772366]],0.0037620230824423405,100,4,7.949921312265273,0.0,0,1.3501,7.949265591693617,0.0005850979922828872,0.0,2.1900984788462523,0.0,2.96928,[[0.00032291]],0.0,0.00032291191605404723
[[0.99860107]],1.0179068743300368,7.963797429360279,84.88964369685432,1.0,500.0,1496.3030303030303,0.00038615754386356257,2.994891109873613,[[0.99804658]],0.0027546941874398044,100,5,7.963830493121648,0.0,0,1.3501,7.963797333403567,0.00038615754386356257,0.0,4.777578694858903,0.0,2.9918,[[0.00055449]],0.0,0.0005544928871109578
[[0.99920314]],0.9329961357750657,7.9795307846466335,86.79267992663942,1.0,500.0,1510.20202020202,0.000188855874443088,3.0098230111420174,[[0.99860107]],0.0016110086553106965,100,6,7.979907956293373,0.0,0,1.3501,7.979531286679094,0.000188855874443088,0.0,8.048348552502944,0.0,3.01804,[[0.00060207]],0.0,0.0006020690795811579
[[0.99863322]],1.0133234891272658,7.964782539766065,70.53879543240723,1.0,500.0,1496.4444444444443,0.00037267138288569535,2.994897610536961,[[0.99920314]],0.0026822208473078583,100,7,7.964793798112137,0.0,0,1.3501,7.964775527824888,0.00037267138288569535,0.0,7.715687298898601,0.0,2.99468,[[-0.00056991]],0.0,0.0005699135141066236
[[0.99814119]],1.0650216685667588,7.95194621234915,69.71230397847387,1.0,500.0,1486.8484848484848,0.000546714265828489,2.9833680564087293,[[0.99863322]],0.003575364344529551,100,8,7.952434415521813,0.0,0,1.3501,7.951947734104783,0.000546714265828489,0.0,4.399595916605492,0.0,2.9748,[[-0.00049203]],0.0,0.0004920287382786936
[[0.998262]],1.0533761052814716,7.95509749349616,84.15363874963822,1.0,500.0,1488.7676767676767,0.0005031469319653223,2.9862181651044852,[[0.99814119]],0.003359472741667884,100,9,7.955417432349115,0.0,0,1.3501,7.955097783145132,0.0005031469319653223,0.0,0.9616732022101218,0.0,2.97948,[[0.0001208]],0.0,0.0001208003654361578
