Omega,Eta,Primal,ReturnsStd,WeightMax,TimestepsMean,ReturnsMean,WeightMean,RewardStd,OmegaBefore,WeightMedian,Traj,ITERATIONS,DualBefore,DualReg,ConfortViolation,Epsilon,DualAfter,WeightMin,LossReg,NormDeltaVar,Wins,RewardMean,DeltaOmega,TimestepsStd,NormDeltaOmega
[[0.99875099]],0.9998705837019836,7.967709604153001,83.98924725051894,1.0,500.0,1498.2626262626263,0.0003351154480743042,2.9987724155060516,[[0.998262]],0.002476827929238587,100,10,7.9678133939477025,0.0,0,1.3501,7.967813378856634,0.0003351154480743042,0.0,4.726824217120125,0.0,2.998,[[0.000489]],0.0,0.0004889965863633661
[[0.99840679]],1.038607873817562,7.958876382523968,84.05444230070535,1.0,500.0,1495.111111111111,0.00045164310299020995,2.989731993607454,[[0.99875099]],0.003098107883847766,100,11,7.959033078428404,0.0,0,1.3501,7.958871120541123,0.00045164310299020995,0.0,3.4820528693195882,0.0,2.98508,[[-0.0003442]],0.0,0.0003441985706579276
[[0.99856682]],1.023250797689178,7.9626460561120975,76.32086344185686,1.0,500.0,1494.121212121212,0.00040233714763975443,2.995384485771401,[[0.99840679]],0.002840812691296851,100,12,7.962702201817138,0.0,0,1.3501,7.96264568617805,0.00040233714763975443,0.0,1.5145238323584351,0.0,2.98768,[[0.00016003]],0.0,0.0001600315418249787
[[0.99891172]],0.9781126208922177,7.971976636696833,85.64208949525313,1.0,500.0,1503.7575757575758,0.0002804774435718857,3.002260809723232,[[0.99856682]],0.0021673220790229537,100,13,7.972021880848947,0.0,0,1.3501,7.971976820479648,0.0002804774435718857,0.0,3.937675488607127,0.0,3.00548,[[0.00034489]],0.0,0.00034489307235197053
[[0.99875024]],1.002158118222974,7.967317512021418,78.6502761091641,1.0,500.0,1495.8181818181818,0.00034129196871817536,3.000633443524884,[[0.99891172]],0.0025109875039827324,100,14,7.967321349421084,0.0,0,1.3501,7.967320893830951,0.00034129196871817536,0.0,1.9786984416907387,0.0,2.99376,[[-0.00016147]],0.0,0.00016147303808333735
[[0.99860443]],1.0166226295545864,7.964047412890566,78.39031525880516,1.0,500.0,1495.7777777777778,0.00038234266806425575,2.9942008159774454,[[0.99875024]],0.002734258524778435,100,15,7.964075863226844,0.0,0,1.3501,7.964047347454834,0.00038234266806425575,0.0,1.5785651278057884,0.0,2.99356,[[-0.00014581]],0.0,0.00014581245193190373
[[0.99810958]],1.0677591114966196,7.951174506143575,78.67717163832484,1.0,500.0,1485.3939393939395,0.000557344729167227,2.982528750171572,[[0.99860443]],0.003627378911032969,100,16,7.951708416848857,0.0,0,1.3501,7.951176659568556,0.000557344729167227,0.0,4.342748595478227,0.0,2.97388,[[-0.00049485]],0.0,0.0004948504104981266
[[0.99855861]],1.0224889942932036,7.962741361536263,85.02661436570814,1.0,500.0,1495.010101010101,0.00040000036653485224,2.993631721905685,[[0.99810958]],0.002828429068590565,100,17,7.9627939314346605,0.0,0,1.3501,7.962741050426151,0.00040000036653485224,0.0,3.8805592801729887,0.0,2.99056,[[0.00044903]],0.0,0.00044902706654537106
[[0.99877038]],0.9983782332566901,7.969268760049064,89.17408792553637,1.0,500.0,1499.111111111111,4.466841027523584e-05,3.000479576601047,[[0.99855861]],0.0003311314242937913,100,18,7.969270932084866,0.0,0,1.3501,7.969270666686219,4.466841027523584e-05,0.0,2.2730891411177936,0.0,2.99848,[[0.00021177]],0.0,0.00021177192436716563
[[0.9982562]],1.0565041244086335,7.954396921776054,82.82730228540078,1.0,500.0,1487.959595959596,0.0005145886540406377,2.988056716730792,[[0.99877038]],0.003416608010556753,100,19,7.954757169853853,0.0,0,1.3501,7.9543973906653855,0.0005145886540406377,0.0,4.998218345678822,0.0,2.97476,[[-0.00051418]],0.0,0.0005141776874851844
