DualAfter,WeightMedian,NormDeltaOmega,ReturnsStd,TimestepsStd,Epsilon,RewardStd,DualBefore,Traj,LossReg,Wins,ConfortViolation,ITERATIONS,Primal,Eta,Omega,NormDeltaVar,WeightMin,ReturnsMean,DeltaOmega,RewardMean,WeightMax,WeightMean,DualReg,OmegaBefore,TimestepsMean
7.585040293548312,0.011712835859245669,0.15102457383153867,58.86405561256259,0.0,1.4801,2.4035168779103673,7.9511803296293655,100,0.0,0.0,0,0,7.585042214319322,1.7989372953811213,[[0.95102457]],22.57038393621377,0.003853253411108794,1164.1818181818182,[[0.15102457]],2.32776,1.0,0.003853253411108794,0.0,[[0.8]],500.0
7.946378671157991,0.0012077875902413648,0.04450243740543269,75.959101653238,0.0,1.4801,2.8243728932278045,7.954242426291868,100,0.0,0.0,0,1,7.946378980033395,1.1906595678500875,[[0.99552701]],34.84277439354343,0.00022515842587574576,1379.1515151515152,[[0.04450244]],2.7576,1.0,0.00022515842587574576,0.0,[[0.95102457]],500.0
8.000817282031571,4.960279766555038e-215,0.004472977318363269,83.76807566710177,0.0,1.4801,2.97388472970961,8.072699208673008,100,0.0,0.0,0,2,8.000000000000314,0.01215917988873665,[[0.99999999]],184.00752390493398,1.8225308819677802e-286,1479.979797979798,[[0.00447298]],2.95988,1.0,1.8225308819677802e-286,0.0,[[0.99552701]],500.0
8.00082688010894,0.0,2.509127572380976e-09,82.98388439251637,0.0,1.4801,3.0048104832085505,8.104313036367945,100,0.0,0.0,0,3,7.999999999999969,0.008346275512659769,[[0.99999999]],3.5355339059327093,0.0,1504.909090909091,[[2.50912757e-09]],3.0086,1.0,0.0,0.0,[[0.99999999]],500.0
8.000765848003468,1.0324240573738186e-305,0.0,79.41403606138414,0.0,1.4801,2.9988072765017764,8.094929082296927,100,0.0,0.0,0,4,8.00000000000043,0.008543886208473366,[[0.99999999]],0.0,0.0,1494.3434343434344,[[0.]],2.98928,1.0,0.0,0.0,[[0.99999999]],500.0
8.000735930516713,7.345331238542391e-302,0.0,76.30650954966487,0.0,1.4801,2.9939183197943127,8.090377031839136,100,0.0,0.0,0,5,8.000000000000329,0.008653180942494277,[[0.99999999]],0.0,0.0,1491.2323232323233,[[0.]],2.98288,1.0,0.0,0.0,[[0.99999999]],500.0
8.000740284776809,2.3194763309938923e-302,0.0,82.87550760163431,0.0,1.4801,2.993053181218135,8.09102723360379,100,0.0,0.0,0,6,8.000000000000412,0.0086388193017557,[[0.99999999]],0.0,0.0,1492.4646464646464,[[0.]],2.98612,1.0,0.0,0.0,[[0.99999999]],500.0
8.00084567371143,0.0,0.0,84.51054394303227,0.0,1.4801,3.006891241398664,8.107235990360094,100,0.0,0.0,0,7,7.999999999999982,0.008289953575394079,[[0.99999999]],0.0,0.0,1507.3737373737374,[[0.]],3.01432,1.0,0.0,0.0,[[0.99999999]],500.0
8.000758234684163,1.2451187719407718e-304,0.0,84.14718837426932,0.0,1.4801,2.9948904431381123,8.093750175803152,100,0.0,0.0,0,8,7.99999999999969,0.008574287026256283,[[0.99999999]],0.0,0.0,1496.4242424242425,[[0.]],2.99156,1.0,0.0,0.0,[[0.99999999]],500.0
8.000798100322298,0.0,0.0,81.05241847948356,0.0,1.4801,3.0021857413557878,8.09986928565457,100,0.0,0.0,0,9,7.999999999999565,0.00843610412507804,[[0.99999999]],0.0,0.0,1499.979797979798,[[0.]],2.99912,1.0,0.0,0.0,[[0.99999999]],500.0
8.00085298969329,0.0,0.0,80.97028669718104,0.0,1.4801,3.01094334294088,8.108398269345951,100,0.0,0.0,0,10,7.999999999999539,0.008265295040562089,[[0.99999999]],0.0,0.0,1506.7878787878788,[[0.]],3.01184,1.0,0.0,0.0,[[0.99999999]],500.0
8.000832324474764,0.0,0.0,74.29080811919438,0.0,1.4801,3.007368490890333,8.105170622661708,100,0.0,0.0,0,11,7.999999999999696,0.008327679767026783,[[0.99999999]],0.0,0.0,1504.8686868686868,[[0.]],3.0074,1.0,0.0,0.0,[[0.99999999]],500.0
8.000765914709572,1.0975400839252045e-305,0.0,83.98963598663852,0.0,1.4801,2.9980109021816452,8.094934220403017,100,0.0,0.0,0,12,8.00000000000043,0.008544630389229882,[[0.99999999]],0.0,0.0,1495.3939393939395,[[0.]],2.99048,1.0,0.0,0.0,[[0.99999999]],500.0
8.000834320511716,0.0,0.0,75.83129073559991,0.0,1.4801,3.0080602416839994,8.105483799815515,100,0.0,0.0,0,13,7.9999999999997,0.008321176139645652,[[0.99999999]],0.0,0.0,1502.828282828283,[[0.]],3.00732,1.0,0.0,0.0,[[0.99999999]],500.0
8.000875062017492,0.0,0.0,80.00456573033964,0.0,1.4801,3.0136198130487535,8.111857755891746,100,0.0,0.0,0,14,8.000000000000293,0.008202498337689944,[[0.99999999]],0.0,0.0,1510.5656565656566,[[0.]],3.01832,1.0,0.0,0.0,[[0.99999999]],500.0
8.000814687329814,0.0,0.0,73.75096595356408,0.0,1.4801,3.0024989687924952,8.102418566099665,100,0.0,0.0,0,15,8.000000000000142,0.00838500693388687,[[0.99999999]],0.0,0.0,1502.6868686868686,[[0.]],3.00632,1.0,0.0,0.0,[[0.99999999]],500.0
8.000762363887468,3.488574095270723e-305,0.0,84.88853792493761,0.0,1.4801,2.9961989402574725,8.0943841369984,100,0.0,0.0,0,16,8.000000000000147,0.008558725463148094,[[0.99999999]],0.0,0.0,1496.3434343434344,[[0.]],2.99152,1.0,0.0,0.0,[[0.99999999]],500.0
8.000731731005665,2.7393924479013775e-301,0.0,93.69732251295838,0.0,1.4801,2.992847447899742,8.08973897493231,100,0.0,0.0,0,17,8.000000000000291,0.008669638523592114,[[0.99999999]],0.0,0.0,1492.060606060606,[[0.]],2.98256,1.0,0.0,0.0,[[0.99999999]],500.0
8.000763993345252,2.3423090653118706e-305,0.0,82.83015518948034,0.0,1.4801,2.9956954117533376,8.094628172055597,100,0.0,0.0,0,18,7.999999999999808,0.00855386484570743,[[0.99999999]],0.0,0.0,1495.5353535353536,[[0.]],2.993,1.0,0.0,0.0,[[0.99999999]],500.0
8.000881754085032,0.0,0.0,89.60842385372267,0.0,1.4801,3.011799831595719,8.11289393127375,100,0.0,0.0,0,19,8.000000000000266,0.008186482259290697,[[0.99999999]],0.0,0.0,1512.8686868686868,[[0.]],3.02412,1.0,0.0,0.0,[[0.99999999]],500.0
