ReturnsStd,DualReg,WeightMean,TimestepsMean,ITERATIONS,Omega,ConfortViolation,WeightMedian,DualAfter,RewardMean,ReturnsMean,NormDeltaVar,WeightMin,Traj,TimestepsStd,NormDeltaOmega,Wins,Epsilon,LossReg,WeightMax,OmegaBefore,Eta,DualBefore,DeltaOmega,Primal,RewardStd
62.88016955197735,0.0,0.0074061497094426755,500.0,0,[[0.92518035]],0,0.019754861507172743,7.147694692638848,2.33448,1166.7676767676767,16.123053583677407,0.0074061497094426755,100,0.0,0.1251803480280257,0.0,1.2401,0.0,1.0,[[0.8]],2.038551212367555,7.733447992236754,[[0.12518035]],7.147690776478214,2.4154095159206443
65.3559926473535,0.0,0.003199429970790113,500.0,1,[[0.97272589]],0,0.0100938788295877,7.46089551858921,2.63316,1315.3737373737374,15.132235278896019,0.003199429970790113,100,0.0,0.04754554610850581,0.0,1.2401,0.0,1.0,[[0.92518035]],1.7407099037353586,7.64262042736499,[[0.04754555]],7.460895794892262,2.7172906385589304
73.63703703395795,0.0,0.00150122327758637,500.0,2,[[0.98742441]],0,0.0055100587807032295,7.6978640165255,2.849,1423.6363636363637,11.273971258622765,0.00150122327758637,100,0.0,0.014698519041942637,0.0,1.2401,0.0,1.0,[[0.97272589]],1.5381125088263248,7.764413633149706,[[0.01469852]],7.69786452660774,2.8945878808562715
75.06079568368898,0.0,0.001137032595757724,500.0,3,[[0.99010133]],0,0.004411825555003702,7.748467647846629,2.90348,1450.909090909091,3.458057811824361,0.001137032595757724,100,0.0,0.002676914172283107,0.0,1.2401,0.0,1.0,[[0.98742441]],1.4750712813877038,7.794593189871751,[[0.00267691]],7.7484678262288,2.9334150558010026
80.28937562581888,0.0,0.0009288263674480259,500.0,4,[[0.99172014]],0,0.0037527326736584133,7.785100489165982,2.94048,1470.0,2.5743979308961684,0.0009288263674480259,100,0.0,0.0016188092094444606,0.0,1.2401,0.0,1.0,[[0.99010133]],1.432338737423596,7.820710812448688,[[0.00161881]],7.785098803065847,2.9611310963211337
79.08325878605677,0.0,0.000823743728192945,500.0,5,[[0.99247215]],0,0.0034090525573129576,7.803225025218524,2.96104,1480.5858585858587,1.3710809059246287,0.000823743728192945,100,0.0,0.0007520183690541415,0.0,1.2401,0.0,1.0,[[0.99172014]],1.4081232489512912,7.833711498073868,[[0.00075202]],7.803224268970277,2.974196045723953
82.22376590018415,0.0,0.0008401120246997228,500.0,6,[[0.99223327]],0,0.003463137704558749,7.799688418731951,2.96084,1480.141414141414,0.44972544603938047,0.0008401120246997228,100,0.0,0.00023888223730639258,0.0,1.2401,0.0,1.0,[[0.99247215]],1.412035422187727,7.831037462334164,[[-0.00023888]],7.799687529823589,2.9689975571562868
77.94290224652379,0.0,0.0009595441472029646,500.0,7,[[0.99152913]],0,0.00385169569898637,7.780530119484071,2.9344,1467.0707070707072,1.249913904305231,0.0009595441472029646,100,0.0,0.0007041404066755463,0.0,1.2401,0.0,1.0,[[0.99223327]],1.439045162532512,7.817683366666335,[[-0.00070414]],7.780528084589702,2.958245534096181
67.09006657438805,0.0,0.0009838624407821903,500.0,8,[[0.99138153]],0,0.003929592400717184,7.777080777654639,2.92976,1464.4646464646464,0.24890440008518055,0.0009838624407821903,100,0.0,0.00014760064471486256,0.0,1.2401,0.0,1.0,[[0.99152913]],1.4442467741389078,7.815477338815923,[[-0.0001476]],7.777084076914755,2.956028812850105
81.2465226901427,0.0,0.0007743817476742641,500.0,9,[[0.99279498]],0,0.0032446218344658563,7.814316822080524,2.97448,1487.050505050505,2.5793418880667502,0.0007743817476742641,100,0.0,0.0014134471610859345,0.0,1.2401,0.0,1.0,[[0.99138153]],1.3959762619382794,7.8426557258793,[[0.00141345]],7.814316354732153,2.9803068180306536
81.50379303288324,0.0,0.0008088953547755679,500.0,10,[[0.99257752]],0,0.0033598034609578723,7.805880029162053,2.96432,1482.020202020202,0.42791604354930257,0.0008088953547755679,100,0.0,0.00021745880581669486,0.0,1.2401,0.0,1.0,[[0.99279498]],1.4045257470155024,7.835665452474882,[[-0.00021746]],7.805879369279281,2.975904389862013
87.26712945010266,0.0,0.0008831066665625744,500.0,11,[[0.99199015]],0,0.0036042136790553772,7.7922517817160895,2.95036,1475.2727272727273,1.0964451186155344,0.0008831066665625744,100,0.0,0.0005873733345599375,0.0,1.2401,0.0,1.0,[[0.99257752]],1.4220574780446307,7.8256234006054495,[[-0.00058737]],7.792250544164937,2.9652277940151586
79.76049752612977,0.0,0.0007384687335157643,500.0,12,[[0.99307814]],0,0.0031236739065121136,7.8202257579017065,2.98088,1490.20202020202,2.1012027655988277,0.0007384687335157643,100,0.0,0.0010879939212277145,0.0,1.2401,0.0,1.0,[[0.99199015]],1.3867833290739895,7.8468083770185135,[[0.00108799]],7.820225453121079,2.985289671974899
80.75751448188147,0.0,0.0007951641467716995,500.0,13,[[0.9925839]],0,0.003314098650701141,7.807947814990126,2.96964,1483.959595959596,0.9923737579316168,0.0007951641467716995,100,0.0,0.0004942367299431982,0.0,1.2401,0.0,1.0,[[0.99307814]],1.4011564042286118,7.837140882535893,[[-0.00049424]],7.807947228920278,2.975291291688933
78.51608130158333,0.0,0.0038200321663645572,500.0,14,[[0.99150453]],0,0.015365626236169994,7.779553815277692,2.93644,1468.4848484848485,1.9566986301821174,0.0038200321663645572,100,0.0,0.001079378795440955,0.0,1.2401,0.0,1.0,[[0.9925839]],1.43691156197904,7.816101941514278,[[-0.00107938]],7.779551873375469,2.956585890245707
75.76627559474079,0.0,0.0007437276677420904,500.0,15,[[0.99303323]],0,0.003141457224448768,7.817683194022885,2.9786,1487.6565656565656,2.8560384686906275,0.0007437276677420904,100,0.0,0.0015287057559101314,0.0,1.2401,0.0,1.0,[[0.99150453]],1.3881493854419094,7.844409228816787,[[0.00152871]],7.817682868600085,2.983853555387731
68.96186779869484,0.0,0.003331261373768119,500.0,16,[[0.99257061]],0,0.013866170367293757,7.806358286060406,2.9672,1484.4242424242425,0.9251140011775618,0.003331261373768119,100,0.0,0.00046261959924220886,0.0,1.2401,0.0,1.0,[[0.99303323]],1.4024251510361874,7.8357228868272575,[[-0.00046262]],7.806357671994753,2.9750233881433603
74.22559831321398,0.0,0.0009292273624808721,500.0,17,[[0.99175975]],0,0.0037540287283432915,7.785983543281004,2.94012,1471.0707070707072,1.4914950051048095,0.0009292273624808721,100,0.0,0.0008108636254458013,0.0,1.2401,0.0,1.0,[[0.99257061]],1.432427295679051,7.821646701195887,[[-0.00081086]],7.785981862527537,2.962285331564128
74.37161850475238,0.0,0.0007991273385954145,500.0,18,[[0.99273198]],0,0.0033273063642532135,7.809586020131507,2.96544,1481.5353535353536,1.8075340719184823,0.0007991273385954145,100,0.0,0.0009722358835467793,0.0,1.2401,0.0,1.0,[[0.99175975]],1.402133155830319,7.838966184891077,[[0.00097224]],7.809585428396365,2.9798935562197526
76.78540465162321,0.0,0.0008804000981403454,500.0,19,[[0.99198867]],0,0.0035953739366096408,7.792614417682392,2.95156,1475.5959595959596,1.4017469412012247,0.0008804000981403454,100,0.0,0.0007433125569238364,0.0,1.2401,0.0,1.0,[[0.99273198]],1.4214370134739036,7.825873321062009,[[-0.00074331]],7.792613200535863,2.9649238719400532
