WeightMedian,NormDeltaOmega,Primal,RewardMean,Epsilon,OmegaBefore,Wins,Traj,DeltaOmega,ITERATIONS,WeightMean,NormDeltaVar,DualAfter,ReturnsStd,Eta,DualBefore,TimestepsStd,Omega,TimestepsMean,DualReg,ReturnsMean,WeightMax,ConfortViolation,WeightMin,LossReg,RewardStd
0.017845145153480905,0.13292702072914864,7.283445854759109,2.3516,1.2901,[[0.8]],0.0,100,[[0.13292702]],0,0.006522290018143539,17.803590674454757,7.283446129702779,61.78092228951398,1.9870722135200154,7.81395278836821,0.0,[[0.93292702]],500.0,0.0,1176.080808080808,1.0,0,0.006522290018143539,0.0,2.431998651315416
0.0076130214768194435,0.04615700621107033,7.592797632612944,2.67224,1.2901,[[0.93292702]],0.0,100,[[0.04615701]],1,0.0022487766269580823,17.336551879537026,7.592797618055167,72.08269916439457,1.640051653679394,7.72127003178225,0.0,[[0.97908403]],500.0,0.0,1336.7272727272727,1.0,0,0.0022487766269580823,0.0,2.7484565454814813
0.003506678541494887,0.012087720012973313,7.788480809676794,2.87108,1.2901,[[0.97908403]],0.0,100,[[0.01208772]],2,0.0008533357582311374,12.497519057571537,7.78848248851737,79.55501177153829,1.41515625922023,7.824084513552806,0.0,[[0.99117175]],500.0,0.0,1435.8989898989898,1.0,0,0.0008533357582311374,0.0,2.9054740806966426
0.001813107164528078,0.004296901879290438,7.882953475821145,2.97176,1.2901,[[0.99117175]],0.0,100,[[0.0042969]],3,0.00037413586541549127,9.589468431394181,7.882954379758594,72.48966798161857,1.267283923068433,7.894246196262244,0.0,[[0.99546865]],500.0,0.0,1484.4444444444443,1.0,0,0.00037413586541549127,0.0,2.9853245221248565
0.008407636559723722,0.00010131861489037775,7.884995402854292,2.98236,1.2901,[[0.99546865]],0.0,100,[[0.00010132]],4,0.001709615998729079,0.32450011969987713,7.884993786235882,73.83848056481939,1.2555939662170068,7.895030030728008,0.0,[[0.99556997]],500.0,0.0,1490.6666666666667,1.0,0,0.001709615998729079,0.0,2.9835027786814607
0.0016317756427464039,0.0002831770041317183,7.891805440036349,2.98476,1.2901,[[0.99556997]],0.0,100,[[0.00028318]],5,0.0003279635341533384,0.9477282998889649,7.8918054161387845,89.48855576038981,1.246477434185036,7.901012533978971,0.0,[[0.99585314]],500.0,0.0,1492.020202020202,1.0,0,0.0003279635341533384,0.0,2.992084180366589
0.008411782835879974,0.0002230094960842255,7.8852320492101855,2.97916,1.2901,[[0.99585314]],0.0,100,[[-0.00022301]],6,0.0017107402342283428,0.7515105958641897,7.885231594118021,81.71814310643632,1.2557235257068171,7.895256125708268,0.0,[[0.99563013]],500.0,0.0,1489.3939393939395,1.0,0,0.0017107402342283428,0.0,2.986108788105349
0.009181848362789916,0.000520480399415435,7.872599888896566,2.9652,1.2901,[[0.99563013]],0.0,100,[[-0.00052048]],7,0.001922679171327761,1.615053129324096,7.872596232777013,78.14539908153576,1.2791740293722602,7.885068070210906,0.0,[[0.99510965]],500.0,0.0,1481.2727272727273,1.0,0,0.001922679171327761,0.0,2.9750544465606006
0.009108304236706924,6.784516181612688e-05,7.873901423548907,2.9658,1.2901,[[0.99510965]],0.0,100,[[6.78451618e-05]],8,0.0019021731102803487,0.20055136970336207,7.873899414027141,83.36072766748946,1.2769846196179282,7.886120367527673,0.0,[[0.9951775]],500.0,0.0,1483.7171717171718,1.0,0,0.0019021731102803487,0.0,2.9767550050348457
0.00973396013770289,0.00029986113529389957,7.86405783533612,2.9488,1.2901,[[0.9951775]],0.0,100,[[-0.00029986]],9,0.0020783535033747514,0.8660626055941663,7.86405374997973,90.05812269144792,1.2952991862094074,7.878349389409607,0.0,[[0.99487764]],500.0,0.0,1474.828282828283,1.0,0,0.0020783535033747514,0.0,2.9726114041361003
0.001965924813025579,0.0001609448579378281,7.871031176319669,2.96176,1.2901,[[0.99487764]],0.0,100,[[0.00016094]],10,0.00041396024015589577,0.45837158384135535,7.871023597467431,81.50829956307213,1.2837397904252617,7.8840381802312285,0.0,[[0.99503858]],500.0,0.0,1481.4747474747476,1.0,0,0.00041396024015589577,0.0,2.9743667733485726
0.001968369106563744,2.0465689936188802e-05,7.870830641032834,2.96212,1.2901,[[0.99503858]],0.0,100,[[-2.04656899e-05]],11,0.0004146037016586944,0.05910075246508484,7.870830620837494,75.62004485963364,1.2839958064975832,7.883878000954912,0.0,[[0.99501812]],500.0,0.0,1481.8181818181818,1.0,0,0.0004146037016586944,0.0,2.9738065010353307
0.009734568411770611,0.0002122910464689154,7.863710604633049,2.95168,1.2901,[[0.99501812]],0.0,100,[[-0.00021229]],12,0.0020785266732786484,0.5991867524226961,7.8637068550683455,84.33080169111362,1.2953166601543464,7.8780366778599715,0.0,[[0.99480583]],500.0,0.0,1474.8484848484848,1.0,0,0.0020785266732786484,0.0,2.97007494477833
0.008696696608922642,0.0006618267877969153,7.880725070483501,2.9728,1.2901,[[0.99480583]],0.0,100,[[0.00066183]],13,0.001788431976051757,1.9566105735746362,7.880732474666388,73.33145223955745,1.2645390307753623,7.891623475100155,0.0,[[0.99546765]],500.0,0.0,1487.2525252525252,1.0,0,0.001788431976051757,0.0,2.983082325380914
0.009060137218411177,0.00022035212989868214,7.8748780018877484,2.965,1.2901,[[0.99546765]],0.0,100,[[-0.00022035]],14,0.001888772714901499,0.6813453226470756,7.874876628092908,80.78152593984645,1.2755451802892022,7.886923574426951,0.0,[[0.9952473]],500.0,0.0,1481.959595959596,1.0,0,0.001888772714901499,0.0,2.9788949293320166
0.0019314763605561875,6.00849459305719e-05,7.873405958927001,2.96104,1.2901,[[0.9952473]],0.0,100,[[-6.00849459e-05]],15,0.00040491302437658844,0.18033438673150215,7.873402750963921,71.45770676945428,1.280108427265304,7.885974042384876,0.0,[[0.99518722]],500.0,0.0,1480.909090909091,1.0,0,0.00040491302437658844,0.0,2.9787114862638173
