LossReg,Primal,OmegaBefore,TimestepsStd,ReturnsMean,WeightMin,DualBefore,TimestepsMean,NormDeltaOmega,Epsilon,DualAfter,NormDeltaVar,WeightMedian,DualReg,Wins,ITERATIONS,RewardStd,RewardMean,Eta,ReturnsStd,DeltaOmega,ConfortViolation,WeightMean,WeightMax,Traj,Omega
0.0,4.0949344795127525,[[0.8]],0.0,1170.141414141414,0.12687661374265466,6.668766135023658,500.0,0.47386200346302654,0.2001,4.094934477588138,30.171415919425627,0.1917367065568696,0.0,0.0,0,2.408962167905507,2.34144,4.843693501834215,57.19027431992334,[[-0.473862]],0,0.12687661374265466,1.0,100,[[0.326138]]
0.0,6.033651305483133,[[0.326138]],0.0,1734.1010101010102,0.2222660982512879,8.73067287704068,500.0,0.13578182087020113,0.2001,6.033651692209916,10.314182123074923,0.30026076076681013,0.0,0.0,1,3.783295717968661,3.46848,6.6494668271345105,103.27266009071336,[[-0.13578182]],0,0.2222660982512879,1.0,100,[[0.19035618]]
0.0,7.892815263096329,[[0.19035618]],0.0,2574.161616161616,0.21258507676723734,9.38390040581192,500.0,0.10485380494694901,0.2001,7.892815204240392,13.17333243318156,0.2897518512695635,0.0,0.0,2,4.4217002657348905,5.1526,6.458225253052617,122.88277300101232,[[-0.1048538]],0,0.21258507676723734,1.0,100,[[0.08550237]]
0.0,9.58650096596677,[[0.08550237]],0.0,3692.080808080808,0.08890653962134071,9.84974620624686,500.0,0.06989037277748399,0.2001,9.58650085029917,25.344994866613845,1.0,0.0,0.0,3,4.091799546214355,7.38144,4.13194186575224,129.91121107503912,[[-0.06989037]],0,0.08890653962134071,1.0,100,[[0.015612]]
0.0,9.999999999997902,[[0.015612]],0.0,4724.060606060606,0.0,10.137016471194464,500.0,0.015611995452409115,0.2001,10.000965864140364,223.81472458169503,1.0,0.0,0.0,4,2.1721619943273107,9.44948,0.00705062858027411,64.90425242979904,[[-0.015612]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,5,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,6,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,7,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,8,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,9,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,10,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,11,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,12,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,13,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,14,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,15,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,16,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,17,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,18,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
0.0,9.999999999997792,[[2.48993026e-09]],0.0,4990.0,0.0,10.198098088311145,500.0,0.0,0.2001,10.001347142865388,0.0,1.0,0.0,0.0,19,0.4467661580737735,9.98,0.006800386089460223,0.0,[[0.]],0,0.0,1.0,100,[[2.48993026e-09]]
