WeightMedian,TimestepsMean,ITERATIONS,NormDeltaVar,WeightMean,Wins,Eta,Omega,WeightMax,LossReg,RewardMean,Epsilon,ReturnsStd,ReturnsMean,OmegaBefore,DualReg,NormDeltaOmega,RewardStd,WeightMin,Traj,DualAfter,Primal,ConfortViolation,DeltaOmega,TimestepsStd,DualBefore
0.004386839736323537,500.0,0,35.19275057990235,0.0011289890008974383,0.0,1.4735281979079105,[[0.97915931]],1.0,0.0,2.34176,1.8401,68.77536188941575,1171.010101010101,[[0.8]],0.0,0.17915930736538765,2.4204462610022968,0.0011289890008974383,100,8.202155121672089,8.202155115188921,0,[[0.17915931]],0.0,8.333433594402702
2.3655248799367543e-09,500.0,1,134.59049895973257,1.6497168119913942e-11,0.0,0.4027737841713251,[[0.99999828]],1.0,0.0,2.8644,1.8401,73.96586709387982,1433.3333333333333,[[0.97915931]],0.0,0.02083896908308136,2.907069424695599,1.6497168119913942e-11,100,8.183300319360894,8.183298135200499,0,[[0.02083897]],0.0,8.37016278010997
0.0,500.0,2,74.82571495337208,0.0,0.0,0.0044858504738133536,[[0.99999999]],1.0,0.0,2.98992,1.8401,75.73860503214381,1495.1313131313132,[[0.99999828]],0.0,1.7143961301702149e-06,2.9990229064813763,0.0,100,8.00201844541618,7.999999999999712,0,[[1.71439613e-06]],0.0,8.455248564729443
0.0,500.0,3,0.0,0.0,0.0,0.00444797017258471,[[0.99999999]],1.0,0.0,3.0142,1.8401,76.91731826843149,1507.7777777777778,[[0.99999999]],0.0,0.0,3.0115973103985865,0.0,100,8.002065238238568,7.999999999999835,0,[[0.]],0.0,8.469501572071122
0.0,500.0,4,0.0,0.0,0.0,0.004505625397288205,[[0.99999999]],1.0,0.0,2.9814,1.8401,74.7943833154142,1491.111111111111,[[0.99999999]],0.0,0.0,2.990085958630621,0.0,100,8.001994295004838,7.99999999999942,0,[[0.]],0.0,8.44798100908418
0.0,500.0,5,0.0,0.0,0.0,0.00448669872325807,[[0.99999999]],1.0,0.0,2.9948,1.8401,68.43365089664123,1497.1313131313132,[[0.99999999]],0.0,0.0,2.995138220516709,0.0,100,8.00201738558337,8.00000000000043,0,[[0.]],0.0,8.454952717366341
0.0,500.0,6,0.0,0.0,0.0,0.004488218548142595,[[0.99999999]],1.0,0.0,2.98824,1.8401,87.65342518486142,1493.7373737373737,[[0.99999999]],0.0,0.0,2.998376511113973,0.0,100,8.002015544341084,8.000000000000147,0,[[0.]],0.0,8.454370085051552
0.0,500.0,7,0.0,0.0,0.0,0.004465430205694211,[[0.99999999]],1.0,0.0,3.00804,1.8401,89.22589009542058,1504.5252525252524,[[0.99999999]],0.0,0.0,3.0023083383290268,0.0,100,8.002043551820675,8.000000000000497,0,[[0.]],0.0,8.46289740520592
0.0,500.0,8,0.0,0.0,0.0,0.004506944910636625,[[0.99999999]],1.0,0.0,2.98108,1.8401,73.56207750611459,1491.4545454545455,[[0.99999999]],0.0,0.0,2.9893347142131805,0.0,100,8.001992690860801,8.00000000000018,0,[[0.]],0.0,8.447501011322526
0.0,500.0,9,0.0,0.0,0.0,0.00449123299983872,[[0.99999999]],1.0,0.0,2.99056,1.8401,86.82758717659199,1495.979797979798,[[0.99999999]],0.0,0.0,2.994593609557063,0.0,100,8.00201184117254,7.999999999999756,0,[[0.]],0.0,8.453270023483778
