WeightMedian,ITERATIONS,DualBefore,Traj,ReturnsMean,WeightMean,RewardStd,OmegaBefore,Primal,RewardMean,NormDeltaOmega,TimestepsMean,Eta,WeightMax,Wins,ReturnsStd,DualReg,DualAfter,Omega,TimestepsStd,NormDeltaVar,ConfortViolation,DeltaOmega,Epsilon,LossReg,WeightMin
0.004240334172218926,0,8.364865455276213,100,1163.6161616161617,0.001082056914973996,2.406200518327598,[[0.8]],8.236682699339863,2.32784,0.17946679391942688,500.0,1.4643665084570336,1.0,0.0,53.15931972999371,0.0,8.236682706355094,[[0.97946679]],0.0,35.40957985942555,0,[[0.17946679]],1.8701,0.0,0.001082056914973996
8.456690481507272e-09,1,8.417840058107362,100,1441.4747474747476,8.109620744119969e-11,2.9207160009833206,[[0.97946679]],8.224765798776609,2.88696,0.020532122618062365,500.0,0.4303780649419621,1.0,0.0,71.67749649453522,0.0,8.224765868004463,[[0.99999892]],0.0,141.00546545713618,0,[[0.02053212]],1.8701,0.0,8.109620744119969e-11
0.0,2,8.515968520439873,100,1522.969696969697,0.0,3.0237665253785715,[[0.99999892]],7.999999999999479,3.046,1.0777072126932907e-06,500.0,0.004331050310184646,1.0,0.0,75.00753558715063,0.0,8.002212629270216,[[0.99999999]],0.0,74.82567833429448,0,[[1.07770721e-06]],1.8701,0.0,0.0
0.0,3,8.493910821731381,100,1503.090909090909,0.0,3.0055616050249245,[[0.99999999]],8.000000000000622,3.00628,0.0,500.0,0.0043854504034238195,1.0,0.0,78.35494104421393,0.0,8.002143054583003,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,4,8.487965687061997,100,1497.959595959596,0.0,2.9999714961312547,[[0.99999999]],8.000000000000222,2.99668,0.0,500.0,0.004400478004779118,1.0,0.0,82.2290370193503,0.0,8.002124044775073,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,5,8.496762948366568,100,1505.3535353535353,0.0,3.00649601523102,[[0.99999999]],8.000000000000247,3.01348,0.0,500.0,0.004378301248064099,1.0,0.0,80.81945374514041,0.0,8.00215209130285,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,6,8.468778775192629,100,1483.2121212121212,0.0,2.9822560469550563,[[0.99999999]],8.000000000000316,2.96552,0.0,500.0,0.004450123692449076,1.0,0.0,75.60386831096189,0.0,8.002062000429955,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,7,8.500131701551847,100,1508.3636363636363,0.0,3.011935696524745,[[0.99999999]],7.999999999999513,3.0156,0.0,500.0,0.004369896310999972,1.0,0.0,73.40016989293835,0.0,8.002162851264796,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,8,8.477892458982426,100,1490.7474747474748,0.0,2.991276314618896,[[0.99999999]],8.000000000000204,2.97936,0.0,500.0,0.0044263137724918945,1.0,0.0,80.80733332987623,0.0,8.00209162113948,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,9,8.472417419821713,100,1485.8383838383838,0.0,2.985959146672975,[[0.99999999]],7.999999999999521,2.97088,0.0,500.0,0.004440566329583536,1.0,0.0,74.07595161379321,0.0,8.002073858326886,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,10,8.485657700800315,100,1496.5858585858587,0.0,2.997751083462401,[[0.99999999]],8.000000000000261,2.99304,0.0,500.0,0.004406356269257535,1.0,0.0,82.48575146023586,0.0,8.002116636012941,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,11,8.478552206583675,100,1492.2222222222222,0.0,2.989193517723468,[[0.99999999]],7.9999999999996,2.98444,0.0,500.0,0.004424623688711741,1.0,0.0,84.16332793324598,0.0,8.00209368541085,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,12,8.499730977167983,100,1507.8383838383838,0.0,3.012824076111979,[[0.99999999]],7.999999999999681,3.01308,0.0,500.0,0.004370891481496575,1.0,0.0,68.49474020515635,0.0,8.002161614483907,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,13,8.503169887766685,100,1508.3232323232323,0.0,3.018037710566255,[[0.99999999]],7.9999999999998925,3.01576,0.0,500.0,0.0043623610916868035,1.0,0.0,79.89574371829553,0.0,8.00217256085238,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,14,8.492799290874688,100,1501.7777777777778,0.0,3.0052201527342386,[[0.99999999]],8.000000000000242,3.00344,0.0,500.0,0.004388245790638025,1.0,0.0,78.67123196249104,0.0,8.00213952692038,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,15,8.504751383862214,100,1509.5959595959596,0.0,3.0168565762395794,[[0.99999999]],7.9999999999994715,3.02228,0.0,500.0,0.004358456725849568,1.0,0.0,81.24534724106728,0.0,8.002177486047092,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,16,8.483023940754004,100,1494.141414141414,0.0,2.9953617239992902,[[0.99999999]],7.999999999999548,2.98868,0.0,500.0,0.004413094274868717,1.0,0.0,75.82396014013999,0.0,8.002108166381657,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,17,8.497525182226086,100,1503.7171717171718,0.0,3.0112728142099643,[[0.99999999]],7.999999999999413,3.00872,0.0,500.0,0.0043763888574467735,1.0,0.0,75.9851182139017,0.0,8.002154624068057,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,18,8.48390994676376,100,1495.7575757575758,0.0,2.9950247769258938,[[0.99999999]],7.9999999999995275,2.99184,0.0,500.0,0.004410829568256295,1.0,0.0,74.85488869672987,0.0,8.002110988061549,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
0.0,19,8.472175416887652,100,1485.8383838383838,0.0,2.9856880758712885,[[0.99999999]],7.99999999999939,2.97056,0.0,500.0,0.004441200076307034,1.0,0.0,76.37370998704986,0.0,8.002073070246038,[[0.99999999]],0.0,0.0,0,[[0.]],1.8701,0.0,0.0
