DualAfter,NormDeltaVar,WeightMin,Eta,Omega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,TimestepsStd,Traj,WeightMean,OmegaBefore,LossReg,Primal,WeightMedian,TimestepsMean,DeltaOmega,ConfortViolation,Epsilon,DualBefore,Wins,ITERATIONS,RewardStd,DualReg,WeightMax
2.3314710281766713,19.417179083992536,0.9981345320968449,5355.583840870915,[[0.50677254]],2.3304,0.2932274579215298,55.16472436625087,1167.8947368421052,0.0,20,0.9981345320968449,[[0.8]],0.0,2.3314710770096108,0.9985073470718859,500.0,[[-0.29322746]],0,1e-07,6.435897052399759,0.0,0,2.3945846905048067,0.0,1.0
2.563089694215905,0.40544984611813983,0.9984506459004827,6449.301183408949,[[0.49967758]],2.5618,0.007094958044883692,77.82158727489038,1280.1052631578948,0.0,20,0.9984506459004827,[[0.50677254]],0.0,2.5630896976465123,0.9987603245614195,500.0,[[-0.00709496]],0,1e-07,7.70412081332244,0.0,1,2.883466795369768,0.0,1.0
2.5734943546578064,0.06383765333012488,0.9984562194181666,6472.603184087872,[[0.49856043]],2.5722,0.0011171550296080746,59.71975178667946,1283.157894736842,0.0,20,0.9984562194181666,[[0.49967758]],0.0,2.573494357097703,0.9987647847560192,500.0,[[-0.00111716]],0,1e-07,7.715118472428992,0.0,2,2.893887896930356,0.0,1.0
2.5126686564021865,0.41223808099690357,0.998425006771122,6344.232331826913,[[0.50577433]],2.5114,0.007213905312281832,57.68536303112984,1253.3684210526317,0.0,20,0.998425006771122,[[0.49856043]],0.0,2.512668637865164,0.9987398068434736,500.0,[[0.00721391]],0,1e-07,7.664565011670356,0.0,3,2.8364185234199835,0.0,1.0
2.54087935732597,0.21051004832451858,0.9984381359056721,6397.604427540981,[[0.50209065]],2.5396,0.003683682211005457,67.61058449484126,1270.421052631579,0.0,20,0.9984381359056721,[[0.50577433]],0.0,2.540879361719564,0.9987503134489556,500.0,[[-0.00368368]],0,1e-07,7.655775109869037,0.0,4,2.8603551947266967,0.0,1.0
2.5626879287480255,0.14139457180799672,0.9984489898624501,6442.409821284093,[[0.49961626]],2.5614,0.0024743955932755024,66.0277789269615,1286.7368421052631,0.0,20,0.9984489898624501,[[0.50209065]],0.0,2.5626875446168773,0.9987589993198653,500.0,[[-0.0024744]],0,1e-07,7.698821400466213,0.0,5,2.879519064010516,0.0,1.0
2.48164715409263,0.4730377265048526,0.9983978415716513,6236.578661792177,[[0.50789372]],2.4804,0.008277464001985979,80.96317688357054,1238.7368421052631,0.0,20,0.9983978415716513,[[0.49961626]],0.0,2.481647165086117,0.9987180677726715,500.0,[[0.00827746]],0,1e-07,7.6160332215467506,0.0,6,2.7883356756316124,0.0,1.0
2.6071054633134123,0.8117828105805203,0.9984696525115677,6529.462350843813,[[0.49368815]],2.6058,0.014205566452495544,81.40048391234191,1299.4736842105262,0.0,20,0.9984696525115677,[[0.50789372]],0.0,2.6071052003400714,0.9987755345373942,500.0,[[-0.01420557]],0,1e-07,7.725812024364522,0.0,7,2.9187336911749933,0.0,1.0
2.5935052417669997,0.1563460775683362,0.9984694112852265,6528.432495438724,[[0.49642313]],2.5922,0.0027349751164050806,78.84765632907079,1291.6842105263158,0.0,20,0.9984694112852265,[[0.49368815]],0.0,2.593504964560669,0.9987753414971966,500.0,[[0.00273498]],0,1e-07,7.732793974709772,0.0,8,2.9182356244827115,0.0,1.0
2.526480432566358,7.947621990323353,0.9984394494211837,6402.9935022471755,[[0.07256332]],2.5252,0.42385981380167453,68.4777093359604,1263.4736842105262,0.0,20,0.9984394494211837,[[0.49642313]],0.0,2.526480436797381,0.9987513645897798,500.0,[[-0.42385981]],0,1e-07,7.677256685938282,0.0,9,2.8627547851676014,0.0,1.0
2.564317165906944,0.591012172121836,0.9984831714580993,6587.70168314876,[[2.18010295e-05]],2.563,0.0725415143467059,85.98911223999649,1283.3684210526317,0.0,20,0.9984831714580993,[[0.07256332]],0.0,2.5643169736863576,0.9987863529932042,500.0,[[-0.07254151]],0,1e-07,7.906274606850488,0.0,10,2.944865192160755,0.0,1.0
2.519506713463027,0.13709162025328325,0.9984708295818161,6534.492218107105,[[2.18010451e-05]],2.5182,1.5558497141321534e-11,66.26848772511683,1255.4736842105262,0.0,20,0.9984708295818161,[[2.18010295e-05]],0.0,2.5195067151066413,0.998776476481959,500.0,[[1.55584971e-11]],0,1e-07,7.906270124076282,0.0,11,2.9214839996138946,0.0,1.0
2.5551197077066785,0.018508086955842273,0.998486074707221,6600.3444884466435,[[2.18010418e-05]],2.5538,3.296480306742367e-12,59.14609359722444,1278.9473684210527,0.0,20,0.998486074707221,[[2.18010451e-05]],0.0,2.5551195319213114,0.998788676297065,500.0,[[-3.29648031e-12]],0,1e-07,7.9342766199082515,0.0,12,2.9505432652309986,0.0,1.0
