TimestepsMean,ITERATIONS,DualBefore,DeltaOmega,WeightMin,OmegaBefore,Traj,RewardMean,LossReg,Epsilon,NormDeltaOmega,Wins,NormDeltaVar,WeightMax,Eta,Omega,RewardStd,ConfortViolation,WeightMedian,DualReg,DualAfter,Primal,ReturnsMean,ReturnsStd,TimestepsStd,WeightMean
500.0,0,7.308626417266845,[[0.03739157]],0.0205109587269258,[[0.8]],100,2.34252,0.0,0.8201,0.03739156659068332,0.0,3.609319424491428,1.0,2.572813210054035,[[0.83739157]],2.4162533082439848,0,0.044626082971839925,0.0,6.191311769969534,6.1913099012560675,1170.828282828283,62.63120215124332,0.0,0.0205109587269258
500.0,1,7.225747867678757,[[0.02425554]],0.019149788488096713,[[0.83739157]],100,2.38712,0.0,0.8201,0.02425554115954942,0.0,2.7155923845902414,1.0,2.528148654610715,[[0.86164711]],2.461100994595712,0,0.04224070764608109,0.0,6.234766811104769,6.234763672788301,1193.878787878788,63.92281847480668,0.0,0.019149788488096713
500.0,2,7.240895749216787,[[0.02733835]],0.018351644093055296,[[0.86164711]],100,2.47136,0.0,0.8201,0.027338353369337542,0.0,3.5911645684054996,1.0,2.5012280328401433,[[0.88898546]],2.5571037817030424,0,0.04082629623110613,0.0,6.3709044745509065,6.370904476388028,1235.919191919192,58.27411310292816,0.0,0.018351644093055296
500.0,3,7.214035070215724,[[0.01303053]],0.017447244382667676,[[0.88898546]],100,2.52124,0.0,0.8201,0.013030530159644615,0.0,1.9915464573635404,1.0,2.4700057581126704,[[0.90201599]],2.6053615607819194,0,0.039208612633915604,0.0,6.43456000223392,6.43456000573693,1260.9292929292928,67.50342341116726,0.0,0.017447244382667676
500.0,4,7.231422291944705,[[0.01138004]],0.016931986816530548,[[0.90201599]],100,2.57272,0.0,0.8201,0.011380038477651011,0.0,1.9427990605168688,1.0,2.451851319229917,[[0.91339603]],2.659652571596523,0,0.03827950712705202,0.0,6.514209221374944,6.5142092271649,1287.1313131313132,68.67529314225514,0.0,0.016931986816530548
500.0,5,7.208506518749554,[[0.00390301]],0.016509376429839885,[[0.91339603]],100,2.58604,0.0,0.8201,0.003903010912681193,0.0,0.7196918687305143,1.0,2.436750016331436,[[0.91729904]],2.673065116752676,0,0.03751323658064578,0.0,6.527243101389065,6.527243103283475,1293.939393939394,61.902141439405845,0.0,0.016509376429839885
500.0,6,7.223229187024103,[[0.00343146]],0.01631459896995115,[[0.91729904]],100,2.61056,0.0,0.8201,0.0034314565489095283,0.0,0.658736781761732,1.0,2.4297233324712653,[[0.9207305]],2.6942339331245906,0,0.03715875223589933,0.0,6.562853090292503,6.562852090450747,1305.5757575757575,68.39473825072858,0.0,0.01631459896995115
500.0,7,7.227070111031797,[[0.00042876]],0.016272747855571878,[[0.9207305]],100,2.61648,0.0,0.8201,0.00042876034225025617,0.0,0.08413058268982354,1.0,2.428207919662905,[[0.92115926]],2.6976345952704563,0,0.03708247529965539,0.0,6.570251494021202,6.570250775385846,1307.6565656565656,69.11389540244592,0.0,0.016272747855571878
500.0,8,7.236190629821834,[[0.00327722]],0.016125967016368092,[[0.92115926]],100,2.63244,0.0,0.8201,0.0032772163915256725,0.0,0.6572512473995857,1.0,2.4228771267606586,[[0.92443647]],2.715838663543915,0,0.03681464472549903,0.0,6.596368320876053,6.596368363057108,1316.5050505050506,78.17222293845087,0.0,0.016125967016368092
500.0,9,7.223358374240105,[[-0.00157519]],0.016248981620550978,[[0.92443647]],100,2.6144,0.0,0.8201,0.0015751911747101666,0.0,0.3191002453153118,1.0,2.4273464609508926,[[0.92286128]],2.703440888941351,0,0.03703914201035284,0.0,6.572139300440557,6.57213939370397,1307.979797979798,71.37410047167674,0.0,0.016248981620550978
