RewardMean,WeightMedian,WeightMin,LossReg,RewardStd,Wins,DeltaOmega,ConfortViolation,Primal,ITERATIONS,TimestepsStd,ReturnsMean,Omega,Traj,DualReg,WeightMax,NormDeltaVar,DualBefore,OmegaBefore,TimestepsMean,Eta,ReturnsStd,NormDeltaOmega,Epsilon,DualAfter,WeightMean
2.3374,0.6995285771679989,0.6397448909366219,0.0,2.403364566602412,0.0,[[-0.32247334]],0,2.620067780997871,0,0.0,1166.5263157894738,[[0.47752666]],20,0.0,1.0,21.08926212624729,6.451129553972976,[[0.8]],500.0,22.38710123257695,62.42415897125646,0.32247334497146385,0.0065001,2.620067758423623,0.6397448909366219
2.6296,0.7490136050407594,0.6968064030975709,0.0,2.97435771890336,0.0,[[-0.02053481]],0,2.9792989054418855,1,0.0,1313.7894736842106,[[0.45699184]],20,0.0,1.0,1.17864027672372,7.82822761707444,[[0.47752666]],500.0,27.681839887508396,65.60774901870921,0.020534813736660662,0.0065001,2.9792991817708705,0.6968064030975709
2.715,0.7568042784042761,0.7058777183417414,0.0,3.098318092126759,0.0,[[-0.01937501]],0,3.0784515549391576,2,0.0,1355.7894736842106,[[0.43761684]],20,0.0,1.0,1.1197267440636636,7.920723077598963,[[0.45699184]],500.0,28.709788426645527,66.97334815343254,0.019375005035397852,0.0065001,3.0784519609798666,0.7058777183417414
2.7674,0.7604215463241176,0.7100975552888001,0.0,3.1558671138056495,0.0,[[-0.00516922]],0,3.1373857789275568,3,0.0,1388.421052631579,[[0.43244761]],20,0.0,1.0,0.300459783881732,7.997355560025293,[[0.43761684]],500.0,29.209624092528237,68.59669762610848,0.005169223268941647,0.0065001,3.1373865129541016,0.7100975552888001
2.8194,0.7626710310223521,0.7127242953832456,0.0,3.195525565536912,0.0,[[-0.00806866]],0,3.193718803976118,4,0.0,1412.2105263157894,[[0.42437895]],20,0.0,1.0,0.47072672282766836,8.029710831778264,[[0.43244761]],500.0,29.52808662198489,80.9129349800847,0.008068661946363298,0.0065001,3.193718803704427,0.7127242953832456
2.8638,0.7662844414878646,0.7169477559707695,0.0,3.2577061807351506,0.0,[[-0.0096748]],0,3.2450748666666374,5,0.0,1436.3157894736842,[[0.41470415]],20,0.0,1.0,0.5675620342980041,8.087032713220298,[[0.42437895]],500.0,30.05238378797834,103.15703544217833,0.009674802326958887,0.0065001,3.245074866191173,0.7169477559707695
2.8508,0.7662670651420128,0.7169274340508359,0.0,3.2565225870550933,0.0,[[0.00075683]],0,3.2319911387365057,6,0.0,1430.842105263158,[[0.41546098]],20,0.0,1.0,0.044532076791482744,8.087009677215576,[[0.41470415]],500.0,30.049823998554206,91.07848735418129,0.000756832833849197,0.0065001,3.2319911382626962,0.7169274340508359
2.8506,0.7667470881878046,0.7174888711954508,0.0,3.2647327057509625,0.0,[[-0.00140166]],0,3.232720177989077,7,0.0,1421.4736842105262,[[0.41405932]],20,0.0,1.0,0.08249255043287373,8.092753737984513,[[0.41546098]],500.0,30.120677712330174,66.18265667318992,0.001401662123765024,0.0065001,3.2327201774856134,0.7174888711954508
2.9966,0.7726448781966512,0.7243941135268,0.0,3.3757944901904207,0.0,[[-0.02117168]],0,3.3908714868021446,8,0.0,1504.7368421052631,[[0.39288764]],20,0.0,1.0,1.256869919872309,8.188900374957536,[[0.41405932]],500.0,31.01547657042531,107.58831970709517,0.021171677004874934,0.0065001,3.3908714110797247,0.7243941135268
3.034,0.7756565713244257,0.7279253521078906,0.0,3.4312161109437564,0.0,[[-0.00715643]],0,3.4345220696924748,9,0.0,1526.2105263157894,[[0.38573121]],20,0.0,1.0,0.43002295316441774,8.246431145539404,[[0.39288764]],500.0,31.490431971648288,71.46259893882542,0.007156429364706396,0.0065001,3.434521973681182,0.7279253521078906
