NormDeltaVar,ConfortViolation,ReturnsStd,TimestepsMean,DualBefore,WeightMax,Traj,Epsilon,RewardMean,Omega,WeightMedian,TimestepsStd,DeltaOmega,NormDeltaOmega,Primal,RewardStd,LossReg,WeightMean,WeightMin,DualAfter,OmegaBefore,Eta,DualReg,Wins,ReturnsMean,ITERATIONS
4.8043488750396115,0,61.537157497583195,500.0,7.353080868658533,1.0,100,0.8401,2.35376,[[0.84846327]],0.04319466740522665,0.0,[[0.04846327]],0.0484632731628275,6.269053827326272,2.4312576709184897,0.0,0.019691902097126745,0.019691902097126745,6.269056252789011,[[0.8]],2.5461179692071356,0.0,0.0,1177.1919191919192,0
4.312893556540693,0,70.02885116806347,500.0,7.264334002977279,1.0,100,0.8401,2.4414,[[0.88334565]],0.03976846398819597,0.0,[[0.03488238]],0.0348823816321191,6.3738496995249045,2.521294516711604,0.0,0.017759205041394124,0.017759205041394124,6.37384969820619,[[0.84846327]],2.480865516190641,0.0,0.0,1220.020202020202,1
2.1843026342024707,0,60.81883860677203,500.0,7.206161757871376,1.0,100,0.8401,2.48092,[[0.89820182]],0.03783313399642106,0.0,[[0.01485616]],0.01485616105031684,6.4191424587173636,2.565711588156393,0.0,0.0166855450632894,0.0166855450632894,6.419142456397477,[[0.88334565]],2.4430688612781526,0.0,0.0,1240.4242424242425,2
2.223100353899323,0,72.69735636098,500.0,7.200222237348639,1.0,100,0.8401,2.53056,[[0.91157503]],0.03654414205009594,0.0,[[0.01337322]],0.013373216631126672,6.493388279999539,2.62183639581115,0.0,0.01597799249991492,0.01597799249991492,6.493388276112942,[[0.89820182]],2.4174776055532816,0.0,0.0,1264.3232323232323,3
1.971259950898677,0,69.26876511258466,500.0,7.23635481230418,1.0,100,0.8401,2.59828,[[0.9220842]],0.03549570121752691,0.0,[[0.01050916]],0.010509163996618942,6.593002151054183,2.6829947897079487,0.0,0.015407057383650096,0.015407057383650096,6.593003318696086,[[0.91157503]],2.3963979629848287,0.0,0.0,1299.858585858586,4
0.8235768241916119,0,82.63522215630793,500.0,7.239625282812437,1.0,100,0.8401,2.62528,[[0.9261266]],0.03484295320385411,0.0,[[0.0040424]],0.004042402820639168,6.627948474643594,2.7054435720598575,0.0,0.015053715257311215,0.015053715257311215,6.627948469927897,[[0.9220842]],2.38314802214966,0.0,0.0,1312.3838383838383,5
0.21983815381583582,0,72.3299472081683,500.0,7.246843485369647,1.0,100,0.8401,2.62688,[[0.92717255]],0.03491210466499696,0.0,[[0.00104595]],0.001045953661856558,6.6351658119476955,2.711394745440066,0.0,0.015091070175328495,0.015091070175328495,6.6351658067253165,[[0.9261266]],2.384556417000869,0.0,0.0,1313.2929292929293,6
0.44968301456047755,0,65.8127683470487,500.0,7.251246473931497,1.0,100,0.8401,2.6438,[[0.92926968]],0.03453976196532112,0.0,[[0.00209712]],0.0020971233968090086,6.656709229756573,2.7243497499403415,0.0,0.014890153516243477,0.014890153516243477,6.656710370285353,[[0.92717255]],2.376959585567362,0.0,0.0,1322.1818181818182,7
0.29943429374230845,0,67.83786645292741,500.0,7.269597829434568,1.0,100,0.8401,2.65992,[[0.93063502]],0.034444763059766376,0.0,[[0.00136534]],0.00136534080522277,6.680920695861605,2.7368057281436693,0.0,0.014838978379719273,0.014838978379719273,6.6809214294770065,[[0.92926968]],2.3750160363148205,0.0,0.0,1329.3939393939395,8
0.0705777957235938,0,66.62728558304684,500.0,7.270756207311868,1.0,100,0.8401,2.66696,[[0.93095326]],0.03428667859794278,0.0,[[0.00031825]],0.00031824524930901266,6.68783186859472,2.7396577082548106,0.0,0.014753897790144745,0.014753897790144745,6.687832167855639,[[0.93063502]],2.3717770067883586,0.0,0.0,1334.3434343434344,9
0.5404951794219102,0,66.8863109613695,500.0,7.273246276029367,1.0,100,0.8401,2.67036,[[0.93334595]],0.03418757397985531,0.0,[[0.00239269]],0.0023926869754623548,6.698931724667931,2.751228356643628,0.0,0.014700609939545849,0.014700609939545849,6.698929962911539,[[0.93095326]],2.369743329363875,0.0,0.0,1335.171717171717,10
0.5721552873043834,0,73.66427260665434,500.0,7.291946896727452,1.0,100,0.8401,2.69448,[[0.93579474]],0.03386228730557986,0.0,[[0.00244879]],0.0024487880173115206,6.732605420033436,2.7698551459598026,0.0,0.01452597735267725,0.01452597735267725,6.732605234832826,[[0.93334595]],2.3630513158880193,0.0,0.0,1347.7171717171718,11
0.10832829935149846,0,68.89712916147664,500.0,7.280324464019014,1.0,100,0.8401,2.6952,[[0.93533762]],0.03364688823897091,0.0,[[-0.00045712]],0.0004571162482643887,6.727235808693864,2.7659459430726407,0.0,0.01441056909247686,0.01441056909247686,6.727235766523057,[[0.93579474]],2.3586055052979105,0.0,0.0,1347.3535353535353,12
0.6104287425126955,0,75.99787881197744,500.0,7.258370236066618,1.0,100,0.8401,2.66372,[[0.93270468]],0.034101247716671904,0.0,[[-0.00263294]],0.0026329377626423955,6.685812931637156,2.744309705845898,0.0,0.014654224375800542,0.014654224375800542,6.685812136811657,[[0.93533762]],2.3679699116096424,0.0,0.0,1333.171717171717,13
0.16197694827906872,0,69.35463283298694,500.0,7.2602895308650695,1.0,100,0.8401,2.66652,[[0.93198951]],0.03408516110710324,0.0,[[-0.00071517]],0.0007151737125566937,6.686498523591836,2.7420268214589,0.0,0.014645583823780072,0.014645583823780072,6.686497280264535,[[0.93270468]],2.3676392388432137,0.0,0.0,1332.4444444444443,14
0.2602708272558658,0,63.0961776975177,500.0,7.267027489028637,1.0,100,0.8401,2.6776,[[0.93313527]],0.033903830591468086,0.0,[[0.00114576]],0.0011457605197757736,6.701452269654314,2.7504869096216398,0.0,0.014548256907309699,0.014548256907309699,6.701451953894134,[[0.93198951]],2.363907430518604,0.0,0.0,1338.6060606060605,15
0.36960773664119273,0,73.08369452531002,500.0,7.2539138909528695,1.0,100,0.8401,2.65116,[[0.93150278]],0.03435758274336781,0.0,[[-0.00163249]],0.0016324902891544646,6.670449330976171,2.7358491651405052,0.0,0.014792046089827086,0.014792046089827086,6.670449328628092,[[0.93313527]],2.3732305278689383,0.0,0.0,1325.8383838383838,16
0.2135960289100325,0,82.4523917074313,500.0,7.267833556668517,1.0,100,0.8401,2.66928,[[0.93245065]],0.03414050848157299,0.0,[[0.00094787]],0.0009478668508979826,6.693094300959463,2.746005149594589,0.0,0.014675316669733401,0.014675316669733401,6.693092480527117,[[0.93150278]],2.3687766800797934,0.0,0.0,1335.3131313131314,17
0.4845623594916262,0,73.03379848292715,500.0,7.24049758732852,1.0,100,0.8401,2.64568,[[0.93028259]],0.034279686698036535,0.0,[[-0.00216805]],0.0021680541291784206,6.657210087265011,2.7272068747346614,0.0,0.014750137031188652,0.014750137031188652,6.657206337639753,[[0.93245065]],2.371633607982429,0.0,0.0,1322.7272727272727,18
0.27434912514377174,0,74.10315254164664,500.0,7.26190662560997,1.0,100,0.8401,2.66732,[[0.93151789]],0.03410616489366932,0.0,[[0.00123529]],0.0012352945621728617,6.686302191494597,2.7404313561189597,0.0,0.014656865727604718,0.014656865727604718,6.686300200933095,[[0.93028259]],2.3680709753040845,0.0,0.0,1334.4444444444443,19
