DeltaOmega,TimestepsStd,DualReg,LossReg,Eta,Traj,WeightMax,RewardMean,WeightMean,ReturnsStd,Wins,ConfortViolation,WeightMedian,WeightMin,NormDeltaOmega,RewardStd,TimestepsMean,DualBefore,ITERATIONS,Epsilon,NormDeltaVar,Omega,OmegaBefore,Primal,DualAfter,ReturnsMean
[[0.13896337]],0.0,0.0,0.0,1.9070459432015903,100,1.0,2.32628,0.005280617914089444,55.59264143257516,0.0,0,0.015071198703438544,0.005280617914089444,0.13896336926102582,2.4001377797118226,500.0,7.845582864212085,0,1.3701,19.242970272787073,[[0.93896337]],[[0.8]],7.380531202924703,7.38053118549175,1161.939393939394
[[0.04766783]],0.0,0.0,0.0,1.480092232366749,100,1.0,2.69888,0.001163484720642005,63.74085376851226,0.0,0,0.004493746272249987,0.001163484720642005,0.04766783425433074,2.77270386907798,500.0,7.807068783063225,1,1.3701,22.40100949216034,[[0.9866312]],[[0.93896337]],7.742315348326086,7.742315442296908,1349.050505050505
[[0.01013499]],0.0,0.0,0.0,1.1589263532124678,100,1.0,2.90296,0.00017890135532415871,76.3174463480002,0.0,0,0.0010048260939581075,0.00017890135532415871,0.010134988109416376,2.9334251717744566,500.0,7.924422562551233,2,1.3701,20.4211825665653,[[0.99676619]],[[0.9866312]],7.920720282912324,7.920716764582451,1451.030303030303
[[0.00204135]],0.0,0.0,0.0,0.9859244296940596,100,1.0,2.9714,0.000299255700688235,83.39244184701901,0.0,0,0.002275264151337403,0.000299255700688235,0.0020413500087063108,2.9799835637130623,500.0,7.969608894714044,3,1.3701,14.28127649064956,[[0.99880754]],[[0.99676619]],7.969582402733162,7.969589229728049,1484.6060606060605
[[0.00070289]],0.0,0.0,0.0,0.8663556856354451,100,1.0,2.99724,9.765373586147727e-05,83.03061269572868,0.0,0,0.0009823508987077993,9.765373586147727e-05,0.0007028938729372047,3.0011984910032194,500.0,7.988757345700751,4,1.3701,12.727994109012371,[[0.99951044]],[[0.99880754]],7.9874737664853726,7.987474892145768,1497.7575757575758
[[9.49521041e-06]],0.0,0.0,0.0,0.8636057286473285,100,1.0,2.99844,9.482414472049617e-05,81.3831758040234,0.0,0,0.0009609243545023982,9.482414472049617e-05,9.49521040816137e-06,3.0010394143363066,500.0,7.989077995466953,5,1.3701,0.2799324810643782,[[0.99951993]],[[0.99951044]],7.987750606200616,7.987751984452706,1498.969696969697
[[-0.00010809]],0.0,0.0,0.0,0.888865644336709,100,1.0,2.99352,0.0001233807621128827,83.84175239673009,0.0,0,0.0011706729577798552,0.0001233807621128827,0.00010808523978300677,2.9979122751675042,500.0,7.985897147685063,6,1.3701,2.902391672658922,[[0.99941185]],[[0.99951993]],7.984951624531986,7.984951791327849,1496.9292929292928
[[6.5670012e-05]],0.0,0.0,0.0,0.8732346893121631,100,1.0,2.99836,0.00010502206073983276,87.93544672969986,0.0,0,0.0010374338201582076,0.00010502206073983276,6.567001203650058e-05,2.998692600184287,500.0,7.987893897885508,7,1.3701,1.6922867827111077,[[0.99947752]],[[0.99941185]],7.986714463994594,7.986715123154477,1499.3939393939395
[[-6.6248746e-05]],0.0,0.0,0.0,0.8887940128087133,100,1.0,2.99412,0.00012329129840202494,83.39367512290755,0.0,0,0.0011700362565581991,0.00012329129840202494,6.624874597027652e-05,2.9975132069100208,500.0,7.9858997142555985,8,1.3701,1.706345041000617,[[0.99941127]],[[0.99947752]],7.984952740996042,7.984952908881358,1496.6666666666667
[[-0.00096164]],0.0,0.0,0.0,1.029463013886804,100,1.0,2.95392,0.00042177368015073084,84.45667593016276,0.0,0,0.0029431310890481776,0.00042177368015073084,0.0009616412494973803,2.9726413563697855,500.0,7.96007837013375,9,1.3701,13.846303745397435,[[0.99844963]],[[0.99941127]],7.9599847323921695,7.959983460386627,1477.171717171717
