DeltaOmega,TimestepsStd,DualReg,LossReg,Eta,Traj,WeightMax,RewardMean,WeightMean,ReturnsStd,Wins,ConfortViolation,WeightMedian,WeightMin,NormDeltaOmega,RewardStd,TimestepsMean,DualBefore,ITERATIONS,Epsilon,NormDeltaVar,Omega,OmegaBefore,Primal,DualAfter,ReturnsMean
[[0.00058672]],0.0,0.0,0.0,0.9576847694229224,100,1.0,2.97416,0.00023557542795377872,78.31677335068422,0.0,0,0.001901505086837512,0.00023557542795377872,0.0005867210406383938,2.989256143993017,500.0,7.975154535542069,10,1.3701,6.801535751942666,[[0.99903635]],[[0.99844963]],7.974986079945788,7.974990178507796,1486.2424242424242
[[0.00049336]],0.0,0.0,0.0,0.8625916668804007,100,1.0,2.99576,9.379709861863818e-05,76.28478104845189,0.0,0,0.0009531078655088505,9.379709861863818e-05,0.0004933648780726108,3.003142025013136,500.0,7.98922429790073,11,1.3701,10.255413584001133,[[0.99952971]],[[0.99903635]],7.987883835447708,7.987885320299426,1497.8383838383838
[[-0.00033047]],0.0,0.0,0.0,0.9295202621205965,100,1.0,2.98464,0.00018289648462602176,66.54124719148406,0.0,0,0.0015727294479130091,0.00018289648462602176,0.0003304678295598107,2.9917894428585714,500.0,7.979907134013223,12,1.3701,7.607727969513562,[[0.99919924]],[[0.99952971]],7.979481869214743,7.979482588648141,1492.5858585858587
[[8.88434775e-05]],0.0,0.0,0.0,0.9156639147841846,100,1.0,2.9842,0.00016056205685927898,83.62555924942812,0.0,0,0.001426369987642851,0.00016056205685927898,8.884347751558774e-05,2.996569765581973,500.0,7.982131481292275,13,1.3701,1.6812869278534492,[[0.99928809]],[[0.99919924]],7.981544567565851,7.98154706078371,1491.090909090909
[[-0.00019144]],0.0,0.0,0.0,0.9474978495122157,100,1.0,2.97824,0.00021534031278184305,74.69696901400756,0.0,0,0.001777640779984613,0.00021534031278184305,0.0001914366173837445,2.99009138696462,500.0,7.976930076126467,14,1.3701,3.404936400401425,[[0.99909665]],[[0.99928809]],7.976683487572072,7.9766835741563,1489.171717171717
[[0.00026377]],0.0,0.0,0.0,0.9007319825951743,100,1.0,2.98928,0.00013891264075355708,74.32221370392607,0.0,0,0.001279547243485609,0.00013891264075355708,0.00026376676751260764,2.9975264938945916,500.0,7.984295295211967,15,1.3701,4.936535469046007,[[0.99936042]],[[0.99909665]],7.983508810004167,7.983516191733028,1492.8080808080808
[[0.00012409]],0.0,0.0,0.0,0.872090404929886,100,1.0,2.9974,0.00010376717452671388,82.1228645453541,0.0,0,0.0010281228078349526,0.00010376717452671388,0.00012409338716856677,2.9996521865042953,500.0,7.988047715378318,16,1.3701,3.083192746107102,[[0.99948451]],[[0.99936042]],7.986851792650147,7.986852515461521,1499.6565656565656
[[0.00018823]],0.0,0.0,0.0,0.8190763708534078,100,1.0,3.00676,5.7306357072670026e-05,79.57021580298996,0.0,0,0.0006586460644119416,5.7306357072670026e-05,0.00018822502061466295,3.0049216799111425,500.0,7.993755866332755,17,1.3701,6.49338140657062,[[0.99967274]],[[0.99948451]],7.99170918524127,7.991709528411101,1503.0707070707072
[[-9.59040007e-05]],0.0,0.0,0.0,0.8471860699692568,100,1.0,3.00444,7.924027235818559e-05,80.12326489727054,0.0,0,0.0008398649740240024,7.924027235818559e-05,9.590400068404392e-05,3.000716628807192,500.0,7.990915908425844,18,1.3701,3.672825084339081,[[0.99957683]],[[0.99967274]],7.989320614124573,7.989324739669655,1502.5858585858587
[[-8.41195427e-05]],0.0,0.0,0.0,0.8693239811013741,100,1.0,2.9994,0.00010078177843096398,76.66295355722697,0.0,0,0.0010058576270256371,0.00010078177843096398,8.411954268439104e-05,2.9989597596500026,500.0,7.988372006377083,19,1.3701,2.5913247664738464,[[0.99949271]],[[0.99957683]],7.987132028317564,7.987132925519803,1499.2727272727273
