WeightMax,NormDeltaOmega,ReturnsStd,WeightMean,Primal,DeltaOmega,RewardStd,TimestepsMean,WeightMedian,ITERATIONS,Traj,TimestepsStd,OmegaBefore,Omega,DualAfter,DualReg,Wins,RewardMean,LossReg,ReturnsMean,DualBefore,Epsilon,NormDeltaVar,Eta,ConfortViolation,WeightMin
1.0,0.0034210977798836417,158.3798018664576,7.128917005654448e-05,9.412062135469833,-0.0034210977798836417,0.1396336238456839,198.19521912350598,0.8726462134234455,1497,506,16.534213503733543,3.4013572817468622,3.3979361839669786,9.411984189678726,0.0,96.04743083003953,9.408407598955508,0.0,1864.694606005231,9.41198419576951,0.001,0.0028809330796432963,1.0000780801079707,0,7.128917005654448e-05
1.0,0.0023092916826294996,129.6285696836063,6.936702705881838e-05,9.412938485794585,-0.0023092916826294996,0.11866337451455977,198.89221556886227,0.8506247981888595,1498,505,13.488679340126508,3.3979361839669786,3.395626892284349,9.41296247637514,0.0,97.22772277227722,9.409937704931574,0.0,1871.5530104437144,9.412962476952128,0.001,0.021140854270123535,0.9999759698958374,0,6.936702705881838e-05
1.0,0.003792868246741854,48.0014478935954,2.7254620461219668e-05,9.41481086416419,-0.003792868246741854,0.08302413320942786,200.5423387096774,0.8671178471051556,1499,500,4.930384498660383,3.395626892284349,3.3918340240376073,9.41481386023494,0.0,98.8,9.4125336487756,0.0,1887.6180923058973,9.414821969516066,0.001,0.0012226740870680947,0.9081529744369674,0,2.7254620461219668e-05
1.0,0.0035586094756929754,94.7716236387688,7.041496797901811e-05,9.415956449725636,-0.0035586094756929754,0.10672280520019348,199.7289156626506,0.866229839998129,1500,502,9.823584809168565,3.3918340240376073,3.3882754145619143,9.416041770822199,0.0,97.80876494023904,9.413299691668753,0.0,1880.1018843413783,9.416041778119846,0.001,0.028499307063946388,0.9999145435210256,0,7.041496797901811e-05
1.0,0.003840525137247308,81.05213330776613,7.030800437887163e-05,9.417033649551104,-0.003840525137247308,0.09828880541985942,200.158953722334,0.8660665293491353,1501,501,8.417243326838694,3.3882754145619143,3.384434889424667,9.417121395330087,0.0,98.20359281437125,9.414528986610907,0.0,1884.4062952402141,9.417121403048816,0.001,0.024153233034506456,0.9999121120333029,0,7.030800437887163e-05
1.0,0.002946520482795645,109.22207151606739,7.038336672998295e-05,9.41829322987332,-0.002946520482795645,0.11826714897134485,199.49899799599197,0.867612153808748,1502,503,11.372958602436812,3.384434889424667,3.3814883689418713,9.418369735706266,0.0,97.21669980119285,9.415399338107338,0.0,1878.360344967888,9.41836974157346,0.001,0.3198268987295516,0.9999233757110417,0,7.038336672998295e-05
1.0,0.0036727518385748503,137.73647751662654,7.004632134830581e-05,9.419352466278644,-0.0036727518385748503,0.12928739320073002,198.72654690618762,0.8642862141737706,1503,505,14.349329856047637,3.3814883689418713,3.3778156171032965,9.419365898439292,0.0,96.63366336633663,9.41610811746947,0.0,1871.2261443493528,9.419365898620155,0.001,0.02606372152519883,0.9999865462034502,0,7.004632134830581e-05
1.0,0.0036843213291852805,138.78962927417905,6.948476187580379e-05,9.420850648158845,-0.0036843213291852805,0.11838545574880498,198.82834331337327,0.858873333509308,1504,505,14.490911015040036,3.3778156171032965,3.374131295774111,9.42091497470232,0.0,97.22772277227722,9.417931580704835,0.0,1872.545756824239,9.42091497885025,0.001,0.0156513340581838,0.9999355724040911,0,6.948476187580379e-05
1.0,0.002804987120836877,104.3173401386147,7.05137970902585e-05,9.421749742851445,-0.002804987120836877,0.10650081279433926,199.6112224448898,0.8726187249338051,1505,503,10.85083570881878,3.374131295774111,3.3713263086532743,9.421853847110771,0.0,97.8131212723658,9.41913310552668,0.0,1880.1613318587915,9.421853857974865,0.001,0.5430358707226415,0.9998957340624348,0,7.05137970902585e-05
1.0,0.0039145722545286255,130.1666458847151,6.909072778936553e-05,9.422939431965002,-0.0039145722545286255,0.12953013124818827,198.784,0.8555631452742596,1506,504,13.541393724428811,3.3713263086532743,3.3674117363987457,9.422943408168384,0.0,96.62698412698413,9.419671589646633,0.0,1872.4697301425851,9.422943408168384,0.001,0.0033797729118658876,1.0,0,6.909072778936553e-05
1.0,0.003149757051515323,142.28536930017884,6.971626860686091e-05,9.423982929951867,-0.003149757051515323,0.12228232141204609,198.7684630738523,0.864298849175773,1507,505,14.855467465075673,3.3674117363987457,3.3642619793472304,9.424018989163931,0.0,97.02970297029702,9.420931314533801,0.0,1872.5793217726382,9.42401899046738,0.001,0.033104212667481356,0.9999638829015355,0,6.971626860686091e-05
1.0,0.003360458286375323,112.82528358473381,6.877731060454407e-05,9.424533406993701,-0.003360458286375323,0.12280892183724486,199.306,0.8529546168012717,1508,504,11.695313762357982,3.3642619793472304,3.360901521060855,9.424518381332492,0.0,97.02380952380952,9.421373562286083,0.0,1877.7811885466463,9.424518381558835,0.001,0.002984743803705458,1.0000150511625978,0,6.877731060454407e-05
1.0,0.003566839933951016,115.38390947478203,6.942283698179233e-05,9.425851282970855,-0.003566839933951016,0.11880869427809991,199.34,0.862314970912019,1509,504,12.000683313878424,3.360901521060855,3.357334681126904,9.425875687940033,0.0,97.22222222222221,9.422848716174299,0.0,1878.350228158558,9.425875688537122,0.001,0.44130776524907184,0.999975554892436,0,6.942283698179233e-05
1.0,0.00351256997733973,126.76331279809473,6.986926800004259e-05,9.426606296081012,-0.00351256997733973,0.13649219572364646,198.77245508982037,0.8680594181629413,1510,505,13.129788158470282,3.357334681126904,3.3538221111495643,9.426545797256937,0.0,96.23762376237623,9.423060713224004,0.0,1873.0496942561633,9.426545800926224,0.001,0.030104474882268816,1.000060602355499,0,6.986926800004259e-05
1.0,0.003275605433991746,81.34791223672596,7.042240592880217e-05,9.428517022894532,-0.003275605433991746,0.12572746203823784,199.7735470941884,0.8770527085446483,1511,503,8.3598202631966,3.3538221111495643,3.3505465057155726,9.42856464073849,0.0,96.81908548707754,9.425414259775215,0.0,1882.9831608507686,9.42856464301138,0.001,0.046797324996008076,0.9999523077203063,0,7.042240592880217e-05
1.0,0.003372241002681964,107.00996109695994,6.995479891438448e-05,9.429409161213291,-0.003372241002681964,0.12276613561555619,199.27655310621242,0.8718759381845483,1512,503,11.027005988246083,3.3505465057155726,3.3471742647128906,9.429412141733687,0.0,97.01789264413519,9.426284466159322,0.0,1878.4322643211049,9.429412141733687,0.001,0.25528034661231086,1.0,0,6.995479891438448e-05
