RewardStd,LossReg,Omega,Eta,DualReg,Traj,WeightMin,WeightMedian,ReturnsMean,ITERATIONS,DualBefore,TimestepsStd,Wins,DeltaOmega,OmegaBefore,Primal,WeightMax,WeightMean,TimestepsMean,RewardMean,Epsilon,ConfortViolation,ReturnsStd,NormDeltaVar,NormDeltaOmega,DualAfter
2.4189973721358196,0.0,[[0.95919043]],1.7238441795141433,0.0,100,0.003024563944389204,0.009650064508797197,1172.8686868686868,0,8.060955402632018,0.0,0.0,[[0.15919043]],[[0.8]],7.760206461398968,1.0,0.003024563944389204,500.0,2.34556,1.5601,0,57.21705023565638,25.29826626258657,0.15919042943756456,7.7602065427199065
2.837907763405992,0.0,[[0.99916328]],0.8976390122484406,0.0,100,1.4514886591990196e-05,0.00013472584542931874,1389.5353535353536,1,8.036325970117108,0.0,0.0,[[0.03997286]],[[0.95919043]],8.03466314152675,1.0,1.4514886591990196e-05,500.0,2.77792,1.5601,0,76.33992470302084,56.114520715416546,0.039972855117317296,8.034663889459116
3.0022644677642907,0.0,[[0.99999999]],0.0073786510856586485,0.0,100,0.0,0.0,1501.3737373737374,2,8.181145248858769,0.0,0.0,[[0.00083671]],[[0.99916328]],8.000000000000222,1.0,0.0,500.0,3.00284,1.5601,0,81.74097866494347,163.9904087991931,0.000836706784831942,8.001297782820876
3.0067828066556452,0.0,[[0.99999999]],0.00734309264438351,0.0,100,0.0,0.0,1503.3737373737374,3,8.184936099327889,0.0,0.0,[[0.]],[[0.99999999]],7.999999999999693,1.0,0.0,500.0,3.00756,1.5601,0,82.22051967561994,0.0,0.0,8.001319613847977
2.9995732507141746,0.0,[[0.99999999]],0.007402150581518918,0.0,100,0.0,0.0,1499.6565656565656,4,8.17868783150394,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000068,1.0,0.0,500.0,2.99944,1.5601,0,85.17601047197772,0.0,0.0,8.001283574058345
2.9990398367477544,0.0,[[0.99999999]],0.007403820570634399,0.0,100,0.0,0.0,1497.5757575757575,5,8.178531381975418,0.0,0.0,[[0.]],[[0.99999999]],7.999999999999546,1.0,0.0,500.0,2.99976,1.5601,0,83.88702008998528,0.0,0.0,8.00128267846356
2.9894997507944363,0.0,[[0.99999999]],0.007510775580780958,0.0,100,0.0,0.0,1490.969696969697,6,8.167823220329776,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000059,1.0,0.0,500.0,2.9818,1.5601,0,80.67661528251867,0.0,0.0,8.001220212146263
3.0085677751381965,0.0,[[0.99999999]],0.007338293499709644,0.0,100,0.0,0.0,1503.2121212121212,7,8.185401192826795,0.0,0.0,[[0.]],[[0.99999999]],7.999999999999682,1.0,0.0,500.0,3.00632,1.5601,0,88.02608345387026,0.0,0.0,8.001322252218321
3.004413994375609,0.0,[[0.99999999]],0.007354427444591938,0.0,100,0.0,0.0,1503.4949494949494,8,8.183759091872554,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000329,1.0,0.0,500.0,3.00752,1.5601,0,75.08612882662926,0.0,0.0,8.001312872192578
2.994217856068593,0.0,[[0.99999999]],0.007492771502095219,0.0,100,0.0,0.0,1489.3535353535353,9,8.16940739405683,0.0,0.0,[[0.]],[[0.99999999]],7.99999999999993,1.0,0.0,500.0,2.97952,1.5601,0,82.66951524067102,0.0,0.0,8.00122940258244
2.9899745829020015,0.0,[[0.99999999]],0.007496141986052699,0.0,100,0.0,0.0,1491.7777777777778,10,8.16927359990643,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000282,1.0,0.0,500.0,2.98544,1.5601,0,89.75787358114721,0.0,0.0,8.001228744402264
2.992151266497067,0.0,[[0.99999999]],0.0074770685667026,0.0,100,0.0,0.0,1493.6161616161617,11,8.17111361539053,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000567,1.0,0.0,500.0,2.98772,1.5601,0,82.51730238772726,0.0,0.0,8.001239499580667
3.006240010378413,0.0,[[0.99999999]],0.007335659456598636,0.0,100,0.0,0.0,1504.5252525252524,12,8.18581280421559,0.0,0.0,[[0.]],[[0.99999999]],7.999999999999653,1.0,0.0,500.0,3.011,1.5601,0,66.44848288306878,0.0,0.0,8.001324692627273
2.99967752506832,0.0,[[0.99999999]],0.0074116812654051786,0.0,100,0.0,0.0,1499.1919191919192,13,8.177647584079343,0.0,0.0,[[0.]],[[0.99999999]],7.999999999999735,1.0,0.0,500.0,2.99616,1.5601,0,85.33045411426689,0.0,0.0,8.001277511484671
3.0019151550968255,0.0,[[0.99999999]],0.007373764803014032,0.0,100,0.0,0.0,1502.1010101010102,14,8.181705405972366,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000306,1.0,0.0,500.0,3.00504,1.5601,0,72.39419237679765,0.0,0.0,8.00130104299066
3.0052181594020757,0.0,[[0.99999999]],0.007358359760757758,0.0,100,0.0,0.0,1501.8989898989898,15,8.183276758825878,0.0,0.0,[[0.]],[[0.99999999]],7.99999999999984,1.0,0.0,500.0,3.00488,1.5601,0,88.79501930584367,0.0,0.0,8.001310057908261
3.004288603713032,0.0,[[0.99999999]],0.00736790267867353,0.0,100,0.0,0.0,1500.7878787878788,16,8.182247907420669,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000247,1.0,0.0,500.0,3.00316,1.5601,0,76.37378479944128,0.0,0.0,8.001304122677467
2.986457848622679,0.0,[[0.99999999]],0.007548186559241317,0.0,100,0.0,0.0,1487.8383838383838,17,8.16428116113168,0.0,0.0,[[0.]],[[0.99999999]],8.000000000000316,1.0,0.0,500.0,2.97572,1.5601,0,85.49684938027646,0.0,0.0,8.001199369300673
2.992475046779839,0.0,[[0.99999999]],0.00749112204998348,0.0,100,0.0,0.0,1491.090909090909,18,8.16966073876519,0.0,0.0,[[0.]],[[0.99999999]],7.99999999999968,1.0,0.0,500.0,2.98288,1.5601,0,69.3876667801545,0.0,0.0,8.00123094716567
2.998522620491631,0.0,[[0.99999999]],0.007430015670082247,0.0,100,0.0,0.0,1495.979797979798,19,8.1757329022182,0.0,0.0,[[0.]],[[0.99999999]],7.999999999999394,1.0,0.0,500.0,2.99212,1.5601,0,88.74318637074012,0.0,0.0,8.001266371732639
