DualAfter,ConfortViolation,WeightMedian,DeltaOmega,OmegaBefore,TimestepsMean,DualBefore,WeightMax,ReturnsMean,WeightMin,NormDeltaOmega,DualReg,Eta,NormDeltaVar,LossReg,TimestepsStd,Primal,RewardMean,WeightMean,Wins,Omega,ReturnsStd,Traj,Epsilon,ITERATIONS,RewardStd
7.347932268032272,0,0.017105343486089653,[[0.13648011]],[[0.8]],500.0,7.854790110992002,1.0,1181.4545454545455,0.00618606885099152,0.13648011127743565,0.0,1.966392204168932,18.63544083084663,0.0,0.0,7.347932232245642,2.36336,0.00618606885099152,0.0,[[0.93648011]],61.84230070191858,100,1.3101,0,2.4446777927571564
7.646627191768594,0,0.006467603999947315,[[0.04582533]],[[0.93648011]],500.0,7.749177942861334,1.0,1345.2525252525252,0.0018341264597572838,0.04582532707614195,0.0,1.5870025873109672,18.94099624254251,0.0,0.0,7.646627267000107,2.69036,0.0018341264597572838,0.0,[[0.98230544]],76.9082285905496,100,1.3101,1,2.768848690412678
7.836796977505242,0,0.0025707744963069513,[[0.01107408]],[[0.98230544]],500.0,7.858673741173338,1.0,1443.0707070707072,0.0005788685813874319,0.011074080728761815,0.0,1.3414832768587197,14.204283081863217,0.0,0.0,7.83679752202428,2.88824,0.0005788685813874319,0.0,[[0.99337952]],71.02670610628182,100,1.3101,2,2.9262381486133355
7.890639808876337,0,0.0016106715868975396,[[0.0023887]],[[0.99337952]],500.0,7.899923169448853,1.0,1475.111111111111,0.00032267011729912755,0.0023887018842955188,0.0,1.2439543715996075,6.427818124810287,0.0,0.0,7.890639903700352,2.9494,0.00032267011729912755,0.0,[[0.99576822]],69.7813162584759,100,1.3101,3,2.9725409400040226
7.895084742039165,0,0.001532316913943014,[[0.0001147]],[[0.99576822]],500.0,7.903532983169334,1.0,1479.1313131313132,0.0003031696652914518,0.0001146993204148572,0.0,1.2343822931563138,0.39419365049140254,0.0,0.0,7.895085061845376,2.95928,0.0003031696652914518,0.0,[[0.99588292]],71.95012953914627,100,1.3101,4,2.973150161293573
7.90179327479537,0,0.007155967514725648,[[0.00036032]],[[0.99588292]],500.0,7.908551384894231,1.0,1484.1818181818182,0.0013789795122511733,0.00036031740108410926,0.0,1.2146219462244325,1.3135478124588076,0.0,0.0,7.901793893618982,2.96876,0.0013789795122511733,0.0,[[0.99624324]],74.33915776017506,100,1.3101,5,2.97963488743168
7.879297019532409,0,0.008545862347692881,[[-0.0008731]],[[0.99624324]],500.0,7.890062668947056,1.0,1467.8383838383838,0.0017471942463625884,0.0008730987623329911,0.0,1.2598932992418528,2.9978019757574117,0.0,0.0,7.8793002802704395,2.94016,0.0017471942463625884,0.0,[[0.99537014]],76.99700992104799,100,1.3101,6,2.9619350388555112
7.899048751012636,0,0.001441677178796705,[[0.00076823]],[[0.99537014]],500.0,7.906463790837549,1.0,1480.5050505050506,0.00028092153301856825,0.0007682349778707076,0.0,1.2228773194354892,2.6030001354434233,0.0,0.0,7.899049278580409,2.96232,0.00028092153301856825,0.0,[[0.99613837]],80.48908248163116,100,1.3101,7,2.978835379405851
7.9131155038703325,0,0.006417760419012565,[[0.00051183]],[[0.99613837]],500.0,7.918082484975703,1.0,1493.4343434343434,0.0011926453903058404,0.0005118272600694862,0.0,1.1884280228424717,2.0385963934675715,0.0,0.0,7.913115312745529,2.98644,0.0011926453903058404,0.0,[[0.9966502]],80.49043629947617,100,1.3101,8,2.9869007560345895
7.903828689104085,0,0.007025714715267311,[[-0.00032642]],[[0.9966502]],500.0,7.910253098338961,1.0,1485.7777777777778,0.001345614571042889,0.0003264195984067353,0.0,1.2101218634198971,1.3330271395117705,0.0,0.0,7.90382931396546,2.97164,0.001345614571042889,0.0,[[0.99632378]],82.2687828856485,100,1.3101,9,2.981113166318917
7.892797599170578,0,0.007743550604421239,[[-0.00036495]],[[0.99632378]],500.0,7.901126983274045,1.0,1476.969696969697,0.0015319815009097498,0.00036495155450866346,0.0,1.234340599154106,1.3573713144919566,0.0,0.0,7.8927977944147285,2.95248,0.0015319815009097498,0.0,[[0.99595883]],88.07864421399117,100,1.3101,10,2.975685105920988
7.897064038089843,0,0.007468891824598895,[[0.00014203]],[[0.99595883]],500.0,7.904639409927928,1.0,1479.6969696969697,0.0014599620239149455,0.00014202669482310526,0.0,1.225237780838403,0.5131426178323579,0.0,0.0,7.897064477160999,2.95956,0.0014599620239149455,0.0,[[0.99610086]],76.60121772187325,100,1.3101,11,2.977966522041509
7.900103231394539,0,0.007275008550847794,[[0.00010969]],[[0.99610086]],500.0,7.907161098275047,1.0,1481.79797979798,0.0014096501573467638,0.00010968661989119166,0.0,1.218692230614718,0.40920456642808745,0.0,0.0,7.900103807546601,2.964,0.0014096501573467638,0.0,[[0.99621054]],74.73562559644846,100,1.3101,12,2.980037583655615
7.89881383664804,0,0.0014488015091719607,[[-4.63240225e-05]],[[0.99621054]],500.0,7.9062896913335114,1.0,1480.040404040404,0.00028265788963090916,4.632402245552392e-05,0.0,1.2237994837735648,0.17424051165481558,0.0,0.0,7.89881434406789,2.9594,0.00028265788963090916,0.0,[[0.99616422]],75.26598211996715,100,1.3101,13,2.9804348072051496
7.921481050236168,0,0.001091577627122904,[[0.00077016]],[[0.99616422]],500.0,7.925574365017999,1.0,1497.5151515151515,0.00019841215873635183,0.0007701567695017619,0.0,1.172997951117739,3.2127813621792995,0.0,0.0,7.921481005734066,2.99412,0.00019841215873635183,0.0,[[0.99693438]],77.59833951628163,100,1.3101,14,2.995003409947975
