Eta,WeightMedian,ReturnsMean,Primal,DualBefore,LossReg,ITERATIONS,RewardMean,DeltaOmega,TimestepsMean,TimestepsStd,Wins,Epsilon,RewardStd,DualAfter,WeightMax,NormDeltaOmega,WeightMin,OmegaBefore,Traj,DualReg,ConfortViolation,Omega,ReturnsStd,NormDeltaVar,WeightMean
13.707260662850736,0.9722300188255483,148.2170862598244,6.531811145872592,6.677724032541581,0.0,0,6.420961161420077,-0.03423066332673308,23.083602771362585,11.82356569427074,0.0,0.001,1.3728179814589425,6.513023651912704,1.0,0.03423066332673308,0.5950956111918486,8.0,2166,0.0001,0,7.965769336673267,79.68328046961987,0.09862286892864301,0.5950956111918486
13.686000357979747,0.9727531828354717,150.2735603372639,6.557969719640615,6.702788099516139,0.0,1,6.447366380725604,-0.032960163102939255,23.308912739150724,12.32135999651178,0.0,0.001,1.371052406121745,6.539240464122525,1.0,0.032960163102939255,0.5938780948303001,7.965769336673267,2144,0.0001,0,7.932809173570328,83.31198635218824,0.0788724478129194,0.5938780948303001
13.594466209483548,0.9724527018871332,154.7798083760797,6.58924052024301,6.730533917904648,0.0,2,6.479804903795685,-0.03239303008634309,23.886765408504537,12.917100585298888,0.0,0.001,1.3610229057235737,6.5707613518612105,1.0,0.03239303008634309,0.5905691734606808,7.932809173570328,2094,0.0001,0,7.900416143483985,87.62830889129333,0.12302112449744025,0.5905691734606808
13.447442034892967,0.9722574555657253,161.03627699120537,6.62206780151263,6.758229789591879,0.0,3,6.514519712838751,-0.03238015894522306,24.719584569732937,13.745928350501861,0.0,0.001,1.3443877358226126,6.60398624472948,1.0,0.03238015894522306,0.5860830525516759,7.900416143483985,2023,0.0001,0,7.8680359845387615,93.67852913687061,0.02153812449461177,0.5860830525516759
13.582117916602524,0.974529741279208,158.33804878757084,6.640146542897153,6.780038822261098,0.0,4,6.530799801815205,-0.031905778426595255,24.24502668607472,13.39014935392048,0.0,0.001,1.3611932944841452,6.621700931429606,1.0,0.031905778426595255,0.5894056132862653,7.8680359845387615,2062,0.0001,0,7.836130206112166,91.54341682723339,0.1698921407621144,0.5894056132862653
13.506943387390736,0.9696626900752504,162.3959965232249,6.671813871379275,6.808693589319398,0.0,5,6.563410158738451,-0.031635644460966894,24.743437345220407,13.489215705117545,0.0,0.001,1.3532058588184546,6.6535719068528705,1.0,0.031635644460966894,0.5836119166840384,7.836130206112166,2020,0.0001,0,7.804494561651199,92.61856617007666,0.13844425762110282,0.5836119166840384
13.459717024085121,0.973326715034031,165.62153963687206,6.698316261278604,6.833278879914908,0.0,6,6.59049465297549,-0.031774080952389205,25.130216189039718,14.21152553467234,0.0,0.001,1.3483819767366305,6.680201652396544,1.0,0.031774080952389205,0.5837114345306633,7.804494561651199,1990,0.0001,0,7.77272048069881,97.83247258305245,0.5876641593875849,0.5837114345306633
13.466039387200356,0.9733170961654023,166.91588177559257,6.719735732549563,6.854665752535243,0.0,7,6.611803844121362,-0.03124810364422892,25.244949494949495,14.285759659109951,0.0,0.001,1.3497589013549398,6.7016041011198055,1.0,0.03124810364422892,0.5828935021391335,7.77272048069881,1981,0.0001,0,7.741472377054581,98.58233660063637,0.11380701547272883,0.5828935021391335
13.378260599805477,0.9729896962403565,171.50034518140635,6.7496786208085355,6.88134120703629,0.0,8,6.642850458885399,-0.030076047944727513,25.81714876033058,14.59839921494913,0.0,0.001,1.3402304261720086,6.73178262721315,1.0,0.030076047944727513,0.5796592992647478,7.741472377054581,1937,0.0001,0,7.711396329109854,101.13475586845534,0.11786435163495718,0.5796592992647478
13.403458602896798,0.9701541697236938,172.19405627962146,6.772882221659205,6.904811676473894,0.0,9,6.665690265674577,-0.030075626268635247,25.832988624612202,15.191896538526914,0.0,0.001,1.3440268861802056,6.754918731199509,1.0,0.030075626268635247,0.5774984027320994,7.711396329109854,1935,0.0001,0,7.6813207028412185,105.5774633365278,0.12671349277593824,0.5774984027320994
13.20317748990044,0.9722657986473489,180.6101801176256,6.803488570022357,6.92917600963197,0.0,10,6.698858749086671,-0.02902660280727165,26.962223421478683,15.764137054553464,0.0,0.001,1.3209877920951745,6.786057990762487,1.0,0.02902660280727165,0.5732499537496106,7.6813207028412185,1854,0.0001,0,7.652294100033947,109.99736034564538,0.31922860616753584,0.5732499537496106
13.06383875408834,0.9713733257555527,187.30655012696056,6.831207493690191,6.952513145708201,0.0,11,6.728331567494229,-0.028758195093326222,27.839086859688194,16.089264084018385,0.0,0.001,1.305271226675775,6.814142937150668,1.0,0.028758195093326222,0.5685025925094596,7.652294100033947,1797,0.0001,0,7.623535904940621,112.51000052871778,0.03276993166271488,0.5685025925094596
13.027585955011386,0.9726309337152707,190.51003021773062,6.856378839282934,6.976231325828008,0.0,12,6.7539305564442955,-0.02918334419361379,28.207110609480814,17.193346631789233,0.0,0.001,1.3017851341629547,6.839408873130586,1.0,0.02918334419361379,0.5673884603058742,7.623535904940621,1773,0.0001,0,7.594352560747007,120.7065090651682,0.4619924620435676,0.5673884603058742
12.974598029608787,0.9700014739328359,194.32934731816403,6.882302633722511,7.000373943909133,0.0,13,6.780496599614174,-0.02921075586773547,28.659977064220183,16.54344028650738,0.0,0.001,1.296273780083854,6.8654704581727675,1.0,0.02921075586773547,0.5635082821853837,7.594352560747007,1745,0.0001,0,7.565141804879271,116.50769242506024,0.016865829961763154,0.5635082821853837
