DeltaOmega,DualBefore,ReturnsStd,NormDeltaOmega,Traj,Primal,ITERATIONS,Wins,DualReg,Omega,RewardStd,WeightMax,ConfortViolation,WeightMean,TimestepsStd,LossReg,Eta,TimestepsMean,WeightMedian,RewardMean,NormDeltaVar,OmegaBefore,Epsilon,ReturnsMean,WeightMin,DualAfter
-0.03322979349744948,6.6765568523081305,83.65513899165896,0.03322979349744948,2188,6.529005603296994,0,0.0,0.0001,7.9667702065025505,1.3788012749936651,1.0,0,0.5971003352884476,12.411681971908656,0.0,13.757399972495044,22.86145404663923,0.9737259753621427,6.417491502363127,0.01345478210366862,8.0,0.001,146.70925611670216,0.5971003352884476,6.5100804055264545
-0.03307956314391092,6.702785290997478,82.39362107195716,0.03307956314391092,2160,6.556728699041005,1,0.0,0.0001,7.93369064335864,1.3761518675211688,1.0,0,0.5943619332772688,12.17799821669221,0.0,13.728106972800761,23.1528485409912,0.9721548973111015,6.445564797114523,0.1780369933427612,7.9667702065025505,0.001,149.23418157398498,0.5943619332772688,6.53788400559514
-0.03201720105681982,6.729519746436032,89.12146499906099,0.03201720105681982,2104,6.587412108916311,2,0.0,0.0001,7.90167344230182,1.3641592436436876,1.0,0,0.5907929272327908,13.128042699045345,0.0,13.620774161664977,23.762719923918212,0.9718447697296468,6.477629558499235,0.11769174331052736,7.93369064335864,0.001,153.92388920598316,0.5907929272327908,6.568860963080598
-0.031642177748619105,6.755493302835884,91.87747980051331,0.031642177748619105,2044,6.617654177522618,3,0.0,0.0001,7.870031264553201,1.350435209583661,1.0,0,0.5867201481585536,13.498471718846611,0.0,13.499046107863487,24.466470876162507,0.9713416302080098,6.509435823277419,0.2316411129683347,7.90167344230182,0.001,159.2622991765159,0.5867201481585536,6.599433556576867
-0.03205365593326004,6.780856384958262,93.12562667009118,0.03205365593326004,2027,6.643939991877578,4,0.0,0.0001,7.837977608619941,1.3498072824541865,1.0,0,0.5852606832183528,13.644802319373094,0.0,13.486593293696771,24.657946692991114,0.9711468658634206,6.53584636751932,0.35845664705027136,7.870031264553201,0.001,161.15211030762939,0.5852606832183528,6.625752972831091
-0.03198880270358817,6.806443003119786,89.67408707898596,0.03198880270358817,2008,6.670473512350683,5,0.0,0.0001,7.8059888059163525,1.3489183521962966,1.0,0,0.5852326751992172,13.072501502206967,0.0,13.472085517207663,24.904833084205283,0.9734743515013968,6.56253218291757,0.055491415005219945,7.837977608619941,0.001,163.43741675718232,0.5852326751992172,6.65232560126932
-0.031612170773231085,6.833698537343157,100.32578062885017,0.031612170773231085,1946,6.7023309259357235,6,0.0,0.0001,7.774376635143121,1.3339961639000608,1.0,0,0.5809893231460297,14.568116216963544,0.0,13.339004004255253,25.70642673521851,0.9732140884659364,6.596082759947367,0.025215144287877057,7.8059888059163525,0.001,169.56412766236085,0.5809893231460297,6.684539833334874
-0.03108673398424333,6.857960870338178,99.25581280437476,0.03108673398424333,1928,6.72758424018974,7,0.0,0.0001,7.743289901158878,1.3326348034155688,1.0,0,0.5742916831313479,14.364396610336467,0.0,13.32082848595311,25.928905033731187,0.9644263693625919,6.621536365806189,0.5504581190873088,7.774376635143121,0.001,171.6888825486267,0.5742916831313479,6.70984159981752
-0.031166422186189813,6.884169819789533,106.57083608081028,0.031166422186189813,1860,6.758861772090895,8,0.0,0.0001,7.712123478972688,1.314449942321958,1.0,0,0.5742452963040954,15.369196522627973,0.0,13.160631797825348,26.89241527703066,0.9723377742041002,6.6548459466569065,0.38304232557444046,7.743289901158878,0.001,178.96130197984425,0.5742452963040954,6.741543380113685
-0.02961908590683926,6.905485773221931,110.803764004953,0.02961908590683926,1842,6.781090125456327,9,0.0,0.0001,7.682504393065849,1.3126150168891857,1.0,0,0.5724828811481364,15.938667176848863,0.0,13.139503520004714,27.158609451385118,0.9716777204771413,6.67731622216839,0.07308312190220899,7.712123478972688,0.001,181.3478934769701,0.5724828811481364,6.7638273031840255
-0.028790211936470023,6.932124775978071,115.98911763240817,0.028790211936470023,1758,6.814261361751723,10,0.0,0.0001,7.653714181129379,1.2882859444443509,1.0,0,0.5665345876179146,16.62997797337135,0.0,12.925643901807113,28.451906659077974,0.9719671369044901,6.71317481141619,0.08244076212807042,7.682504393065849,0.001,191.00339991708773,0.5665345876179146,6.797556002310374
-0.029179806631447924,6.953179784848429,117.73735548225096,0.029179806631447924,1733,6.836876263397955,11,0.0,0.0001,7.624534374497931,1.283306893568321,1.0,0,0.564999288575521,16.825639373455196,0.0,12.877882912628388,28.85969976905312,0.9728503046817238,6.736366137983151,0.018855294290148046,7.653714181129379,0.001,194.40921075795364,0.564999288575521,6.820294154897898
-0.029257578873290058,6.975071040691534,121.73608154392129,0.029257578873290058,1741,6.857642768421385,12,0.0,0.0001,7.595276795624641,1.2903226890580608,1.0,0,0.5636898795676788,17.349832653090242,0.0,12.931569320100145,28.729885057471265,0.9700687449842128,6.756422194637395,0.0657373947250108,7.624534374497931,0.001,194.11291439524322,0.5636898795676788,6.840922082612513
-0.028039788744734118,6.997406201510153,125.90692747556353,0.028039788744734118,1707,6.882526009435697,13,0.0,0.0001,7.567237006879907,1.281616541627409,1.0,0,0.56216921411474,17.88513269584281,0.0,12.851314643022944,29.28253223915592,0.9724269211105603,6.782288271321259,0.3918314085761368,7.595276795624641,0.001,198.5941354738555,0.56216921411474,6.866012199493583
