RewardStd,Primal,Omega,NormDeltaOmega,Traj,WeightMean,WeightMedian,Epsilon,Eta,WeightMin,Wins,LossReg,NormDeltaVar,DualBefore,ConfortViolation,RewardMean,DualAfter,DeltaOmega,ReturnsMean,ReturnsStd,DualReg,WeightMax,TimestepsMean,TimestepsStd,OmegaBefore,ITERATIONS
2.430817079420004,8.05927200860379,[[0.97409244]],0.17409244327306372,100,0.0015975154524358092,0.005791033192022382,1.7401,1.552962457078258,0.0015975154524358092,0.0,0.0,32.00967367581012,8.235557830585332,0,2.34792,8.059271980473044,[[0.17409244]],1173.3333333333333,57.42979904354374,0.0,1.0,500.0,0.0,[[0.8]],0
2.862554628579165,8.147863453708652,[[0.99999533]],0.025902890454035377,100,2.8765887028753e-09,1.469272047782726e-07,1.7401,0.5084747299421897,2.8765887028753e-09,0.0,0.0,123.54533877488282,8.231755571654144,0,2.80728,8.14785498677584,[[0.02590289]],1404.6262626262626,78.74708086410504,0.0,1.0,500.0,0.0,[[0.97409244]],1
3.000104871766985,8.00000000000061,[[0.99999999]],4.660075324181001e-06,100,0.0,0.0,1.7401,0.004772844338469113,0.0,0.0,0.0,94.62803207975998,8.358044812839246,0,2.99672,8.00168369289939,[[4.66007532e-06]],1497.010101010101,79.80196384377473,0.0,1.0,500.0,0.0,[[0.99999533]],2
3.020817134485303,8.00000000000044,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004696523114876442,0.0,0.0,0.0,0.0,8.381623008999199,0,3.0372,8.001768269246488,[[0.]],1517.979797979798,79.10279462276225,0.0,1.0,500.0,0.0,[[0.99999999]],3
3.0015380121531026,7.999999999999757,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.00475920777243751,0.0,0.0,0.0,0.0,8.362185776834227,0,3.00704,8.001698660158793,[[0.]],1502.969696969697,96.17885848303717,0.0,1.0,500.0,0.0,[[0.99999999]],4
2.983558314764436,7.999999999999709,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.0048405410579429485,0.0,0.0,0.0,0.0,8.33836232502167,0,2.96232,8.00161165648494,[[0.]],1480.9292929292928,76.07508950329532,0.0,1.0,500.0,0.0,[[0.99999999]],5
3.0078018615593685,7.999999999999982,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004742547864775489,0.0,0.0,0.0,0.0,8.367230238368112,0,3.01296,8.00171685864683,[[0.]],1506.7070707070707,77.67079616089775,0.0,1.0,500.0,0.0,[[0.99999999]],6
2.995180769169033,8.00000000000028,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.00478817475780589,0.0,0.0,0.0,0.0,8.353507298479371,0,2.9904,8.001667194090555,[[0.]],1496.6262626262626,76.85150128441475,0.0,1.0,500.0,0.0,[[0.99999999]],7
2.980659137573433,8.000000000000286,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004837857553594924,0.0,0.0,0.0,0.0,8.339196965857251,0,2.96916,8.001614713252184,[[0.]],1484.2222222222222,78.46038124661872,0.0,1.0,500.0,0.0,[[0.99999999]],8
3.002768710640232,7.999999999999632,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004759940073592947,0.0,0.0,0.0,0.0,8.361938987374057,0,3.00448,8.001697782563577,[[0.]],1501.2727272727273,72.29817860731846,0.0,1.0,500.0,0.0,[[0.99999999]],9
2.9942794074033907,8.000000000000519,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004795201132357035,0.0,0.0,0.0,0.0,8.351421944196437,0,2.98548,8.001659599911013,[[0.]],1492.4444444444443,91.31256368823308,0.0,1.0,500.0,0.0,[[0.99999999]],10
2.986630877761763,7.99999999999994,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.0048215673592703285,0.0,0.0,0.0,0.0,8.343793322153061,0,2.974,8.001631655504534,[[0.]],1487.939393939394,72.99063426592333,0.0,1.0,500.0,0.0,[[0.99999999]],11
2.995845062749407,8.000000000000279,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004788146586036357,0.0,0.0,0.0,0.0,8.353503010612028,0,2.9894,8.001667184281429,[[0.]],1493.7373737373737,77.16839593043568,0.0,1.0,500.0,0.0,[[0.99999999]],12
3.0114794514324683,8.000000000000059,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004739121867106116,0.0,0.0,0.0,0.0,8.368236571536288,0,3.01056,8.0017205042818,[[0.]],1504.7272727272727,89.53187098941368,0.0,1.0,500.0,0.0,[[0.99999999]],13
2.981366494478664,7.999999999999532,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004841224597179577,0.0,0.0,0.0,0.0,8.338213634771064,0,2.96516,8.001611093083945,[[0.]],1482.20202020202,86.03569611515788,0.0,1.0,500.0,0.0,[[0.99999999]],14
3.0035691451338353,8.000000000000396,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004759650876269006,0.0,0.0,0.0,0.0,8.362013547866747,0,3.00352,8.001698059075695,[[0.]],1501.010101010101,81.83371844006095,0.0,1.0,500.0,0.0,[[0.99999999]],15
2.988945477187565,7.99999999999942,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004807120831921161,0.0,0.0,0.0,0.0,8.347988425042542,0,2.98312,8.001647031840776,[[0.]],1492.989898989899,66.97768284271781,0.0,1.0,500.0,0.0,[[0.99999999]],16
2.9973295837461724,8.000000000000163,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004778234678425111,0.0,0.0,0.0,0.0,8.356461790533947,0,2.99608,8.00167793515301,[[0.]],1498.3030303030303,71.25391423527248,0.0,1.0,500.0,0.0,[[0.99999999]],17
3.0080597270666014,7.999999999999427,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004740252121776524,0.0,0.0,0.0,0.0,8.367941499341711,0,3.01472,8.001719411440904,[[0.]],1507.3535353535353,78.66555124161873,0.0,1.0,500.0,0.0,[[0.99999999]],18
3.000159650151972,8.000000000000066,[[0.99999999]],0.0,100,0.0,0.0,1.7401,0.004770739491509238,0.0,0.0,0.0,0.0,8.358684077678959,0,2.99856,8.001686005856167,[[0.]],1498.121212121212,77.26319608479729,0.0,1.0,500.0,0.0,[[0.99999999]],19
