LossReg,ReturnsStd,RewardStd,ReturnsMean,TimestepsStd,ITERATIONS,RewardMean,TimestepsMean,Wins,DeltaOmega,Epsilon,ConfortViolation,Traj,OmegaBefore,DualReg,NormDeltaOmega,WeightMax,Eta,NormDeltaVar,WeightMean,WeightMin,Omega,DualBefore,DualAfter,WeightMedian,Primal
0.0,61.928547417209714,2.4301039134983506,1176.080808080808,0.0,0,2.35264,500.0,0.0,[[0.00092775]],0.7401,0,100,[[0.8]],0.0,0.0009277507538639762,1.0,2.711706694692324,0.0829794671811257,0.025029141725778352,0.025029141725778352,[[0.80092775]],7.241581039740717,6.0015059049676776,0.05233072673478485,6.001509240476455
0.0,57.596643385288665,2.4343498844660765,1175.979797979798,0.0,1,2.3508,500.0,0.0,[[0.00140141]],0.7401,0,100,[[0.80092775]],0.0,0.001401413058763623,1.0,2.721291014637417,0.12589749622450697,0.025356341449981695,0.025356341449981695,[[0.80232916]],7.265287806913408,6.009428540439506,0.052877300222881715,6.009431141286199
0.0,66.52571570387856,2.4394911859648114,1181.8383838383838,0.0,2,2.36244,500.0,0.0,[[0.0081999]],0.7401,0,100,[[0.80232916]],0.0,0.008199902188430586,1.0,2.706876280387193,0.7505117660533642,0.024864972776559198,0.024864972776559198,[[0.81052907]],7.235479311287921,6.01437333093342,0.05205595166377605,6.014373332004298
0.0,59.61954677894424,2.4656532583475723,1188.5454545454545,0.0,3,2.37936,500.0,0.0,[[0.01877379]],0.7401,0,100,[[0.81052907]],0.0,0.018773794086158868,1.0,2.7017046296020073,1.8177567636762397,0.024689755787084187,0.024689755787084187,[[0.82930286]],7.23168683466002,6.045723146186161,0.05176228449440208,6.045723147828179
0.0,57.531898942934276,2.4700775019419936,1194.5858585858587,0.0,4,2.38812,500.0,0.0,[[0.0064164]],0.7401,0,100,[[0.82930286]],0.0,0.00641639571163688,1.0,2.683041832390964,0.6574481923996061,0.024062204071912445,0.024062204071912445,[[0.83571926]],7.186905051755534,6.044477989567891,0.05070704759352747,6.044477993370752
0.0,62.107995637682556,2.483765965142449,1204.3636363636363,0.0,5,2.40952,500.0,0.0,[[0.00722728]],0.7401,0,100,[[0.83571926]],0.0,0.007227277748949268,1.0,2.6668831573691962,0.7657330690638595,0.02352490610832403,0.02352490610832403,[[0.84294653]],7.160145470502879,6.064274141357848,0.049799194602116,6.064273169157265
0.0,58.550396791067,2.4753547976805264,1196.949494949495,0.0,6,2.39484,500.0,0.0,[[0.0019844]],0.7401,0,100,[[0.84294653]],0.0,0.0019843954741910474,1.0,2.656632027131206,0.21524303426739166,0.023186976567812396,0.023186976567812396,[[0.84493093]],7.116344976804016,6.036619944202302,0.04922608513995112,6.036618837225351
0.0,65.7314072276948,2.51680058995543,1219.3737373737374,0.0,7,2.43648,500.0,0.0,[[0.01036315]],0.7401,0,100,[[0.84493093]],0.0,0.010363153796100089,1.0,2.663000108733042,1.1622513487350439,0.02339663205435153,0.02339663205435153,[[0.85529408]],7.171131479430516,6.111681981523379,0.04958184417986337,6.1116807409267055
0.0,68.24748353063623,2.5181920613011233,1213.7575757575758,0.0,8,2.42632,500.0,0.0,[[0.00317387]],0.7401,0,100,[[0.85529408]],0.0,0.0031738743587296225,1.0,2.6627544532539655,0.3697338885322843,0.0233885280013864,0.0233885280013864,[[0.85846796]],7.158917471651286,6.10230608864757,0.04956810449937454,6.1023048225444265
0.0,62.1723727902807,2.507065749756077,1210.989898989899,0.0,9,2.42292,500.0,0.0,[[-0.00234321]],0.7401,0,100,[[0.85846796]],0.0,0.002343211188997718,1.0,2.652336521777737,0.2736249811107605,0.02304605571167996,0.02304605571167996,[[0.85612475]],7.127329002153878,6.084016374202541,0.04898659869078181,6.084014960410015
0.0,64.50016906178682,2.513475856577898,1215.6969696969697,0.0,10,2.43428,500.0,0.0,[[0.00172423]],0.7401,0,100,[[0.85612475]],0.0,0.0017242322448873804,1.0,2.647035010352412,0.20097968079090833,0.022872687557593356,0.022872687557593356,[[0.85784898]],7.123160953542374,6.096290100198749,0.048691567752693274,6.096288512740839
