TimestepsStd,Primal,Epsilon,RewardMean,DualReg,OmegaBefore,ReturnsMean,Eta,Wins,ConfortViolation,WeightMedian,LossReg,Traj,NormDeltaOmega,DualBefore,ReturnsStd,WeightMin,TimestepsMean,WeightMean,NormDeltaVar,DualAfter,Omega,ITERATIONS,DeltaOmega,RewardStd,WeightMax
0.0,7.648017744029274,1.5001,2.34016,0.0,[[0.8]],1170.3636363636363,1.7775150724681679,0.0,0,0.011101610722083804,0.0,100,0.154369690221416,7.992043715698469,60.20393868545069,0.0036035661058506398,500.0,0.0036035661058506398,23.63120810541759,7.6480164905339745,[[0.95436969]],0,[[0.15436969]],2.4194154613046517,1.0
0.0,7.957986865134875,1.5001,2.75352,0.0,[[0.95436969]],1377.171717171717,1.140604069374541,0.0,0,0.0008993598416032083,0.0,100,0.041977126927713826,7.961951751562587,70.76665887381169,0.0001557459866477773,500.0,0.0001557459866477773,36.68596681307362,7.95798412838643,[[0.99634682]],1,[[0.04197713]],2.816928754796614,1.0
0.0,7.999999999999737,1.5001,2.96392,0.0,[[0.99634682]],1482.060606060606,0.008530766600008791,0.0,0,3.506023585360575e-306,0.0,100,0.0036531734797430326,8.09675757791327,77.13687404222722,0.0,500.0,0.0,183.95908348514575,8.000778983548685,[[0.99999999]],2,[[0.00365317]],2.9792848527121403,1.0
0.0,7.999999999999686,1.5001,3.00964,0.0,[[0.99999999]],1506.3636363636363,0.008015788579928563,0.0,0,0.0,0.0,100,0.0,8.124395902948127,79.30473823151286,0.0,500.0,0.0,0.0,8.00095509183186,[[0.99999999]],3,[[0.]],3.004274799414993,1.0
0.0,7.999999999999778,1.5001,2.97324,0.0,[[0.99999999]],1487.6363636363637,0.00839068943193955,0.0,0,0.0,0.0,100,0.0,8.103229276495117,80.06783166531325,0.0,500.0,0.0,0.0,8.000820935365779,[[0.99999999]],4,[[0.]],2.986008021154665,1.0
0.0,8.000000000000153,1.5001,2.99204,0.0,[[0.99999999]],1495.171717171717,0.00813816308535043,0.0,0,0.0,0.0,100,0.0,8.116681725476521,78.67694339705787,0.0,500.0,0.0,0.0,8.000906613782355,[[0.99999999]],5,[[0.]],3.0004960653865225,1.0
0.0,8.00000000000029,1.5001,3.02548,0.0,[[0.99999999]],1510.909090909091,0.007849441470414843,0.0,0,0.0,0.0,100,0.0,8.135773663938135,80.11066725639266,0.0,500.0,0.0,0.0,8.001025320919833,[[0.99999999]],6,[[0.]],3.016778210210356,1.0
0.0,8.00000000000038,1.5001,3.01016,0.0,[[0.99999999]],1505.1919191919192,0.007988187317140015,0.0,0,0.0,0.0,100,0.0,8.126122562433862,84.6043288487833,0.0,500.0,0.0,0.0,8.000965775132629,[[0.99999999]],7,[[0.]],3.0074402362141797,1.0
0.0,7.999999999999704,1.5001,3.0118,0.0,[[0.99999999]],1506.3232323232323,0.007970271950970238,0.0,0,0.0,0.0,100,0.0,8.127303559577795,91.21833373699667,0.0,500.0,0.0,0.0,8.000973100214006,[[0.99999999]],8,[[0.]],3.0087374029649046,1.0
0.0,7.999999999999703,1.5001,2.999,0.0,[[0.99999999]],1498.828282828283,0.00809694455967864,0.0,0,0.0,0.0,100,0.0,8.11923811126799,75.02350344237793,0.0,500.0,0.0,0.0,8.000922773356091,[[0.99999999]],9,[[0.]],3.000986337856272,1.0
0.0,7.999999999999671,1.5001,2.99176,0.0,[[0.99999999]],1495.6767676767677,0.008173904246258471,0.0,0,0.0,0.0,100,0.0,8.114702080457187,83.1519028958968,0.0,500.0,0.0,0.0,8.000894191859949,[[0.99999999]],10,[[0.]],2.996680180199415,1.0
0.0,8.000000000000217,1.5001,3.011,0.0,[[0.99999999]],1505.5151515151515,0.007962561775672138,0.0,0,0.0,0.0,100,0.0,8.127769413486352,74.8882485469622,0.0,500.0,0.0,0.0,8.000975948460137,[[0.99999999]],11,[[0.]],3.0102290610516667,1.0
0.0,7.999999999999624,1.5001,3.02316,0.0,[[0.99999999]],1511.4141414141413,0.007892710494419187,0.0,0,0.0,0.0,100,0.0,8.13273430481542,79.84087838085493,0.0,500.0,0.0,0.0,8.001006721069471,[[0.99999999]],12,[[0.]],3.0121260953685187,1.0
0.0,7.999999999999682,1.5001,3.01,0.0,[[0.99999999]],1505.4545454545455,0.007999425869426079,0.0,0,0.0,0.0,100,0.0,8.125416785457364,78.3588317915912,0.0,500.0,0.0,0.0,8.00096141296473,[[0.99999999]],13,[[0.]],3.006110443746204,1.0
0.0,7.999999999999735,1.5001,2.99788,0.0,[[0.99999999]],1498.969696969697,0.008124075798207632,0.0,0,0.0,0.0,100,0.0,8.117654928696428,76.3661375251769,0.0,500.0,0.0,0.0,8.000912858536239,[[0.99999999]],14,[[0.]],2.9985322252061923,1.0
0.0,7.999999999999518,1.5001,2.977,0.0,[[0.99999999]],1489.5757575757575,0.008327091828934726,0.0,0,0.0,0.0,100,0.0,8.106365724544759,82.5283656052668,0.0,500.0,0.0,0.0,8.00084106997482,[[0.99999999]],15,[[0.]],2.989787785111177,1.0
