ConfortViolation,ReturnsStd,WeightMax,Wins,DeltaOmega,RewardStd,DualAfter,ReturnsMean,TimestepsStd,WeightMin,WeightMedian,ITERATIONS,DualBefore,NormDeltaVar,RewardMean,WeightMean,Eta,Epsilon,Omega,DualReg,LossReg,NormDeltaOmega,OmegaBefore,TimestepsMean,Traj,Primal
0,57.93986588145844,1.0,0.0,[[0.14163931]],2.4107195934824115,7.413799226067201,1169.111111111111,0.0,0.005035124460219505,0.0145080207504655,0,7.85765172633667,19.92407728594468,2.33804,0.005035124460219505,1.8898886488076407,1.3801,[[0.94163931]],0.0,0.0,0.14163931080918346,[[0.8]],500.0,100,7.413799253048503
0,71.67454132034817,1.0,0.0,[[0.04600492]],2.780018393032679,7.765264369580468,1352.5050505050506,0.0,0.0010539545995095075,0.00415200170111903,1,7.8235870736271576,22.860280342728785,2.70312,0.0010539545995095075,1.4587453884916797,1.3801,[[0.98764423]],0.0,0.0,0.04600491935880713,[[0.94163931]],500.0,100,7.765265137309727
0,70.06858039503622,1.0,0.0,[[0.00986067]],2.9431168414454763,7.941017921360071,1455.010101010101,0.0,0.00012192474427282547,0.000739389846950131,2,7.942655687729605,22.99613603575348,2.90976,0.00012192474427282547,1.1096184826843905,1.3801,[[0.9975049]],0.0,0.0,0.009860671487505135,[[0.98764423]],500.0,100,7.941022399507549
0,70.92965254850735,1.0,0.0,[[0.00237436]],3.002052266300505,7.996989364893633,1501.878787878788,0.0,1.5083323659829196e-05,0.000242031998977771,3,8.000588354186092,43.29782830806475,3.00148,1.5083323659829196e-05,0.7205960239921848,1.3801,[[0.99987926]],0.0,0.0,0.0023743615511568894,[[0.9975049]],500.0,100,7.996985371970439
0,75.16947216766059,1.0,0.0,[[0.00012073]],3.007067532065085,8.00007506371833,1505.0707070707072,0.0,4.764054986450431e-35,1.81335391420073e-26,4,8.005966255498642,134.2427727326143,3.01024,4.764054986450431e-35,0.10122817735662352,1.3801,[[0.99999999]],0.0,0.0,0.0001207267742316942,[[0.99987926]],500.0,100,7.999999999999641
0,77.48545880941415,1.0,0.0,[[-0.99898661]],2.99107245408733,7.987034714526388,1491.3939393939395,0.0,0.00010019436938564068,0.0010014574164964151,5,7.988297718792696,361.6030981408584,2.98088,0.00010019436938564068,0.8687721262101297,1.3801,[[0.00101338]],0.0,0.0,0.9989866056292737,[[0.99999999]],500.0,100,7.987033777767973
0,19.891369099090735,1.0,0.0,[[-0.00101338]],0.7342222006994885,10.003590985944248,4971.010101010101,0.0,0.0,1.0,6,11.373901719992567,183.77553390061317,9.9424,0.0,0.002613715545940767,1.3801,[[2.6261861e-09]],0.0,0.0,0.0010133817254245764,[[0.00101338]],500.0,100,9.999999999997334
0,0.0,1.0,0.0,[[0.]],0.4467661580737735,10.003601953635648,4990.0,0.0,0.0,1.0,7,11.378098088311146,0.0,9.98,0.0,0.0026137137145751713,1.3801,[[2.6261861e-09]],0.0,0.0,0.0,[[2.6261861e-09]],500.0,100,9.999999999997792
0,0.0,1.0,0.0,[[0.]],0.4467661580737735,10.003601953635648,4990.0,0.0,0.0,1.0,8,11.378098088311146,0.0,9.98,0.0,0.0026137137145751713,1.3801,[[2.6261861e-09]],0.0,0.0,0.0,[[2.6261861e-09]],500.0,100,9.999999999997792
0,0.0,1.0,0.0,[[0.]],0.4467661580737735,10.003601953635648,4990.0,0.0,0.0,1.0,9,11.378098088311146,0.0,9.98,0.0,0.0026137137145751713,1.3801,[[2.6261861e-09]],0.0,0.0,0.0,[[2.6261861e-09]],500.0,100,9.999999999997792
