RewardMean,Traj,Primal,DualBefore,WeightMean,OmegaBefore,WeightMedian,Omega,TimestepsMean,LossReg,WeightMax,DualReg,ITERATIONS,Eta,ConfortViolation,WeightMin,RewardStd,Epsilon,ReturnsStd,Wins,NormDeltaOmega,DeltaOmega,TimestepsStd,NormDeltaVar,ReturnsMean,DualAfter
2.9364,100,7.82726199228456,7.850455962673559,0.002806158200319134,[[0.99402108]],0.012192257136202622,[[0.99349118]],500.0,0.0,1.0,0.0,10,1.3614845405095362,0,0.002806158200319134,2.965204046941795,1.2701,72.78472478216952,0.0,0.0005298983518454703,[[-0.0005299]],0.0,1.2207317159752904,1468.6666666666667,7.827262118462637
2.95752,100,7.840127701271015,7.860175358723078,0.002566602481779327,[[0.99349118]],0.011402995617317365,[[0.99386969]],500.0,0.0,1.0,0.0,11,1.3411180213770397,0,0.002566602481779327,2.970433545730319,1.2701,81.91744570869876,0.0,0.0003785032954622958,[[0.0003785]],0.0,0.8613243353968159,1479.4343434343434,7.840127725602847
2.9502,100,7.836108038144987,7.857134834418671,0.0026428079695937595,[[0.99386969]],0.011655991064744494,[[0.99376491]],500.0,0.0,1.0,0.0,12,1.3477285790208655,0,0.0026428079695937595,2.9692692636404665,1.2701,88.14816718238971,0.0,0.00010477130001362855,[[-0.00010477]],0.0,0.24359587108004632,1475.5959595959596,7.836108083353744
2.95432,100,7.837097932822535,7.858084437474036,0.000596383158638815,[[0.99376491]],0.002632814715457548,[[0.99370328]],500.0,0.0,1.0,0.0,13,1.346868968904211,0,0.000596383158638815,2.9674759203066836,1.2701,79.19451139851436,0.0,6.163245693457942e-05,[[-6.16324569e-05]],0.0,0.14140382782687766,1479.1313131313132,7.837097976595453
2.9838,100,7.8626864541097055,7.878336849959158,0.0004799692975075413,[[0.99370328]],0.0022129457427869856,[[0.99466766]],500.0,0.0,1.0,0.0,14,1.308594199534104,0,0.0004799692975075413,2.9864054580716264,1.2701,79.49539871268092,0.0,0.0009643757824655541,[[0.00096438]],0.0,2.3886855365408763,1491.4343434343434,7.862686200119864
2.98168,100,7.861112454665652,7.876465809937306,0.0021990590604855907,[[0.99466766]],0.01015494720972212,[[0.99472201]],500.0,0.0,1.0,0.0,15,1.3072481315748388,0,0.0021990590604855907,2.9868485695796494,1.2701,94.40996507768011,0.0,5.435640242767992e-05,[[5.43564024e-05]],0.0,0.14715254905186725,1491.030303030303,7.86112239143451
2.97324,100,7.852987508040113,7.870099300283915,0.002339542245792651,[[0.99472201]],0.010637710544045697,[[0.99437051]],500.0,0.0,1.0,0.0,16,1.3206114452334754,0,0.002339542245792651,2.9797321863550086,1.2701,75.54564835386344,0.0,0.00035150362107272404,[[-0.0003515]],0.0,0.9261090828113083,1485.919191919192,7.852987268287475
2.94836,100,7.834915541530216,7.856230590609284,0.0026647440700517623,[[0.99437051]],0.011728477210795243,[[0.99373122]],500.0,0.0,1.0,0.0,17,1.3496079725175316,0,0.0026647440700517623,2.968698925522762,1.2701,76.49509821560598,0.0,0.0006392942180500905,[[-0.00063929]],0.0,1.5458102148511301,1473.2929292929293,7.834915594599678
2.96512,100,7.847270021010976,7.865911130496647,0.0005469144692778531,[[0.99373122]],0.0024566061267900343,[[0.99413383]],500.0,0.0,1.0,0.0,18,1.3313419774942556,0,0.0005469144692778531,2.9758601085400502,1.2701,76.53537419862865,0.0,0.00040261032886157455,[[0.00040261]],0.0,0.9540699280368585,1483.2525252525252,7.847265915897564
2.98104,100,7.860180841539209,7.87593929657669,0.0004842025401263789,[[0.99413383]],0.0022285462454653964,[[0.99463865]],500.0,0.0,1.0,0.0,19,1.3100996304101344,0,0.0004842025401263789,2.98529069244521,1.2701,74.7700975866218,0.0,0.0005048242431063832,[[0.00050482]],0.0,1.2927794082656021,1491.090909090909,7.86018083123408
