RewardMean,Traj,Primal,DualBefore,WeightMean,OmegaBefore,WeightMedian,Omega,TimestepsMean,LossReg,WeightMax,DualReg,ITERATIONS,Eta,ConfortViolation,WeightMin,RewardStd,Epsilon,ReturnsStd,Wins,NormDeltaOmega,DeltaOmega,TimestepsStd,NormDeltaVar,ReturnsMean,DualAfter
2.34472,100,7.230257551206825,7.784897179064307,0.006891602193063361,[[0.8]],0.018649026257178392,[[0.92959783]],500.0,0.0,1.0,0.0,0,2.0090601855554966,0,0.006891602193063361,2.4244851250523274,1.2701,56.5321112653864,0.0,0.1295978307831459,[[0.12959783]],0.0,17.06048022931417,1172.828282828283,7.230258722848565
2.6652,100,7.552771992041407,7.699953409619094,0.002580021527903343,[[0.92959783]],0.008497646563136922,[[0.97699556]],500.0,0.0,1.0,0.0,1,1.677864303513274,0,0.002580021527903343,2.7423035864032266,1.2701,77.98756438009194,0.0,0.04739773102703948,[[0.04739773]],0.0,16.689528144312625,1331.79797979798,7.552772020940136
2.83388,100,7.72797884086231,7.780382303655541,0.001199986736865626,[[0.97699556]],0.004606182666963612,[[0.98899127]],500.0,0.0,1.0,0.0,2,1.4868905083242347,0,0.001199986736865626,2.88822508568844,1.2701,73.69682017528692,0.0,0.01199571309152192,[[0.01199571]],0.0,10.702891614654412,1417.030303030303,7.727978541472199
2.9646,100,7.845948209140539,7.865334674495331,0.000560506262102625,[[0.98899127]],0.002505326748243919,[[0.99398573]],500.0,0.0,1.0,0.0,3,1.3357073049533696,0,0.000560506262102625,2.973191356102059,1.2701,85.73403681660233,0.0,0.00499445416062716,[[0.00499445]],0.0,8.70843363521685,1482.4242424242425,7.8459416275132305
2.9582,100,7.843672504808547,7.863411389743614,0.0005700031093703689,[[0.99398573]],0.0025392284760187614,[[0.9940082]],500.0,0.0,1.0,0.0,4,1.338711608628462,0,0.0005700031093703689,2.9745609356676495,1.2701,76.99708412782479,0.0,2.247011734657356e-05,[[2.24701173e-05]],0.0,0.053796225758347305,1478.121212121212,7.843672523282446
2.95812,100,7.842756114072208,7.863159234318355,0.0005816881095821469,[[0.9940082]],0.0025807869209051397,[[0.99388697]],500.0,0.0,1.0,0.0,5,1.3423582498178153,0,0.0005816881095821469,2.972245963173304,1.2701,74.79229887237885,0.0,0.00012122627598520896,[[-0.00012123]],0.0,0.2878863333646393,1478.3030303030303,7.84275614289966
2.96092,100,7.845451764853744,7.864995486556375,0.00056472699532209,[[0.99388697]],0.0025204079385799808,[[0.99403095]],500.0,0.0,1.0,0.0,6,1.3370470907820224,0,0.00056472699532209,2.974974412259709,1.2701,83.44250699906097,0.0,0.0001439721369494995,[[0.00014397]],0.0,0.3425473451973886,1480.5454545454545,7.845444641402752
2.9564,100,7.8404703859781355,7.860693479481425,0.0005807909329297675,[[0.99403095]],0.00257760201260033,[[0.99387949]],500.0,0.0,1.0,0.0,7,1.3420801697833027,0,0.0005807909329297675,2.9712790242587452,1.2701,80.49645975227563,0.0,0.0001514587729514183,[[-0.00015146]],0.0,0.360139992239624,1479.4343434343434,7.8404704129040645
2.90864,100,7.802111409177647,7.8318343986690815,0.0007782527974748111,[[0.99387949]],0.0032575909692470193,[[0.99244606]],500.0,0.0,1.0,0.0,8,1.3969486707629106,0,0.0007782527974748111,2.9460165224248147,1.2701,73.3776030219189,0.0,0.0014334296966089788,[[-0.00143343]],0.0,3.026671389817423,1454.989898989899,7.802112162657748
2.96016,100,7.846164700460145,7.866032938740083,0.0005698736792643022,[[0.99244606]],0.0025387672012377105,[[0.99402108]],500.0,0.0,1.0,0.0,9,1.3386709110798867,0,0.0005698736792643022,2.975690302165197,1.2701,70.73981925594985,0.0,0.0015750245322225798,[[0.00157502]],0.0,3.363081786013268,1480.2828282828282,7.846164719815352
