NormDeltaOmega,DualReg,Omega,Eta,Traj,TimestepsStd,LossReg,WeightMax,NormDeltaVar,ReturnsStd,ITERATIONS,DeltaOmega,DualBefore,OmegaBefore,WeightMedian,Primal,Epsilon,WeightMin,ReturnsMean,RewardMean,ConfortViolation,DualAfter,TimestepsMean,RewardStd,Wins,WeightMean
0.034129047987312866,0.0001,7.965870952012687,13.81746122307261,2211,11.959760931304485,0.0,1.0,0.14882657422588474,80.55447391923109,0,-0.034129047987312866,6.675406247064845,8.0,0.9700438770655366,6.525833655510469,0.001,0.5961370260085371,144.9862218803883,6.413522027467335,0,6.5067428489274635,22.60678733031674,1.3859678636944242,0.0,0.5961370260085371
0.033536515023449454,0.0001,7.932334436989238,13.76748391157602,2178,11.916282875902114,0.0,1.0,0.5343819799425134,80.62478300615358,1,-0.033536515023449454,6.702678249800768,7.965870952012687,0.9728506904833001,6.5553415938989845,0.001,0.5956491045865142,147.9679219509129,6.443654622893196,0,6.536388632404339,22.964170877354157,1.3808752993333955,0.0,0.5956491045865142
0.034164056887108885,0.0001,7.898170380102129,13.821903429879777,2181,11.910769399987919,0.0,1.0,0.03236951256282207,80.92999679654592,2,-0.034164056887108885,6.731992995457629,7.932334436989238,0.973469710626921,6.583647373952472,0.001,0.5959200277704608,148.35312022639613,6.471188453159958,0,6.564544256712167,22.925229357798166,1.3884539518451176,0.0,0.5959200277704608
0.033031490052077395,0.0001,7.865138890050051,13.809027024581237,2163,12.18110281639234,0.0,1.0,0.0670839573382728,83.0244477101408,3,-0.033031490052077395,6.756532875877578,7.898170380102129,0.9710163732337699,6.609099582451077,0.001,0.5930804323357413,150.20323012879186,6.496776234548614,0,6.590032039156354,23.119796484736355,1.3877108778686382,0.0,0.5930804323357413
0.03331906749818536,0.0001,7.831819822551866,13.76624455435092,2130,12.330829878005034,0.0,1.0,0.10594935041164803,84.40339225240089,4,-0.03331906749818536,6.786336985674102,7.865138890050051,0.9727074780756566,6.641006609043693,0.001,0.5919490806589759,153.28419590808022,6.5292075982895525,0,6.622057394406176,23.476749647721935,1.3835931068956906,0.0,0.5919490806589759
0.0328082792870088,0.0001,7.799011543264857,13.789326159990384,2126,12.084774729508853,0.0,1.0,0.016798803914382845,82.98165615477,5,-0.0328082792870088,6.809534120070001,7.831819822551866,0.972899741543106,6.663832313050452,0.001,0.5915561425989047,154.058544330277,6.551693352637719,0,6.644819488385538,23.514823529411764,1.387094137830338,0.0,0.5915561425989047
0.03282628170931812,0.0001,7.766185261555539,13.650480945257021,2059,13.023055222287947,0.0,1.0,0.053847049896073376,89.74219268827572,6,-0.03282628170931812,6.837218307673271,7.799011543264857,0.973117295750581,6.696511063536206,0.001,0.5875771447911987,160.00263715294128,6.586173621119024,0,6.6778792549332335,24.29348882410107,1.3713526733301926,0.0,0.5875771447911987
0.03196109925727342,0.0001,7.734224162298266,13.695883667176718,2065,13.568487812178045,0.0,1.0,0.09867374342877393,93.88790969779572,7,-0.03196109925727342,6.861070831903533,7.766185261555539,0.9723801844345573,6.719344717943035,0.001,0.5870426467291339,160.0627674042483,6.608372078020578,0,6.700588738242088,24.2218992248062,1.3775576387500243,0.0,0.5870426467291339
0.031763728236936295,0.0001,7.702460434061329,13.567442868406758,2002,13.326970546752552,0.0,1.0,0.4069828024193727,92.50692420388876,8,-0.031763728236936295,6.888849739936667,7.734224162298266,0.972810690793253,6.751773152463192,0.001,0.5833833690359354,165.90652132698085,6.642453774814659,0,6.7333673562632335,24.976511744127937,1.3631361280289667,0.0,0.5833833690359354
0.0323473938308414,0.0001,7.670113040230488,13.520679266661809,1974,13.896562322785753,0.0,1.0,0.12156404059140247,96.78637475055596,9,-0.0323473938308414,6.913067408862434,7.702460434061329,0.9739927943446383,6.777835851515992,0.001,0.5820580899533626,168.9946583735514,6.6690964662697985,0,6.759556731563735,25.340091231626964,1.358321896871474,0.0,0.5820580899533626
0.03154388427562438,0.0001,7.638569155954864,13.582271954972663,1984,13.631041394154373,0.0,1.0,0.00862276661315004,95.2285116376553,10,-0.03154388427562438,6.936403069133163,7.670113040230488,0.9757331959664511,6.799805022854845,0.001,0.5834278973611152,168.66837520188236,6.69021945741541,0,6.781358950800814,25.21079172970247,1.3664929166468844,0.0,0.5834278973611152
0.030696833829919612,0.0001,7.607872322124944,13.445145615630672,1923,14.475153108654679,0.0,1.0,0.058792545327161765,101.53686163573356,11,-0.030696833829919612,6.963158599597278,7.638569155954864,0.9729522324200877,6.831289336364997,0.001,0.5776117078987615,174.88549767593747,6.7234622692508355,0,6.8132138907478375,26.01092611862643,1.3510261773170114,0.0,0.5776117078987615
0.030834474105406073,0.0001,7.577037848019538,13.377882665499147,1888,15.69745197522088,0.0,1.0,0.24153275087594486,110.5196983680149,12,-0.030834474105406073,6.989079449917403,7.607872322124944,0.9752300494110689,6.8596895569842005,0.001,0.5763356825700157,178.90054720328075,6.752701888311868,0,6.841794534896615,26.493375728669847,1.343864934814703,0.0,0.5763356825700157
0.03000810866501702,0.0001,7.547029739354521,13.408866953988468,1889,15.576065393909442,0.0,1.0,0.0801279121646528,109.92435204305477,13,-0.03000810866501702,7.009682896838858,7.577037848019538,0.9739486288664372,6.87973094909236,0.001,0.5753903268095091,179.3000066660759,6.772309584149997,0,6.861752921224396,26.47563559322034,1.3482254790939894,0.0,0.5753903268095091
