ReturnsStd,NormDeltaOmega,WeightMax,TimestepsMean,WeightMean,DualBefore,RewardStd,DualReg,WeightMedian,TimestepsStd,NormDeltaVar,OmegaBefore,RewardMean,Traj,DualAfter,WeightMin,DeltaOmega,ITERATIONS,Wins,LossReg,ReturnsMean,Epsilon,ConfortViolation,Eta,Omega,Primal
62.39829476085337,0.45090339214724506,1.0,500.0,0.16256111076405616,6.6541295685749695,2.4211342743433293,0.0,0.23378321484047232,0.0,28.704384227661578,[[0.8]],2.34016,100,3.8442845543380724,0.16256111076405616,[[-0.45090339]],0,0.0,0.0,1169.3737373737374,0.1501,0,5.5044822728495095,[[0.34909661]],3.844285257330935
83.99916917687862,0.12542055923987816,1.0,500.0,0.2659123621208403,8.595966221957537,3.6801102861735004,0.0,0.3465698850758958,0.0,8.876550969404425,[[0.34909661]],3.34104,100,5.506348837713228,0.2659123621208403,[[-0.12542056]],1,0.0,0.0,1672.4242424242425,0.1501,0,7.549514489975947,[[0.22367605]],5.506349146427627
113.71534314867844,0.09707711706531486,1.0,500.0,0.2786464025306748,9.17176901099279,4.312442384728172,0.0,0.35978475097188767,0.0,9.814281308948555,[[0.22367605]],4.61472,100,6.999717456438523,0.2786464025306748,[[-0.09707712]],2,0.0,0.0,2306.5050505050503,0.1501,0,7.825879347096924,[[0.12659893]],6.999717680411354
134.93482954245226,0.07455132672220594,1.0,500.0,0.22582542117598087,9.61460077438084,4.40103714031136,0.0,1.0,0.0,13.86821019198145,[[0.12659893]],6.35664,100,8.608225586098772,0.22582542117598087,[[-0.07455133]],3,0.0,0.0,3180.161616161616,0.1501,0,6.720461492744819,[[0.0520476]],8.60822628304629
112.9927470306953,0.04602049189433596,1.0,500.0,0.05502785855416757,9.934739930785407,3.5598518870312565,0.0,1.0,0.0,31.475661573069075,[[0.0520476]],8.27132,100,9.84040689494261,0.05502785855416757,[[-0.04602049]],4,0.0,0.0,4135.818181818182,0.1501,0,3.44837609944103,[[0.00602711]],9.840406865671744
44.86926445537127,0.0060271109886896315,1.0,500.0,0.0,10.124871602055638,1.4227733480776197,0.0,1.0,0.0,213.6276502079349,[[0.00602711]],9.774,100,10.000886327913205,0.0,[[-0.00602711]],5,0.0,0.0,4887.595959595959,0.1501,0,0.007098332666664836,[[1.94233043e-09]],10.000000000002167
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],6,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],7,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],8,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],9,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],10,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],11,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],12,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],13,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],14,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],15,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
0.0,0.0,1.0,500.0,0.0,10.148098088311146,0.4467661580737735,0.0,1.0,0.0,0.0,[[1.94233043e-09]],9.98,100,10.001036724705944,0.0,[[0.]],16,0.0,0.0,4990.0,0.1501,0,0.00700026147982773,[[1.94233043e-09]],9.999999999997792
