NormDeltaOmega,ITERATIONS,DualAfter,DeltaOmega,NormDeltaVar,OmegaBefore,WeightMedian,Primal,RewardStd,Wins,TimestepsStd,Traj,DualBefore,Epsilon,DualReg,WeightMin,Eta,Omega,TimestepsMean,ReturnsStd,ReturnsMean,WeightMean,WeightMax,ConfortViolation,LossReg,RewardMean
0.07043688802766745,1,3.8004135215071537,[[-0.07043689]],4.217627172421134,[[0.430672]],0.5338987769302017,3.8004139345474415,3.2267074584473874,0.0,0.0,100,8.08628231225267,0.0401,0.0,0.4563769036037518,12.748008231543968,[[0.36023511]],500.0,81.77015175845122,1413.8383838383838,0.4563769036037518,1.0,0,0.0,2.82924
0.0629938665982741,2,4.362269226524085,[[-0.06299387]],4.087510673664502,[[0.36023511]],0.563287133798892,4.362269131176724,3.6358828053720322,0.0,0.0,100,8.450403848940502,0.0401,0.0,0.4879915359568497,13.938113317797008,[[0.29724124]],500.0,103.3031246264902,1642.5858585858587,0.4879915359568497,1.0,0,0.0,3.28516
0.05653371391686593,3,4.947571588897562,[[-0.05653371]],4.119068887874398,[[0.29724124]],0.5828404215953462,4.947571590041531,3.9756641910503463,0.0,0.0,100,8.735381683715744,0.0401,0.0,0.509257084741683,14.819154920197416,[[0.24070753]],500.0,114.76846798999689,1892.3434343434344,0.509257084741683,1.0,0,0.0,3.7868
0.05423824441967515,4,5.688350328503962,[[-0.05423824]],4.63303910959468,[[0.24070753]],0.5948025216152242,5.688350710699295,4.265732523072678,0.0,0.0,100,9.009675163803813,0.0401,0.0,0.522355294819496,15.39865703584914,[[0.18646928]],500.0,116.16271936235032,2233.7979797979797,0.522355294819496,1.0,0,0.0,4.46304
0.046746740723815544,5,6.480959038575975,[[-0.04674674]],4.9211312395977025,[[0.18646928]],0.5961145525752379,6.480959039678684,4.43056624895735,0.0,0.0,100,9.243788782508922,0.0401,0.0,0.5237959729422016,15.46424350810534,[[0.13972254]],500.0,132.08302972815684,2612.949494949495,0.5237959729422016,1.0,0,0.0,5.22944
0.04165878034842767,6,7.331402408031858,[[-0.04165878]],5.7332797773053095,[[0.13972254]],1.0,7.331402286590907,4.436306156432399,0.0,0.0,100,9.452524960082917,0.0401,0.0,0.5108231314283325,14.886892269973691,[[0.09806376]],500.0,141.20645065997863,3051.030303030303,0.5108231314283325,1.0,0,0.0,6.10192
0.035581251786128205,7,8.19270314838566,[[-0.03558125]],6.991754421936605,[[0.09806376]],1.0,8.192717405798302,4.224098895811981,0.0,0.0,100,9.634097182210752,0.0401,0.0,0.47620006181993607,13.478592754470352,[[0.06248251]],500.0,125.76392179030987,3525.59595959596,0.47620006181993607,1.0,0,0.0,7.04928
0.028344285488645357,8,8.967606595521275,[[-0.02834429]],9.060775683087172,[[0.06248251]],1.0,8.967606619901932,3.7663452833748527,0.0,0.0,100,9.782657005340392,0.0401,0.0,0.40917641166697505,11.190577997159311,[[0.03413822]],500.0,100.28709731347544,3990.747474747475,0.40917641166697505,1.0,0,0.0,7.97992
0.020822476186384404,9,9.593447894026388,[[-0.02082248]],13.75428099528245,[[0.03413822]],1.0,9.593448259022185,3.0314363212180466,0.0,0.0,100,9.901252628821492,0.0401,0.0,0.28211641393192755,7.9024179224473174,[[0.01331575]],500.0,101.79106581366405,4420.747474747474,0.28211641393192755,1.0,0,0.0,8.83952
0.012024969363668984,10,9.964345895997713,[[-0.01202497]],33.511651672734125,[[0.01331575]],1.0,9.964358183513735,2.0385021760106117,0.0,0.0,100,9.985385461114268,0.0401,0.0,0.052255502419460365,3.3879813778477668,[[0.00129078]],500.0,62.09215054801681,4759.717171717171,0.052255502419460365,1.0,0,0.0,9.51972
0.0012907765820870697,11,10.000442136417483,[[-0.00129078]],193.68564706361772,[[0.00129078]],1.0,9.999999999997907,0.7508138901219129,0.0,0.0,100,10.033599863745751,0.0401,0.0,0.0,0.013159247408678989,[[1.67205299e-09]],500.0,19.46558735073491,4970.0,0.0,1.0,0,0.0,9.93968
0.0,12,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,13,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,14,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,15,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,16,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,17,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,18,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
0.0,19,10.000499839408931,[[0.]],0.0,[[1.67205299e-09]],1.0,9.999999999997792,0.4467661580737735,0.0,0.0,100,10.038098088311147,0.0401,0.0,0.0,0.013119834216246675,[[1.67205299e-09]],500.0,0.0,4990.0,0.0,1.0,0,0.0,9.98
