NormDeltaOmega,Primal,Eta,RewardStd,TimestepsMean,Wins,RewardMean,Omega,NormDeltaVar,OmegaBefore,DeltaOmega,DualBefore,TimestepsStd,ConfortViolation,WeightMax,DualReg,ITERATIONS,LossReg,WeightMin,DualAfter,WeightMedian,ReturnsStd,Epsilon,ReturnsMean,Traj,WeightMean
0.09278370203728115,6.702212693965612,2.277429947205742,2.4194798247557263,500.0,0.0,2.34076,[[0.8927837]],10.474310073381215,[[0.8]],[[0.0927837]],7.52377646019101,0.0,0,1.0,0.0,0,0.0,0.012389394905317572,6.702212729785993,0.029815361327358767,60.421962815270696,1.0301,1170.7878787878788,100,0.012389394905317572
0.04555181690871979,6.933039577345666,2.1280129762921063,2.6216606047312836,500.0,0.0,2.52856,[[0.93833552]],8.612906021145491,[[0.8927837]],[[0.04555182]],7.424864235960965,0.0,0,1.0,0.0,1,0.0,0.009102379054957362,6.933039738327058,0.02329828393425082,61.99509905555002,1.0301,1263.959595959596,100,0.009102379054957362
0.021577778346230203,7.160851728060284,2.0168912742227105,2.7795118293686034,500.0,0.0,2.70648,[[0.9599133]],6.477125732930759,[[0.93833552]],[[0.02157778]],7.479321583305852,0.0,0,1.0,0.0,2,0.0,0.0070260860944860865,7.160852633210807,0.018939598741641445,75.24710983158306,1.0301,1353.5353535353536,100,0.0070260860944860865
0.006264549865787616,7.234496689874111,1.9750228362654223,2.83264225457434,500.0,0.0,2.76476,[[0.96617785]],2.5204805383835236,[[0.9599133]],[[0.00626455]],7.50321379236525,0.0,0,1.0,0.0,3,0.0,0.006325080009198247,7.234499309905992,0.017412166798595474,81.30119242298382,1.0301,1381.2929292929293,100,0.006325080009198247
0.002413260992754185,7.269960090438534,1.9547417247532461,2.8556904232777054,500.0,0.0,2.79508,[[0.96859111]],1.093137005090746,[[0.96617785]],[[0.00241326]],7.518066604612898,0.0,0,1.0,0.0,4,0.0,0.006001382867803221,7.269958054493143,0.01669556294673082,63.85170555286678,1.0301,1397.8989898989898,100,0.006001382867803221
0.00441889451464339,7.353784058182212,1.9113734730883472,2.904985062681046,500.0,0.0,2.86816,[[0.97301]],2.2310931000952223,[[0.96859111]],[[0.00441889]],7.5648243636772,0.0,0,1.0,0.0,5,0.0,0.005343684408216542,7.353783882769197,0.01521502397522158,66.62670978894481,1.0301,1434.1818181818182,100,0.005343684408216542
0.0006921903112555583,7.341717795663392,1.9154369641728861,2.896944040605548,500.0,0.0,2.86016,[[0.97231781]],0.37192109577486576,[[0.97301]],[[-0.00069219]],7.555929159913635,0.0,0,1.0,0.0,6,0.0,0.005403324602795086,7.341717657581207,0.015350723413588572,74.54350549038338,1.0301,1430.7474747474748,100,0.005403324602795086
0.0004117567537259559,7.327309219987155,1.9250871899333613,2.8914777464818915,500.0,0.0,2.84304,[[0.97190606]],0.21697799335377255,[[0.97231781]],[[-0.00041176]],7.54875342512929,0.0,0,1.0,0.0,7,0.0,0.0055466013137752046,7.327309175535406,0.01567550569469326,77.77526429101474,1.0301,1421.5757575757575,100,0.0055466013137752046
0.001872832889026732,7.29738935561002,1.939673134127585,2.8714227821064595,500.0,0.0,2.82008,[[0.97003322]],0.9494874432048732,[[0.97190606]],[[-0.00187283]],7.531878675643629,0.0,0,1.0,0.0,8,0.0,0.005767550487246125,7.297389344347479,0.016173094490701534,78.27501036230959,1.0301,1410.949494949495,100,0.005767550487246125
0.0016439316857952413,7.325875710037984,1.9256833642009046,2.889302044162223,500.0,0.0,2.84324,[[0.97167715]],0.8301983239388946,[[0.97003322]],[[0.00164393]],7.548182592304537,0.0,0,1.0,0.0,9,0.0,0.005555528490979338,7.3258756766369135,0.015695686053921545,67.86766383115439,1.0301,1421.79797979798,100,0.005555528490979338
0.00043181530705815874,7.33445893784761,1.9204983778626885,2.8941081198877137,500.0,0.0,2.85148,[[0.97210897]],0.22582721517293436,[[0.97167715]],[[0.00043182]],7.55249677674607,0.0,0,1.0,0.0,10,0.0,0.0054781832994165,7.334458860439387,0.015520626494124763,70.69804271368888,1.0301,1426.2222222222222,100,0.0054781832994165
