Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[4.62062346],0.6335981904798729,12.230755073048721,1e-07,0.1849082933530036,0.5355918021525645,1.0,0.026410154695970092,27.542509980029052,0.6335981904794039,267.36414793877975,176.488,1683.4793673209617,98,[4.64240317],[-0.02177971],9.538775255660225,0.0001,9.617622810264733,10.571540903408154
[4.59523431],0.4852706861657623,13.70357386279336,1e-07,0.4394957855949476,0.4788690817027104,1.0,0.02974180593720931,25.644383400659102,0.485270686166416,249.35632032115433,182.04,1738.2709183188772,99,[4.62062346],[-0.02538915],9.548840465386053,0.0001,9.633819867605517,10.575450444870313
[4.569303],0.4124403367929972,14.31518235333269,1e-07,0.11380499191024802,0.4305646717224497,1.0,0.03268400930554103,24.529610759243614,0.4124403367921161,238.8630549787902,185.014,1768.3818677189504,100,[4.59523431],[-0.02593131],9.55809759109554,0.0001,9.643754959352362,10.580482048267491
[4.5435627],0.3883038768836684,14.51770279025309,1e-07,0.041818403379976846,0.4259608503632872,1.0,0.03329137997241951,23.340951137432253,0.38830387688466317,227.51225795513756,186.2,1780.6792342520635,101,[4.569303],[-0.0257403],9.563261193620104,0.0001,9.65014294147024,10.58465145027414
[4.51701198],0.36626449001468586,14.685677124458936,1e-07,0.39480979463828403,0.408113056307767,1.0,0.03400393780282611,23.39007268051983,0.36626449001414585,228.16438226000653,186.55,1785.209944571228,102,[4.5435627],[-0.02655072],9.569605706626794,0.0001,9.656456372816166,10.590793215906437
[4.49091009],0.4496157491271333,14.00802320968538,1e-07,0.077649987849628,0.4015881636672548,1.0,0.03558443150580692,22.96030870872602,0.4496157491279291,224.11154076444774,187.168,1792.1195177171185,103,[4.51701198],[-0.02610188],9.574924761268583,0.0001,9.655373782406937,10.595501162957369
[4.46562759],0.5264619347546073,13.329887363592428,1e-07,0.08443322447890385,0.4648796658705851,1.0,0.03687971582411557,25.23121431877586,0.5264619347545363,246.23494810753962,182.232,1744.6952299708553,104,[4.49091009],[-0.0252825],9.574033265128273,0.0001,9.654220661479318,10.59982234340612
[4.44034265],0.476831782063897,13.776301487259019,1e-07,0.04688912549875579,0.44968849972199454,1.0,0.03310300834524516,24.694251638792377,0.47683178206452226,241.05126789441294,184.044,1763.1324467080533,105,[4.46562759],[-0.02528494],9.579950700419754,0.0001,9.662457737500652,10.60383770094205
[4.41728454],0.5302817371596973,13.29197350321334,1e-07,0.0703227880044742,0.4826042432020048,1.0,0.033057471676966814,24.922556128936694,0.5302817371597541,243.3490882762923,182.014,1743.9220748734176,106,[4.44034265],[-0.02305812],9.581252402965802,0.0001,9.662538911732764,10.60904285502837
[4.39649771],0.583589160453684,12.757397080104607,1e-07,0.4570484275601568,0.5016249251326403,1.0,0.027060094996115582,26.501148352477106,0.5835891604535846,258.6446337989317,179.556,1720.744655133488,107,[4.41728454],[-0.02078683],9.583331412670635,0.0001,9.662091256980123,10.614082387792347
[4.37655554],0.6712039984508209,11.815026555530778,1e-07,0.1208024241559388,0.5603752735100999,1.0,0.022900472059644586,27.113745886542493,0.6712039984516593,264.3861933700954,174.972,1676.3067798650964,108,[4.39649771],[-0.01994217],9.580428753543975,0.0001,9.658578680736245,10.61728272897865
[4.35202211],0.5338426094047861,13.248879230017359,1e-07,0.7164237447395364,0.5445240857014257,1.0,0.02123927741071095,27.936447519325004,0.5338426094048145,272.4869090833706,175.53,1682.601841843918,109,[4.37655554],[-0.02453343],9.585836277809594,0.0001,9.673711084748852,10.620463547766324
[4.33232626],0.7191995513540803,11.202238095573682,1e-07,0.20252096721815463,0.582930681397152,1.0,0.030304567175753,28.521753101799337,0.7191995513540803,277.89696879570874,172.76,1656.0016853581985,110,[4.35202211],[-0.01969585],9.585561966648523,0.0001,9.662037721278766,10.625951593342817
[4.31221755],0.6586746610875736,11.95680754252214,1e-07,0.1012099277930519,0.5447456649798866,1.0,0.022471519229308866,26.88968843255719,0.6586746610867635,262.65177225999753,176.284,1691.1701980886496,111,[4.33232626],[-0.02010871],9.593441254388654,0.0001,9.67064473054075,10.628568476105936
[4.29095766],0.6392400845195425,12.171405715987152,1e-07,0.4847849077604659,0.5531688130500682,1.0,0.020988904497282745,27.728374204053146,0.6392400845192725,270.74474299088706,175.292,1682.1133922636172,112,[4.31221755],[-0.02125989],9.596064807655894,0.0001,9.675974959111251,10.632580155789515
[4.26949603],0.5976569591877166,12.629743780922343,1e-07,0.22777379959873215,0.5254381679228162,1.0,0.02361938362465475,27.764375087510974,0.5976569591882708,271.33900625479475,177.074,1700.4158216617575,113,[4.29095766],[-0.02146164],9.602854296292836,0.0001,9.683028156909238,10.63522962638986
[4.24741506],0.569006950876414,12.916520518412844,1e-07,1.1644461095244378,0.5072150698473453,1.0,0.022366504589097645,26.206752946521245,0.5690069508752629,256.49942335923004,179.41,1723.8453925380622,114,[4.26949603],[-0.02208096],9.60841309034091,0.0001,9.689057052619939,10.639382417450145
[4.22611175],0.627598509688454,12.29983727932653,1e-07,0.6472680341903253,0.5314697691552653,1.0,0.02646827529996423,26.92381689136962,0.6275985096886387,263.3166775327957,177.922,1709.7765673306478,115,[4.24741506],[-0.02130332],9.609697324280571,0.0001,9.687979961564105,10.643019414489855
[4.20387458],0.5142708719359632,13.445390318374882,1e-07,0.3724399386860637,0.48844899980781636,1.0,0.023264382016481563,25.430815952304794,0.5142708719363043,249.22412789162303,181.36,1744.289681650451,116,[4.22611175],[-0.02223717],9.61783018113394,0.0001,9.700555229060758,10.645436307157619
[4.18108089],0.5411950788209907,13.194086757461438,1e-07,0.7186249975480933,0.48214898454937016,1.0,0.025588640831190862,26.418394803621204,0.5411950788213744,258.9104933740028,180.696,1738.701781417964,117,[4.20387458],[-0.02279369],9.62224831439525,0.0001,9.702404381798669,10.649440383667837
[4.15712735],0.46268336634875595,13.901048246671646,1e-07,0.5844655362842607,0.44952849578853465,1.0,0.02862857527308299,23.917160032077383,0.46268336634798857,234.66846575340696,185.116,1782.5351106155103,118,[4.18108089],[-0.02395354],9.629287098983935,0.0001,9.712133922204092,10.65360577523071
[4.13424604],0.44409195001068724,14.06375761145872,1e-07,0.40554613035465187,0.41852357934271645,1.0,0.029109789494342956,22.634009808250944,0.4440919500107725,222.3330831579956,187.24,1804.2461198016765,119,[4.15712735],[-0.02288132],9.636007903234763,0.0001,9.717290437274347,10.657575461417373
[4.11025604],0.42013779132091145,14.259244293771243,1e-07,0.077101189827246,0.397384135079737,1.0,0.026247284706296177,20.900653673988288,0.42013779132093987,205.64035048822126,189.026,1822.5131620724037,120,[4.13424604],[-0.02399],9.641600425721348,0.0001,9.722905363712556,10.660974996807088
[4.08732783],0.42007016640744155,14.257131328203956,1e-07,0.5275602011852563,0.4142777430208957,1.0,0.02786673953134336,22.05217984689949,0.42007016640823736,217.07517238318314,187.058,1804.0012194300305,121,[4.11025604],[-0.02292821],9.64407413438629,0.0001,9.726679980491268,10.66524667836171
[4.06390837],0.4421061103454065,14.0754099708929,1e-07,0.3739904154951862,0.3900216972605481,1.0,0.02596633412193129,20.687953112862566,0.44210611034534963,203.79677364267056,189.186,1825.627199239492,122,[4.08732783],[-0.02341945],9.649906437260112,0.0001,9.728928701564037,10.668184190874806
[4.0407444],0.44622552167592744,14.034011393406738,1e-07,0.0741687160961806,0.3780228303410546,1.0,0.02728943247455007,20.205118064490495,0.446225521676638,199.19338150717155,189.802,1832.4803514213334,123,[4.06390837],[-0.02316397],9.654694636628346,0.0001,9.732435575151982,10.671373207920466
[4.0184812],0.5485889358886595,13.119532455011953,1e-07,0.11946240028657601,0.4531153049464225,1.0,0.02760890318006626,23.403108853312627,0.548588935887409,230.36476389301595,184.864,1784.308802907301,124,[4.0407444],[-0.0222632],9.652007978337055,0.0001,9.728476930361845,10.675498961615757
[3.99807047],0.5862869613819726,12.736782751919995,1e-07,0.30948592438536726,0.46417972964958193,1.0,0.025346665104517947,23.636230156266457,0.5862869613832231,232.74116556225744,184.068,1777.0862144426303,125,[4.0184812],[-0.02041073],9.654509281584144,0.0001,9.728768617229841,10.67991399869707
[3.97973939],0.6488095862750498,12.065263099816663,1e-07,0.12193070290361754,0.5222744727708253,1.0,0.02160117313634457,24.751466704015744,0.6488095862756325,243.4481190964782,180.336,1740.5752978891242,126,[3.99807047],[-0.01833108],9.651845986875191,0.0001,9.726689931470867,10.682919457823562
[3.96196076],0.6516482615306245,12.026054362526256,1e-07,0.2119884078296038,0.5029373021239637,1.0,0.016614560739013583,25.37564974537598,0.6516482615308234,249.7206626265166,180.58,1743.8246070577973,127,[3.97973939],[-0.01777864],9.656798134111183,0.0001,9.729263545940562,10.687227745503627
[3.94040068],0.5718787717041778,12.890887839826464,1e-07,1.3143735847263756,0.49008974281751183,1.0,0.016333670622520575,25.906261791312154,0.5718787717034388,254.95720295743092,180.96,1748.2668546677326,128,[3.96196076],[-0.02156008],9.661067941355729,0.0001,9.739118595072703,10.689145347464311
[3.92004681],0.5629994660307887,12.977241081957816,1e-07,0.44687979793870086,0.5052207508957078,1.0,0.027408261898145107,25.442273168881748,0.5629994660303623,250.4705770133158,180.644,1745.5471544063444,129,[3.94040068],[-0.02035387],9.662912437757933,0.0001,9.743001444632387,10.691164537475277
[3.8994001],0.5331192739695325,13.262004649007688,1e-07,0.03338403435708722,0.48322219008022516,1.0,0.021610778614845668,25.38050235909447,0.5331192739692199,250.07471029154252,181.59,1755.6804989593163,130,[3.92004681],[-0.0206467],9.668376556855094,0.0001,9.748482727315425,10.694418611254985
[3.87874043],0.5556733281317179,13.049328626685194,1e-07,0.47169874489060515,0.4559695742214663,1.0,0.02104272421510746,24.178075688524096,0.5556733281327695,238.40648104800323,184.284,1782.8010087372968,131,[3.8994001],[-0.02065968],9.67420399349535,0.0001,9.749990357727437,10.698989185672216
[3.85802986],0.48633912931924783,13.694289029711483,1e-07,0.49957363943507227,0.44524890187136573,1.0,0.022196394247643584,23.965398723993722,0.486339129319191,236.42540747010136,184.892,1789.4758806501993,132,[3.87874043],[-0.02071056],9.678492745225318,0.0001,9.758378716366375,10.70240500391977
[3.8364525],0.4768001116933078,13.778245469120632,1e-07,0.41890285776419656,0.4130272863343378,1.0,0.02251108970045585,21.919505103902324,0.47680011169424574,216.6102365302831,187.536,1816.2093970241135,133,[3.85802986],[-0.02157736],9.684590676052135,0.0001,9.762382818952181,10.704137667619143
[3.81554693],0.490311430745237,13.655516456845136,1e-07,0.40690951541086656,0.42391513380704454,1.0,0.02331695673680342,22.0340176999112,0.49031143074532224,217.99041174045684,186.492,1806.530253703287,134,[3.8364525],[-0.02090556],9.686904820063527,0.0001,9.764614479599052,10.707935104398105
[3.79424311],0.47990591190222176,13.748821758329322,1e-07,0.5249816130360663,0.43501262939334207,1.0,0.02214872177526039,21.063403238793107,0.47990591190131227,208.4854560853378,187.138,1813.2068650189162,135,[3.81554693],[-0.02130383],9.689143119082797,0.0001,9.768604773154616,10.711209246522454
[3.77439344],0.5174933767049197,13.407950045832218,1e-07,0.06769486111715264,0.43964061948414407,1.0,0.022747609179728623,22.02635911811119,0.5174933767057155,217.9507269503807,186.252,1805.1408583969455,136,[3.79424311],[-0.01984967],9.69192738009227,0.0001,9.768834058476836,10.715105202357853
[3.75622039],0.5293209029544244,13.304474565750796,1e-07,0.04811421786938739,0.45893807959847405,1.0,0.01988951425195039,22.675369544948985,0.5293209029546517,224.24501809039842,185.296,1796.1087281791595,137,[3.77439344],[-0.01817305],9.69318672922869,0.0001,9.770671512040309,10.718075551499064
[3.73783163],0.5738448803655842,12.864987114789411,1e-07,1.7795798769297235,0.46154614220095774,1.0,0.01647265642345113,22.346427365464933,0.5738448803656695,221.20226363804886,185.072,1794.3931776157697,138,[3.75622039],[-0.01838876],9.69564913987945,0.0001,9.770067778317859,10.720583450643465
[3.71668639],0.5185252211603881,13.389130944464116,1e-07,0.06112365652341399,0.4615904729141715,1.0,0.01893028822276453,23.311595054821968,0.5185252211601039,230.70456831198837,184.256,1787.001152319618,139,[3.73783163],[-0.02114524],9.69846926189442,0.0001,9.777361525367862,10.724527490348816
[3.69898096],0.5811060220400464,12.787229544450877,1e-07,1.1715981488469358,0.47916231732962816,1.0,0.021941996325129057,24.620431434075236,0.5811060220394779,243.45522247889969,182.566,1770.8554920834376,140,[3.71668639],[-0.01770543],9.69980988838797,0.0001,9.775211024774228,10.726676101093625
[3.68233212],0.7488310355660275,10.788369721717691,1e-07,0.15678668673764343,0.5391613198868297,1.0,0.018857625081222854,26.767354071704585,0.748831035565729,264.28464808850947,177.266,1718.8117508249375,141,[3.69898096],[-0.01664884],9.696229117963611,0.0001,9.763450376574488,10.729588590633046
[3.6716738],0.9080584906352698,7.71547146816079,1e-07,0.4996592910612236,0.5784752184714986,1.0,0.016686317303807843,26.581137974134965,0.9080584906355682,262.2439288781521,174.848,1694.9913287608879,142,[3.68233212],[-0.01065832],9.694084740808519,0.0001,9.748069377609253,10.732219826779538
[3.65571923],0.7518766295735162,10.750668565992276,1e-07,0.1140631358368254,0.5766313185491992,1.0,0.006343178249514474,26.661277613797882,0.7518766295737862,263.19115491227075,174.326,1690.2496848566414,143,[3.6716738],[-0.01595457],9.695912743117155,0.0001,9.767155569118788,10.734708803942974
[3.63761966],0.6954877994390216,11.506622947402114,1e-07,0.12513800205454792,0.547785178218374,1.0,0.015453548390536843,27.029694781850573,0.6954877994393485,266.9821818944473,176.34,1710.7929070354414,144,[3.65571923],[-0.01809957],9.701672377426798,0.0001,9.774869991674974,10.735782629340685
[3.61907572],0.6026283930460181,12.583727384137024,1e-07,0.14201527977026002,0.5175838971816382,1.0,0.017337005959793976,26.565726716956192,0.6026283930461318,262.6844817507642,178.642,1734.1733530600936,145,[3.63761966],[-0.01854394],9.707534359557629,0.0001,9.785325320670553,10.738333310997799
[3.6002214],0.550760298782194,13.095656578198561,1e-07,0.9059668288731146,0.5009956231590339,1.0,0.019337350864353252,26.46948998375299,0.5507602987821087,261.59771794657956,181.01,1757.9645363708548,146,[3.61907572],[-0.01885432],9.711974677481106,0.0001,9.792025891797923,10.74030997766142
[3.57924699],0.4460243251892848,14.042613532695745,1e-07,0.26358271282387985,0.44236454113893864,1.0,0.020771567475651224,22.813285515243088,0.44602432518962587,226.1897714023123,185.998,1808.0002574841037,147,[3.6002214],[-0.02097441],9.720536013742642,0.0001,9.80274871914437,10.743693377667086
[3.55872254],0.4663985662605512,13.877553776367412,1e-07,0.08250728414471245,0.4575330890358802,1.0,0.022894307395601186,24.163236538179234,0.466398566261347,239.54647509557967,183.9,1787.8870270183645,148,[3.57924699],[-0.02052445],9.722061049583276,0.0001,9.804205124230414,10.746083611744282
[3.53949767],0.4981386652680726,13.599447095126532,1e-07,0.707751265748414,0.4549908980693454,1.0,0.022017735980429314,24.410253255548174,0.4981386652684421,241.9331652495163,184.244,1791.8164934399153,149,[3.55872254],[-0.01922487],9.725236607107504,0.0001,9.804632605719325,10.748765693800756
[3.52049766],0.5294329739914474,13.29521902479867,1e-07,0.29745867978973106,0.4644667211395553,1.0,0.017829373166665757,24.023258396812036,0.5294329739920443,238.25152848226082,183.916,1788.9502052754406,150,[3.53949767],[-0.01900001],9.726996048606107,0.0001,9.804971246663344,10.75270237013643
[3.50149978],0.5398325240121551,13.202657946994302,1e-07,0.3810482484846556,0.48926912443503634,1.0,0.019613423759713276,25.991758309125608,0.539832524012354,257.5879575890594,180.85,1759.202842334977,151,[3.52049766],[-0.01899788],9.727414112994069,0.0001,9.806866852416755,10.756292948670456
[3.48366615],0.5696270185719072,12.900227621487065,1e-07,0.0999478473641865,0.48957163084016625,1.0,0.017553312649922298,25.60972190399575,0.5696270185713104,253.85840840662758,181.512,1766.0973404714243,152,[3.50149978],[-0.01783363],9.729920558813879,0.0001,9.807070996107024,10.758817279444502
[3.46656736],0.6068562777500546,12.526742941313543,1e-07,0.1405160758431845,0.4953905803192281,1.0,0.017505726980731922,25.181060819592172,0.6068562777493867,249.77834942533167,181.224,1763.6569283415097,153,[3.48366615],[-0.01709878],9.731917010669171,0.0001,9.806536910322478,10.760438029285684
[3.44893221],0.6375063538706058,12.194770693097043,1e-07,0.11610322703936206,0.5271184102988664,1.0,0.014599318498151081,26.33287975136787,0.6375063538712453,260.99263330655265,178.538,1737.3350172635583,154,[3.46656736],[-0.01763515],9.730897720729246,0.0001,9.806505902088656,10.762537521610932
[3.43052413],0.5645690999329673,12.965678456926977,1e-07,0.1255840186744637,0.4905228551546866,1.0,0.01730589537541357,24.66519904642977,0.5645690999337205,244.89934546235594,181.866,1770.868962284282,155,[3.44893221],[-0.01840808],9.737218404123265,0.0001,9.814913105649307,10.76451297018033
[3.41407152],0.5513410835881132,13.094918892840628,1e-07,0.02639096876586547,0.4831234674019138,1.0,0.016968970184131144,26.074343251556694,0.5513410835886248,258.75646262821465,181.068,1763.6881460912666,156,[3.43052413],[-0.01645261],9.740473999222761,0.0001,9.818096568217502,10.76755361500467
[3.39879205],0.5778694930092882,12.827322355439637,1e-07,0.7239835866223442,0.5091965998500997,1.0,0.013847323980014658,26.620888865700934,0.5778694930097288,264.1150773438104,179.174,1745.1738312831872,157,[3.41407152],[-0.01527948],9.740106440014664,0.0001,9.818096348520578,10.769370069546872
[3.38276094],0.636674957343601,12.210856029275433,1e-07,0.16231632641037777,0.5334707478910381,1.0,0.013160545054418838,26.48571501772229,0.6366749573433736,262.7196473632474,177.97,1733.3461774382974,158,[3.39879205],[-0.01603111],9.73954136898521,0.0001,9.815597417407675,10.772080321389083
[3.3661563],0.6333862385880451,12.2423633353153,1e-07,0.12038080777697059,0.5279314506507874,1.0,0.01377313671949553,26.769549566625138,0.6333862385874909,265.5165594435644,178.404,1738.0834165688782,159,[3.38276094],[-0.01660464],9.742401608533882,0.0001,9.818125074137248,10.774195971356589
[3.3493979],0.5842782968182121,12.764290687041882,1e-07,0.08203555188949256,0.5227692673390206,1.0,0.014641347122794381,26.76489305041214,0.5842782968180416,265.6037058664584,178.55,1739.9927106259024,160,[3.3661563],[-0.0167584],9.745128594936446,0.0001,9.824271447175414,10.775694706874827
[3.33270455],0.582917988409065,12.773632459158133,1e-07,0.0954212317722402,0.4895728769489954,1.0,0.014818563713653898,26.37916116937762,0.5829179884086386,261.9868121588864,180.684,1761.822106657057,161,[3.3493979],[-0.01669335],9.750847372523616,0.0001,9.826628595911403,10.77825364389239
[3.31434348],0.511544048106515,13.465081178609013,1e-07,0.21279760306571005,0.47079858407457637,1.0,0.014363419584885215,25.197531545768523,0.511544048107055,250.4998502129857,182.602,1781.2805543600468,162,[3.33270455],[-0.01836106],9.754989290150418,0.0001,9.834488613755946,10.78052659841006
[3.29609249],0.48648533928218285,13.69280172913537,1e-07,0.23653095104080424,0.44485585242124953,1.0,0.016561378366723733,24.449265919450426,0.48648533928181337,243.23386102879476,184.414,1799.847672017169,163,[3.31434348],[-0.01825099],9.759821228416326,0.0001,9.83876944265611,10.782347719184058
[3.27728603],0.558162444590593,13.031060409015243,1e-07,0.7408113792648455,0.4926369903111805,1.0,0.017344513586015273,25.484133024295723,0.5581624445909767,253.27542426448372,181.842,1774.3499051417261,164,[3.29609249],[-0.01880646],9.757646226623804,0.0001,9.835880145544397,10.784987395674817
[3.25950785],0.5973597446366199,12.629751574536844,1e-07,0.46327116874200736,0.5271449299888082,1.0,0.018924661004923835,27.66218617535498,0.5973597446358667,274.73228574540394,177.384,1730.6553296109057,165,[3.27728603],[-0.01777819],9.756546980623426,0.0001,9.835171386166998,10.788491523672029
[3.2458104],0.6191251136198446,12.401852042346652,1e-07,0.06518714084083281,0.568916462832743,1.0,0.017505252964241907,27.612482612036175,0.6191251136192761,274.06695687385945,174.702,1704.0562306272295,166,[3.25950785],[-0.01369744],9.754073969543732,0.0001,9.835203700772427,10.790677915744162
[3.23458857],0.80848084704499,9.858950193729543,1e-07,0.5222273138779674,0.5876828459019492,1.0,0.009413920774203744,27.65874002914811,0.8084808470452742,274.5542574653914,172.59,1683.3796714082553,167,[3.2458104],[-0.01122184],9.75363388034217,0.0001,9.819698073336394,10.792645923499736
[3.22093526],0.7496982377480208,10.769298348959436,1e-07,0.3235289638296792,0.6041402919609826,1.0,0.006202083609737121,28.547383417749515,0.7496982377478645,283.2112530566431,170.13,1659.2914772082931,168,[3.23458857],[-0.01365331],9.753079863682437,0.0001,9.827109462248794,10.793949835439337
[3.2058853],0.7055022581698722,11.366872791842523,1e-07,0.22983378778483493,0.5784764078912072,1.0,0.013460377686724295,28.340833862114927,0.7055022581698438,281.43380634676276,172.556,1683.8121897923295,169,[3.22093526],[-0.01504996],9.758062251050845,0.0001,9.832994658899276,10.79661477405815
[3.19109918],0.6671005346551624,11.861539747636476,1e-07,1.2178007151981545,0.5536691240887146,1.0,0.0112944423453933,27.418494415266498,0.6671005346553187,272.33947656737854,176.642,1724.5276432570024,170,[3.2058853],[-0.01478612],9.762840339539872,0.0001,9.838323015829353,10.798852506552
[3.17440077],0.5162471973894185,13.431937799516698,1e-07,0.1484668478576836,0.4686904578242089,1.0,0.015834270772620056,23.64064093885781,0.5162471973884237,235.4337020325262,184.936,1807.4895784655464,171,[3.19109918],[-0.01669841],9.77359507324451,0.0001,9.852353755013585,10.798584502752313
[3.15673527],0.5340970884236071,13.254590948263195,1e-07,0.09477731268325235,0.46226483768107945,1.0,0.01445724993262317,24.067428196631234,0.5340970884239482,239.69445834975784,184.83,1806.9807744170178,172,[3.17440077],[-0.0176655],9.776447407980404,0.0001,9.853218043944942,10.800785616659788
[3.13850923],0.460565641249957,13.920431533936458,1e-07,0.14397741539612072,0.41825508039573855,1.0,0.01619300450794733,20.82683835823383,0.46056564124918964,207.93408183727675,188.702,1846.007594602297,173,[3.15673527],[-0.01822603],9.782660462540392,0.0001,9.860928200727134,10.802804287118992
[3.12092988],0.47622437646685967,13.78651153654207,1e-07,0.5917633363062464,0.439279223222964,1.0,0.018112867589169565,23.73556614028829,0.4762243764669165,236.82769548655384,185.03,1810.1683796099578,174,[3.13850923],[-0.01757935],9.783107493973725,0.0001,9.862001781675868,10.805577679908637
[3.10373348],0.5117210235077891,13.45438397065119,1e-07,0.5427824093333754,0.43401378924121187,1.0,0.016205469209909014,22.780048375716852,0.5117210235077039,227.31735573122222,186.586,1825.8925607504032,175,[3.12092988],[-0.0171964],9.785796151642693,0.0001,9.861555946708126,10.808598145498298
[3.08551609],0.5113081010272822,13.470455465518683,1e-07,0.7414029644237308,0.43641344634041535,1.0,0.015236022316262953,23.30792998101719,0.5113081010269127,232.69726631965344,185.62,1816.794203289547,176,[3.10373348],[-0.0182174],9.787707161348708,0.0001,9.863825220082326,10.809822780805757
[3.06904665],0.4976672838788829,13.598344644761932,1e-07,0.6267931403660162,0.42152780913058197,1.0,0.016862121310628496,21.7809872136228,0.49766728387825765,217.7476183438081,187.186,1832.7861291994325,177,[3.08551609],[-0.01646944],9.791256446526088,0.0001,9.866885118667247,10.812007547283255
[3.05059437],0.5069253106426288,13.512383029150328,1e-07,0.05056369404872067,0.4209581564405903,1.0,0.014630712035946748,22.43521018399427,0.5069253106427425,224.2545384030076,186.688,1828.3085310003416,178,[3.06904665],[-0.01845228],9.793390742845506,0.0001,9.868433658126008,10.814252018206119
[3.03325006],0.5474442648282718,13.137525566415793,1e-07,0.4910617285837737,0.4438496615254671,1.0,0.017181016590403383,21.639083529576755,0.5474442648286129,216.4446941465283,186.508,1826.5815917473942,179,[3.05059437],[-0.0173443],9.79358307283009,0.0001,9.86745300105482,10.816366846893407
[3.016837],0.53441968026155,13.254852890251636,1e-07,0.08236715139615357,0.45681972361418777,1.0,0.016141843656338178,22.615535456849123,0.5344196802614078,226.078663721201,185.334,1815.2658524561864,180,[3.03325006],[-0.01641306],9.794564691077658,0.0001,9.870451017503258,10.818794890158273
[3.00153245],0.5331623047740095,13.263308245492027,1e-07,0.24527567187827815,0.47854286512215355,1.0,0.01388784479135342,23.806393342965663,0.5331623047742369,237.8710041624262,183.194,1794.2782570217753,181,[3.016837],[-0.01530455],9.794416067238966,0.0001,9.872376133585556,10.821137465029226
[2.98787225],0.721224716436538,11.183678064037707,1e-07,0.2348036029415389,0.5273989832682896,1.0,0.018001295741265855,24.444817446649093,0.7212247164362395,243.97921072445885,180.53,1767.61455975921,182,[3.00153245],[-0.01366021],9.791251092667201,0.0001,9.858795167590761,10.82163935627231
[2.97391839],0.7264768797475654,11.103390575397947,1e-07,0.10109995106730035,0.5405504254402413,1.0,0.009999692632108639,26.482184502038344,0.7264768797479064,264.1917473776085,177.148,1734.532884309175,183,[2.98787225],[-0.01395386],9.791433627865823,0.0001,9.859894953354297,10.823502523294444
[2.96043748],0.6743733788107846,11.765566498736302,1e-07,1.0326248207474658,0.5303128191541266,1.0,0.01117753216796216,25.52582026106115,0.6743733788106425,254.72484589198987,179.35,1756.6009833985697,184,[2.97391839],[-0.01348091],9.794262522434176,0.0001,9.866051874489319,10.825372129731752
[2.94756119],0.7406594132265809,10.916138663592367,1e-07,0.2962674996994656,0.559075433979142,1.0,0.011321056118194723,26.373536660827273,0.7406594132265951,262.98264591487094,176.758,1730.9303380348338,185,[2.96043748],[-0.01287629],9.792656276009199,0.0001,9.861825009549657,10.827716472030898
[2.93269334],0.634361344839931,12.23316207047981,1e-07,0.17601041975795978,0.531264245295348,1.0,0.016662664682525533,26.214195467341735,0.6343613448402152,261.68361640113926,178.134,1745.2283398152363,186,[2.94756119],[-0.01486785],9.797278115436898,0.0001,9.872654511406498,10.83044886067778
[2.91654687],0.5506486686167307,13.099507043606932,1e-07,0.2877869731587987,0.48350097040390067,1.0,0.011982810466372397,24.19410597645633,0.5506486686168444,241.82421907946213,183.106,1795.1702666444728,187,[2.93269334],[-0.01614647],9.803994771577516,0.0001,9.881174790261062,10.831786210193316
[2.90131712],0.5689321336743234,12.910657321554314,1e-07,0.7626501323113252,0.4952527285468835,1.0,0.01390768923786132,25.349930098522954,0.5689321336745365,253.23888038636036,181.638,1780.9105713909958,188,[2.91654687],[-0.01522976],9.804724624753606,0.0001,9.88155725885362,10.832600779182426
[2.8860679],0.5695518194530393,12.907995942388045,1e-07,0.07911491746667007,0.5068087841536442,1.0,0.01213334439401471,25.5441468050902,0.5695518194532951,255.31492482209939,180.242,1767.3180443938973,189,[2.90131712],[-0.01524921],9.805250964780114,0.0001,9.883189255250008,10.833836681393931
[2.8704813],0.5414464452454979,13.1842614860241,1e-07,0.707473735080313,0.4684238333180087,1.0,0.012894721399124972,23.454381594917397,0.5414464452452421,234.5896249257829,184.772,1812.7734430708485,190,[2.8860679],[-0.0155866],9.810866598136343,0.0001,9.887091679864195,10.834858256675856
[2.85404611],0.5367451396426759,13.23327422375767,1e-07,0.03118863430931244,0.4634122151582795,1.0,0.012514835810780136,25.04646330322906,0.5367451396419369,250.42997038391286,183.474,1800.4556612052934,191,[2.8704813],[-0.01643519],9.813137889866104,0.0001,9.889439269111591,10.837872973013775
[2.83985358],0.5857204343373894,12.751758625947,1e-07,1.1835109821757686,0.4784062822448657,1.0,0.013070112886028766,24.262832398547367,0.5857204343368494,242.78014909961584,183.158,1797.4282297274294,192,[2.85404611],[-0.01419252],9.813539292454763,0.0001,9.887289152993496,10.840377206436619
[2.82462756],0.5321905168050023,13.273093047254713,1e-07,0.7290431745827766,0.4536522559302308,1.0,0.011184951266579106,23.31108543161386,0.5321905168030696,233.43694781861794,185.036,1816.605233479949,193,[2.83985358],[-0.01522602],9.817577301065464,0.0001,9.89309790116518,10.84170050265505
