OmegaBefore,Eta,ConfortViolation,NormDeltaOmega,RewardStd,DualBefore,TimestepsStd,Primal,ReturnsStd,Omega,WeightMedian,ITERATIONS,WeightMax,DualAfter,Wins,LossReg,WeightMin,TimestepsMean,ReturnsMean,RewardMean,WeightMean,DeltaOmega,DualReg,Traj,Epsilon,NormDeltaVar
8.0,28.767504257436816,0,0.0005395832086207974,1.3798694414726325,6.676906846723801,11.652498136636003,6.4773058675398625,78.51656493038342,7.999460416791379,0.9869787396043562,0,1.0,6.4773057849189,0.0,0.0,0.7811377660064591,22.83733150559744,146.561996073954,6.417660056523519,0.7811377660064591,-0.0005395832086207974,0.0,4381,0.001,0.039576811286407235
7.999460416791379,28.544306260363008,0,7.385772074286479e-05,1.3700114689029619,6.677144414127807,12.465206078756335,6.4807964659956925,83.97031237397071,7.999386559070636,0.9867489954588842,1,1.0,6.480796378180694,0.0,0.0,0.779542638271283,23.17899373985625,148.84431068296453,6.42159413660347,0.779542638271283,-7.385772074286479e-05,0.0,4317,0.001,0.00848337013846537
7.999386559070636,28.567829105414138,0,6.922162981481961e-06,1.371034196115522,6.676916974014775,12.360148310055614,6.48015117360389,83.28906455824152,7.999393481233618,0.987047467195776,2,1.0,6.4801510808907015,0.0,0.0,0.7799173144215419,23.13564814814815,148.54835958296383,6.4209024738580895,0.7799173144215419,6.922162981481961e-06,0.0,4324,0.001,0.07431992399871969
7.999393481233618,28.293817589672102,0,0.00026681078074286546,1.3589668071922416,6.678061625826552,12.7923682897117,6.485391492538519,86.16309046560605,7.999126670452875,0.9869745062047818,3,1.0,6.485391401076101,0.0,0.0,0.7780852982548702,23.578202406227884,151.52805546780218,6.426686440243802,0.7780852982548702,-0.00026681078074286546,0.0,4243,0.001,0.012777920140626894
7.999126670452875,28.230743522105687,0,0.0004289258198229007,1.356182250641148,6.678362035612835,12.765200843951494,6.486587996046943,85.99043233776437,7.998697744633052,0.9870999714561857,4,1.0,6.486587901402771,0.0,0.0,0.7777710880982188,23.679857819905212,152.2113059942701,6.428008237784562,0.7777710880982188,-0.0004289258198229007,0.0,4224,0.001,0.004573981142046929
7.998697744633052,28.43689142446224,0,0.0007533138458919453,1.3652583420633009,6.677183505008402,12.49488243351058,6.482341229510827,84.13205083151881,7.99794443078716,0.9848838853392319,5,1.0,6.482341134630583,0.0,0.0,0.7773889141269875,23.346028037383178,149.9568334663969,6.42335252762328,0.7773889141269875,-0.0007533138458919453,0.0,4284,0.001,0.003365369068469267
7.99794443078716,28.384883888259033,0,0.0006693935232080506,1.362997117063823,6.679220803359521,12.528397668635897,6.485205711162219,84.38583680756315,7.997275037263952,0.9866496400942073,6,1.0,6.48520561850372,0.0,0.0,0.7783712106254628,23.43359924917879,150.58701873592472,6.426319533123967,0.7783712106254628,-0.0006693935232080506,0.0,4266,0.001,0.0026409648837613458
7.997275037263952,28.225676211962668,0,0.0001300422365932974,1.3559695519685635,6.6792103042855615,13.044279885040554,6.487518755922568,87.86633572721087,7.997405079500545,0.9852180763830113,7,1.0,6.4875186609676945,0.0,0.0,0.7762318082765756,23.705477827839697,152.40132518649105,6.428948814370575,0.7762318082765756,0.0001300422365932974,0.0,4221,0.001,0.03439661645274017
7.997405079500545,28.19850017268089,0,0.00015243911924756048,1.3547719052203977,6.679673761867725,12.840606413243282,6.488358039442852,86.53615578085288,7.997252640381298,0.9853390351562027,8,1.0,6.488357941894175,0.0,0.0,0.7761336348638974,23.747623574144487,152.69273219793214,6.42984203415456,0.7761336348638974,-0.00015243911924756048,0.0,4212,0.001,0.038601027367487314
7.997252640381298,28.153644931715473,0,1.663706846777302e-05,1.3528047512871086,6.679701756423771,12.874574329816218,6.48910423275736,86.72628505941822,7.99723600331283,0.9852819740509505,9,1.0,6.48910413957131,0.0,0.0,0.7758052629165405,23.8238379022646,153.20431704587625,6.430677032691754,0.7758052629165405,-1.663706846777302e-05,0.0,4199,0.001,0.005320188658486801
7.99723600331283,28.11356224672549,0,6.287985919506411e-06,1.3510314868787103,6.6799280155896925,13.17651295382236,6.489875867839864,88.73885032898718,7.9972422912987495,0.9865405606752056,10,1.0,6.4898757708708885,0.0,0.0,0.7765227738017338,23.882409177820268,153.5989100573666,6.431528374521837,0.7765227738017338,6.287985919506411e-06,0.0,4188,0.001,0.002438359821224558
7.9972422912987495,27.91864711070923,0,0.0002832191150092811,1.3424002566292286,6.679287584830384,13.142839523951807,6.491946063703714,88.51112618543138,7.997525510413759,0.9869709532664924,11,1.0,6.491945955180317,0.0,0.0,0.7755985383874048,24.182038247397724,155.581109141334,6.4339863524126875,0.7755985383874048,0.0002832191150092811,0.0,4135,0.001,0.036518215582373975
7.997525510413759,27.89909387682057,0,0.0005748728671779446,1.3415223090278345,6.678856148923063,13.430323452560778,6.491742586412071,90.41680271617854,7.996950637546581,0.9866667836672668,12,1.0,6.49174247335496,0.0,0.0,0.7752453074945945,24.229333333333333,155.88549493891253,6.433822049888857,0.7752453074945945,-0.0005748728671779446,0.0,4129,0.001,0.004812065145278973
7.996950637546581,27.864459658710093,0,0.00023634190217958206,1.3400414400700085,6.6813803466234205,13.450271038082564,6.494866985781281,90.6102182872723,7.996714295644401,0.9857275206094331,13,1.0,6.494866877534988,0.0,0.0,0.7741947136077266,24.293388429752067,156.37083214680587,6.437014155930298,0.7741947136077266,-0.00023634190217958206,0.0,4118,0.001,0.009158363160647175
