Primal,WeightMean,ReturnsStd,TimestepsMean,ConfortViolation,RewardMean,RewardStd,DualReg,ITERATIONS,OmegaBefore,DualBefore,Epsilon,LossReg,ReturnsMean,DualAfter,Wins,Eta,NormDeltaVar,DeltaOmega,Omega,TimestepsStd,WeightMin,WeightMedian,Traj,NormDeltaOmega,WeightMax
6.216550321645185,0.02024893955608329,57.61585702669287,500.0,0,2.3386,2.4129297627573005,0.0,0,[[0.8]],7.3357035221784805,0.8301,0.0,1169.7777777777778,6.216552287733027,0.0,2.5643308195273655,3.666483721023564,[[0.0379357]],[[0.8379357]],0.0,0.02024893955608329,0.04416943329601536,100,0.03793570331714835,1.0
6.284504740809481,0.0186153099571868,54.237040531877895,500.0,0,2.39844,2.48023498209343,0.0,1,[[0.8379357]],7.242962522331547,0.8301,0.0,1200.0,6.28450844817508,0.0,2.51018449570961,3.750781721284479,[[0.03257738]],[[0.87051308]],0.0,0.0186153099571868,0.041294880865416494,100,0.03257737998733157,1.0
6.38839718993746,0.01748373132380108,66.70680762754871,500.0,0,2.4712,2.559759863737222,0.0,2,[[0.87051308]],7.215477440559279,0.8301,0.0,1235.4141414141413,6.388397187763125,0.0,2.4712809542271446,3.246341952058245,[[0.02353241]],[[0.8940455]],0.0,0.01748373132380108,0.03927419563977164,100,0.02353241353821045,1.0
6.511651893356985,0.01646594959547072,67.02049355588058,500.0,0,2.55952,2.6400411681638603,0.0,3,[[0.8940455]],7.227121749137877,0.8301,0.0,1280.3636363636363,6.511651888695011,0.0,2.435187075170675,2.791604781499249,[[0.01713698]],[[0.91118248]],0.0,0.01646594959547072,0.03743427490263354,100,0.017136979653835538,1.0
6.545422777121296,0.0159725029410427,71.57126714675195,500.0,0,2.58296,2.6699209048958736,0.0,4,[[0.91118248]],7.2117019655824395,0.8301,0.0,1291.090909090909,6.5454260953192716,0.0,2.417276798624796,1.360079724032353,[[0.00740925]],[[0.91859172]],0.0,0.0159725029410427,0.036534097328266624,100,0.007409245276858045,1.0
6.58865684897298,0.015692526672989718,66.63564628776511,500.0,0,2.61352,2.696025446764181,0.0,5,[[0.91859172]],7.226698991290615,0.8301,0.0,1306.4646464646464,6.588656796767462,0.0,2.40698756884178,0.8533401198271662,[[0.00435672]],[[0.92294844]],0.0,0.015692526672989718,0.03602087849521352,100,0.0043567210024950676,1.0
6.641006438755236,0.015504916456378151,71.32964011848588,500.0,0,2.64732,2.7268034064816624,0.0,6,[[0.92294844]],7.257125395923141,0.8301,0.0,1323.5959595959596,6.641006433473352,0.0,2.400039486630142,0.9449369350150079,[[0.00457428]],[[0.92752272]],0.0,0.015504916456378151,0.0356759498211851,100,0.00457427932486365,1.0
6.632209574169463,0.015327224235582597,73.30286257902456,500.0,0,2.64564,2.7233561996918434,0.0,7,[[0.92752272]],7.236823475676978,0.8301,0.0,1322.7676767676767,6.632210971230516,0.0,2.393418289280565,0.024833244002877564,[[0.00011677]],[[0.92763949]],0.0,0.015327224235582597,0.03534848530841482,100,0.00011677104889562528,1.0
6.6468159285067765,0.0153671478728663,63.052501918349385,500.0,0,2.65188,2.7329567258923073,0.0,8,[[0.92763949]],7.250929223147796,0.8301,0.0,1326.2424242424242,6.646817620834111,0.0,2.3949093979032976,0.2987069397216544,[[0.00139105]],[[0.92903054]],0.0,0.0153671478728663,0.03542212540781013,100,0.0013910489694246575,1.0
6.610390079814489,0.015535027107138714,65.23605508749932,500.0,0,2.62756,2.7113407101284777,0.0,9,[[0.92903054]],7.231959353275133,0.8301,0.0,1313.4545454545455,6.610390073170224,0.0,2.4011575550874773,0.6832430582972577,[[-0.0032188]],[[0.92581174]],0.0,0.015535027107138714,0.03573136541094869,100,0.003218802536544274,1.0
6.625177285072818,0.015440400143386178,74.37773692597516,500.0,0,2.64056,2.71707248456864,0.0,10,[[0.92581174]],7.240074406816559,0.8301,0.0,1320.8484848484848,6.625177282323095,0.0,2.3976400592636127,0.08067343488681189,[[0.00038694]],[[0.92619868]],0.0,0.015440400143386178,0.035557141566588686,100,0.00038693877232631735,1.0
6.623205826417712,0.015354374811579958,65.51840007893334,500.0,0,2.63928,2.7189043899335634,0.0,11,[[0.92619868]],7.2304962001572015,0.8301,0.0,1318.3838383838383,6.6232075950156535,0.0,2.3944325564791007,0.18550310801691694,[[0.0008827]],[[0.92708138]],0.0,0.015354374811579958,0.03539856935942908,100,0.0008827029458139402,1.0
6.670861599382323,0.01523909086884857,71.40268506396265,500.0,0,2.6714,2.7434908492648558,0.0,12,[[0.92708138]],7.265423042208498,0.8301,0.0,1336.0,6.670862197421355,0.0,2.390119408066441,0.6238381718514887,[[0.00289757]],[[0.92997895]],0.0,0.01523909086884857,0.035185785188114514,100,0.0028975671633516553,1.0
6.664183152201797,0.015285318506171739,81.13720852660038,500.0,0,2.6638,2.7429198967523645,0.0,13,[[0.92997895]],7.260369612341956,0.8301,0.0,1332.1616161616162,6.664183748990665,0.0,2.391850971758412,0.09360497789027988,[[0.00042548]],[[0.93040442]],0.0,0.015285318506171739,0.03527114791292169,100,0.0004254762600288675,1.0
6.682623542735616,0.015169491355579332,60.38329429887586,500.0,0,2.67652,2.754342151875834,0.0,14,[[0.93040442]],7.268099375227443,0.8301,0.0,1338.2828282828282,6.682620354408589,0.0,2.387507216182054,0.3992291094187621,[[0.00178794]],[[0.93219237]],0.0,0.015169491355579332,0.03505716680514392,100,0.001787940813243405,1.0
