Wins,ITERATIONS,DualAfter,RewardMean,ReturnsMean,Omega,NormDeltaVar,NormDeltaOmega,WeightMin,RewardStd,DeltaOmega,DualReg,OmegaBefore,ReturnsStd,WeightMax,Epsilon,TimestepsStd,WeightMedian,TimestepsMean,ConfortViolation,Eta,DualBefore,LossReg,Traj,Primal,WeightMean
0.0,0,7.694229699748812,2.34396,1172.3434343434344,[[0.95689919]],24.48374106120796,0.1568991891561684,0.0032429397920511194,2.4158500612413842,[[0.15689919]],0.0,[[0.8]],63.649952052504275,1.0,1.5301,0.0,0.010203545573256076,500.0,0,1.74481244919258,8.01099636177014,0.0,100,7.694230119013383,0.0032429397920511194
0.0,1,8.015279908980352,2.77372,1387.4747474747476,[[0.99777345]],42.9273954856472,0.040874263010246104,7.325540702710713e-05,2.8347834770225395,[[0.04087426]],0.0,[[0.95689919]],84.44164124678879,1.0,1.5301,0.0,0.0004918942530604387,500.0,0,1.050248234408588,8.015781991307298,0.0,100,8.015283839226887,7.325540702710713e-05
0.0,2,8.001080278054225,2.9936,1497.3131313131314,[[0.99999999]],173.97329776657233,0.0022265363598440446,0.0,2.995135896749929,[[0.00222654]],0.0,[[0.99777345]],74.77544112370974,1.0,1.5301,0.0,0.0,500.0,0,0.007758655669000391,8.144551516829768,0.0,100,7.999999999999493,0.0
0.0,3,8.00106132985514,2.98752,1492.3434343434344,[[0.99999999]],0.0,0.0,0.0,2.992925700648114,[[0.]],0.0,[[0.99999999]],65.00165679569317,1.0,1.5301,0.0,0.0,500.0,0,0.007798391487003102,8.141430709648748,0.0,100,8.000000000000519,0.0
0.0,4,8.00110128351706,2.99624,1498.7272727272727,[[0.99999999]],3.5355339059327093,2.5155022509437686e-09,0.0,3.000424280397691,[[2.51550225e-09]],0.0,[[0.99999999]],73.43929234571063,1.0,1.5301,0.0,0.0,500.0,0,0.007713954844461589,8.148042763983062,0.0,100,8.00000000000061,0.0
0.0,5,8.00094530596745,2.95516,1477.6363636363637,[[0.99999999]],0.0,0.0,0.0,2.9768287445535058,[[0.]],0.0,[[0.99999999]],71.17278088069912,1.0,1.5301,0.0,0.0,500.0,0,0.008070359531384921,8.122597560708257,0.0,100,8.000000000000197,0.0
0.0,6,8.001096797643257,3.0012,1501.5757575757575,[[0.99999999]],0.0,0.0,0.0,2.995516409569475,[[0.]],0.0,[[0.99999999]],71.52157136053866,1.0,1.5301,0.0,0.0,500.0,0,0.0077258887880096985,8.147274119479027,0.0,100,7.999999999999585,0.0
0.0,7,8.001114793695159,3.00264,1501.2121212121212,[[0.99999999]],0.0,0.0,0.0,3.000638770395397,[[0.]],0.0,[[0.99999999]],81.74353497153076,1.0,1.5301,0.0,0.0,500.0,0,0.007687971548437197,8.150278239537675,0.0,100,7.999999999999475,0.0
0.0,8,8.001039469076904,2.984,1490.2626262626263,[[0.99999999]],0.0,0.0,0.0,2.988040160372681,[[0.]],0.0,[[0.99999999]],83.70687019806242,1.0,1.5301,0.0,0.0,500.0,0,0.007847327601944815,8.137832707344927,0.0,100,8.000000000000059,0.0
0.0,9,8.001034684270891,2.98516,1492.888888888889,[[0.99999999]],0.0,0.0,0.0,2.9856623677837386,[[0.]],0.0,[[0.99999999]],78.79969349385205,1.0,1.5301,0.0,0.0,500.0,0,0.00785923207299401,8.137039772224032,0.0,100,7.999999999999566,0.0
0.0,10,8.001152039186039,3.01024,1507.010101010101,[[0.99999999]],0.0,0.0,0.0,3.008184692202259,[[0.]],0.0,[[0.99999999]],90.13497117813222,1.0,1.5301,0.0,0.0,500.0,0,0.0076143964752940696,8.156514408001701,0.0,100,7.9999999999997184,0.0
0.0,11,8.001125100696106,3.00232,1502.2222222222222,[[0.99999999]],0.0,0.0,0.0,3.0043692545358,[[0.]],0.0,[[0.99999999]],75.56541825111384,1.0,1.5301,0.0,0.0,500.0,0,0.007666196411081013,8.152008446006638,0.0,100,8.000000000000396,0.0
0.0,12,8.00120961535092,3.02536,1513.5757575757575,[[0.99999999]],0.0,0.0,0.0,3.0178132596964975,[[0.]],0.0,[[0.99999999]],72.30590052470617,1.0,1.5301,0.0,0.0,500.0,0,0.007508693892546263,8.166238439803584,0.0,100,8.000000000000213,0.0
0.0,13,8.001105595700135,2.99752,1499.2727272727273,[[0.99999999]],0.0,0.0,0.0,3.0010121375296035,[[0.]],0.0,[[0.99999999]],71.90535560922605,1.0,1.5301,0.0,0.0,500.0,0,0.007705273526738848,8.14875854001363,0.0,100,8.00000000000035,0.0
0.0,14,8.001110975413335,3.00152,1501.4949494949494,[[0.99999999]],0.0,0.0,0.0,3.000106279717437,[[0.]],0.0,[[0.99999999]],73.36106551903644,1.0,1.5301,0.0,0.0,500.0,0,0.007695575125552767,8.149643061680637,0.0,100,8.000000000000277,0.0
0.0,15,8.001129352649812,3.00316,1501.3535353535353,[[0.99999999]],0.0,0.0,0.0,3.0052470804245033,[[0.]],0.0,[[0.99999999]],75.82693121577772,1.0,1.5301,0.0,0.0,500.0,0,0.007657724396162219,8.152719520772287,0.0,100,7.999999999999764,0.0
0.0,16,8.001033401760418,2.979,1490.6868686868686,[[0.99999999]],0.0,0.0,0.0,2.989427871683811,[[0.]],0.0,[[0.99999999]],80.41466352846909,1.0,1.5301,0.0,0.0,500.0,0,0.007859159412089556,8.136853519138956,0.0,100,7.99999999999984,0.0
