DualBefore,TimestepsStd,Traj,ReturnsMean,DeltaOmega,DualAfter,RewardMean,NormDeltaVar,ITERATIONS,Wins,LossReg,WeightMin,Omega,ReturnsStd,DualReg,NormDeltaOmega,ConfortViolation,OmegaBefore,WeightMedian,WeightMean,Primal,TimestepsMean,WeightMax,RewardStd,Epsilon,Eta
7.459296013030439,0.0,100,1169.7575757575758,[[0.07887431]],6.555429734624444,2.3386,8.50741134149337,0,0.0,0.0,0.014318269136580011,[[0.87887431]],51.9419043981532,0.0,0.07887431280939627,0,[[0.8]],0.03347437038537208,0.014318269136580011,6.55542864900342,500.0,1.0,2.4130623779753395,0.9701,2.355036330327399
7.334627952061187,0.0,100,1238.20202020202,[[0.04115728]],6.715264457509258,2.47516,6.585188697199207,1,0.0,0.0,0.011489000352331056,[[0.92003159]],63.60324936080009,0.0,0.04115728006808861,0,[[0.87887431]],0.02806892591226201,0.011489000352331056,6.715265167623584,500.0,1.0,2.560855906606227,0.9701,2.2389570868314466
7.3660166106961205,0.0,100,1301.8383838383838,[[0.02175075]],6.895456931122466,2.60056,4.868700717890157,2,0.0,0.0,0.009997023448439404,[[0.94178234]],63.31940948548116,0.0,0.021750745637261093,0,[[0.92003159]],0.025112882729452717,0.009997023448439404,6.895457841891779,500.0,1.0,2.68926155038888,0.9701,2.171332044587265
7.406107342337885,0.0,100,1349.939393939394,[[0.01165808]],7.0260307404371485,2.70008,3.367982448670112,3,0.0,0.0,0.008876098976066697,[[0.95344042]],74.3072815037744,0.0,0.011658082849974605,0,[[0.94178234]],0.022833774568565293,0.008876098976066697,7.02603072291601,500.0,1.0,2.7751987304695858,0.9701,2.116673981113405
7.42857623457401,0.0,100,1371.2121212121212,[[0.00467305]],7.084975085701582,2.74608,1.5808236324557257,4,0.0,0.0,0.008367503275265406,[[0.95811347]],71.56084826629271,0.0,0.004673045410865995,0,[[0.95344042]],0.02178094472179906,0.008367503275265406,7.084975110085178,500.0,1.0,2.813425782493649,0.9701,2.0905633142191204
7.440358876134592,0.0,100,1380.2828282828282,[[0.00203154]],7.107808798548161,2.76032,0.7404969409395221,5,0.0,0.0,0.008219499042312468,[[0.96014501]],68.97343075109846,0.0,0.0020315400657971994,0,[[0.95811347]],0.021472186931103348,0.008219499042312468,7.107809026384687,500.0,1.0,2.8301507906116945,0.9701,2.0827926683316633
7.439078806888805,0.0,100,1384.7070707070707,[[0.00021545]],7.113469223186928,2.76892,0.0806407478139235,6,0.0,0.0,0.00810356154075482,[[0.96036046]],77.65883073037568,0.0,0.00021544896247138734,0,[[0.96014501]],0.02122954800165973,0.00810356154075482,7.11347045284756,500.0,1.0,2.832137361358026,0.9701,2.076648421416977
7.457337714870169,0.0,100,1396.3030303030303,[[0.00097151]],7.138667504167742,2.78908,0.3689283615069243,7,0.0,0.0,0.007974944314395783,[[0.96133196]],76.92124459214854,0.0,0.0009715079566477991,0,[[0.96036046]],0.020959558361608895,0.007974944314395783,7.138670115866589,500.0,1.0,2.844530322144589,0.9701,2.069771752067579
7.46923680041248,0.0,100,1399.8383838383838,[[0.0016434]],7.15795837461592,2.80004,0.6448264378524016,8,0.0,0.0,0.007872671886256523,[[0.96297536]],73.83502044323322,0.0,0.001643400735849454,0,[[0.96133196]],0.020744249210990492,0.007872671886256523,7.157958668129006,500.0,1.0,2.8589536544687113,0.9701,2.0642571155445046
7.465616203418925,0.0,100,1403.3535353535353,[[0.00023052]],7.159828423401212,2.80448,0.09264376456665957,9,0.0,0.0,0.007785185462651089,[[0.96320589]],78.60646298399902,0.0,0.0002305242949565134,0,[[0.96297536]],0.0205596241187821,0.007785185462651089,7.159828432594055,500.0,1.0,2.8599601272745048,0.9701,2.0595062826195805
7.456202591816261,0.0,100,1394.141414141414,[[-0.00081653]],7.141851644915313,2.78808,0.3256737307569608,10,0.0,0.0,0.007934921738189212,[[0.96238936]],72.88305425817585,0.0,0.0008165252992172745,0,[[0.96320589]],0.0208753669421717,0.007934921738189212,7.1418519767532125,500.0,1.0,2.850833196383121,0.9701,2.0676186613559038
7.485929439086525,0.0,100,1411.6969696969697,[[0.00134704]],7.182489733675897,2.8224,0.5410166064297997,11,0.0,0.0,0.007715113205127673,[[0.9637364]],73.58379467859831,0.0,0.001347038215655405,0,[[0.96238936]],0.020411449288909058,0.007715113205127673,7.182489777366481,500.0,1.0,2.8695606353586607,0.9701,2.055678411621528
7.472077282943234,0.0,100,1404.3232323232323,[[3.34304051e-05]],7.168692578789342,2.81016,0.013671216677302311,12,0.0,0.0,0.0077460590824536745,[[0.96376983]],63.49148169745249,0.0,3.3430405122825135e-05,0,[[0.9637364]],0.020476920499514807,0.0077460590824536745,7.168692582427925,500.0,1.0,2.8655960591821033,0.9701,2.0573714189299572
7.473966778874653,0.0,100,1406.4444444444443,[[-0.00048502]],7.168769166755974,2.8122,0.1971660655730858,13,0.0,0.0,0.007758427202566378,[[0.96328482]],75.93061987625524,0.0,0.0004850155953763924,0,[[0.96376983]],0.020503072698690155,0.007758427202566378,7.16876919227304,500.0,1.0,2.8630213341852695,0.9701,2.058046948525927
7.449990706344922,0.0,100,1391.2929292929293,[[-0.00171611]],7.132140898239656,2.78248,0.6780667101805946,14,0.0,0.0,0.00798373020242925,[[0.96156871]],68.5169377459757,0.0,0.0017161058739859625,0,[[0.96328482]],0.020978029016429756,0.00798373020242925,7.132141859766076,500.0,1.0,2.8437800635070225,0.9701,2.070243557333597
7.468798196808233,0.0,100,1398.040404040404,[[0.00090079]],7.153756659532776,2.7972,0.35220653102716426,15,0.0,0.0,0.007924378140713569,[[0.9624695]],70.76036087064439,0.0,0.0009007924328501282,0,[[0.96156871]],0.02085317332915918,0.007924378140713569,7.153758068306542,500.0,1.0,2.8550853157129996,0.9701,2.067050389205458
7.470180749638276,0.0,100,1400.969696969697,[[0.00106765]],7.163880640987674,2.80536,0.42812319852188807,16,0.0,0.0,0.007796513892301259,[[0.96353715]],65.10123500286359,0.0,0.0010676483386007352,0,[[0.9624695]],0.020583554121240636,0.007796513892301259,7.163880662124,500.0,1.0,2.8631512831843167,0.9701,2.060123220279823
7.467064421064951,0.0,100,1404.7070707070707,[[4.64612071e-05]],7.163631465630587,2.80688,0.01890339265730745,17,0.0,0.0,0.007752086623274037,[[0.96358361]],71.99624745064703,0.0,4.646120713736046e-05,0,[[0.96353715]],0.02048966668402954,0.007752086623274037,7.163628642267296,500.0,1.0,2.8630865627151407,0.9701,2.0577007140909664
7.494323457849034,0.0,100,1423.1919191919192,[[0.00201547]],7.209840308798016,2.84828,0.8432139091089539,18,0.0,0.0,0.007400457383759912,[[0.96559908]],83.7427128465669,0.0,0.002015465816717188,0,[[0.96358361]],0.019742713791502203,0.007400457383759912,7.209840322668168,500.0,1.0,2.8862468781446955,0.9701,2.0382317355199087
7.477481640230252,0.0,100,1407.5353535353536,[[-0.00178937]],7.175406375890487,2.81652,0.7508910811995193,19,0.0,0.0,0.007711986228418544,[[0.96380971]],71.90781319587174,0.0,0.0017893699015703035,0,[[0.96559908]],0.020404830724835607,0.007711986228418544,7.175406379920724,500.0,1.0,2.8678798945562556,0.9701,2.055507116683538
