ITERATIONS,LossReg,Wins,WeightMean,Eta,RewardStd,WeightMin,NormDeltaVar,ConfortViolation,ReturnsStd,DeltaOmega,DualReg,Primal,DualAfter,WeightMax,TimestepsMean,WeightMedian,RewardMean,Traj,Epsilon,OmegaBefore,ReturnsMean,NormDeltaOmega,Omega,DualBefore,TimestepsStd
0,0.0,0.0,0.004752535407136739,1.8694813960480225,2.4365265125583995,0.004752535407136739,21.22638349797121,0,58.02707395786047,[[0.14645197]],0.0,7.493024894775394,7.493024864076215,1.0,500.0,0.01385288691250943,2.35256,100,1.4001,[[0.8]],1176.1010101010102,0.1464519694746258,[[0.94645197]],7.911573653193384,0.0
1,0.0,0.0,0.0007572580986612666,1.3916322573783355,2.802587768759437,0.0007572580986612666,24.906214017806,0,69.80626184254064,[[0.04374853]],0.0,7.8262845870353495,7.826282569733056,1.0,500.0,0.0031870959713240932,2.73728,100,1.4001,[[0.94645197]],1369.2929292929293,0.0437485315278876,[[0.9902005]],7.866260196349841,0.0
2,0.0,0.0,1.586074995095405e-05,0.904841194329858,2.966986936540166,1.586074995095405e-05,37.718103683628726,0,72.77099695732808,[[0.00909396]],0.0,7.986766054361179,7.986770330565562,1.0,500.0,0.000144630195991966,2.95072,100,1.4001,[[0.9902005]],1474.2424242424242,0.009093960508522514,[[0.99929446]],7.9875712942870445,0.0
3,0.0,0.0,0.00011733045095033167,0.883927478877511,2.970023676673302,0.00011733045095033167,2.4869407288383627,0,76.56728230463986,[[0.00011266]],0.0,7.984913241048542,7.984913503887602,1.0,500.0,0.001127348145856382,2.9456,100,1.4001,[[0.99929446]],1473.4343434343434,0.00011266074743965238,[[0.99940712]],7.985973883670315,0.0
4,0.0,0.0,2.0412362225567117e-05,0.7407839634819158,2.9834670813669115,2.0412362225567117e-05,19.122770552599675,0,69.2749866335922,[[0.00043735]],0.0,7.996099319302568,7.99610045814183,1.0,500.0,0.0003036826285561781,2.96588,100,1.4001,[[0.99940712]],1483.1919191919192,0.00043734880797430264,[[0.99984447]],7.999504468067134,0.0
5,0.0,0.0,1.0346467193506482e-215,0.016160906552232228,3.0092859208789053,1.0346467193506482e-215,144.14686874243046,0,75.24524946184204,[[0.00015552]],0.0,8.00000000000024,8.000373674186559,1.0,500.0,5.768913986797884e-162,3.01408,100,1.4001,[[0.99984447]],1507.6363636363637,0.0001555224810879663,[[0.99999999]],8.028329591123786,0.0
6,0.0,0.0,1.2765541420433754e-86,0.04044936133400441,2.9905044123023794,1.2765541420433754e-86,0.0,0,81.56764234377933,[[0.]],0.0,7.999999999999943,8.000155168112242,1.0,500.0,3.7977767318017282e-65,2.9844,100,1.4001,[[0.99999999]],1490.949494949495,0.0,[[0.99999999]],8.00918947061652,0.0
7,0.0,0.0,1.4169995616099173e-05,0.716564401003978,2.983851765755129,1.4169995616099173e-05,388.68745958828924,0,71.97679001020713,[[-0.99976349]],0.0,7.997046195646125,7.997051206318663,1.0,500.0,0.00023095495643812923,2.9692,100,1.4001,[[0.99999999]],1485.7373737373737,0.9997634917276478,[[0.0002365]],8.000804928270101,0.0
8,0.0,0.0,0.0,0.00261371405257253,0.5146456645110302,0.0,163.94892917235998,0,7.666606779021097,[[-0.0002365]],0.0,9.999999999997451,10.003652132380735,1.0,500.0,1.0,9.9728,100,1.4001,[[0.0002365]],4986.363636363636,0.00023649936637270183,[[2.4535174e-09]],11.397296316494835,0.0
9,0.0,0.0,0.0,0.002613713711864706,0.4467661580737735,0.0,0.0,0,0.0,[[0.]],0.0,9.999999999997792,10.00365422790615,1.0,500.0,1.0,9.98,100,1.4001,[[2.4535174e-09]],4990.0,0.0,[[2.4535174e-09]],11.398098088311146,0.0
10,0.0,0.0,0.0,0.002613713711864706,0.4467661580737735,0.0,0.0,0,0.0,[[0.]],0.0,9.999999999997792,10.00365422790615,1.0,500.0,1.0,9.98,100,1.4001,[[2.4535174e-09]],4990.0,0.0,[[2.4535174e-09]],11.398098088311146,0.0
11,0.0,0.0,0.0,0.002613713711864706,0.4467661580737735,0.0,0.0,0,0.0,[[0.]],0.0,9.999999999997792,10.00365422790615,1.0,500.0,1.0,9.98,100,1.4001,[[2.4535174e-09]],4990.0,0.0,[[2.4535174e-09]],11.398098088311146,0.0
12,0.0,0.0,0.0,0.002613713711864706,0.4467661580737735,0.0,0.0,0,0.0,[[0.]],0.0,9.999999999997792,10.00365422790615,1.0,500.0,1.0,9.98,100,1.4001,[[2.4535174e-09]],4990.0,0.0,[[2.4535174e-09]],11.398098088311146,0.0
