ConfortViolation,RewardMean,TimestepsStd,Wins,OmegaBefore,WeightMax,Primal,DeltaOmega,ReturnsStd,WeightMean,NormDeltaVar,RewardStd,WeightMedian,Eta,DualAfter,Traj,Epsilon,LossReg,DualReg,NormDeltaOmega,WeightMin,ITERATIONS,Omega,TimestepsMean,ReturnsMean,DualBefore
0,2.33496,0.0,0.0,[[0.8]],1.0,6.583482388315121,[[0.08072365]],63.82177894262495,0.014168009109282162,8.757235337848794,2.414680475425268,0.033193042494384255,2.349199738401607,6.5834833804284845,100,0.9801,0.0,0.0,0.08072365056717956,0.014168009109282162,0,[[0.88072365]],500.0,1166.8484848484848,7.486078673829614
0,2.51908,0.0,0.0,[[0.88072365]],1.0,6.808732144736494,[[0.04747469]],63.77403738275898,0.010875413449157031,8.000529188155141,2.605086553955549,0.026863130456307047,2.2117773815255632,6.808732270493856,100,0.9801,0.0,0.0,0.04747469177252339,0.010875413449157031,1,[[0.92819834]],500.0,1258.3232323232323,7.3805977996003085
0,2.67816,0.0,0.0,[[0.92819834]],1.0,7.018455593961287,[[0.02272931]],66.60864937999662,0.008903204344121807,5.782919490995006,2.7513086003572917,0.02288954042642755,2.118040951876472,7.018455630500643,100,0.9801,0.0,0.0,0.022729307669391297,0.008903204344121807,2,[[0.95092765]],500.0,1338.7070707070707,7.416457615921249
0,2.73536,0.0,0.0,[[0.95092765]],1.0,7.093626346583937,[[0.00697009]],75.1042862347791,0.008195876215781665,2.2928205137076034,2.804347637223317,0.021422803902649137,2.0815448735672257,7.093626343743563,100,0.9801,0.0,0.0,0.006970092820781093,0.008195876215781665,3,[[0.95789774]],500.0,1368.1818181818182,7.438028371198515
0,2.7652,0.0,0.0,[[0.95789774]],1.0,7.133903847733117,[[0.00300018]],65.7398259958691,0.007895050600759604,1.1007563041077404,2.830616356908863,0.0207914095983268,2.0654673752809267,7.133902686755195,100,0.9801,0.0,0.0,0.0030001809808178903,0.007895050600759604,4,[[0.96089792]],500.0,1382.949494949495,7.45753609299488
0,2.76968,0.0,0.0,[[0.96089792]],1.0,7.136576858304601,[[0.00099711]],72.36835678223515,0.007736209479946177,0.38383130430430157,2.8355021949559482,0.02045608769310328,2.056832993089827,7.13657635538563,100,0.9801,0.0,0.0,0.00099711360750665,0.007736209479946177,5,[[0.96189504]],500.0,1384.1818181818182,7.448512298724937
0,2.78616,0.0,0.0,[[0.96189504]],1.0,7.159745977572941,[[0.0010417]],79.35664171335654,0.0076445334074101996,0.41143849709170155,2.8480506411228013,0.02026192886573475,2.051802062585426,7.159745696092974,100,0.9801,0.0,0.0,0.0010417014759573906,0.0076445334074101996,6,[[0.96293674]],500.0,1391.7575757575758,7.46666349020349
0,2.81336,0.0,0.0,[[0.96293674]],1.0,7.193417310244623,[[0.00196362]],80.17773848135715,0.007395206230179949,0.8067476989378264,2.8678154596138157,0.019731505902563683,2.0379368899713364,7.193417708622065,100,0.9801,0.0,0.0,0.001963616922091571,0.007395206230179949,7,[[0.96490036]],500.0,1407.2929292929293,7.485357774322268
0,2.80464,0.0,0.0,[[0.96490036]],1.0,7.177392031718611,[[-0.00086553]],75.6307031897295,0.007423730590398013,0.36082043770940686,2.8577324000682784,0.0197923682296178,2.0395370068949763,7.177392166127446,100,0.9801,0.0,0.0,0.0008655272238033973,0.007423730590398013,8,[[0.96403483]],500.0,1401.4343434343434,7.4708664465511125
0,2.78744,0.0,0.0,[[0.96403483]],1.0,7.158577275662308,[[-0.00127098]],76.61382776120809,0.007618898917556407,0.5149768023504464,2.8464606525297342,0.020207554992157945,2.0503889570623204,7.1585771433413985,100,0.9801,0.0,0.0,0.0012709806388553346,0.007618898917556407,9,[[0.96276385]],500.0,1393.7575757575758,7.4641656209925396
0,2.79184,0.0,0.0,[[0.96276385]],1.0,7.166933920908027,[[0.00063911]],69.67726262157605,0.0075896980624292915,0.2568051302939125,2.8524567331337387,0.020145571821306222,2.048775833464363,7.1669338472752315,100,0.9801,0.0,0.0,0.0006391118022029962,0.0075896980624292915,10,[[0.96340296]],500.0,1395.7373737373737,7.470425600194418
0,2.81904,0.0,0.0,[[0.96340296]],1.0,7.195821561396376,[[0.00120912]],74.13022787381688,0.007350578157015088,0.49787297223042515,2.866449629489414,0.01963618882775761,2.035426058059798,7.195821733414647,100,0.9801,0.0,0.0,0.0012091200064818786,0.007350578157015088,11,[[0.96461208]],500.0,1409.111111111111,7.486052360562991
0,2.811,0.0,0.0,[[0.96461208]],1.0,7.1828980952472286,[[-0.00067893]],69.33333333333333,0.00738831849651398,0.28153726896413644,2.8587478027975814,0.019716802537610618,2.037549964448032,7.182898243988117,100,0.9801,0.0,0.0,0.0006789258927356601,0.00738831849651398,12,[[0.96393315]],500.0,1406.0,7.475132007454255
0,2.8196,0.0,0.0,[[0.96393315]],1.0,7.198285230865373,[[0.0013048]],70.55564738286036,0.007306030177617283,0.5457218353045334,2.8705009736977973,0.019540927317980655,2.032910701866903,7.198284180696451,100,0.9801,0.0,0.0,0.001304797735475427,0.007306030177617283,13,[[0.96523795]],500.0,1409.959595959596,7.484808210861653
0,2.82852,0.0,0.0,[[0.96523795]],1.0,7.213245730013109,[[0.00083528]],75.47879750343154,0.00726155123849743,0.35981194890182167,2.8798671166565994,0.019445697472972628,2.0303901472589256,7.21324469645837,100,0.9801,0.0,0.0,0.0008352784113406786,0.00726155123849743,14,[[0.96607323]],500.0,1413.959595959596,7.497327415775553
0,2.801,0.0,0.0,[[0.96607323]],1.0,7.174448316217102,[[-0.00193187]],69.82449466409635,0.007437017426165865,0.8197409215180258,2.857677203604354,0.019820702330307378,2.040281109125654,7.174448370952675,100,0.9801,0.0,0.0,0.0019318694686798477,0.007437017426165865,15,[[0.96414136]],500.0,1400.7878787878788,7.468035505910078
0,2.81512,0.0,0.0,[[0.96414136]],1.0,7.191684534676444,[[0.00064777]],71.1725285738074,0.007343381960974976,0.2700191511804988,2.8661994671690247,0.019620808301165832,2.035020345693568,7.191684537963528,100,0.9801,0.0,0.0,0.0006477701154665727,0.007343381960974976,16,[[0.96478913]],500.0,1407.919191919192,7.480494153360389
0,2.81084,0.0,0.0,[[0.96478913]],1.0,7.190823660008806,[[0.00031741]],70.77844017144447,0.007381076302185186,0.1340617410670859,2.8681245604750147,0.019701339542293587,2.0371428961645957,7.190823677585895,100,0.9801,0.0,0.0,0.00031740861882345595,0.007381076302185186,17,[[0.96510654]],500.0,1406.2626262626263,7.4810851444271815
0,2.81528,0.0,0.0,[[0.96510654]],1.0,7.1944056553606,[[-7.4089825e-05]],78.61205452616548,0.007356181167197381,0.031397655943344205,2.868553384826575,0.019648162131592206,2.035741785598743,7.194405675727069,100,0.9801,0.0,0.0,7.408982501933004e-05,0.007356181167197381,18,[[0.96503245]],500.0,1407.6767676767677,7.483843938005926
0,2.8256,0.0,0.0,[[0.96503245]],1.0,7.2018381400033995,[[0.00023535]],77.60680144844301,0.007236728057849359,0.09995945693950148,2.8711504035839015,0.019392500101677687,2.0289794671735257,7.201842609338034,100,0.9801,0.0,0.0,0.00023535120711970503,0.007236728057849359,19,[[0.9652678]],500.0,1413.050505050505,7.484640447431691
